0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-65,126,
328,      355,       475,       409,       262,       210,       381,       465,       413,       270,       0
327,      355,       475,       409,       260,       210,       380,       463,       410,       312,       0
326,      355,       474,       408,       261,       210,       382,       465,       413,       263,       0
325,      353,       474,       407,       260,       210,       379,       464,       410,       294,       0
327,      355,       475,       409,       262,       210,       382,       464,       412,       299,       0
326,      353,       474,       407,       260,       210,       379,       463,       412,       252,       0
326,      353,       474,       408,       261,       210,       381,       464,       410,       306,       0
327,      355,       474,       408,       263,       210,       381,       464,       411,       279,       0
326,      353,       474,       408,       260,       210,       380,       463,       410,       319,       0
328,      354,       474,       409,       262,       210,       381,       465,       413,       269,       0
326,      354,       474,       408,       262,       210,       381,       463,       411,       278,       0
326,      353,       474,       408,       260,       210,       380,       463,       411,       281,       0
327,      354,       474,       409,       262,       210,       382,       465,       411,       310,       0
327,      354,       474,       407,       262,       210,       380,       463,       410,       260,       0
325,      353,       474,       407,       260,       210,       380,       464,       411,       304,       0
326,      355,       474,       409,       262,       211,       381,       465,       412,       255,       0
327,      354,       474,       407,       260,       211,       381,       464,       413,       253,       0
325,      353,       474,       407,       261,       211,       380,       463,       410,       305,       0
327,      354,       474,       408,       261,       210,       381,       464,       412,       291,       0
326,      353,       474,       408,       262,       210,       381,       464,       412,       251,       0
326,      353,       474,       407,       260,       210,       380,       463,       412,       252,       0
326,      353,       474,       408,       261,       210,       381,       464,       413,       314,       170
327,      354,       474,       408,       261,       211,       381,       464,       413,       279,       10.078
325,      353,       474,       407,       260,       210,       381,       464,       412,       262,       -109.845
325,      352,       474,       407,       260,       210,       380,       463,       411,       262,       -130
327,      354,       474,       409,       262,       210,       382,       465,       413,       269,       -25
327,      354,       474,       408,       262,       211,       381,       465,       413,       268,       -35
325,      353,       473,       406,       260,       210,       381,       464,       411,       294,       35.039
327,      353,       474,       407,       260,       210,       380,       464,       411,       312,       140
327,      354,       474,       408,       263,       211,       382,       465,       413,       263,       -49.922
327,      354,       474,       408,       261,       211,       381,       465,       413,       263,       -65
325,      352,       474,       407,       261,       210,       380,       463,       412,       301,       75
328,      355,       474,       409,       263,       211,       382,       465,       413,       291,       105
327,      353,       474,       409,       262,       210,       382,       465,       412,       251,       -125
326,      353,       474,       407,       261,       210,       380,       463,       410,       309,       115.039
327,      353,       474,       408,       261,       211,       381,       465,       413,       315,       190
328,      354,       474,       409,       261,       210,       382,       464,       412,       273,       -15
325,      353,       474,       407,       262,       210,       381,       464,       412,       266,       -80
326,      354,       474,       409,       262,       210,       380,       463,       411,       313,       160
327,      354,       474,       409,       262,       210,       382,       465,       413,       270,       -20
325,      354,       474,       407,       262,       210,       381,       464,       412,       283,       10
326,      353,       474,       407,       260,       210,       380,       463,       412,       284,       -4.884
327,      354,       474,       409,       262,       211,       382,       463,       412,       310,       170
328,      354,       475,       409,       262,       210,       381,       465,       414,       269,       -15
325,      352,       474,       408,       261,       211,       380,       463,       411,       293,       40
325,      353,       474,       407,       261,       210,       380,       464,       411,       292,       35.039
328,      355,       474,       409,       263,       210,       382,       464,       414,       298,       135
327,      353,       474,       407,       261,       210,       382,       465,       413,       258,       -99.922
327,      354,       474,       407,       261,       211,       380,       463,       411,       255,       -134.961
327,      353,       474,       407,       261,       210,       380,       464,       413,       291,       50
329,      355,       474,       408,       262,       210,       381,       464,       413,       288,       70
