0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
376,10,-65,126,
315,      335,       462,       393,       255,       211,       356,       436,       383,       264,       41.717
315,      336,       461,       394,       256,       211,       358,       437,       384,       267,       41.717
315,      336,       461,       394,       256,       212,       357,       436,       383,       278,       41.717
315,      335,       461,       394,       255,       210,       357,       436,       383,       281,       41.717
315,      336,       461,       395,       255,       211,       357,       436,       383,       260,       41.717
315,      336,       461,       394,       255,       211,       356,       436,       383,       284,       41.717
315,      336,       461,       394,       255,       211,       357,       437,       383,       263,       41.717
314,      336,       461,       394,       255,       211,       357,       435,       383,       283,       41.717
315,      336,       461,       394,       255,       211,       356,       436,       383,       280,       41.717
315,      336,       461,       394,       256,       211,       357,       436,       383,       262,       41.717
314,      336,       461,       395,       255,       211,       357,       436,       383,       264,       41.717
315,      336,       461,       395,       255,       211,       356,       435,       383,       288,       41.717
314,      336,       461,       395,       256,       211,       357,       437,       383,       262,       41.717
315,      336,       461,       394,       255,       211,       356,       435,       382,       274,       41.717
316,      336,       461,       394,       255,       211,       357,       436,       383,       272,       41.717
315,      336,       461,       394,       255,       211,       357,       436,       383,       269,       -70
315,      336,       461,       394,       255,       211,       356,       436,       383,       268,       -80
315,      336,       461,       395,       255,       211,       356,       435,       382,       289,       -20
315,      336,       461,       395,       255,       210,       356,       436,       383,       261,       -85
315,      336,       461,       394,       254,       211,       357,       436,       383,       258,       -35
315,      336,       461,       395,       255,       211,       356,       435,       383,       279,       -35
316,      336,       461,       395,       256,       210,       357,       436,       383,       266,       -10
315,      337,       461,       395,       256,       211,       357,       436,       382,       266,       -10.938
314,      336,       461,       395,       254,       210,       357,       435,       383,       271,       -9.063
316,      337,       461,       395,       255,       211,       356,       436,       383,       281,       66.25
316,      337,       461,       395,       255,       211,       356,       436,       383,       261,       -35.625
315,      336,       461,       395,       254,       211,       356,       435,       382,       284,       55.312
315,      336,       461,       395,       255,       211,       356,       435,       382,       279,       35.625
314,      336,       461,       395,       255,       211,       356,       436,       383,       261,       -49.375
314,      336,       462,       395,       254,       211,       356,       435,       383,       270,       -9.376
315,      336,       462,       395,       255,       211,       357,       436,       382,       281,       59.062
316,      336,       462,       395,       255,       210,       356,       436,       383,       260,       -45.938
315,      336,       462,       394,       255,       212,       356,       434,       382,       276,       20.937
315,      336,       462,       395,       255,       211,       356,       435,       382,       277,       30.663
316,      337,       462,       395,       255,       211,       357,       436,       383,       269,       16.093
315,      336,       462,       394,       255,       211,       356,       435,       382,       264,       -38.75
315,      336,       462,       395,       254,       211,       356,       435,       383,       280,       44.375
315,      337,       462,       395,       255,       211,       357,       436,       383,       260,       -32.813
315,      337,       462,       395,       255,       211,       356,       435,       383,       258,       -55
315,      336,       462,       395,       255,       211,       356,       436,       383,       278,       45.625
315,      337,       461,       395,       255,       211,       357,       436,       383,       269,       4.1
315,      336,       462,       395,       255,       211,       356,       435,       383,       265,       -25
314,      336,       462,       394,       255,       211,       356,       435,       383,       272,       -1.25
316,      336,       462,       395,       255,       211,       357,       436,       383,       284,       85.468
316,      337,       462,       395,       257,       211,       358,       437,       386,       261,       10
315,      337,       462,       395,       257,       211,       357,       435,       385,       279,       75.155
315,      337,       462,       394,       256,       211,       357,       435,       385,       281,       75.936
315,      336,       462,       395,       255,       211,       356,       436,       383,       261,       -40
314,      335,       462,       394,       255,       211,       356,       435,       381,       272,       -14.688
316,      336,       462,       394,       254,       211,       356,       435,       382,       277,       25.625
315,      337,       462,       395,       255,       211,       356,       435,       382,       274,       20
315,      336,       462,       395,       255,       211,       357,       435,       383,       261,       -39.375
315,      337,       462,       395,       254,       211,       357,       435,       383,       263,       -30
315,      336,       462,       394,       254,       211,       356,       435,       382,       283,       50.468
316,      336,       462,       395,       255,       210,       357,       436,       383,       262,       -30
315,      336,       462,       395,       255,       211,       356,       436,       383,       261,       -39.063
315,      336,       462,       395,       254,       211,       356,       434,       382,       280,       34.687
316,      336,       462,       395,       254,       211,       356,       435,       383,       272,       8.475
315,      337,       462,       395,       255,       211,       356,       435,       383,       273,       20.937
314,      336,       462,       395,       254,       211,       356,       435,       382,       264,       -44.063
316,      337,       462,       396,       255,       211,       356,       435,       382,       280,       59.687
315,      336,       462,       396,       255,       211,       356,       435,       383,       259,       -49.375
314,      337,       462,       395,       254,       211,       356,       434,       382,       276,       15.625
315,      336,       462,       395,       255,       211,       355,       434,       382,       283,       49.725
316,      337,       461,       395,       255,       211,       356,       435,       383,       264,       -25
316,      337,       461,       395,       254,       211,       355,       434,       382,       267,       -29.532
315,      336,       461,       395,       255,       211,       356,       434,       382,       286,       65.311
316,      336,       461,       395,       255,       211,       355,       434,       382,       277,       19.062
316,      336,       461,       395,       254,       211,       356,       435,       383,       259,       -60.938
314,      336,       462,       395,       254,       211,       356,       433,       383,       281,       34.375
315,      336,       461,       395,       255,       211,       355,       434,       382,       281,       35.312
315,      336,       461,       395,       255,       211,       356,       435,       382,       280,       40
316,      337,       461,       395,       255,       211,       356,       434,       383,       264,       -30.625
315,      336,       461,       395,       254,       211,       355,       433,       382,       274,       -8.125
316,      335,       461,       395,       254,       211,       355,       433,       382,       277,       4.062
316,      337,       461,       395,       254,       211,       355,       433,       382,       271,       -14.337
315,      336,       461,       395,       254,       211,       355,       434,       382,       261,       -70.314
314,      336,       461,       395,       255,       211,       354,       433,       382,       290,       65.625
316,      336,       461,       395,       255,       211,       356,       434,       382,       279,       34.687
315,      336,       461,       395,       254,       212,       355,       433,       382,       259,       -80.314
315,      336,       461,       394,       254,       211,       355,       433,       382,       276,       -5
316,      336,       461,       395,       254,       211,       355,       434,       382,       267,       -33.907
316,      336,       461,       395,       254,       211,       355,       434,       382,       265,       -44.063
315,      336,       461,       395,       254,       210,       355,       433,       382,       267,       -48.125
316,      337,       461,       395,       254,       211,       355,       433,       382,       280,       30
316,      336,       461,       395,       254,       211,       355,       434,       382,       260,       -69.375
316,      336,       461,       394,       254,       211,       355,       432,       382,       258,       -95
315,      336,       461,       394,       254,       211,       354,       432,       382,       274,       -25.625
315,      335,       461,       395,       254,       211,       355,       432,       382,       279,       5.625
316,      336,       461,       395,       255,       211,       355,       433,       382,       257,       -85.157
316,      336,       461,       395,       254,       211,       355,       434,       382,       258,       -79.064
316,      336,       461,       394,       254,       211,       354,       432,       382,       279,       4.375
316,      336,       461,       395,       255,       211,       356,       433,       382,       266,       -35.938
316,      336,       461,       395,       255,       211,       355,       433,       382,       264,       -49.063
316,      336,       461,       395,       255,       211,       355,       432,       382,       271,       -19.688
316,      336,       461,       395,       254,       211,       355,       432,       382,       272,       -20
316,      337,       461,       395,       255,       211,       355,       433,       382,       272,       -5.626
316,      336,       461,       394,       255,       211,       355,       433,       382,       262,       -62.5
316,      336,       461,       395,       254,       211,       355,       433,       382,       290,       75.936
316,      336,       461,       395,       254,       211,       356,       433,       383,       281,       39.375
317,      337,       461,       395,       255,       211,       356,       432,       382,       266,       -30.938
317,      336,       461,       395,       255,       211,       355,       433,       382,       272,       -5.313
318,      337,       462,       396,       254,       210,       355,       433,       383,       279,       45.937
317,      338,       462,       395,       255,       211,       356,       433,       383,       273,       26.093
317,      337,       462,       395,       255,       211,       355,       432,       382,       263,       -45.938
316,      337,       462,       395,       254,       211,       355,       433,       382,       287,       70
317,      337,       462,       396,       254,       211,       356,       434,       383,       261,       -35
317,      337,       462,       396,       253,       211,       356,       433,       382,       259,       -58.75
316,      336,       462,       395,       253,       211,       355,       433,       381,       275,       -5
317,      337,       462,       395,       254,       211,       355,       433,       382,       279,       37.187
318,      337,       462,       396,       255,       211,       356,       433,       382,       272,       19.687
317,      337,       462,       396,       254,       211,       356,       433,       383,       258,       -54.375
316,      337,       462,       396,       253,       211,       355,       433,       383,       263,       -43.907
317,      337,       463,       396,       254,       211,       356,       432,       383,       283,       71.561
318,      337,       462,       397,       255,       211,       356,       433,       383,       262,       -19.063
317,      338,       463,       396,       254,       212,       356,       433,       382,       281,       69.061
317,      337,       464,       396,       254,       211,       356,       432,       382,       275,       30.937
318,      337,       464,       396,       255,       211,       356,       434,       383,       275,       54.687
