0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
380,10,-65,120,
334,      331,       337,       286,       272,       205,       293,       370,       361,       234,       0
336,      332,       337,       286,       273,       205,       294,       371,       362,       233,       0
335,      331,       337,       286,       272,       205,       294,       370,       361,       248,       0
335,      332,       337,       286,       272,       205,       294,       371,       362,       241,       0
334,      332,       337,       286,       272,       206,       294,       371,       362,       232,       0
334,      331,       337,       286,       272,       205,       294,       370,       361,       246,       0
335,      332,       337,       286,       273,       205,       294,       371,       361,       229,       0
334,      331,       336,       286,       273,       205,       294,       370,       361,       245,       0
335,      332,       337,       287,       273,       205,       294,       371,       361,       247,       0
334,      332,       336,       285,       273,       205,       294,       370,       361,       241,       0
335,      332,       337,       286,       273,       205,       294,       370,       361,       249,       0
336,      332,       336,       286,       273,       205,       295,       371,       361,       234,       0
334,      331,       337,       286,       273,       205,       295,       370,       361,       234,       0
335,      331,       337,       286,       273,       204,       294,       370,       361,       249,       0
336,      333,       337,       286,       273,       204,       295,       371,       362,       231,       0
334,      332,       337,       286,       273,       205,       294,       370,       361,       248,       0
335,      332,       337,       286,       273,       206,       294,       370,       362,       244,       0
335,      332,       337,       286,       273,       205,       295,       370,       362,       231,       0
334,      332,       336,       286,       273,       205,       295,       370,       361,       239,       0
335,      332,       337,       287,       273,       205,       294,       370,       361,       252,       0
335,      332,       337,       286,       273,       206,       295,       371,       362,       235,       0
335,      331,       337,       286,       273,       205,       295,       371,       362,       233,       -357.033
336,      332,       337,       286,       273,       205,       294,       370,       362,       248,       -285.471
335,      333,       337,       286,       273,       205,       295,       371,       362,       243,       -298.282
336,      333,       337,       286,       273,       205,       295,       371,       362,       232,       -341.875
335,      332,       337,       285,       274,       205,       295,       370,       362,       240,       -322.971
335,      332,       337,       286,       273,       205,       295,       370,       362,       250,       -272.188
335,      332,       337,       286,       274,       206,       295,       371,       363,       233,       -333.438
335,      332,       337,       286,       273,       205,       295,       372,       362,       234,       -338.44
335,      332,       337,       286,       273,       205,       295,       371,       362,       251,       -260.471
336,      333,       337,       286,       274,       205,       295,       372,       362,       240,       -297.188
335,      332,       337,       286,       273,       205,       295,       371,       362,       233,       -352.969
336,      332,       337,       286,       273,       205,       294,       371,       362,       244,       -291.877
336,      332,       337,       286,       273,       205,       295,       372,       362,       247,       -271.563
335,      332,       337,       286,       274,       204,       295,       371,       362,       253,       -252.502
335,      333,       337,       286,       273,       205,       295,       371,       362,       254,       -239.064
335,      333,       337,       286,       273,       206,       295,       372,       362,       234,       -333.596
335,      333,       337,       286,       274,       205,       295,       372,       362,       232,       -343.438
335,      332,       337,       286,       273,       205,       295,       372,       362,       247,       -272.659
336,      333,       337,       286,       274,       205,       295,       372,       362,       249,       -248.439
335,      332,       337,       286,       274,       206,       296,       373,       363,       228,       -343.282
336,      332,       337,       286,       274,       205,       295,       372,       362,       240,       -301.252
335,      333,       337,       286,       274,       205,       295,       372,       362,       253,       -240.314
336,      333,       337,       286,       274,       205,       296,       373,       363,       234,       -306.721
336,      333,       337,       286,       274,       205,       296,       372,       362,       234,       -322.346
335,      332,       337,       286,       274,       206,       295,       372,       362,       249,       -258.907
336,      332,       337,       286,       275,       205,       296,       373,       362,       243,       -269.063
336,      333,       337,       286,       274,       205,       296,       373,       363,       230,       -329.375
336,      332,       337,       286,       274,       206,       295,       372,       363,       245,       -262.659
337,      333,       337,       287,       275,       205,       296,       373,       363,       229,       -317.659
336,      333,       337,       287,       274,       205,       295,       372,       363,       230,       -334.846
336,      333,       337,       287,       274,       205,       295,       372,       363,       249,       -237.971
336,      334,       337,       287,       274,       206,       296,       372,       362,       259,       -179.689
336,      333,       337,       287,       274,       206,       296,       372,       362,       237,       -291.563
336,      333,       337,       287,       274,       205,       295,       371,       362,       231,       -344.532
337,      334,       337,       287,       274,       205,       295,       372,       363,       242,       -267.033
335,      333,       337,       287,       274,       205,       295,       372,       362,       248,       -255.627
335,      333,       337,       286,       274,       205,       295,       371,       362,       249,       -262.657
335,      333,       337,       287,       273,       205,       295,       372,       362,       249,       -255.471
335,      333,       337,       287,       274,       205,       296,       372,       363,       231,       -331.877
335,      333,       337,       287,       274,       205,       296,       372,       362,       234,       -318.752
336,      333,       337,       286,       273,       205,       295,       371,       362,       253,       -241.25
336,      333,       337,       286,       274,       206,       296,       372,       363,       236,       -298.282
336,      333,       337,       287,       274,       205,       296,       372,       362,       231,       -329.532
336,      333,       337,       286,       273,       205,       295,       371,       362,       247,       -271.252
336,      333,       337,       287,       274,       205,       295,       372,       362,       244,       -268.909
336,      333,       337,       286,       273,       205,       295,       371,       363,       229,       -358.284
335,      333,       337,       286,       274,       206,       295,       371,       362,       240,       -296.875
335,      333,       337,       287,       274,       205,       296,       372,       363,       254,       -213.596
336,      334,       337,       287,       274,       205,       295,       372,       362,       237,       -303.908
335,      333,       337,       287,       273,       205,       295,       371,       362,       234,       -332.813
337,      333,       338,       286,       273,       205,       295,       371,       362,       249,       -247.814
336,      334,       337,       287,       273,       206,       295,       371,       362,       237,       -308.438
336,      333,       337,       286,       273,       206,       294,       371,       362,       229,       -359.69
336,      333,       337,       286,       273,       205,       295,       371,       362,       244,       -287.658
337,      333,       337,       287,       273,       205,       295,       370,       361,       251,       -245.159
336,      333,       338,       287,       273,       205,       294,       370,       361,       242,       -301.877
336,      332,       337,       286,       273,       205,       294,       370,       361,       240,       -328.596
337,      333,       337,       287,       273,       205,       295,       371,       362,       233,       -331.096
336,      333,       337,       287,       273,       205,       295,       371,       361,       235,       -332.813
336,      333,       337,       286,       273,       205,       294,       370,       362,       251,       -260.158
336,      332,       337,       286,       272,       205,       294,       370,       362,       243,       -308.127
336,      333,       337,       286,       273,       205,       294,       371,       362,       230,       -358.283
335,      333,       337,       286,       273,       205,       294,       370,       361,       250,       -272.034
337,      333,       337,       287,       273,       205,       294,       370,       361,       252,       -250.627
336,      333,       337,       286,       273,       205,       294,       371,       361,       230,       -366.25
336,      332,       337,       286,       273,       205,       294,       371,       361,       238,       -326.877
337,      333,       337,       287,       273,       204,       295,       370,       361,       250,       -260.627
336,      333,       337,       286,       273,       205,       295,       371,       362,       239,       -311.252
337,      333,       337,       286,       273,       205,       294,       370,       361,       231,       -360.783
336,      334,       337,       286,       273,       205,       294,       370,       361,       248,       -273.127
337,      333,       337,       286,       273,       205,       295,       371,       362,       240,       -297.971
337,      333,       337,       286,       273,       205,       295,       371,       361,       232,       -343.284
336,      333,       337,       286,       273,       205,       295,       370,       361,       244,       -298.438
337,      334,       336,       287,       273,       205,       294,       370,       362,       246,       -275.471
338,      333,       337,       286,       273,       205,       295,       371,       362,       232,       -335.313
337,      333,       337,       286,       273,       205,       295,       370,       362,       237,       -323.127
338,      334,       337,       287,       273,       205,       295,       371,       362,       236,       -306.096
338,      334,       337,       287,       274,       205,       295,       372,       362,       237,       -292.032
338,      334,       338,       286,       273,       205,       295,       371,       362,       249,       -240.158
338,      334,       337,       287,       273,       205,       295,       372,       362,       239,       -281.721
338,      333,       337,       287,       274,       206,       295,       372,       362,       229,       -328.596
337,      334,       337,       287,       273,       205,       295,       371,       362,       246,       -256.563
337,      333,       337,       287,       273,       205,       295,       371,       362,       248,       -256.565
338,      334,       338,       286,       273,       205,       295,       372,       362,       230,       -329.221
338,      335,       338,       287,       273,       205,       295,       371,       362,       237,       -291.096
338,      335,       338,       288,       273,       205,       295,       371,       362,       249,       -225.157
338,      335,       337,       287,       273,       205,       296,       371,       363,       237,       -287.813
339,      334,       337,       287,       273,       205,       295,       372,       362,       234,       -308.282
338,      334,       338,       287,       272,       206,       295,       371,       362,       263,       -165.627
339,      335,       337,       287,       273,       205,       296,       372,       363,       239,       -260.002
339,      334,       338,       287,       273,       206,       296,       372,       362,       229,       -316.877
339,      335,       338,       287,       272,       205,       295,       371,       362,       248,       -233.752
340,      335,       338,       287,       273,       205,       295,       371,       362,       248,       -219.846
339,      335,       338,       287,       273,       205,       296,       372,       363,       229,       -309.532
339,      334,       338,       287,       273,       205,       296,       371,       362,       237,       -286.563
339,      334,       338,       287,       273,       205,       295,       371,       362,       250,       -222.189
339,      335,       338,       287,       273,       206,       295,       372,       362,       237,       -276.875
339,      335,       338,       287,       273,       205,       296,       372,       362,       233,       -295.002
340,      335,       338,       287,       273,       205,       295,       371,       362,       248,       -228.75
340,      335,       337,       287,       273,       205,       295,       372,       362,       246,       -236.408
339,      335,       338,       288,       273,       205,       295,       372,       362,       229,       -312.188
340,      335,       338,       287,       273,       205,       295,       371,       362,       241,       -257.033
340,      335,       338,       287,       273,       206,       295,       371,       362,       248,       -218.439
340,      336,       338,       287,       274,       205,       296,       371,       363,       234,       -271.563
340,      335,       338,       287,       273,       205,       296,       371,       362,       235,       -287.188
340,      335,       338,       287,       273,       205,       295,       371,       362,       249,       -219.064
340,      335,       338,       288,       273,       205,       296,       372,       362,       239,       -251.25
339,      335,       338,       287,       273,       205,       296,       372,       362,       231,       -308.282
340,      335,       338,       288,       273,       205,       295,       371,       363,       246,       -226.096
341,      336,       338,       288,       273,       205,       296,       371,       362,       247,       -211.564
341,      335,       338,       287,       273,       205,       296,       371,       362,       231,       -299.688
340,      336,       338,       287,       273,       205,       296,       371,       362,       249,       -209.221
341,      335,       338,       288,       273,       205,       296,       372,       363,       250,       -192.657
341,      335,       339,       287,       273,       205,       296,       372,       363,       237,       -254.375
341,      335,       338,       287,       273,       205,       296,       372,       363,       231,       -294.846
341,      335,       339,       288,       273,       205,       296,       372,       363,       246,       -205.158
341,      336,       339,       288,       273,       205,       296,       371,       363,       246,       -203.439
341,      336,       339,       288,       273,       205,       296,       372,       363,       230,       -280.157
341,      335,       338,       288,       273,       205,       296,       372,       363,       236,       -258.439
341,      336,       338,       288,       273,       205,       296,       373,       363,       255,       -153.909
341,      336,       339,       288,       273,       205,       295,       373,       363,       237,       -247.189
341,      336,       339,       288,       273,       205,       296,       372,       362,       232,       -277.344
341,      335,       339,       288,       273,       205,       296,       372,       362,       246,       -210.939
342,      336,       339,       288,       273,       205,       297,       372,       363,       229,       -276.252
342,      336,       339,       288,       273,       205,       297,       372,       363,       230,       -270.002
341,      336,       339,       289,       273,       205,       296,       372,       363,       255,       -144.064
341,      336,       339,       288,       273,       205,       297,       373,       363,       249,       -175.314
342,      336,       339,       288,       273,       205,       297,       373,       363,       239,       -215.627
341,      336,       339,       288,       272,       205,       296,       372,       363,       232,       -275.002
341,      336,       339,       288,       272,       205,       297,       372,       363,       239,       -235
342,      337,       339,       288,       273,       205,       297,       373,       363,       238,       -217.189
