0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-60,118,
335,      328,       343,       289,       272,       207,       277,       328,       347,       238,       0
334,      327,       343,       288,       271,       207,       277,       327,       346,       235,       0
335,      328,       343,       289,       271,       207,       277,       327,       346,       241,       0
335,      328,       343,       288,       272,       207,       277,       328,       346,       234,       0
335,      328,       343,       289,       272,       207,       277,       328,       346,       240,       0
334,      328,       342,       288,       271,       207,       278,       327,       347,       233,       0
335,      328,       343,       289,       271,       207,       277,       328,       347,       269,       0
334,      328,       343,       289,       272,       207,       277,       328,       347,       232,       0
334,      327,       343,       288,       271,       207,       276,       327,       346,       249,       0
335,      328,       343,       289,       272,       208,       277,       328,       347,       246,       0
334,      328,       342,       289,       272,       207,       278,       328,       347,       231,       0
334,      328,       342,       288,       271,       207,       277,       327,       346,       244,       0
334,      328,       343,       289,       272,       207,       277,       327,       346,       252,       0
334,      328,       343,       289,       272,       207,       277,       328,       346,       235,       0
334,      328,       343,       288,       271,       207,       277,       328,       346,       237,       0
334,      328,       343,       289,       271,       207,       277,       328,       347,       241,       0
334,      328,       343,       289,       272,       207,       277,       328,       347,       244,       0
334,      328,       343,       288,       271,       207,       277,       327,       346,       248,       0
334,      328,       343,       289,       272,       207,       277,       327,       347,       247,       0
335,      329,       343,       289,       272,       207,       278,       328,       347,       233,       0
334,      328,       343,       289,       271,       207,       277,       327,       347,       241,       0
334,      328,       343,       288,       272,       207,       277,       327,       347,       253,       50
335,      328,       343,       289,       272,       207,       278,       328,       348,       237,       -5
335,      328,       343,       289,       272,       207,       277,       328,       347,       235,       -25
335,      328,       343,       288,       272,       207,       278,       327,       347,       253,       60
336,      329,       343,       289,       271,       207,       277,       328,       347,       245,       30
334,      328,       342,       288,       272,       207,       278,       328,       347,       231,       -55
336,      328,       342,       288,       272,       207,       277,       327,       346,       251,       40
337,      328,       342,       288,       272,       207,       277,       327,       347,       251,       50
336,      329,       343,       289,       273,       208,       278,       329,       347,       233,       -5
336,      328,       343,       288,       272,       207,       278,       328,       347,       267,       140
338,      329,       343,       289,       273,       207,       278,       329,       347,       249,       80
338,      329,       342,       289,       273,       207,       278,       328,       348,       231,       -15
338,      329,       342,       289,       273,       207,       278,       328,       348,       242,       40
339,      329,       343,       290,       274,       207,       278,       330,       348,       256,       140
341,      329,       343,       289,       274,       207,       279,       330,       349,       238,       65
340,      330,       343,       288,       274,       207,       279,       329,       348,       237,       45
342,      330,       343,       289,       274,       207,       279,       329,       349,       254,       150
342,      330,       343,       289,       274,       208,       279,       331,       349,       238,       85
342,      330,       343,       288,       275,       207,       279,       331,       349,       244,       110
342,      331,       342,       289,       275,       207,       279,       331,       349,       253,       160
343,      332,       343,       289,       276,       207,       280,       331,       350,       234,       95
344,      331,       343,       289,       275,       208,       279,       331,       350,       233,       85
345,      332,       343,       289,       276,       207,       280,       332,       351,       248,       185
346,      332,       343,       290,       276,       208,       281,       333,       351,       249,       215
346,      332,       343,       290,       276,       207,       280,       332,       350,       251,       205
347,      332,       343,       290,       276,       207,       281,       332,       351,       254,       235
348,      333,       343,       290,       277,       207,       282,       333,       353,       236,       180
348,      334,       344,       290,       277,       208,       282,       333,       352,       237,       195
348,      333,       343,       290,       276,       207,       281,       333,       352,       253,       250
349,      333,       344,       290,       276,       207,       282,       334,       352,       242,       215
349,      334,       344,       290,       277,       207,       282,       333,       352,       235,       185
350,      334,       344,       290,       277,       207,       281,       333,       352,       251,       265
352,      334,       344,       290,       277,       208,       281,       333,       352,       249,       270
352,      334,       344,       291,       277,       207,       282,       334,       352,       234,       205
351,      334,       344,       291,       277,       207,       282,       334,       353,       245,       260
353,      336,       344,       291,       277,       207,       282,       334,       352,       261,       355
353,      335,       344,       291,       277,       207,       283,       335,       353,       238,       250
353,      335,       345,       291,       277,       207,       283,       335,       353,       238,       255
354,      335,       345,       291,       277,       207,       283,       335,       353,       254,       340
355,      336,       345,       291,       278,       207,       283,       336,       353,       241,       295
355,      335,       345,       290,       278,       208,       283,       336,       353,       233,       250
355,      336,       345,       292,       277,       207,       283,       336,       354,       252,       355
356,      337,       345,       292,       278,       207,       283,       336,       354,       248,       350
357,      336,       345,       291,       277,       207,       283,       335,       353,       233,       255
356,      338,       346,       292,       277,       207,       284,       336,       353,       247,       350
357,      337,       346,       292,       278,       207,       284,       337,       355,       251,       390
359,      338,       346,       292,       278,       207,       284,       337,       355,       234,       320
357,      338,       346,       292,       278,       208,       283,       336,       354,       246,       360
358,      338,       346,       293,       278,       208,       284,       336,       354,       258,       435
359,      339,       346,       292,       278,       207,       284,       337,       354,       236,       330
359,      339,       346,       292,       278,       207,       284,       337,       355,       239,       350
360,      339,       346,       293,       278,       207,       285,       337,       355,       256,       450
360,      339,       347,       293,       279,       207,       285,       337,       356,       242,       395
360,      339,       347,       293,       278,       207,       284,       336,       355,       235,       340
361,      340,       347,       293,       278,       207,       285,       338,       355,       243,       405
362,      340,       347,       294,       279,       207,       285,       338,       356,       234,       380
361,      339,       347,       293,       278,       207,       285,       337,       356,       249,       430
362,      340,       348,       293,       278,       208,       285,       338,       355,       253,       470
363,      341,       348,       294,       279,       207,       286,       339,       355,       236,       410
363,      341,       348,       293,       279,       207,       286,       338,       356,       247,       460
363,      341,       348,       294,       279,       207,       285,       338,       356,       254,       495
363,      341,       347,       294,       279,       207,       286,       339,       357,       237,       420
364,      341,       347,       294,       279,       207,       286,       339,       357,       241,       445
364,      342,       348,       294,       279,       207,       286,       339,       356,       255,       520
365,      343,       348,       295,       279,       207,       287,       340,       357,       242,       485
365,      342,       349,       295,       280,       207,       287,       340,       357,       234,       450
365,      342,       349,       294,       279,       207,       286,       339,       357,       251,       515
366,      343,       349,       295,       279,       207,       287,       340,       357,       252,       545
366,      343,       348,       295,       279,       207,       287,       340,       357,       235,       455
365,      343,       348,       295,       279,       207,       286,       340,       357,       248,       510
367,      343,       349,       296,       279,       207,       287,       339,       357,       253,       555
366,      343,       349,       295,       279,       207,       287,       340,       357,       236,       465
366,      343,       350,       295,       279,       207,       287,       340,       358,       238,       485
367,      343,       350,       296,       279,       207,       287,       340,       357,       256,       580
368,      344,       350,       296,       279,       207,       287,       341,       357,       244,       535
367,      344,       350,       296,       278,       207,       286,       339,       356,       253,       550
367,      344,       350,       296,       278,       208,       286,       340,       356,       259,       590
368,      345,       350,       296,       278,       207,       287,       340,       357,       237,       495
368,      344,       350,       297,       278,       207,       286,       340,       357,       239,       500
368,      344,       350,       296,       278,       207,       286,       340,       356,       253,       560
368,      345,       350,       297,       279,       206,       287,       340,       357,       255,       590
369,      344,       351,       297,       278,       207,       287,       340,       357,       239,       515
369,      345,       351,       297,       278,       207,       286,       339,       356,       267,       645
369,      345,       350,       298,       278,       207,       287,       341,       357,       246,       560
370,      346,       351,       297,       279,       207,       288,       340,       357,       234,       515
369,      345,       351,       298,       278,       207,       286,       340,       357,       252,       585
370,      346,       351,       298,       279,       207,       286,       340,       358,       248,       585
370,      346,       351,       298,       278,       207,       286,       340,       357,       237,       520
370,      346,       351,       298,       278,       207,       287,       340,       356,       247,       570
370,      346,       352,       298,       279,       207,       287,       340,       357,       256,       630
370,      347,       352,       298,       279,       207,       287,       340,       358,       238,       550
370,      346,       352,       298,       278,       207,       287,       340,       357,       240,       545
371,      345,       352,       298,       278,       207,       288,       341,       357,       255,       630
371,      347,       352,       299,       278,       207,       287,       341,       357,       244,       585
370,      347,       352,       299,       278,       207,       286,       340,       357,       235,       525
371,      346,       352,       299,       278,       207,       286,       340,       357,       251,       605
372,      347,       352,       300,       278,       207,       287,       341,       357,       249,       620
372,      348,       353,       300,       277,       207,       287,       340,       357,       252,       635
371,      347,       353,       299,       277,       207,       287,       340,       358,       234,       535
372,      347,       353,       299,       278,       207,       287,       340,       356,       250,       615
372,      347,       353,       300,       278,       207,       287,       340,       357,       251,       630
372,      347,       353,       300,       278,       207,       287,       341,       357,       236,       560
373,      347,       353,       300,       278,       207,       287,       340,       357,       244,       600
372,      349,       353,       301,       278,       207,       287,       340,       357,       256,       670
372,      349,       353,       301,       278,       207,       287,       340,       357,       242,       600
372,      348,       354,       300,       277,       207,       287,       341,       358,       235,       565
372,      348,       354,       300,       277,       207,       287,       340,       358,       248,       625
373,      349,       354,       301,       278,       207,       287,       340,       357,       251,       655
373,      349,       354,       301,       278,       207,       287,       341,       357,       235,       580
372,      348,       354,       301,       278,       207,       287,       340,       357,       248,       630
373,      349,       354,       302,       277,       207,       287,       340,       357,       257,       685
374,      349,       355,       302,       278,       207,       287,       341,       358,       237,       610
373,      349,       355,       301,       277,       207,       287,       341,       358,       238,       600
374,      349,       355,       302,       278,       207,       288,       340,       358,       260,       725
374,      350,       355,       302,       278,       207,       288,       342,       358,       243,       655
374,      349,       355,       302,       278,       208,       287,       341,       358,       239,       625
373,      349,       355,       302,       278,       207,       287,       340,       357,       260,       710
375,      350,       355,       303,       278,       207,       288,       341,       358,       248,       685
374,      350,       355,       303,       278,       207,       288,       342,       358,       234,       615
374,      350,       355,       303,       278,       208,       288,       341,       358,       248,       685
375,      351,       356,       303,       279,       208,       288,       341,       358,       254,       735
375,      351,       356,       303,       279,       207,       288,       341,       359,       237,       650
375,      350,       355,       303,       279,       207,       289,       342,       358,       244,       680
375,      351,       356,       303,       279,       207,       289,       343,       359,       257,       765
376,      351,       356,       304,       279,       207,       289,       342,       359,       245,       710
375,      351,       357,       304,       280,       207,       289,       343,       359,       235,       670
376,      351,       356,       304,       279,       207,       288,       342,       358,       251,       730
376,      352,       357,       304,       279,       207,       289,       342,       359,       258,       785
376,      351,       357,       304,       279,       207,       289,       343,       359,       237,       680
375,      351,       357,       304,       279,       207,       289,       343,       359,       244,       710
376,      352,       357,       304,       279,       206,       289,       343,       359,       257,       780
377,      352,       357,       305,       279,       207,       289,       344,       360,       246,       750
376,      352,       357,       305,       279,       207,       289,       343,       359,       236,       685
376,      352,       358,       305,       279,       207,       289,       342,       359,       250,       755
377,      352,       358,       305,       280,       207,       290,       343,       360,       252,       790
376,      353,       358,       305,       279,       207,       289,       344,       360,       238,       715
376,      352,       358,       305,       279,       207,       289,       343,       359,       262,       820
377,      352,       358,       306,       279,       207,       290,       343,       359,       257,       810
378,      353,       358,       306,       279,       207,       289,       344,       360,       236,       720
378,      353,       358,       305,       279,       207,       290,       343,       359,       235,       705
377,      353,       358,       305,       279,       207,       289,       343,       360,       255,       800
378,      353,       359,       307,       279,       207,       290,       344,       360,       253,       820
377,      353,       359,       306,       280,       207,       290,       343,       360,       243,       760
377,      353,       359,       307,       279,       207,       290,       343,       359,       257,       825
378,      353,       359,       306,       279,       207,       290,       344,       360,       244,       770
379,      354,       359,       306,       279,       207,       290,       344,       359,       240,       755
378,      354,       359,       307,       279,       207,       289,       343,       360,       264,       870
379,      353,       359,       307,       280,       207,       290,       344,       360,       253,       830
378,      353,       359,       307,       280,       207,       290,       344,       361,       236,       745
378,      353,       359,       307,       280,       208,       290,       344,       360,       245,       790
378,      354,       359,       307,       279,       207,       290,       344,       360,       256,       840
379,      354,       359,       307,       280,       207,       290,       344,       361,       241,       780
379,      355,       360,       308,       279,       207,       290,       344,       360,       236,       760
379,      354,       360,       307,       279,       207,       289,       343,       359,       258,       845
379,      354,       360,       308,       279,       207,       290,       343,       359,       253,       830
379,      355,       360,       308,       279,       207,       290,       344,       360,       237,       765
380,      354,       360,       308,       279,       207,       290,       344,       360,       241,       785
379,      355,       360,       308,       279,       207,       290,       343,       359,       255,       845
381,      355,       361,       309,       279,       207,       289,       344,       359,       249,       835
380,      355,       361,       309,       279,       207,       290,       344,       359,       236,       770
380,      354,       361,       309,       279,       207,       289,       343,       359,       250,       825
381,      355,       361,       310,       279,       207,       290,       343,       360,       256,       880
381,      355,       361,       309,       278,       207,       289,       344,       360,       241,       795
381,      355,       361,       309,       278,       207,       289,       342,       360,       237,       765
381,      356,       361,       310,       278,       207,       289,       343,       360,       247,       830
381,      357,       362,       310,       278,       207,       289,       343,       359,       252,       860
381,      356,       362,       310,       278,       207,       289,       342,       359,       249,       835
381,      356,       362,       310,       277,       207,       289,       342,       359,       242,       795
382,      357,       362,       311,       278,       207,       289,       343,       359,       240,       810
382,      357,       362,       310,       278,       207,       289,       343,       359,       245,       830
382,      356,       362,       310,       277,       207,       289,       342,       358,       262,       895
381,      356,       363,       311,       278,       207,       289,       342,       359,       258,       890
383,      357,       362,       311,       278,       207,       290,       343,       359,       237,       805
382,      357,       363,       312,       278,       207,       289,       343,       359,       241,       825
383,      357,       363,       311,       277,       207,       289,       342,       359,       262,       920
384,      357,       363,       311,       277,       207,       289,       343,       359,       249,       865
383,      358,       363,       312,       278,       207,       290,       343,       359,       254,       905
383,      358,       363,       312,       278,       207,       289,       342,       359,       253,       890
383,      357,       363,       312,       277,       207,       289,       342,       359,       257,       900
384,      358,       364,       312,       278,       207,       290,       343,       359,       240,       845
383,      358,       364,       312,       278,       207,       289,       343,       359,       236,       815
384,      359,       364,       312,       278,       207,       289,       342,       359,       252,       900
384,      358,       364,       313,       278,       207,       290,       343,       359,       253,       915
385,      359,       364,       314,       278,       207,       290,       344,       359,       235,       845
384,      358,       364,       314,       278,       207,       289,       343,       359,       242,       860
384,      358,       364,       314,       277,       207,       289,       343,       359,       256,       925
385,      358,       364,       314,       278,       207,       289,       343,       359,       240,       855
385,      360,       365,       314,       278,       207,       290,       344,       360,       244,       905
385,      360,       365,       314,       278,       207,       290,       343,       360,       245,       905
385,      359,       365,       313,       278,       207,       289,       342,       359,       254,       925
384,      358,       365,       314,       278,       207,       289,       343,       359,       254,       925
385,      359,       366,       315,       278,       207,       290,       344,       360,       237,       875
386,      359,       365,       315,       278,       207,       290,       343,       360,       244,       905
386,      359,       366,       314,       277,       207,       289,       343,       359,       256,       950
386,      360,       366,       315,       278,       207,       290,       344,       360,       245,       925
