0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-60,118,
325,      335,       343,       295,       259,       209,       221,       263,       287,       229,       0
325,      335,       343,       295,       259,       209,       220,       262,       287,       251,       0
326,      336,       343,       295,       259,       209,       221,       264,       288,       234,       0
325,      335,       343,       294,       258,       209,       220,       262,       287,       251,       0
327,      335,       343,       294,       259,       209,       221,       263,       287,       233,       0
326,      334,       343,       294,       258,       210,       220,       262,       286,       244,       0
326,      335,       343,       294,       259,       209,       220,       263,       286,       237,       0
325,      335,       344,       294,       258,       209,       220,       263,       287,       226,       0
325,      334,       343,       295,       258,       209,       220,       263,       287,       237,       0
325,      335,       344,       295,       259,       209,       221,       263,       287,       225,       0
325,      334,       343,       294,       259,       209,       220,       263,       286,       240,       0
325,      335,       344,       294,       259,       209,       220,       263,       287,       242,       0
326,      335,       344,       295,       259,       209,       221,       263,       287,       228,       0
326,      335,       344,       294,       259,       209,       220,       262,       286,       236,       0
326,      334,       344,       295,       259,       209,       220,       263,       286,       248,       0
326,      335,       344,       295,       259,       209,       221,       263,       287,       231,       0
327,      335,       344,       295,       259,       209,       221,       263,       286,       228,       0
326,      335,       344,       295,       258,       209,       221,       262,       286,       257,       0
325,      335,       344,       295,       258,       209,       221,       264,       287,       238,       0
326,      335,       344,       295,       259,       209,       221,       263,       286,       230,       0
326,      335,       344,       295,       258,       209,       220,       262,       286,       247,       0
327,      336,       344,       295,       259,       209,       221,       263,       286,       237,       8.593
326,      335,       344,       295,       258,       209,       220,       263,       286,       241,       8.281
327,      336,       344,       295,       258,       209,       221,       263,       286,       241,       23.788
327,      337,       344,       295,       259,       209,       221,       264,       286,       228,       -25.196
326,      336,       344,       296,       259,       209,       220,       263,       286,       227,       -45.391
327,      336,       344,       295,       258,       209,       220,       263,       286,       246,       43.592
327,      335,       344,       296,       259,       209,       221,       264,       286,       247,       66.014
328,      336,       344,       295,       259,       209,       221,       263,       287,       231,       -8.986
328,      336,       344,       295,       259,       209,       220,       264,       286,       228,       -29.65
327,      336,       345,       295,       258,       209,       221,       263,       286,       235,       1.444
327,      336,       344,       295,       259,       209,       221,       263,       286,       237,       11.21
328,      336,       345,       295,       258,       209,       221,       263,       286,       247,       65.155
327,      336,       345,       295,       259,       209,       221,       263,       286,       241,       34.375
328,      337,       345,       296,       260,       209,       221,       264,       287,       243,       74.453
329,      337,       345,       295,       259,       209,       222,       264,       286,       230,       4.959
328,      337,       344,       296,       258,       209,       221,       263,       287,       242,       49.218
329,      336,       345,       296,       260,       209,       221,       264,       287,       229,       5.859
329,      337,       345,       296,       260,       209,       221,       264,       287,       229,       9.921
329,      337,       345,       295,       259,       210,       221,       263,       287,       246,       86.054
330,      337,       345,       296,       259,       209,       222,       264,       286,       248,       105.507
328,      337,       344,       296,       260,       209,       221,       264,       287,       228,       -5.47
330,      338,       345,       296,       259,       209,       222,       263,       287,       227,       4.101
329,      338,       345,       296,       260,       209,       221,       264,       287,       240,       69.375
330,      337,       345,       296,       260,       209,       222,       264,       288,       242,       89.959
330,      338,       345,       296,       260,       209,       221,       264,       287,       241,       79.843
329,      337,       345,       296,       259,       209,       221,       264,       287,       239,       54.022
330,      337,       345,       296,       260,       209,       222,       265,       287,       229,       26.132
331,      338,       346,       296,       260,       209,       221,       264,       287,       231,       39.023
331,      337,       346,       297,       259,       209,       221,       264,       287,       252,       141.522
331,      338,       346,       296,       259,       209,       221,       265,       286,       249,       124.295
331,      338,       345,       297,       260,       209,       221,       264,       287,       227,       18.75
