0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
379,10,-65,120,
329,      334,       361,       314,       254,       210,       236,       296,       302,       247,       0
329,      333,       361,       314,       253,       210,       235,       295,       301,       263,       0
329,      334,       360,       314,       253,       209,       235,       296,       301,       246,       0
329,      333,       361,       313,       254,       210,       236,       295,       302,       247,       0
329,      333,       360,       315,       254,       210,       235,       295,       301,       264,       0
329,      334,       361,       314,       254,       210,       235,       295,       301,       250,       0
329,      333,       361,       314,       254,       210,       235,       295,       301,       264,       0
329,      334,       361,       314,       254,       210,       236,       297,       301,       244,       0
328,      334,       360,       314,       254,       209,       235,       296,       300,       253,       0
329,      333,       360,       314,       255,       210,       237,       297,       302,       243,       0
328,      333,       360,       314,       254,       210,       235,       296,       301,       254,       0
329,      333,       361,       314,       254,       210,       236,       296,       302,       251,       0
329,      334,       360,       314,       255,       210,       236,       297,       302,       246,       0
329,      334,       361,       314,       255,       210,       236,       297,       302,       247,       0
328,      333,       360,       313,       254,       210,       235,       296,       302,       266,       0
329,      334,       360,       314,       254,       209,       236,       296,       302,       265,       0
329,      334,       361,       314,       254,       210,       236,       297,       302,       253,       0
329,      333,       360,       314,       254,       210,       236,       297,       302,       243,       0
329,      333,       360,       314,       254,       210,       236,       295,       300,       263,       0
329,      334,       361,       314,       255,       210,       236,       297,       302,       250,       0
329,      334,       360,       314,       254,       210,       235,       296,       302,       267,       0
331,      334,       361,       314,       254,       210,       236,       297,       303,       250,       575
330,      334,       361,       314,       255,       210,       236,       297,       302,       243,       535
329,      333,       361,       314,       254,       209,       235,       296,       302,       263,       605
328,      333,       361,       314,       254,       210,       235,       296,       302,       264,       610
330,      334,       361,       314,       254,       210,       235,       297,       302,       244,       530
330,      334,       361,       313,       254,       210,       235,       296,       302,       243,       515
329,      333,       361,       314,       253,       210,       236,       296,       302,       260,       595
330,      334,       361,       314,       254,       209,       235,       296,       301,       272,       655
330,      334,       361,       314,       253,       210,       235,       295,       301,       242,       500
329,      334,       360,       314,       253,       210,       234,       295,       301,       254,       545
330,      335,       361,       314,       253,       210,       236,       295,       301,       263,       615
330,      335,       360,       314,       254,       210,       236,       296,       301,       242,       515
329,      334,       361,       314,       253,       210,       235,       295,       301,       254,       555
330,      334,       360,       314,       252,       210,       235,       294,       301,       262,       585
331,      334,       361,       314,       253,       210,       236,       296,       301,       243,       520
329,      335,       361,       315,       253,       210,       235,       295,       301,       249,       540
330,      335,       361,       314,       253,       209,       235,       295,       301,       263,       605
330,      335,       361,       315,       253,       209,       236,       296,       301,       248,       545
330,      334,       361,       315,       253,       209,       235,       295,       301,       246,       520
331,      334,       361,       315,       253,       210,       235,       295,       301,       263,       615
330,      335,       361,       315,       253,       210,       236,       296,       302,       263,       630
329,      335,       361,       315,       253,       210,       235,       295,       301,       249,       540
329,      334,       362,       314,       253,       210,       235,       295,       302,       247,       530
330,      335,       362,       316,       253,       210,       236,       296,       302,       245,       550
330,      335,       361,       315,       253,       209,       236,       296,       302,       248,       550
330,      334,       361,       315,       253,       210,       236,       295,       301,       255,       575
330,      335,       361,       315,       254,       210,       235,       295,       301,       267,       640
331,      335,       361,       316,       254,       210,       236,       296,       302,       246,       560
329,      334,       362,       316,       253,       209,       236,       296,       302,       246,       540
331,      336,       362,       316,       254,       210,       236,       295,       301,       264,       650
331,      335,       362,       316,       254,       209,       236,       296,       302,       248,       570
330,      335,       362,       316,       254,       210,       235,       296,       301,       246,       550
330,      334,       362,       316,       254,       210,       236,       295,       302,       263,       635
331,      335,       362,       316,       254,       210,       236,       296,       302,       250,       585
331,      335,       362,       316,       254,       210,       236,       296,       301,       249,       575
330,      334,       362,       315,       253,       210,       235,       295,       301,       263,       615
331,      335,       363,       316,       254,       210,       236,       296,       302,       253,       605
331,      335,       362,       316,       253,       210,       236,       296,       301,       248,       565
330,      334,       362,       316,       253,       210,       235,       296,       301,       263,       625
331,      335,       362,       316,       253,       209,       236,       296,       301,       274,       690
331,      335,       362,       316,       253,       210,       235,       296,       301,       245,       545
331,      335,       363,       316,       254,       210,       236,       296,       302,       243,       555
331,      335,       363,       316,       254,       209,       236,       296,       303,       262,       650
331,      335,       363,       316,       254,       210,       237,       297,       303,       252,       615
332,      335,       363,       316,       253,       210,       235,       297,       302,       243,       555
331,      334,       363,       316,       254,       210,       237,       296,       302,       281,       745
332,      336,       363,       317,       254,       210,       236,       296,       303,       252,       620
331,      335,       364,       317,       254,       210,       237,       297,       303,       243,       580
331,      335,       364,       317,       254,       210,       236,       296,       302,       261,       655
332,      335,       364,       317,       254,       210,       237,       297,       302,       252,       625
332,      335,       363,       317,       254,       210,       236,       297,       301,       242,       560
331,      334,       364,       317,       252,       210,       235,       295,       298,       262,       615
332,      335,       363,       318,       252,       210,       236,       296,       299,       255,       605
331,      335,       363,       318,       253,       210,       237,       296,       300,       247,       575
331,      335,       364,       317,       253,       210,       235,       296,       299,       259,       620
332,      336,       364,       319,       254,       210,       237,       297,       302,       253,       645
333,      336,       365,       319,       254,       210,       237,       297,       302,       254,       660
332,      336,       364,       318,       254,       210,       236,       297,       303,       261,       680
332,      336,       365,       319,       254,       210,       237,       298,       303,       261,       700
332,      336,       365,       319,       254,       210,       237,       298,       303,       242,       605
331,      335,       365,       318,       254,       210,       236,       297,       303,       245,       595
331,      336,       365,       319,       254,       210,       237,       297,       302,       265,       705
332,      337,       365,       319,       254,       210,       236,       297,       303,       256,       670
332,      336,       366,       318,       253,       210,       236,       298,       303,       243,       600
331,      335,       366,       319,       254,       210,       236,       297,       302,       261,       680
333,      337,       365,       319,       254,       210,       237,       298,       303,       252,       665
331,      335,       365,       318,       254,       210,       237,       297,       303,       244,       595
332,      335,       366,       318,       254,       210,       236,       296,       302,       264,       690
332,      336,       365,       319,       255,       210,       237,       298,       303,       250,       650
332,      335,       365,       319,       255,       210,       238,       298,       303,       243,       615
332,      336,       365,       319,       254,       210,       237,       297,       302,       265,       710
333,      336,       366,       319,       254,       210,       237,       298,       303,       263,       720
332,      335,       365,       319,       255,       210,       237,       298,       303,       242,       605
331,      336,       365,       319,       254,       210,       237,       297,       303,       259,       680
332,      336,       366,       319,       254,       210,       238,       298,       303,       254,       675
333,      336,       366,       320,       254,       210,       238,       298,       303,       242,       625
332,      336,       366,       319,       254,       210,       237,       297,       303,       261,       700
