0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
433,10,-65,123,
330,      354,       448,       376,       257,       210,       316,       392,       358,       287,       0
330,      355,       448,       376,       258,       210,       316,       392,       359,       249,       0
330,      355,       447,       376,       258,       210,       316,       393,       358,       249,       0
330,      355,       446,       376,       258,       210,       316,       393,       358,       257,       0
329,      355,       446,       376,       257,       210,       315,       391,       355,       249,       0
330,      354,       446,       376,       257,       211,       315,       391,       356,       268,       0
330,      355,       446,       376,       258,       210,       316,       393,       358,       247,       0
329,      354,       446,       376,       258,       211,       317,       393,       359,       247,       0
330,      355,       445,       376,       258,       210,       316,       392,       357,       266,       0
330,      355,       445,       376,       258,       210,       316,       392,       358,       266,       0
330,      354,       445,       376,       258,       210,       316,       392,       359,       279,       0
329,      354,       445,       376,       258,       210,       316,       392,       358,       260,       0
329,      354,       445,       375,       258,       210,       316,       392,       357,       260,       0
330,      354,       445,       376,       259,       211,       317,       394,       358,       248,       0
330,      355,       445,       376,       259,       210,       317,       394,       359,       253,       0
331,      355,       445,       377,       259,       210,       317,       394,       360,       248,       0
330,      355,       445,       376,       259,       210,       316,       393,       359,       265,       0
330,      355,       445,       377,       259,       209,       317,       394,       359,       273,       0
329,      355,       445,       376,       259,       210,       318,       394,       360,       259,       0
330,      354,       445,       376,       260,       210,       318,       395,       362,       259,       0
331,      356,       445,       377,       260,       210,       318,       395,       361,       251,       0
329,      354,       445,       376,       255,       210,       315,       393,       352,       252,       129.375
330,      355,       445,       377,       258,       210,       318,       394,       358,       270,       150.078
330,      355,       445,       377,       259,       210,       317,       394,       360,       269,       205.078
331,      355,       445,       377,       259,       210,       317,       395,       359,       269,       138.593
330,      355,       445,       377,       258,       210,       318,       394,       359,       256,       117.031
330,      355,       445,       377,       258,       210,       318,       394,       359,       260,       119.843
330,      355,       445,       377,       259,       210,       318,       394,       360,       262,       143.906
331,      356,       445,       377,       260,       210,       317,       395,       360,       255,       148.203
330,      355,       446,       377,       259,       210,       318,       395,       360,       253,       132.656
330,      354,       445,       377,       258,       210,       317,       394,       359,       270,       140.625
330,      355,       445,       376,       259,       210,       317,       394,       359,       270,       176.639
330,      355,       445,       377,       258,       210,       317,       394,       359,       250,       200.859
330,      356,       445,       377,       259,       210,       317,       395,       359,       248,       170.311
331,      355,       445,       376,       259,       210,       317,       395,       359,       262,       248.828
331,      355,       445,       376,       258,       209,       316,       394,       359,       263,       227.264
331,      355,       445,       377,       258,       210,       317,       395,       359,       265,       182.578
330,      355,       445,       377,       258,       210,       316,       394,       358,       262,       244.764
330,      354,       445,       376,       258,       210,       316,       393,       359,       267,       204.453
330,      356,       445,       376,       258,       210,       316,       393,       358,       266,       161.639
331,      355,       445,       376,       258,       210,       316,       394,       359,       251,       182.186
331,      355,       445,       376,       258,       210,       316,       394,       358,       246,       239.218
331,      355,       445,       376,       258,       210,       317,       394,       358,       267,       64.843
