0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
379,10,-60,118,
312.625,  329.755,   363.476,   307.25,    247.921,   210,       261.745,   321.659,   314.811,   248.655,   0
312.93,   329.934,   363.888,   307.728,   247.987,   210,       261.924,   321.945,   314.975,   245.699,   0
312.921,  329.929,   363.881,   307.721,   247.987,   210,       261.928,   321.949,   314.973,   246.068,   0
312.825,  329.868,   363.747,   307.565,   247.968,   210,       261.842,   321.799,   314.883,   244.766,   0
312.85,   329.887,   363.796,   307.633,   247.976,   210,       261.86,    321.823,   314.895,   244.914,   0
312.85,   329.892,   363.809,   307.649,   247.975,   210,       261.851,   321.802,   314.887,   245.682,   0
312.702,  329.802,   363.618,   307.436,   247.948,   210,       261.763,   321.651,   314.8,     244.466,   0
312.788,  329.861,   363.75,    307.591,   247.965,   210,       261.846,   321.796,   314.884,   247.837,   0
312.787,  329.861,   363.753,   307.585,   247.964,   210,       261.846,   321.805,   314.893,   248.078,   0
312.763,  329.848,   363.719,   307.552,   247.96,    210,       261.839,   321.786,   314.88,    245.886,   0
312.917,  329.948,   363.945,   307.795,   247.988,   210,       261.927,   321.944,   314.968,   249.046,   0
312.927,  329.951,   363.953,   307.807,   247.989,   210,       261.929,   321.949,   314.972,   248.128,   0
312.94,   329.954,   363.955,   307.821,   247.991,   210,       261.934,   321.954,   314.976,   247.501,   0
312.961,  329.967,   363.984,   307.854,   247.992,   210,       261.936,   321.968,   314.986,   248.436,   0
312.964,  329.963,   363.964,   307.85,    247.993,   210,       261.938,   321.968,   314.992,   247.75,    0
312.973,  329.974,   363.991,   307.88,    247.996,   210,       261.947,   321.978,   315.003,   248.259,   0
312.97,   329.972,   363.991,   307.871,   247.995,   210,       261.941,   321.971,   314.985,   248.121,   0
312.975,  329.977,   364.002,   307.879,   247.995,   210,       261.941,   321.975,   314.987,   247.232,   0
312.919,  329.942,   363.925,   307.779,   247.983,   210,       261.879,   321.869,   314.923,   244.799,   0
312.908,  329.933,   363.906,   307.753,   247.978,   210,       261.859,   321.84,    314.902,   245.537,   0
312.638,  329.974,   364.002,   307.875,   247.929,   210,       261.72,    321.607,   314.775,   243.83,    0
312.575,  330.167,   364.435,   308.372,   247.92,    210,       261.691,   321.542,   314.735,   243.661,   -23.399
312.591,  330.448,   365.075,   309.094,   247.924,   210,       261.728,   321.605,   314.77,    245.118,   13.514
312.546,  330.727,   365.697,   309.806,   247.916,   210,       261.712,   321.575,   314.753,   246.818,   41.562
312.804,  331,       366.3,     310.481,   247.963,   210,       261.842,   321.794,   314.884,   250.588,   36.795
