0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
389,10,-59,118,
325.125,  345.2,     390.125,   334.875,   257.166,   210,       300.5,     368,       343.75,    264,       0
325.125,  345.2,     390.125,   337.875,   256.899,   210,       299.299,   369,       342.549,   262.899,   0
325.625,  345.6,     392.958,   339.125,   256.677,   211,       298.8,     368,       343.05,    262.899,   0
325.625,  345.714,   396.601,   343.41,    256.296,   210,       298.8,     369,       343.478,   262.899,   0
325.91,   345.902,   397.526,   345.701,   256.172,   210,       298.557,   369,       343.011,   262.742,   0
325.594,  345.659,   396.155,   342.533,   256.449,   210,       298.879,   368,       344.362,   261.934,   0
325.375,  345.553,   396.611,   343.02,    256.512,   210,       299.748,   369,       345.407,   261.011,   0
325.34,   345.53,    396.613,   342.965,   256.542,   210,       299.454,   368,       345.683,   261.526,   0
325.258,  345.363,   397.697,   342.574,   256.595,   210,       299.583,   369,       346.064,   261.353,   0
324.996,  345.321,   397.917,   344.722,   256.426,   210,       298.826,   368,       346.307,   260.484,   0
324.942,  345.173,   396.889,   343.894,   256.414,   210,       299.123,   368,       346.865,   260.409,   0
324.885,  345.008,   395.714,   341.884,   256.49,    210,       299.076,   369,       346.176,   260.249,   0
325.474,  345.414,   399.074,   345,       256.19,    210,       298.146,   368,       345.335,   262.449,   0
325.971,  345.542,   400.454,   346.111,   256.156,   211,       298.478,   368,       344.339,   262.729,   0
326.118,  345.709,   400.963,   348.57,    256.024,   211,       298.385,   368,       343.121,   263.061,   0
326.08,   345.923,   402.927,   351.668,   256.148,   210,       298.715,   369,       343.542,   262.677,   0
325.31,   345.539,   398.62,    348.335,   256.427,   210,       298.797,   369,       344.143,   261.138,   0
325.429,  345.767,   398.358,   347.582,   256.466,   210,       299.271,   368,       344.115,   261.696,   0
325.117,  345.547,   397.986,   345.298,   256.72,    210,       299.397,   369,       344.685,   260.716,   0
325.408,  345.607,   397.28,    345.459,   256.516,   210,       298.209,   368,       343.563,   262.792,   0
325.422,  345.503,   397.089,   345.048,   256.529,   210,       298.982,   369,       343.909,   261.457,   0
325.206,  345.465,   399.336,   347.9,     256.347,   211,       299.369,   368,       344.736,   262.995,   -10
325.433,  345.682,   400.743,   349.344,   256.199,   210,       298.508,   368,       344.315,   263.32,    -5
325.223,  345.578,   400.024,   347.756,   256.248,   210,       299.408,   369,       344.423,   261.824,   -70
325.409,  345.932,   401.657,   349.214,   256.208,   211,       299.041,   368,       343.639,   264.234,   15
325.438,  345.77,    398.346,   346.187,   256.474,   211,       298.994,   369,       343.054,   262.84,    -35
