0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-65,120,
337.625,  356.25,    418,       385,       263.125,   210.75,    311,       395,       352.125,   277.375,   0
337.625,  356.25,    420.2,     385,       262.625,   210.75,    310,       393.399,   352.125,   277.375,   0
338.458,  356.083,   416.533,   387,       263.875,   210.916,   311,       397.399,   350.875,   279.541,   0
338.458,  355.94,    416.533,   387,       263.517,   210.916,   310,       397.399,   351.232,   280.47,    0
339.291,  355.753,   416.323,   385.571,   263.216,   210.845,   311,       397.742,   350.747,   281.84,    0
338.101,  356.111,   418.912,   380.51,    262.587,   210.811,   310,       398.363,   350.907,   277.836,   0
337.693,  356.114,   420.824,   379.583,   262.403,   210.796,   311,       392.786,   352.341,   274.806,   0
337.583,  356.139,   419.865,   380.237,   262.601,   210.731,   310,       393.27,    352.142,   273.997,   0
338.053,  355.909,   418.8,     381.19,    262.87,    210.667,   310,       390.345,   351.627,   274.734,   0
339.118,  355.452,   414.07,    386.43,    263.982,   210.694,   311,       390.343,   351.372,   278.005,   0
337.893,  356.071,   420.962,   380.551,   262.779,   210.68,    310,       392.279,   351.234,   278.462,   0
337.58,   356.204,   422.69,    378.881,   262.804,   210.72,    311,       392.138,   351.462,   278.171,   0
336.799,  356.532,   426.388,   376.837,   263.152,   210.775,   311,       395.823,   351.795,   277.734,   0
336.467,  356.829,   431.291,   368.61,    261.605,   210.644,   311,       394.32,    351.856,   277.695,   0
337.692,  356.366,   426.481,   372.047,   262.151,   210.639,   310,       395.754,   350.873,   279.443,   0
337.351,  356.818,   433.308,   364.213,   260.629,   210.532,   311,       393.985,   351.146,   278.696,   0
337.787,  356.716,   432.726,   365.838,   260.626,   210.592,   310,       393.722,   350.696,   279.762,   0
338.333,  356.557,   431.359,   370.585,   261.558,   210.728,   310,       395.923,   350.53,    280.057,   0
338.781,  356.441,   430.484,   368.662,   261.116,   210.598,   311,       394.804,   351.196,   281.073,   0
338.628,  356.387,   426.938,   374.44,    262.257,   210.655,   311,       396.064,   350.846,   281.413,   0
338.034,  356.626,   427.683,   373.955,   261.776,   210.616,   310,       394.113,   351.939,   277.934,   0
337.277,  356.779,   427.158,   374.437,   261.807,   210.6,     311,       392.711,   352.497,   276.703,   85
336.348,  356.97,    428.254,   375.261,   262.262,   210.743,   310,       393.555,   352.326,   275.15,    50
336.737,  356.625,   423.727,   377.093,   262.62,    210.756,   311,       393.197,   352.537,   274.255,   40
336.909,  356.339,   420.02,    377.541,   262.741,   210.728,   311,       393.066,   351.908,   275.586,   65
337.213,  356.276,   422.143,   374.556,   262.16,    210.699,   311,       393.117,   351.467,   276.356,   -25
336.622,  356.463,   422.841,   374.455,   261.789,   210.645,   310,       393.054,   352.059,   274.671,   50
336.963,  356.439,   424.286,   374.079,   261.313,   210.677,   311,       394.176,   351.633,   275.659,   120
337.328,  356.311,   423.324,   375.298,   261.823,   210.717,   311,       395.478,   351.951,   276.598,   -35
336.273,  356.744,   425.064,   375.404,   261.775,   210.672,   310,       393.529,   353.092,   273.846,   -30
336.223,  356.928,   426.953,   372.111,   261.415,   210.628,   311,       391.312,   353.239,   272.8,     55
335.76,   356.997,   427.334,   371.83,    261.43,    210.574,   311,       389.76,    353.826,   271.463,   60
334.465,  357.524,   432.621,   369.621,   261.017,   210.601,   310,       390.085,   353.736,   271.658,   -20
334.921,  357.207,   428.987,   372.223,   261.623,   210.686,   310,       393.022,   353.114,   271.346,   110
334.378,  357.389,   424.563,   379.096,   263.081,   210.837,   311,       395.552,   352.739,   271.138,   65
334.895,  357.303,   422.596,   381.848,   263.317,   210.874,   311,       394.094,   352.227,   272.949,   -25
336.027,  356.985,   416.449,   387.024,   264.003,   210.914,   311,       394.667,   351.654,   274.061,   55
336.185,  356.954,   414.658,   389.138,   264.343,   210.946,   311,       393.759,   351.445,   275.378,   65
336.444,  356.891,   419.529,   383.715,   263.094,   210.819,   311,       391.217,   351.975,   275.984,   60
335.951,  356.975,   422.233,   378.839,   261.991,   210.716,   311,       390.806,   352.653,   275.489,   -25
335.94,   356.831,   424.631,   375.956,   261.347,   210.64,    312,       387.968,   353.153,   272.907,   80
336.262,  356.671,   426.056,   374.073,   260.561,   210.644,   311,       388.284,   353.04,    273.482,   50
337.307,  356.211,   422.274,   376.124,   260.914,   210.666,   311,       391.294,   352.121,   274.982,   -5
337.501,  356.102,   420.708,   379.164,   262.189,   210.85,    312,       394.792,   351.687,   274.91,    95
337.367,  356.283,   420.148,   379.623,   262.666,   210.927,   311,       398.053,   351.835,   275.196,   70
336.453,  356.656,   422.447,   382.13,    263.681,   210.968,   312,       397.162,   352.734,   273.584,   35
336.688,  356.577,   422.472,   384.702,   264.076,   211.058,   311,       396.858,   352.822,   274.313,   -30
335.858,  357.073,   425.866,   382.065,   263.632,   210.945,   312,       396.01,    353.699,   272.37,    85
334.928,  357.329,   429.826,   380.699,   263.412,   210.9,     312,       394.575,   353.608,   271.038,   105
335.425,  357.282,   429.309,   378.781,   263.017,   210.796,   312,       395.349,   353.018,   271.603,   25
334.53,   357.526,   431.857,   377.935,   262.866,   210.71,    313,       391.705,   353.76,    269.358,   55
335.054,  357.305,   431.141,   373.916,   262.042,   210.629,   312,       389.947,   353.412,   270.785,   45
336.144,  356.873,   426.615,   376.376,   262.203,   210.59,    312,       388.143,   353.384,   271.678,   115
336.604,  356.672,   423.087,   376.032,   261.73,    210.561,   313,       388.256,   353.079,   273.546,   65
337.614,  356.264,   418.692,   377.475,   262.282,   210.587,   312,       388.906,   352.982,   275.072,   30
338.694,  355.83,    415.342,   384.84,    263.745,   210.724,   312,       391.043,   352.206,   275.685,   100
339.059,  355.823,   413.731,   386.049,   263.965,   210.791,   312,       393.743,   352.038,   276.257,   70
339.409,  355.702,   413.966,   387.48,    264.641,   210.919,   312,       392.242,   352.961,   275.716,   35
339.666,  355.765,   413.291,   388.91,    264.978,   210.967,   312,       395.004,   351.886,   277.665,   115
338.733,  356.184,   416.141,   386.062,   264.798,   210.954,   312,       393.284,   352.912,   276.091,   115
338.687,  356.093,   416.485,   384.35,    264.559,   210.929,   313,       390.932,   353.037,   276.996,   50
338.583,  356.006,   415.274,   385.617,   264.548,   210.931,   313,       391.888,   351.976,   278.107,   30
337.714,  356.183,   418.7,     383.433,   264.129,   210.925,   313,       392.586,   352.346,   277.242,   130
338.283,  355.897,   415.922,   388.2,     264.748,   211.017,   313,       392.486,   352.265,   277.406,   85
338.226,  356.012,   415.842,   388.75,    265.132,   211.077,   313,       393.851,   352.155,   277.465,   50
337.46,   356.441,   419.066,   385.769,   264.858,   211.002,   312,       394.132,   352.538,   274.587,   110
337.424,  356.621,   420.69,    384.388,   264.605,   211.013,   313,       390.924,   353.279,   271.422,   75
337.301,  356.582,   419.799,   382.129,   264.228,   211.013,   313,       391.844,   352.71,    272.425,   90
335.74,   357.235,   420.365,   381.183,   264.098,   211.051,   313,       389.271,   353.861,   269.847,   45
335.852,  357.205,   420.55,    383.957,   264.347,   211.058,   312,       386.291,   354.764,   268.242,   120
336.699,  356.86,    415.816,   387.324,   264.31,    210.97,    312,       385.629,   354.976,   270.573,   90
336.256,  357.328,   421.533,   382.923,   263.251,   210.821,   313,       382.456,   355.657,   269.38,    50
337.401,  356.77,    423.271,   383.172,   262.415,   210.692,   313,       383.768,   354.842,   269.313,   115
338.336,  356.422,   423.66,    377.917,   260.711,   210.545,   313,       386.836,   353.782,   273.181,   125
338.213,  356.36,    424.78,    376.573,   260.553,   210.579,   313,       387.008,   352.54,    274.482,   55
337.064,  356.507,   426.816,   375.666,   260.882,   210.688,   313,       388.801,   352.452,   273.353,   170
336.659,  356.612,   428.893,   374.593,   261.021,   210.687,   313,       387.235,   352.824,   273.931,   145
335.348,  356.925,   429.641,   375.833,   262.136,   210.803,   313,       385.006,   353.045,   273.109,   95
334.224,  357.292,   430.335,   374.013,   261.648,   210.739,   314,       384.72,    353.831,   271.056,   80
335.604,  356.69,    422.981,   380.634,   262.472,   210.699,   314,       382.994,   353.314,   274.442,   195
336.168,  356.558,   423.708,   376.354,   261.608,   210.606,   314,       382.388,   353.027,   275.444,   105
336.642,  356.648,   427.575,   371.286,   260.461,   210.625,   315,       383.157,   352.667,   274.848,   95
338.059,  356.271,   430.323,   367.467,   259.934,   210.561,   314,       386.363,   351.787,   278.176,   65
338.41,   356.211,   431.372,   363.872,   259.214,   210.541,   314,       390.272,   351.211,   278.709,   175
338.73,   356.161,   427.752,   367.232,   259.944,   210.627,   315,       393.684,   350.595,   280.105,   135
339.385,  355.806,   421.492,   371.796,   260.941,   210.628,   315,       396.331,   350.299,   282.713,   105
339.575,  355.739,   417.088,   375.843,   261.443,   210.685,   314,       395.469,   350.8,     279.646,   165
340.098,  355.672,   415.047,   377.553,   261.404,   210.61,    315,       396.212,   350.742,   278.852,   150
340.651,  355.459,   416.375,   375.598,   260.898,   210.513,   315,       394.287,   350.406,   280.53,    145
340.832,  355.41,    417.215,   376.142,   260.892,   210.448,   315,       393.995,   350.421,   279.289,   220
341.011,  355.506,   420.377,   371.042,   260.099,   210.51,    315,       396.07,    349.652,   282.024,   220
340.785,  355.768,   425.852,   363.254,   258.841,   210.448,   315,       396.05,    349.497,   282.477,   135
340.446,  355.954,   424.063,   361.491,   258.904,   210.534,   315,       398.588,   349.724,   280.898,   95
340.391,  356.175,   428.184,   355.969,   258.62,    210.594,   314,       399.244,   349.624,   281.128,   215
338.874,  356.699,   434.014,   352.102,   258.409,   210.463,   316,       397.411,   350.335,   278.215,   155
338.601,  356.69,    430.466,   359.08,    259.776,   210.608,   315,       394.177,   351.883,   275.748,   120
337.981,  356.795,   431.38,    362.164,   260.258,   210.666,   314,       393.547,   352.191,   275.941,   195
337.636,  356.74,    427.123,   369.906,   260.849,   210.676,   315,       391.591,   352.915,   274.272,   160
338.888,  356.175,   418.281,   377.593,   261.554,   210.85,    315,       393.045,   352.57,    276.494,   170
337.858,  356.387,   419.683,   376.809,   261.094,   210.789,   315,       391.74,    352.311,   276.601,   125
337.483,  356.471,   422.726,   375.472,   261.214,   210.759,   315,       390.339,   353.042,   273.909,   220
337.461,  356.29,    420.527,   376.267,   261.266,   210.771,   315,       390.16,    353.06,    274.786,   165
336.543,  356.449,   422.419,   379.507,   262.296,   210.807,   316,       389.748,   353.487,   273.613,   115
336.355,  356.601,   424.381,   379.892,   262.468,   210.81,    315,       392.892,   352.941,   274.115,   215
336.908,  356.477,   421.475,   383.952,   263.004,   210.865,   316,       394.4,     352.212,   276.002,   165
335.758,  357.075,   426.325,   379.907,   262.538,   210.783,   316,       395.005,   353.163,   274.318,   185
334.931,  357.593,   430.026,   374.821,   261.858,   210.684,   316,       393.471,   353.116,   273.49,    225
334.371,  357.878,   435.546,   368.954,   261.057,   210.809,   316,       393.553,   353.498,   271.544,   200
334.365,  357.935,   439.128,   363.383,   259.707,   210.658,   316,       394.575,   353.325,   271.836,   195
334.881,  357.772,   439.385,   362.737,   259.303,   210.736,   317,       394.514,   352.634,   273.338,   260
334.874,  357.655,   440.722,   359.296,   258.581,   210.648,   316,       393.52,    353.279,   271.459,   280
336.374,  357.194,   433.605,   366.488,   259.656,   210.577,   317,       394.658,   352.534,   273.305,   195
335.589,  357.66,    437.53,    365.217,   259.291,   210.565,   317,       392.384,   353.492,   270.729,   155
335.691,  357.644,   437.265,   365.571,   259.646,   210.541,   316,       392.08,    353.258,   270.356,   225
337.236,  357.214,   432.057,   373.325,   260.87,    210.621,   316,       391.874,   352.183,   273.912,   255
336.288,  357.359,   433.407,   370.873,   261.044,   210.58,    317,       386.905,   353.204,   273.071,   160
336.745,  356.888,   426.532,   376.824,   262.723,   210.677,   316,       387.265,   352.449,   275.262,   140
337.252,  356.637,   423.428,   381.86,    263.519,   210.697,   316,       386.578,   351.976,   275.963,   220
335.469,  357.269,   428.481,   381.365,   263.898,   210.803,   316,       386.964,   353.018,   273.471,   180
336.423,  357.113,   427.777,   381.15,    263.591,   210.834,   316,       390.401,   352.277,   274.456,   140
336.735,  357.002,   429.526,   378.339,   262.644,   210.762,   317,       389.706,   352.967,   273.413,   235
336.661,  356.912,   428.826,   377.836,   262.519,   210.723,   317,       391.295,   353.109,   273.977,   210
337.545,  356.575,   425.732,   375.617,   261.964,   210.617,   317,       390.771,   353.122,   274.049,   210
336.277,  356.927,   428.583,   373.113,   261.732,   210.538,   316,       388.539,   354.314,   273.062,   245
336.212,  356.916,   426.877,   374.081,   262.316,   210.601,   316,       388.372,   354.149,   273.012,   240
334.719,  357.631,   434.456,   366.687,   261.216,   210.679,   316,       385.669,   355.369,   269.16,    190
334.672,  357.639,   434.131,   367.126,   261.109,   210.736,   316,       388.368,   355.333,   269.39,    145
335.872,  357.169,   428.637,   369.699,   261.02,    210.812,   316,       390.63,    354.407,   269.794,   270
335.109,  357.634,   432.032,   369.073,   260.477,   210.842,   316,       392.095,   353.73,    267.478,   180
335.521,  357.491,   428.542,   372.842,   260.729,   210.722,   316,       394.156,   352.781,   270.023,   155
335.643,  357.47,    429.316,   373.659,   260.675,   210.672,   316,       393.84,    352.416,   270.113,   250
335.61,   357.656,   434.127,   369.082,   259.911,   210.557,   316,       394.298,   351.775,   271.087,   235
335.682,  357.659,   435.998,   363.94,    259.116,   210.421,   316,       392.327,   352.21,    272.532,   160
336.062,  357.541,   437.063,   360.954,   258.886,   210.378,   317,       390.923,   352.843,   271.961,   140
335.407,  357.693,   438.169,   357.425,   258.273,   210.384,   316,       390.507,   352.547,   273.154,   290
335.378,  357.413,   435.604,   362.617,   259.11,    210.502,   316,       391.108,   352.657,   274.378,   185
334.978,  357.664,   437.119,   362.428,   259.11,    210.514,   317,       392.077,   352.363,   275.57,    225
335.537,  357.395,   432.413,   366.067,   259.499,   210.628,   316,       393.384,   351.224,   277.014,   230
335.556,  357.353,   433.162,   365.587,   260.031,   210.52,    316,       392.652,   351.392,   275.709,   185
335.224,  357.487,   432.813,   364.297,   259.805,   210.428,   317,       389.444,   352.282,   274.042,   205
335.974,  357.176,   429.055,   367.993,   260.619,   210.511,   316,       389.068,   352.628,   273.823,   150
335.679,  357.431,   433.29,    361.411,   259.708,   210.351,   316,       387.309,   353.543,   270.582,   235
336.768,  357.013,   428.594,   365.957,   259.661,   210.47,    316,       388.831,   352.779,   272.635,   190
335.917,  357.374,   431.134,   364.48,    259.641,   210.523,   316,       388.744,   352.493,   271.505,   145
336.266,  357.117,   428.288,   367.406,   259.858,   210.573,   316,       389.84,    352.116,   272.103,   235
335.278,  357.215,   429.145,   369.977,   260.237,   210.652,   317,       389.059,   352.269,   272.32,    225
333.637,  357.958,   437.081,   363.695,   259.605,   210.583,   316,       385.663,   353.625,   269.489,   150
334.383,  357.755,   434.787,   367.011,   259.957,   210.639,   316,       387.509,   353.787,   270.13,    255
333.757,  357.846,   435.716,   366.954,   260.328,   210.648,   316,       387.176,   354.026,   268.92,    260
333.896,  357.937,   435.083,   364.808,   260.341,   210.6,     316,       386.906,   354.277,   269.362,   190
335.005,  357.22,    428.512,   370.11,    260.803,   210.65,    317,       389.37,    353.655,   271.201,   155
335.808,  356.857,   427.616,   372.267,   261.282,   210.7,     317,       389.636,   353.636,   269.497,   290
336.458,  356.716,   426.458,   373.026,   261.418,   210.707,   316,       389.987,   353.224,   271.437,   230
336.824,  356.399,   426.798,   375.915,   261.929,   210.817,   317,       390.427,   352.716,   271.733,   195
337.441,  356.424,   426.553,   375.029,   262.447,   210.889,   315,       390.578,   352.225,   271.809,   255
336.96,   356.648,   427.972,   371.995,   261.899,   210.725,   316,       389.57,    352.023,   273.997,   195
336.675,  356.781,   429.76,    370.134,   261.253,   210.633,   316,       389.511,   352.209,   273.434,   200
337.725,  356.693,   427.04,    369.308,   261.157,   210.559,   316,       390.522,   351.779,   276.463,   145
337.765,  356.731,   428.682,   366.777,   260.258,   210.369,   315,       388.229,   352.787,   278.056,   220
337.166,  356.886,   430.354,   366.031,   260.381,   210.413,   315,       390.323,   352.539,   279.564,   230
336.522,  357.187,   433.582,   362.016,   260.256,   210.429,   315,       388.153,   353.3,     278.583,   120
335.993,  357.258,   432.945,   364.403,   260.842,   210.506,   315,       388.958,   353.518,   277.957,   135
335.74,   357.333,   435.126,   367.493,   261.64,    210.669,   315,       391.347,   352.551,   277.015,   195
334.822,  357.682,   437.379,   364.273,   261.105,   210.8,     315,       389.208,   353.267,   273.865,   200
334.936,  357.61,    436.35,    366.309,   261.226,   210.806,   314,       391.644,   352.548,   275.976,   120
335.142,  357.518,   438.407,   368.296,   261.281,   210.848,   314,       392.028,   352.409,   275.693,   175
333.628,  358.115,   442.019,   363.268,   260.516,   210.779,   314,       390.983,   353.46,    272.719,   230
334.886,  357.606,   437.968,   366.553,   261.146,   210.681,   315,       392.379,   353.131,   274.412,   120
335.594,  357.177,   433.485,   371.731,   261.849,   210.758,   313,       392.484,   352.857,   274.189,   160
334.587,  357.557,   434.353,   368.793,   261.216,   210.602,   314,       390.263,   353.635,   271.188,   245
335.081,  357.191,   430.115,   373.011,   261.673,   210.672,   314,       391.303,   352.946,   273.755,   130
335.823,  356.989,   427.421,   375.647,   262.105,   210.719,   314,       391.15,    352.205,   275.519,   95
336.213,  356.962,   426.555,   376.207,   262.499,   210.713,   313,       388.674,   352.112,   275.709,   185
336.445,  357.02,    428.584,   373.838,   262.325,   210.729,   314,       389.589,   351.894,   276.354,   125
336.283,  357.281,   429.937,   370.527,   262.418,   210.785,   313,       388.201,   352.816,   274.869,   110
334.563,  357.894,   435.011,   364.653,   261.749,   210.746,   313,       386.637,   354.331,   271.99,    100
333.613,  358.313,   437.79,    359.574,   261.284,   210.751,   314,       388.632,   355.363,   269.602,   220
333.208,  358.212,   435.962,   360.965,   261.136,   210.802,   314,       387.353,   355.858,   269.565,   115
333.84,   357.917,   432.109,   364.741,   261.667,   210.709,   313,       387.231,   355.579,   269.736,   115
334.808,  357.492,   430.123,   368.183,   262.012,   210.751,   313,       388.459,   354.685,   270.343,   220
335.336,  357.374,   433.742,   369.412,   262.116,   210.751,   314,       389.577,   353.874,   272.306,   110
336.712,  357.112,   433.424,   368.905,   261.899,   210.697,   313,       389.895,   353.234,   275.483,   100
337.122,  356.996,   435.184,   369.5,     261.575,   210.743,   313,       392.561,   352.542,   275.376,   210
337.095,  357.354,   440.621,   364.545,   260.441,   210.598,   313,       394.29,    352.235,   275.166,   120
337.347,  357.066,   435.318,   365.564,   259.845,   210.577,   313,       394.964,   352.001,   274.646,   105
337.08,   357.059,   434.017,   370.23,    260.98,    210.655,   313,       395.688,   352.182,   272.669,   185
337.431,  356.925,   432.279,   372.048,   261.252,   210.594,   312,       394.991,   351.774,   274.14,    175
338.194,  356.435,   423.23,    379.977,   262.796,   210.737,   313,       395.092,   351.351,   276.779,   130
338.315,  356.488,   423.075,   380.322,   263.218,   210.712,   313,       393.967,   351.615,   278.012,   95
338.134,  356.55,    423.083,   380.049,   262.823,   210.768,   313,       396.007,   351.177,   278.776,   175
337.877,  356.639,   423.341,   377.764,   262.334,   210.793,   313,       396.152,   351.092,   277.581,   135
337.118,  356.811,   424.928,   377.448,   262.268,   210.753,   313,       392.875,   352.126,   275.838,   105
336.947,  356.857,   425.193,   378.751,   262.489,   210.806,   312,       391.576,   352.556,   274.599,   75
337.849,  356.472,   422.351,   381.994,   263.155,   210.812,   313,       390.943,   352.396,   274.931,   180
338.559,  356.162,   420.639,   386.027,   263.987,   210.91,    313,       391.342,   352.582,   277.338,   90
339.122,  356.07,    421.597,   387.253,   263.876,   210.98,    313,       393.408,   351.933,   277.552,   95
339.432,  355.957,   421.084,   390.182,   264.074,   211.052,   313,       393.67,    352.201,   275.188,   170
337.873,  356.598,   427.188,   384.494,   262.776,   210.991,   313,       392.917,   352.531,   273.368,   90
337.418,  356.803,   428.124,   382.561,   262.603,   210.955,   312,       391.999,   352.88,    272.801,   160
337.532,  356.622,   427.485,   381.891,   262.779,   210.952,   312,       392.941,   353.016,   272.122,   145
335.832,  357.432,   434.685,   372.135,   262.594,   210.89,    313,       393.979,   352.775,   271.684,   85
