0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-59,118,
334,      351,       439,       391.75,    257.5,     210.25,    333.875,   379.75,    363,       262.125,   0
334,      351,       425,       383.35,    253.3,     210.449,   330.075,   370.75,    362,       259.125,   0
333,      351,       425,       383.35,    253.3,     210.616,   330.074,   373.25,    363,       259.125,   0
333,      351,       415,       377.35,    252.3,     210.902,   328.717,   368.964,   362,       258.053,   0
334,      351,       416.571,   378.292,   252.557,   210.852,   327.981,   369.566,   362,       257.471,   0
333,      351,       410.367,   374.57,    253.451,   210.91,    327.681,   369.397,   362,       255.092,   0
334,      351,       403.276,   370.316,   252.472,   211.095,   327.34,    368.846,   363,       252.374,   0
334,      351,       401.602,   369.311,   253.497,   210.979,   325.786,   370.972,   362,       251.562,   0
334,      351,       389.463,   365.028,   252.631,   211.283,   324.115,   369.031,   363,       250.718,   0
333,      351,       391.477,   366.665,   252.514,   211.336,   324.963,   371.121,   362,       252.236,   0
333,      351,       399.791,   372.143,   254.52,    211.085,   327.337,   375.732,   363,       255.431,   0
334,      351,       414.533,   378.548,   255.666,   210.958,   328.916,   380.697,   363,       258.126,   0
333,      351,       423.114,   377.479,   255.1,     210.625,   332.316,   388.793,   362,       260.256,   0
333,      351,       437.634,   388.024,   255.469,   210.524,   333.367,   389.174,   361,       261.402,   0
334,      351,       433.04,    387.293,   254.605,   210.586,   331.514,   384.666,   362,       260.112,   0
334,      350,       425.684,   382.542,   253.453,   210.676,   330.528,   380.947,   363,       257.181,   0
333,      351,       416.051,   383.265,   253.218,   210.969,   328.915,   375.541,   362,       253.527,   0
333,      350,       397.967,   370.585,   251.896,   211.176,   326.922,   377.879,   362,       251.331,   0
334,      351,       402.957,   374.199,   253.509,   211.117,   327.623,   379.052,   362,       252.22,    0
334,      350,       419.71,    385.007,   256.517,   211.18,    325.851,   376.639,   362,       253.654,   0
333,      351,       420.233,   385.256,   257.989,   211.067,   325.414,   376.795,   362,       255.815,   0
334,      351,       433.414,   393.351,   261.859,   210.766,   326.555,   374.498,   362,       257.527,   15
