0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
379,10,-65,126,
296,      301,       254,       245,       231,       210,       210,       238,       268,       230,       -45
296,      301,       253,       245,       230,       210,       210,       237,       268,       240,       -45
297,      303,       254,       245,       232,       210,       210,       238,       272,       240,       -45
296,      301,       255,       245,       230,       209,       211,       236,       267,       243,       -45
297,      301,       254,       245,       229,       210,       210,       237,       266,       235,       -45
296,      301,       254,       244,       229,       210,       211,       236,       266,       245,       -45
296,      301,       254,       245,       231,       210,       210,       238,       269,       233,       -45
295,      301,       254,       245,       230,       210,       210,       237,       268,       238,       -45
297,      302,       254,       245,       230,       210,       210,       237,       269,       242,       -45
296,      301,       254,       244,       230,       210,       210,       238,       268,       228,       -45
295,      302,       254,       245,       231,       210,       210,       237,       269,       243,       -45
296,      302,       254,       245,       230,       210,       210,       238,       268,       237,       -45
296,      301,       254,       245,       231,       210,       210,       238,       269,       226,       -45
296,      301,       254,       245,       230,       210,       211,       237,       268,       226,       -45
296,      301,       255,       245,       231,       210,       210,       238,       269,       238,       -45
297,      302,       253,       245,       231,       210,       211,       238,       269,       238,       -15
296,      302,       255,       245,       230,       210,       210,       238,       268,       227,       25
297,      302,       254,       245,       231,       210,       210,       238,       269,       253,       10
297,      302,       255,       245,       231,       210,       210,       238,       268,       234,       5
296,      302,       255,       245,       231,       210,       210,       238,       269,       239,       0
296,      302,       255,       245,       231,       210,       210,       238,       269,       245,       -30
297,      302,       256,       245,       231,       210,       210,       239,       269,       230,       -10
296,      303,       255,       245,       232,       210,       210,       238,       270,       230,       -10
296,      302,       255,       245,       231,       210,       210,       238,       269,       242,       35
296,      303,       255,       246,       231,       210,       210,       238,       269,       242,       45
296,      302,       255,       245,       231,       210,       210,       238,       269,       228,       -35
297,      303,       255,       245,       231,       210,       210,       237,       268,       241,       30
297,      303,       255,       245,       231,       210,       210,       238,       269,       240,       35
297,      302,       255,       246,       232,       210,       210,       239,       269,       239,       40
297,      302,       255,       245,       231,       210,       210,       237,       269,       226,       -45
296,      302,       254,       245,       231,       210,       210,       238,       269,       241,       25
297,      303,       254,       245,       231,       210,       210,       239,       269,       237,       20.038
297,      303,       255,       246,       232,       210,       210,       239,       269,       226,       -20
296,      302,       255,       245,       231,       210,       210,       237,       269,       246,       50
296,      302,       256,       246,       231,       210,       210,       239,       268,       252,       95
298,      303,       255,       246,       231,       210,       210,       238,       269,       234,       15
