0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
379,10,-65,126,
315,      331,       425,       355,       248,       210,       290,       352,       339,       253,       0
315,      331,       425,       355,       248,       211,       289,       352,       339,       263,       0
315,      331,       425,       355,       247,       210,       290,       353,       339,       241,       0
315,      331,       425,       355,       247,       211,       289,       352,       338,       256,       0
315,      331,       425,       356,       248,       211,       289,       352,       339,       242,       0
315,      331,       425,       355,       247,       211,       289,       352,       338,       267,       0
316,      331,       425,       356,       248,       210,       290,       353,       339,       249,       0
314,      330,       425,       355,       247,       211,       290,       353,       339,       251,       0
316,      331,       425,       356,       248,       211,       289,       352,       339,       262,       0
316,      331,       425,       355,       248,       211,       290,       353,       339,       241,       0
315,      331,       425,       356,       248,       210,       290,       352,       339,       257,       0
316,      332,       425,       355,       248,       211,       289,       353,       339,       260,       0
317,      332,       425,       356,       248,       210,       290,       352,       340,       255,       0
315,      331,       425,       356,       247,       211,       289,       351,       339,       244,       0
315,      331,       425,       355,       247,       210,       289,       352,       339,       266,       0
316,      332,       425,       356,       247,       210,       291,       353,       340,       246,       0
316,      332,       425,       356,       248,       210,       290,       352,       339,       244,       0
316,      332,       426,       356,       247,       210,       289,       352,       339,       256,       0
316,      332,       425,       356,       247,       210,       289,       353,       339,       263,       0
316,      332,       425,       356,       248,       211,       290,       353,       339,       243,       0
316,      331,       426,       356,       247,       209,       289,       352,       339,       263,       0
316,      332,       426,       356,       248,       211,       290,       352,       340,       251,       5
317,      332,       425,       356,       248,       211,       290,       353,       339,       246,       -20
316,      332,       425,       356,       248,       211,       290,       352,       339,       250,       -10
317,      332,       425,       356,       249,       210,       290,       352,       339,       262,       55.039
317,      332,       425,       356,       248,       210,       290,       354,       340,       244,       -25
315,      332,       426,       356,       248,       210,       290,       352,       339,       264,       55
316,      332,       425,       356,       248,       210,       290,       352,       339,       259,       30
317,      333,       426,       356,       248,       211,       290,       353,       339,       253,       25
316,      332,       425,       356,       248,       211,       291,       354,       340,       245,       -15
316,      332,       426,       356,       247,       210,       290,       353,       339,       265,       65
317,      332,       425,       356,       248,       210,       291,       354,       340,       248,       0
316,      333,       426,       356,       248,       210,       290,       353,       339,       250,       0
316,      332,       426,       356,       248,       211,       290,       353,       339,       253,       15
317,      333,       426,       357,       248,       211,       290,       353,       340,       260,       70
317,      333,       426,       356,       249,       210,       290,       353,       340,       242,       -25
316,      332,       426,       356,       248,       210,       290,       353,       339,       264,       65
316,      332,       426,       356,       248,       211,       291,       353,       339,       263,       70
317,      333,       426,       357,       248,       210,       291,       354,       340,       251,       30
315,      333,       426,       357,       248,       210,       290,       353,       339,       248,       -10
316,      333,       426,       356,       248,       211,       290,       353,       340,       251,       15
316,      333,       426,       357,       249,       210,       291,       354,       339,       262,       80
317,      333,       426,       356,       248,       211,       291,       354,       340,       242,       -15
316,      333,       426,       357,       248,       211,       290,       353,       339,       259,       55
316,      332,       426,       356,       248,       210,       290,       354,       340,       257,       40
316,      333,       426,       356,       249,       211,       291,       354,       340,       244,       -5
316,      333,       426,       356,       248,       211,       291,       354,       340,       248,       10
317,      333,       426,       357,       249,       211,       290,       354,       339,       264,       95
317,      334,       426,       357,       248,       210,       290,       354,       340,       245,       0
316,      333,       427,       356,       248,       210,       290,       353,       339,       254,       25
316,      333,       426,       356,       248,       211,       290,       353,       339,       258,       45
318,      333,       426,       356,       249,       210,       291,       354,       340,       261,       85
316,      333,       426,       357,       249,       211,       290,       354,       339,       247,       5
317,      332,       426,       357,       248,       210,       290,       353,       339,       266,       85
317,      333,       426,       356,       249,       210,       291,       354,       340,       248,       15
317,      333,       426,       356,       248,       210,       291,       354,       340,       247,       5
316,      334,       426,       356,       248,       210,       290,       353,       339,       254,       25
318,      333,       426,       356,       248,       211,       291,       353,       339,       263,       85
317,      334,       426,       357,       248,       211,       291,       354,       340,       242,       -5
316,      333,       426,       357,       248,       211,       291,       354,       340,       242,       -15
317,      333,       426,       357,       248,       211,       290,       353,       339,       263,       80
319,      334,       427,       357,       248,       210,       291,       354,       340,       250,       45
317,      334,       427,       356,       249,       210,       290,       353,       340,       249,       20
317,      333,       426,       356,       248,       210,       290,       353,       339,       252,       15
318,      333,       426,       357,       249,       210,       291,       354,       339,       262,       90
318,      334,       427,       357,       248,       211,       290,       354,       340,       244,       10
318,      334,       426,       357,       248,       211,       290,       353,       340,       261,       85
317,      333,       427,       357,       248,       210,       291,       354,       340,       265,       105
318,      334,       426,       357,       248,       210,       291,       354,       340,       247,       20
318,      334,       427,       357,       248,       211,       291,       354,       340,       251,       50
318,      334,       427,       357,       248,       211,       291,       354,       340,       263,       110
319,      334,       427,       357,       248,       210,       292,       354,       340,       244,       20
318,      334,       427,       357,       248,       211,       291,       353,       339,       261,       90
318,      334,       427,       357,       248,       211,       291,       354,       340,       253,       60
318,      334,       427,       357,       248,       211,       291,       354,       341,       251,       55
318,      334,       428,       357,       248,       211,       290,       353,       340,       247,       25
317,      334,       428,       357,       248,       210,       291,       353,       340,       267,       120
319,      334,       428,       357,       248,       210,       291,       354,       339,       243,       10
318,      334,       427,       357,       248,       211,       291,       354,       339,       241,       -5
318,      334,       427,       357,       248,       211,       290,       354,       340,       260,       90
319,      335,       427,       357,       248,       210,       291,       354,       340,       257,       85
318,      334,       427,       357,       248,       211,       291,       355,       340,       243,       15
318,      334,       427,       357,       248,       211,       291,       354,       340,       263,       110
319,      334,       427,       358,       248,       210,       292,       354,       340,       246,       35
319,      335,       428,       357,       249,       211,       292,       355,       341,       244,       50
318,      335,       428,       357,       248,       211,       291,       354,       341,       259,       105
319,      335,       427,       358,       248,       211,       291,       355,       341,       262,       130
318,      334,       428,       358,       249,       210,       292,       355,       340,       243,       30
319,      335,       427,       358,       248,       210,       291,       354,       341,       244,       30
319,      335,       428,       358,       248,       210,       292,       356,       341,       267,       165
319,      335,       428,       358,       249,       211,       292,       355,       341,       246,       65
319,      335,       428,       358,       249,       211,       292,       356,       341,       253,       105
320,      336,       428,       358,       249,       211,       292,       355,       341,       261,       150
320,      335,       427,       358,       249,       210,       293,       356,       341,       244,       60
319,      335,       428,       358,       249,       211,       292,       355,       341,       262,       145
319,      336,       428,       358,       249,       211,       292,       355,       341,       275,       215
320,      336,       428,       359,       249,       211,       293,       356,       342,       250,       115
319,      334,       428,       359,       249,       211,       293,       355,       341,       248,       80
320,      336,       428,       358,       249,       210,       292,       356,       341,       264,       165
320,      335,       428,       359,       249,       211,       293,       357,       341,       269,       205
319,      336,       428,       359,       249,       211,       293,       356,       341,       244,       75
319,      335,       428,       358,       249,       210,       292,       356,       341,       260,       135.039
320,      336,       429,       359,       250,       210,       292,       357,       341,       261,       170
319,      337,       429,       359,       250,       210,       293,       357,       342,       244,       95
319,      335,       428,       358,       249,       211,       293,       356,       341,       266,       175
320,      335,       429,       359,       249,       210,       293,       356,       342,       265,       185
320,      336,       429,       359,       249,       211,       293,       357,       342,       246,       105
319,      335,       428,       359,       249,       211,       293,       356,       342,       256,       135
320,      335,       428,       359,       249,       210,       293,       357,       342,       261,       165
320,      335,       429,       359,       249,       210,       294,       358,       342,       244,       95
319,      335,       428,       359,       249,       211,       293,       357,       342,       248,       100
320,      335,       430,       359,       249,       210,       293,       357,       342,       251,       125
320,      335,       428,       359,       249,       210,       294,       358,       342,       249,       115
319,      335,       429,       359,       250,       211,       293,       357,       342,       255,       145
320,      335,       430,       359,       249,       211,       293,       357,       342,       269,       220
319,      336,       428,       359,       248,       210,       294,       358,       342,       243,       80
319,      334,       429,       359,       249,       211,       294,       357,       342,       242,       75
320,      336,       429,       359,       249,       211,       293,       357,       342,       265,       200
320,      335,       429,       359,       249,       210,       294,       358,       342,       251,       130
319,      335,       430,       360,       250,       210,       294,       357,       342,       252,       140
318,      335,       429,       359,       249,       211,       293,       357,       342,       253,       125
320,      335,       429,       360,       250,       210,       294,       357,       342,       266,       210
320,      336,       429,       360,       249,       211,       294,       358,       342,       242,       100
320,      335,       429,       359,       249,       211,       293,       357,       342,       264,       190
320,      336,       430,       360,       250,       211,       295,       359,       343,       250,       165
320,      336,       429,       360,       249,       210,       294,       358,       342,       249,       130.039
319,      336,       429,       360,       249,       210,       294,       358,       342,       265,       205
320,      336,       431,       361,       250,       210,       294,       357,       342,       267,       235.039
320,      335,       430,       360,       249,       211,       295,       358,       342,       242,       105
319,      335,       430,       359,       249,       210,       294,       357,       342,       277,       255
320,      336,       430,       360,       249,       210,       294,       358,       342,       258,       180
321,      336,       430,       361,       249,       210,       294,       358,       342,       255,       175.039
320,      336,       429,       360,       249,       210,       294,       358,       341,       249,       125
320,      335,       430,       360,       248,       210,       293,       358,       342,       269,       220
320,      337,       430,       361,       249,       211,       294,       358,       342,       245,       130
320,      336,       430,       361,       249,       211,       294,       358,       342,       244,       120
320,      335,       430,       361,       249,       210,       294,       358,       342,       260,       190
321,      337,       430,       360,       249,       211,       295,       358,       342,       258,       200
320,      335,       430,       361,       249,       210,       294,       358,       342,       247,       125
320,      336,       431,       361,       249,       211,       293,       357,       341,       266,       220
320,      336,       430,       361,       249,       211,       294,       357,       341,       265,       215
320,      336,       430,       361,       249,       210,       294,       358,       342,       250,       145
320,      335,       430,       361,       249,       210,       294,       358,       342,       250,       140
321,      336,       430,       361,       248,       210,       293,       357,       341,       265,       205
321,      336,       430,       361,       249,       210,       294,       358,       342,       263,       215
321,      336,       431,       361,       249,       211,       294,       357,       342,       243,       120
319,      336,       430,       362,       248,       210,       293,       356,       341,       270,       220
321,      336,       430,       362,       249,       210,       294,       358,       342,       251,       160
321,      336,       431,       362,       249,       210,       294,       357,       342,       249,       150
319,      336,       431,       361,       249,       210,       294,       357,       341,       252,       145
321,      336,       431,       362,       248,       210,       293,       357,       341,       269,       235
320,      337,       431,       361,       248,       211,       294,       358,       342,       242,       115
320,      336,       431,       361,       248,       211,       293,       357,       341,       260,       185
320,      336,       430,       362,       249,       211,       294,       358,       342,       254,       175
320,      337,       431,       362,       249,       209,       294,       358,       342,       251,       160
320,      336,       431,       362,       249,       210,       294,       357,       341,       252,       155
320,      336,       431,       362,       249,       210,       294,       357,       341,       264,       215
321,      337,       431,       362,       249,       210,       294,       358,       342,       243,       130
321,      336,       431,       362,       248,       211,       294,       357,       341,       261,       205
321,      337,       431,       363,       249,       211,       294,       357,       342,       268,       260
321,      337,       431,       362,       249,       210,       294,       358,       343,       252,       180
320,      336,       432,       363,       249,       210,       294,       357,       342,       251,       165
321,      337,       432,       363,       249,       211,       293,       357,       341,       268,       255
321,      336,       432,       363,       249,       210,       294,       358,       342,       270,       270
321,      337,       431,       363,       248,       211,       293,       357,       341,       242,       115
320,      337,       431,       363,       249,       210,       294,       357,       341,       261,       210
321,      337,       432,       363,       249,       211,       294,       358,       341,       254,       195
321,      337,       432,       363,       249,       211,       294,       358,       342,       246,       160.039
320,      337,       432,       363,       248,       211,       293,       357,       341,       266,       235
320,      336,       431,       363,       248,       210,       293,       357,       341,       266,       220
321,      337,       432,       363,       249,       211,       294,       358,       342,       245,       155
321,      336,       432,       363,       249,       210,       294,       357,       341,       257,       195
321,      337,       432,       363,       248,       211,       294,       358,       341,       261,       225
321,      337,       432,       364,       249,       210,       294,       358,       342,       259,       225
321,      337,       432,       363,       248,       210,       293,       357,       341,       245,       130
321,      336,       432,       364,       248,       210,       294,       358,       341,       265,       240
321,      337,       433,       364,       248,       210,       295,       358,       341,       249,       175
320,      337,       432,       364,       248,       211,       294,       357,       341,       254,       185
321,      336,       433,       364,       248,       211,       294,       357,       341,       265,       245
322,      337,       433,       364,       249,       211,       294,       358,       341,       245,       165
321,      337,       433,       364,       248,       211,       294,       358,       341,       244,       150
321,      337,       433,       364,       248,       211,       293,       357,       341,       265,       245
320,      337,       433,       365,       249,       210,       294,       358,       342,       254,       205.039
321,      337,       433,       364,       249,       211,       294,       358,       342,       255,       215
321,      337,       433,       364,       248,       210,       294,       357,       341,       253,       185
322,      338,       433,       365,       248,       210,       294,       358,       341,       262,       250
321,      337,       433,       364,       248,       210,       294,       358,       342,       246,       160.039
321,      337,       433,       364,       248,       210,       294,       357,       341,       264,       240
321,      337,       433,       364,       249,       211,       294,       358,       341,       268,       275
321,      337,       434,       365,       249,       211,       294,       358,       342,       249,       195
321,      337,       434,       365,       249,       210,       294,       358,       341,       250,       190
321,      337,       433,       364,       248,       210,       294,       358,       341,       257,       210
322,      337,       433,       365,       249,       211,       294,       358,       341,       265,       270
322,      337,       433,       365,       249,       210,       294,       359,       342,       264,       270
321,      337,       434,       365,       249,       211,       294,       358,       342,       243,       165
320,      337,       433,       365,       248,       210,       295,       358,       342,       264,       255
322,      337,       433,       365,       249,       210,       295,       359,       342,       255,       230
322,      337,       434,       366,       249,       210,       295,       359,       342,       246,       195
320,      337,       434,       365,       248,       210,       295,       358,       342,       267,       275
322,      338,       434,       365,       250,       210,       294,       358,       342,       266,       290
322,      338,       434,       365,       249,       211,       295,       359,       342,       244,       190
321,      337,       434,       365,       249,       210,       294,       358,       342,       272,       305
321,      337,       434,       365,       249,       210,       295,       359,       342,       260,       255
322,      337,       433,       365,       249,       210,       295,       359,       342,       255,       230
321,      337,       434,       365,       249,       210,       295,       358,       342,       247,       185
321,      337,       434,       365,       248,       210,       295,       358,       342,       267,       280
321,      338,       434,       366,       250,       211,       295,       360,       342,       247,       215
321,      337,       434,       365,       249,       210,       294,       358,       341,       243,       155
321,      337,       434,       366,       249,       211,       294,       359,       342,       266,       290
322,      337,       434,       366,       249,       210,       294,       359,       341,       260,       255
322,      338,       434,       366,       249,       211,       295,       359,       342,       243,       190
321,      337,       435,       366,       248,       210,       294,       358,       341,       267,       280
321,      337,       435,       366,       249,       210,       294,       358,       341,       268,       290
322,      337,       434,       366,       249,       210,       295,       359,       341,       247,       195
321,      337,       434,       366,       249,       210,       294,       358,       341,       253,       210
322,      337,       434,       366,       248,       211,       294,       358,       341,       263,       265
321,      337,       435,       366,       249,       211,       294,       359,       341,       269,       305
321,      337,       434,       366,       248,       210,       294,       359,       342,       245,       175
321,      336,       435,       366,       248,       211,       294,       358,       341,       266,       275
322,      337,       435,       367,       249,       211,       295,       359,       342,       249,       225
321,      337,       435,       367,       249,       211,       294,       358,       342,       254,       235.039
321,      337,       435,       367,       248,       210,       294,       359,       341,       255,       230
322,      338,       435,       367,       249,       211,       294,       358,       342,       265,       300
321,      337,       434,       366,       249,       210,       295,       359,       342,       243,       175.039
321,      337,       435,       366,       249,       211,       294,       359,       341,       268,       300
322,      337,       435,       366,       248,       211,       295,       359,       342,       262,       280
321,      338,       435,       367,       249,       211,       294,       359,       342,       253,       240
321,      337,       435,       366,       248,       211,       295,       359,       341,       248,       200
321,      337,       435,       367,       249,       211,       295,       359,       341,       265,       295
321,      337,       435,       367,       249,       210,       295,       360,       342,       245,       200
320,      337,       435,       367,       248,       211,       294,       358,       341,       262,       260
321,      337,       436,       367,       248,       210,       294,       359,       341,       263,       275
322,      336,       435,       367,       249,       211,       295,       359,       342,       252,       235
321,      337,       435,       367,       248,       210,       294,       359,       341,       249,       200
322,      337,       436,       367,       248,       210,       294,       358,       341,       273,       325.039
321,      338,       436,       368,       249,       211,       295,       359,       341,       267,       320
321,      337,       435,       367,       248,       211,       294,       359,       341,       244,       180.039
321,      337,       435,       367,       248,       210,       294,       358,       341,       262,       260
321,      337,       436,       368,       248,       210,       295,       359,       342,       254,       245
321,      337,       435,       368,       249,       210,       295,       359,       341,       260,       270
320,      337,       435,       367,       248,       211,       294,       358,       341,       267,       285
