0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
376,10,-63,119,
320,      387.666,   212,       212.25,    244,       413,       212,       211,       256,       216.875,   0
320,      389,       212,       212.25,    245,       414,       212,       211,       258,       216.875,   0
324.333,  386.777,   212.166,   211.916,   244,       414,       212,       210.833,   256,       217.125,   0
324.333,  386.777,   212.023,   212.059,   245,       414,       212,       210.833,   258,       217.125,   0
313.809,  391.412,   211.455,   212.46,    245,       414,       212,       211.095,   257,       216.303,   0
305.496,  394.614,   210.806,   213.062,   245,       414,       212,       211.251,   257,       215.579,   0
299.091,  396.686,   210.469,   213.368,   245,       414,       212,       211.168,   258,       215.143,   0
299.199,  397.149,   210.247,   213.698,   244,       414,       212,       211.216,   256,       215.289,   0
308.255,  393.207,   210.789,   213.447,   245,       415,       212,       210.948,   257,       216.001,   0
308.649,  393.958,   210.643,   213.502,   244,       413,       212,       210.904,   256,       216.062,   0
311.872,  393.568,   210.668,   213.521,   244,       414,       212,       211.009,   257,       216.193,   0
309.968,  394.009,   210.728,   213.495,   245,       414,       212,       210.98,    257,       216.108,   0
302.784,  398.886,   210.005,   213.931,   244,       414,       212,       211.27,    257,       215.694,   0
309.374,  396.733,   210.343,   213.992,   244,       413,       212,       211.037,   256,       216.285,   0
309.018,  398.137,   210.296,   214.059,   245,       415,       213,       211.041,   257,       216.298,   0
307.025,  399.679,   210.378,   214.14,    245,       414,       212,       211.049,   256,       216.111,   0
303.916,  400.745,   210.859,   213.741,   244,       414,       213,       211.018,   257,       215.742,   0
299.422,  401.318,   210.79,    213.563,   245,       414,       212,       211.444,   257,       215.45,    0
296.195,  402.725,   210.718,   213.635,   245,       416,       212,       211.644,   257,       214.9,     0
292.79,   404.112,   210.909,   213.277,   244,       414,       212,       211.729,   256,       214.513,   0
296.772,  402.688,   210.631,   213.782,   245,       415,       212,       211.831,   256,       214.552,   0
292.679,  403.837,   210.751,   213.813,   245,       414,       212,       211.743,   257,       213.995,   5
292.177,  402.091,   211.041,   213.553,   245,       414,       212,       211.472,   257,       214.722,   5
297.661,  398.945,   210.917,   213.735,   246,       414,       212,       211.435,   259,       215.181,   30
305.216,  394.601,   211.53,    213.014,   246,       414,       212,       211.093,   257,       215.914,   30
307.007,  393.281,   211.498,   212.757,   244,       414,       212,       211,       257,       216.188,   -5
307.269,  393.927,   211.42,    212.786,   245,       414,       212,       210.932,   256,       215.54,    25
308.642,  393.21,    211.778,   212.365,   246,       415,       212,       210.575,   257,       215.806,   25
301.702,  396.821,   211.385,   212.415,   244,       414,       212,       210.786,   256,       215.147,   0
299.087,  399.232,   211.083,   212.795,   244,       415,       212,       210.899,   257,       214.999,   5
301.633,  399.037,   211.178,   212.796,   246,       415,       213,       211.037,   257,       215.35,    25
296.917,  401.775,   210.663,   213.286,   244,       414,       213,       211.531,   257,       214.856,   0
296.234,  402.482,   210.417,   213.839,   245,       414,       212,       211.495,   257,       215.029,   5
295.826,  403.899,   211.037,   213.274,   245,       414,       213,       211.294,   257,       215.248,   15
298.711,  402.689,   211.159,   213.057,   245,       415,       212,       211.046,   258,       215.662,   20
302.681,  400.914,   211.23,    212.738,   245,       414,       213,       210.69,    257,       215.991,   10
309.174,  396.881,   211.632,   212.295,   244,       415,       212,       210.433,   257,       216.557,   20
322.223,  390.164,   211.574,   212.298,   246,       416,       212,       210.31,    257,       217.387,   30
323.725,  388.375,   211.491,   212.476,   244,       415,       212,       210.347,   257,       217.205,   15
326.731,  385.631,   211.671,   212.295,   245,       415,       212,       210.155,   256,       217.592,   5
329.24,   384.976,   211.533,   212.152,   246,       416,       212,       209.973,   258,       217.955,   45
324.671,  385.188,   211.385,   212.417,   245,       416,       212,       210.068,   257,       217.393,   25
324.806,  384.732,   211.512,   212.123,   246,       416,       213,       210.456,   257,       217.634,   30
317.102,  389.366,   210.918,   212.67,    245,       416,       212,       210.785,   257,       216.997,   50
315.368,  389.041,   211.116,   212.744,   246,       417,       212,       210.901,   257,       216.646,   35
315.896,  390.543,   211.078,   212.648,   244,       416,       212,       211.163,   257,       216.754,   20
310.909,  392.326,   210.873,   212.866,   246,       418,       212,       210.692,   258,       216.628,   50
310.024,  392.749,   211.009,   212.894,   246,       418,       212,       210.822,   258,       217.004,   55
303.69,   397.088,   210.423,   213.486,   245,       417,       212,       211.239,   257,       216.626,   25
301.946,  397.071,   210.472,   213.463,   245,       418,       212,       211.107,   257,       216.608,   40
296.951,  401.558,   209.843,   214.12,    247,       417,       212,       211.31,    258,       216.177,   55
296.941,  401.864,   210.105,   213.867,   246,       417,       212,       211.522,   257,       215.416,   40
