0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
379,10,-64,120,
324,      413,       211,       212,       260,       442,       217,       211,       274,       212,       0
321,      411,       211,       212,       257,       441,       216,       211,       273,       211,       0
324,      410,       211,       212,       257,       443,       217,       211,       273,       211,       0
322,      411,       211,       212,       259,       443,       217,       211,       274,       211,       0
323,      411,       211,       212,       257,       442,       216,       212,       273,       211,       0
324,      412,       211,       212,       260,       444,       218,       212,       276,       211,       0
321,      411,       211,       212,       259,       443,       216,       211,       274,       215,       0
324,      412,       211,       212,       259,       442,       216,       212,       273,       211,       0
322,      411,       211,       212,       258,       444,       218,       212,       274,       211,       0
322,      411,       211,       212,       258,       442,       216,       211,       272,       211,       0
325,      412,       211,       212,       259,       444,       217,       212,       275,       213,       0
323,      412,       212,       212,       260,       444,       217,       212,       274,       211,       0
324,      411,       211,       212,       257,       443,       215,       211,       273,       211,       0
323,      412,       211,       212,       260,       445,       216,       211,       274,       211,       0
324,      412,       211,       212,       259,       443,       218,       212,       275,       211,       0
321,      410,       211,       212,       258,       444,       217,       212,       273,       211,       0
324,      413,       212,       212,       258,       445,       217,       212,       274,       211,       0
323,      412,       211,       212,       261,       446,       218,       212,       275,       211,       0
324,      412,       211,       212,       259,       445,       216,       212,       275,       211,       0
323,      412,       211,       212,       260,       446,       218,       211,       273,       214,       0
325,      413,       211,       212,       259,       446,       218,       211,       275,       211,       0
322,      411,       211,       212,       260,       445,       217,       212,       274,       211,       9.375
322,      411,       211,       212,       258,       445,       216,       212,       274,       211,       -5.625
324,      413,       211,       212,       260,       447,       219,       211,       273,       212,       43.593
324,      412,       211,       212,       260,       447,       218,       212,       274,       212,       45.468
323,      410,       211,       212,       258,       446,       216,       212,       273,       211,       -5.782
323,      412,       211,       212,       259,       447,       217,       211,       274,       211,       19.843
326,      414,       211,       212,       260,       447,       219,       211,       275,       212,       68.905
325,      412,       211,       212,       258,       447,       218,       211,       276,       211,       40.468
324,      412,       211,       212,       260,       445,       216,       211,       273,       215,       29.843
326,      412,       211,       212,       260,       448,       218,       211,       276,       211,       60
323,      412,       211,       212,       261,       447,       218,       211,       274,       211,       35.78
324,      412,       211,       212,       258,       446,       217,       212,       273,       211,       14.375
325,      414,       211,       212,       261,       449,       219,       212,       274,       213,       84.375
325,      413,       211,       212,       259,       447,       216,       212,       275,       211,       38.593
324,      413,       211,       212,       260,       447,       217,       211,       274,       211,       33.28
326,      415,       211,       212,       259,       447,       218,       211,       275,       211,       59.687
326,      414,       211,       212,       261,       448,       219,       212,       276,       211,       85.625
324,      413,       211,       212,       259,       446,       216,       212,       273,       211,       19.218
325,      413,       211,       212,       259,       446,       216,       212,       273,       211,       24.843
327,      415,       211,       212,       260,       449,       219,       212,       276,       211,       94.375
327,      415,       211,       212,       260,       448,       218,       212,       274,       212,       79.53
326,      413,       211,       212,       259,       447,       217,       211,       274,       211,       39.687
326,      414,       212,       212,       261,       449,       219,       212,       273,       211,       80.936
