0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-65,126,
286,      327,       211,       213,       246,       491,       208,       215,       249,       238,       0
283,      325,       211,       212,       245,       489,       208,       213,       246,       240,       0
285,      327,       211,       212,       244,       488,       208,       214,       247,       263,       0
285,      326,       211,       211,       247,       491,       208,       215,       248,       231,       0
284,      325,       211,       212,       246,       488,       208,       212,       246,       260,       0
287,      327,       211,       212,       246,       491,       208,       214,       248,       247,       0
285,      325,       211,       212,       244,       488,       208,       213,       247,       227,       0
286,      326,       211,       212,       246,       492,       208,       215,       246,       267,       0
286,      327,       211,       211,       247,       490,       208,       214,       249,       240,       0
283,      323,       211,       212,       241,       488,       208,       213,       241,       257,       0
286,      326,       210,       212,       246,       493,       208,       214,       246,       229,       0
286,      325,       211,       211,       245,       490,       208,       215,       247,       228,       0
285,      325,       211,       212,       246,       492,       208,       213,       246,       262,       0
287,      328,       211,       212,       247,       493,       208,       214,       248,       241,       0
285,      326,       211,       212,       246,       493,       208,       214,       247,       226,       0
288,      327,       211,       213,       245,       491,       208,       213,       247,       266,       0
287,      327,       211,       213,       247,       495,       208,       215,       249,       242,       0
285,      328,       211,       211,       246,       493,       208,       213,       246,       248,       0
285,      326,       211,       211,       245,       492,       208,       213,       245,       250,       0
289,      328,       211,       212,       247,       496,       208,       214,       248,       247,       0
287,      328,       211,       212,       247,       496,       208,       215,       248,       229,       0
287,      327,       211,       212,       245,       494,       208,       212,       246,       263,       90
287,      327,       211,       212,       245,       496,       208,       214,       247,       245,       25
287,      330,       211,       212,       248,       497,       208,       214,       248,       227,       -25
286,      327,       211,       212,       245,       495,       208,       214,       247,       226,       -80
289,      329,       211,       213,       247,       499,       208,       213,       246,       262,       150
290,      330,       211,       212,       247,       499,       208,       215,       249,       239,       65
288,      327,       211,       211,       247,       497,       208,       213,       246,       243,       20
288,      327,       211,       212,       245,       498,       207,       214,       247,       258,       100
289,      329,       211,       213,       248,       501,       208,       216,       248,       233,       45
290,      330,       211,       212,       246,       498,       208,       215,       249,       231,       15
289,      329,       211,       212,       247,       499,       208,       213,       246,       262,       145
292,      331,       211,       212,       248,       502,       208,       214,       249,       244,       120
290,      330,       211,       211,       248,       502,       208,       215,       248,       230,       30
290,      330,       211,       213,       247,       499,       208,       213,       246,       265,       175
292,      330,       211,       213,       247,       502,       208,       215,       249,       241,       105
289,      330,       211,       212,       247,       502,       208,       214,       248,       238,       60
290,      329,       211,       212,       246,       500,       208,       214,       247,       241,       55
292,      332,       211,       213,       248,       504,       208,       215,       247,       257,       200
293,      331,       211,       212,       248,       505,       208,       216,       249,       233,       95
291,      331,       211,       212,       246,       502,       208,       213,       246,       255,       140
293,      331,       211,       213,       246,       503,       208,       214,       248,       254,       170
292,      332,       211,       213,       249,       505,       208,       215,       249,       229,       80
293,      331,       211,       212,       246,       502,       208,       215,       248,       228,       35
293,      332,       210,       213,       247,       505,       208,       216,       246,       263,       230
296,      334,       211,       213,       247,       506,       208,       215,       249,       242,       170
292,      332,       211,       212,       247,       505,       208,       214,       248,       227,       45
292,      332,       211,       212,       246,       504,       208,       213,       247,       265,       215
294,      333,       211,       213,       249,       504,       208,       214,       247,       266,       260
296,      334,       211,       212,       248,       506,       208,       216,       249,       234,       135
294,      334,       211,       212,       248,       507,       208,       214,       247,       249,       185
297,      335,       211,       213,       247,       507,       208,       215,       248,       256,       250
297,      335,       211,       213,       249,       509,       208,       216,       248,       250,       245
296,      334,       211,       212,       247,       506,       208,       213,       246,       228,       70
295,      334,       211,       213,       247,       507,       208,       213,       247,       264,       260
297,      336,       211,       213,       249,       509,       208,       216,       249,       241,       210
296,      336,       211,       213,       249,       510,       208,       215,       248,       227,       130
297,      335,       211,       213,       247,       507,       208,       214,       247,       263,       275
298,      336,       211,       214,       249,       511,       208,       216,       247,       264,       335
299,      336,       211,       212,       250,       510,       208,       214,       247,       237,       185
297,      335,       211,       213,       249,       509,       208,       214,       248,       241,       190
300,      337,       211,       213,       249,       509,       208,       215,       247,       258,       300
299,      336,       212,       213,       250,       512,       208,       217,       249,       236,       225
297,      336,       211,       213,       248,       509,       208,       213,       247,       259,       270
298,      336,       211,       213,       247,       511,       208,       215,       247,       254,       265
300,      338,       211,       213,       248,       511,       208,       214,       249,       252,       285
302,      339,       211,       213,       250,       513,       208,       216,       249,       250,       320
301,      338,       211,       213,       248,       513,       208,       217,       250,       230,       210
299,      337,       211,       214,       248,       511,       208,       213,       247,       259,       300
302,      337,       211,       214,       247,       511,       208,       216,       249,       248,       280
300,      338,       211,       214,       249,       513,       208,       216,       249,       229,       200
301,      338,       211,       213,       248,       510,       208,       213,       248,       230,       165
302,      338,       211,       213,       249,       513,       207,       216,       250,       268,       400
303,      340,       211,       214,       249,       513,       208,       216,       249,       247,       315
301,      339,       211,       213,       247,       510,       208,       215,       248,       229,       170
302,      339,       211,       213,       247,       510,       207,       213,       247,       273,       375
304,      341,       211,       214,       249,       514,       208,       216,       250,       237,       285
304,      340,       211,       213,       249,       512,       208,       214,       250,       240,       270
302,      339,       211,       213,       247,       511,       208,       214,       247,       245,       250
305,      341,       210,       214,       249,       511,       208,       215,       247,       259,       360
305,      341,       212,       213,       248,       511,       208,       216,       249,       233,       245
303,      341,       211,       213,       248,       511,       208,       214,       247,       249,       290
306,      343,       211,       214,       248,       512,       208,       215,       249,       252,       355
306,      342,       211,       214,       249,       514,       208,       216,       248,       251,       360
306,      343,       211,       213,       249,       515,       208,       216,       250,       232,       280
304,      341,       211,       214,       247,       511,       208,       214,       247,       267,       385
306,      341,       211,       213,       248,       513,       208,       215,       248,       250,       330
306,      343,       211,       214,       250,       515,       208,       216,       249,       228,       265
306,      342,       211,       213,       248,       511,       208,       216,       249,       228,       225
