0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-61,118,
363,      345.25,    304,       269,       279,       205.25,    228.666,   278.625,   303.5,     238,       0
354.2,    342.25,    304,       269,       277.799,   205.25,    228.666,   278.625,   304.1,     236,       0
354.199,  343.5,     304,       269,       278.133,   204.916,   229.444,   278.041,   304.1,     234,       0
357.342,  343.5,     304,       269,       277.847,   204.916,   229.444,   278.541,   304.528,   240,       0
350.248,  341.107,   304,       269,       277.683,   205.011,   229.555,   279.029,   305.532,   225,       0
355.97,   344.158,   304,       269,       278.523,   204.835,   230.015,   278.587,   304.88,    240,       0
353.08,   343.18,    304,       270,       278.007,   205.251,   230.43,    280.165,   305.42,    229,       0
355.614,  343.135,   303,       269,       278.03,    205.442,   230.571,   280.397,   304.261,   237,       0
359.523,  343.424,   304,       269,       278.08,    205.504,   230.716,   280.592,   304.08,    220,       0
350.602,  341.177,   303,       269,       277.731,   205.599,   230.817,   281.879,   305.251,   236,       0
356.534,  343.033,   304,       269,       277.977,   205.363,   230.872,   281.124,   304.37,    225,       0
356.665,  341.947,   303,       269,       278.255,   205.066,   230.581,   279.228,   303.957,   231,       0
362.543,  347.094,   304,       269,       277.709,   205.147,   230.229,   278.533,   303.939,   241,       0
373.677,  349.01,    304,       269,       277.991,   205.082,   230.145,   277.555,   303.324,   230,       0
372.983,  347.721,   303,       269,       277.708,   205.328,   229.708,   277.545,   304.031,   221,       0
375.314,  348.546,   303,       269,       277.915,   205.365,   229.916,   279.304,   305.327,   234,       0
377.139,  345.539,   303,       269,       278.23,    205.396,   230.205,   279.415,   305.097,   241,       0
377.634,  345.044,   303,       269,       277.693,   205.584,   229.88,    279.68,    305.351,   232,       0
378.298,  345.732,   304,       269,       277.977,   205.335,   229.571,   279.485,   305.11,    238,       0
381.867,  346.402,   303,       269,       277.7,     205.616,   229.189,   279.011,   304.651,   237,       0
376.257,  345.454,   303,       269,       277.91,    205.362,   229.043,   278.954,   303.73,    224,       0
366.631,  343.369,   303,       269,       277.941,   205.33,    228.924,   279.35,    303.927,   228,       -25
371.25,   344.103,   303,       269,       277.935,   205.187,   229.498,   280.33,    303.758,   242,       50
369.734,  345.918,   303,       269,       277.683,   204.982,   229.876,   281.019,   303.63,    232,       15
365.659,  345.984,   303,       269,       277.651,   205.071,   229.995,   281.814,   305.33,    225,       -25
368.663,  347.429,   303,       269,       278.181,   204.891,   229.814,   281.166,   304.674,   239,       45
362.008,  346.833,   303,       269,       278.216,   204.992,   229.193,   280.285,   305.233,   227,       -10
354.618,  343.749,   303,       269,       278.864,   204.993,   228.762,   278.68,    305.034,   223,       -45
362.47,   346.644,   303,       269,       278.751,   205.125,   228.252,   278.233,   304.134,   239,       40
361.585,  346.532,   304,       269,       278.261,   205.444,   228.363,   278.314,   304.914,   238,       45
361.524,  346.489,   304,       268,       278.268,   205.366,   228.911,   278.032,   304.011,   239,       45
362.511,  346.88,    304,       268,       278.183,   205.276,   229.265,   278.94,    304.722,   225,       -35
356.231,  343.7,     304,       269,       278.101,   205.155,   229.743,   278.54,    304.378,   230,       5
355.466,  342.224,   303,       269,       278.65,    204.971,   229.941,   278.573,   304.301,   221,       -30
354.601,  341.615,   303,       269,       278.419,   205.2,     229.754,   279.65,    305.629,   244,       60
353.471,  340.862,   303,       269,       278.167,   205.332,   229.824,   280.252,   305.758,   240,       50
349.934,  339.386,   303,       269,       278.462,   205.357,   229.836,   280.496,   306.384,   226,       -10
349.143,  340.052,   303,       268,       278.435,   205.127,   230.154,   280.271,   305.395,   222,       -35
