0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-63,119,
351,      333,       291,       257,       278,       205,       240,       298,       317,       225,       0
350,      331,       292,       257,       279,       205,       239,       297,       317,       232,       0
351,      332,       290,       257,       278,       205,       239,       298,       318,       244,       0
349,      332,       291,       257,       278,       204,       240,       298,       318,       225,       0
350,      332,       291,       257,       278,       204,       239,       298,       319,       242,       0
350,      332,       291,       257,       279,       204,       239,       297,       317,       238,       0
349,      332,       291,       257,       279,       205,       239,       297,       317,       236,       0
350,      332,       291,       257,       278,       205,       240,       297,       317,       243,       0
350,      332,       291,       257,       279,       204,       240,       298,       319,       229,       0
350,      331,       291,       257,       278,       205,       240,       297,       318,       230,       0
349,      332,       291,       256,       278,       204,       239,       297,       319,       228,       0
349,      332,       291,       256,       278,       204,       238,       297,       317,       238,       0
349,      332,       291,       257,       277,       204,       240,       297,       317,       252,       0
350,      332,       291,       257,       278,       204,       240,       297,       317,       234,       0
350,      332,       291,       256,       277,       205,       239,       297,       317,       245,       0
349,      330,       290,       256,       277,       204,       239,       297,       317,       238,       0
349,      331,       290,       257,       278,       204,       239,       298,       318,       224,       0
350,      332,       290,       257,       278,       204,       239,       297,       318,       226,       0
349,      332,       291,       256,       278,       204,       239,       297,       317,       245,       0
350,      332,       290,       257,       277,       204,       239,       298,       317,       235,       0
349,      332,       291,       256,       277,       204,       239,       298,       317,       224,       0
349,      332,       290,       257,       278,       204,       239,       297,       317,       236,       -5
349,      331,       291,       257,       278,       205,       239,       297,       317,       245,       45
351,      332,       290,       257,       277,       204,       239,       297,       317,       229,       -35
350,      332,       291,       256,       277,       204,       239,       296,       317,       227,       -55
350,      332,       290,       256,       277,       204,       238,       296,       317,       242,       10
350,      332,       290,       257,       277,       204,       239,       297,       317,       223,       -70
349,      331,       291,       257,       277,       204,       239,       297,       317,       236,       -10
350,      333,       291,       257,       276,       204,       239,       297,       317,       243,       35
350,      332,       291,       257,       277,       204,       239,       297,       317,       229,       -35
