0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-64,119,
357,      346,       343,       295,       287,       205,       254,       312,       320,       246,       0
357,      346,       342,       295,       287,       205,       254,       312,       320,       244,       0
357,      345,       342,       295,       286,       205,       254,       312,       320,       243,       0
357,      345,       341,       295,       287,       205,       254,       312,       320,       249,       0
357,      346,       341,       295,       287,       204,       254,       312,       320,       234,       0
357,      345,       341,       295,       286,       205,       254,       312,       320,       248,       0
358,      346,       341,       295,       287,       204,       254,       312,       320,       240,       0
357,      345,       341,       295,       287,       204,       254,       312,       320,       243,       0
357,      346,       341,       296,       287,       204,       255,       313,       321,       228,       0
356,      345,       341,       295,       286,       204,       254,       313,       321,       244,       0
357,      346,       341,       295,       287,       205,       255,       313,       321,       250,       0
357,      346,       341,       295,       286,       204,       255,       312,       320,       233,       0
357,      345,       342,       295,       286,       205,       253,       312,       319,       257,       0
357,      346,       342,       296,       287,       204,       254,       312,       320,       243,       0
357,      345,       342,       295,       287,       205,       254,       313,       320,       232,       0
357,      346,       342,       295,       286,       205,       254,       312,       320,       233,       0
357,      346,       342,       295,       286,       205,       254,       312,       320,       244,       0
357,      346,       342,       295,       287,       205,       255,       313,       321,       229,       0
357,      346,       342,       295,       286,       205,       254,       312,       320,       230,       0
357,      345,       342,       295,       285,       204,       254,       312,       320,       248,       0
358,      345,       342,       295,       286,       204,       254,       312,       320,       239,       0
358,      346,       343,       295,       286,       205,       254,       312,       320,       231,       -35
357,      345,       343,       295,       286,       204,       254,       312,       320,       239,       -10
357,      346,       342,       295,       286,       205,       254,       312,       320,       248,       40
358,      346,       342,       295,       286,       204,       254,       313,       320,       237,       -10
357,      345,       343,       295,       286,       205,       254,       312,       320,       231,       -45
357,      345,       342,       295,       286,       204,       254,       312,       320,       242,       0
358,      346,       342,       295,       287,       204,       255,       313,       320,       231,       -30
357,      345,       343,       295,       286,       205,       254,       312,       320,       234,       -30
357,      346,       342,       295,       286,       204,       254,       312,       320,       248,       35
357,      346,       342,       295,       287,       204,       255,       312,       320,       242,       15
358,      346,       343,       295,       287,       204,       255,       313,       320,       229,       -35
356,      346,       342,       295,       287,       204,       255,       312,       320,       239,       -5
357,      345,       343,       295,       287,       204,       256,       312,       321,       251,       70
358,      346,       342,       295,       287,       204,       256,       314,       321,       230,       -20
358,      346,       343,       294,       287,       204,       254,       312,       320,       242,       15
358,      346,       343,       295,       287,       204,       254,       312,       321,       247,       50
358,      346,       342,       295,       286,       204,       254,       313,       321,       234,       -20
357,      346,       342,       295,       287,       204,       255,       313,       321,       231,       -30
357,      345,       342,       295,       287,       205,       255,       312,       321,       244,       30
358,      346,       342,       295,       287,       204,       256,       313,       321,       245,       50
358,      346,       342,       295,       287,       204,       255,       313,       321,       232,       -20
358,      346,       342,       295,       287,       205,       255,       313,       321,       233,       -10
358,      346,       342,       295,       287,       205,       255,       314,       321,       237,       15
359,      346,       342,       295,       288,       204,       256,       314,       322,       228,       -15
359,      346,       342,       295,       288,       205,       255,       313,       321,       241,       40
359,      347,       342,       296,       288,       204,       256,       313,       321,       248,       85
359,      347,       342,       295,       288,       204,       256,       314,       321,       235,       20
359,      346,       342,       295,       288,       204,       256,       315,       323,       229,       0
360,      346,       343,       295,       288,       204,       256,       314,       322,       245,       80
359,      347,       343,       296,       288,       204,       256,       315,       322,       250,       115
359,      347,       343,       295,       288,       205,       256,       314,       322,       232,       20
360,      347,       343,       295,       288,       205,       255,       314,       322,       245,       85
360,      347,       343,       295,       289,       204,       256,       315,       323,       244,       95
360,      347,       343,       295,       289,       205,       256,       315,       322,       231,       30
359,      347,       343,       295,       288,       204,       256,       314,       322,       237,       40
360,      347,       343,       295,       289,       204,       255,       314,       321,       247,       90
360,      346,       343,       295,       289,       205,       256,       315,       322,       243,       85
360,      346,       343,       295,       288,       205,       256,       314,       322,       230,       10
360,      347,       343,       295,       289,       204,       256,       314,       322,       249,       110
360,      347,       343,       295,       289,       204,       257,       315,       323,       234,       50
360,      347,       343,       295,       289,       205,       256,       315,       323,       230,       30
360,      346,       343,       295,       288,       204,       256,       314,       322,       246,       85
360,      347,       343,       295,       289,       205,       257,       315,       323,       259,       180
361,      348,       344,       295,       289,       204,       257,       315,       323,       236,       75
360,      347,       343,       295,       289,       205,       256,       315,       323,       232,       40
361,      347,       343,       295,       289,       204,       257,       316,       324,       240,       95
361,      348,       343,       295,       290,       205,       257,       316,       323,       246,       135
361,      348,       343,       295,       289,       204,       257,       315,       322,       242,       95
361,      348,       344,       295,       290,       205,       257,       316,       323,       249,       155
361,      348,       343,       295,       290,       204,       258,       316,       324,       235,       85
361,      348,       344,       295,       289,       204,       257,       316,       324,       230,       55
361,      347,       343,       295,       289,       205,       257,       315,       323,       244,       110
362,      349,       343,       296,       290,       204,       257,       316,       323,       249,       160
362,      349,       342,       296,       290,       205,       257,       316,       324,       233,       85
361,      347,       342,       295,       289,       204,       257,       316,       324,       233,       55
362,      348,       342,       295,       289,       205,       257,       316,       324,       240,       105
362,      348,       342,       295,       288,       204,       257,       316,       324,       229,       40
361,      348,       342,       296,       289,       204,       257,       316,       324,       241,       105
363,      349,       342,       296,       290,       205,       257,       315,       323,       248,       155
362,      349,       342,       295,       289,       204,       257,       316,       324,       236,       85
361,      349,       342,       296,       289,       204,       257,       315,       323,       231,       50
361,      348,       342,       296,       289,       205,       257,       315,       323,       246,       125
362,      349,       342,       296,       289,       205,       258,       316,       324,       229,       65
363,      349,       343,       296,       289,       205,       257,       316,       323,       234,       90
362,      349,       342,       296,       288,       205,       257,       315,       323,       254,       170
362,      349,       342,       296,       288,       204,       257,       316,       324,       242,       115
362,      349,       343,       295,       289,       205,       258,       316,       324,       242,       130
363,      348,       343,       296,       289,       204,       257,       315,       323,       242,       115
363,      349,       344,       296,       289,       205,       258,       315,       323,       248,       165
362,      349,       344,       296,       289,       204,       257,       316,       323,       235,       90
363,      349,       344,       296,       289,       205,       257,       316,       323,       232,       85
363,      348,       344,       296,       289,       205,       257,       315,       323,       246,       145
363,      349,       344,       296,       289,       205,       257,       316,       324,       229,       75
362,      348,       344,       296,       288,       204,       256,       315,       323,       244,       115
363,      349,       344,       296,       288,       204,       257,       315,       323,       257,       195
363,      349,       344,       296,       288,       204,       257,       315,       323,       234,       80
362,      349,       344,       296,       288,       205,       257,       316,       323,       231,       70
363,      349,       344,       296,       287,       204,       256,       315,       323,       247,       135
363,      350,       344,       296,       288,       204,       257,       315,       323,       252,       175
363,      349,       344,       296,       288,       204,       256,       315,       322,       240,       100
363,      349,       344,       296,       287,       205,       256,       315,       322,       255,       175
364,      349,       344,       296,       287,       204,       257,       315,       323,       239,       105
362,      349,       344,       297,       288,       204,       257,       315,       323,       230,       60
362,      348,       344,       296,       288,       205,       256,       315,       323,       243,       115
363,      349,       344,       297,       288,       204,       256,       314,       322,       249,       145
364,      350,       344,       296,       288,       204,       257,       315,       323,       234,       90
363,      350,       344,       296,       287,       204,       256,       315,       323,       231,       60
363,      350,       345,       296,       287,       204,       256,       314,       322,       244,       120
364,      349,       344,       297,       288,       204,       257,       315,       323,       248,       160
363,      349,       345,       297,       287,       204,       257,       314,       322,       239,       100
363,      349,       344,       296,       287,       204,       256,       313,       321,       248,       120
364,      350,       345,       297,       287,       204,       256,       314,       322,       239,       105
364,      350,       344,       296,       286,       205,       256,       314,       322,       231,       55
364,      350,       344,       297,       286,       204,       256,       314,       322,       244,       120
364,      349,       344,       297,       287,       204,       256,       314,       322,       231,       55
365,      349,       345,       297,       287,       205,       256,       314,       322,       236,       95
364,      349,       345,       297,       286,       204,       256,       314,       322,       251,       155
365,      350,       345,       297,       286,       205,       256,       314,       322,       243,       130
364,      349,       345,       297,       286,       205,       256,       314,       322,       229,       50
364,      349,       344,       297,       286,       204,       255,       313,       321,       242,       90
364,      350,       345,       297,       286,       204,       256,       313,       321,       251,       150
364,      349,       345,       298,       286,       205,       256,       314,       322,       236,       90
364,      349,       344,       296,       285,       204,       255,       313,       322,       233,       40
363,      350,       345,       297,       286,       204,       255,       314,       322,       248,       135
363,      349,       344,       297,       286,       205,       256,       314,       322,       230,       45
364,      350,       345,       297,       286,       204,       256,       313,       322,       230,       50
364,      350,       345,       297,       286,       205,       255,       313,       322,       249,       145
364,      350,       345,       297,       286,       204,       256,       314,       322,       234,       75
363,      349,       345,       296,       286,       204,       256,       313,       322,       232,       45
363,      349,       345,       297,       285,       204,       255,       314,       321,       247,       115
364,      350,       345,       297,       286,       205,       255,       313,       321,       247,       130
