0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-64,119,
341,      336,       356,       306,       268,       206,       295,       359,       362,       265,       0
340,      335,       356,       305,       268,       206,       295,       360,       362,       240,       0
340,      336,       356,       305,       269,       206,       295,       359,       361,       248,       0
341,      335,       356,       306,       268,       206,       295,       360,       361,       243,       0
340,      336,       356,       305,       268,       206,       295,       359,       361,       244,       0
341,      336,       357,       306,       268,       206,       295,       359,       361,       257,       0
341,      335,       357,       306,       268,       206,       296,       359,       361,       242,       0
340,      336,       357,       305,       268,       206,       294,       358,       361,       261,       0
340,      336,       357,       306,       268,       206,       295,       359,       362,       242,       0
340,      335,       357,       305,       268,       206,       295,       360,       362,       241,       0
340,      335,       357,       306,       268,       206,       295,       359,       361,       257,       0
341,      336,       356,       305,       268,       206,       295,       359,       361,       245,       0
340,      336,       356,       305,       268,       205,       295,       359,       361,       239,       0
340,      335,       356,       305,       268,       205,       294,       358,       361,       260,       0
341,      335,       356,       305,       268,       206,       295,       358,       361,       256,       0
340,      336,       356,       305,       268,       206,       295,       359,       362,       237,       0
338,      335,       356,       305,       269,       206,       295,       359,       362,       245,       0
340,      335,       356,       305,       268,       206,       295,       359,       361,       257,       0
340,      335,       356,       306,       268,       206,       295,       360,       362,       244,       0
340,      335,       356,       305,       268,       206,       295,       360,       362,       240,       0
340,      335,       356,       305,       268,       206,       294,       358,       361,       258,       0
340,      336,       355,       305,       269,       206,       295,       360,       362,       249,       25
340,      336,       355,       306,       269,       206,       296,       360,       362,       236,       -30
339,      334,       355,       305,       269,       206,       295,       359,       361,       253,       20
339,      335,       355,       305,       268,       206,       295,       359,       362,       260,       60
341,      334,       355,       305,       269,       207,       296,       360,       362,       241,       -10
340,      335,       355,       305,       269,       206,       295,       360,       362,       244,       -5
340,      335,       355,       305,       268,       205,       295,       359,       362,       262,       70
340,      335,       355,       305,       269,       206,       296,       360,       362,       241,       -15
339,      335,       355,       305,       268,       206,       295,       360,       362,       241,       -30
339,      334,       355,       304,       268,       206,       295,       359,       361,       257,       30
339,      335,       355,       304,       268,       206,       295,       359,       362,       249,       0
340,      335,       355,       305,       269,       206,       296,       360,       362,       237,       -35
341,      334,       355,       304,       268,       205,       295,       358,       361,       251,       0
340,      335,       355,       305,       269,       206,       295,       359,       362,       254,       40
340,      335,       354,       305,       269,       206,       296,       360,       363,       258,       70
340,      336,       355,       305,       269,       205,       295,       360,       362,       244,       -5
340,      335,       355,       304,       269,       206,       295,       359,       363,       244,       -10
341,      335,       355,       305,       269,       206,       295,       360,       363,       250,       35
341,      335,       354,       305,       269,       206,       295,       360,       363,       247,       15
340,      335,       355,       305,       269,       206,       295,       359,       362,       260,       70
340,      334,       355,       305,       269,       206,       295,       359,       362,       252,       25
341,      336,       355,       305,       269,       206,       296,       360,       363,       253,       60
341,      336,       356,       305,       269,       206,       296,       360,       362,       238,       -15
340,      335,       355,       305,       269,       206,       296,       359,       362,       247,       10
341,      335,       355,       305,       269,       206,       296,       360,       363,       239,       -15
341,      336,       355,       305,       269,       205,       296,       360,       363,       242,       0
341,      335,       355,       305,       268,       206,       295,       360,       362,       261,       80
341,      336,       356,       305,       269,       206,       296,       360,       362,       254,       65
341,      336,       355,       305,       269,       206,       296,       360,       363,       238,       -15
341,      335,       356,       305,       269,       206,       295,       360,       362,       236,       -35
341,      336,       356,       305,       268,       206,       295,       360,       362,       255,       60
342,      336,       356,       306,       269,       206,       295,       359,       362,       259,       90
342,      336,       357,       306,       269,       206,       295,       359,       362,       240,       0
342,      335,       356,       305,       268,       206,       296,       360,       362,       243,       5
341,      335,       357,       306,       269,       206,       296,       360,       362,       258,       90
343,      336,       357,       305,       269,       206,       296,       360,       363,       245,       40
342,      336,       357,       305,       268,       206,       295,       359,       363,       238,       -15
341,      336,       357,       306,       269,       206,       296,       359,       362,       252,       60
342,      337,       357,       306,       270,       205,       297,       360,       362,       255,       95
342,      336,       357,       305,       270,       205,       297,       360,       363,       239,       10
342,      336,       357,       306,       269,       206,       295,       360,       362,       248,       45
343,      336,       357,       306,       270,       206,       296,       361,       363,       240,       30
343,      336,       357,       306,       269,       206,       296,       361,       363,       252,       85
342,      336,       358,       306,       269,       206,       296,       360,       363,       240,       20
343,      336,       358,       306,       269,       206,       296,       361,       363,       255,       105
344,      336,       358,       306,       270,       206,       297,       362,       363,       248,       90
342,      337,       358,       307,       270,       206,       297,       361,       363,       237,       30
343,      336,       358,       306,       270,       206,       297,       361,       363,       251,       95
343,      338,       358,       307,       269,       206,       297,       361,       363,       256,       130
344,      337,       358,       307,       270,       206,       297,       362,       364,       240,       65
343,      337,       359,       306,       270,       206,       297,       361,       363,       257,       135
343,      337,       358,       307,       270,       206,       297,       362,       363,       258,       145
344,      337,       358,       307,       270,       206,       297,       362,       364,       249,       110
343,      337,       359,       306,       270,       206,       298,       362,       363,       239,       55
344,      337,       359,       307,       270,       206,       297,       361,       363,       255,       135
344,      337,       358,       307,       270,       206,       297,       362,       364,       254,       135
344,      337,       358,       307,       270,       206,       298,       363,       365,       241,       85
343,      337,       358,       307,       270,       206,       298,       363,       364,       245,       95
344,      337,       358,       307,       270,       205,       298,       363,       364,       257,       155
344,      338,       358,       307,       270,       206,       298,       363,       364,       243,       95
344,      338,       359,       307,       270,       206,       298,       363,       364,       240,       85
344,      337,       358,       307,       270,       206,       298,       363,       364,       258,       165
345,      338,       358,       307,       271,       206,       299,       363,       365,       251,       155
344,      337,       359,       306,       271,       206,       298,       364,       365,       240,       90
344,      337,       359,       307,       270,       206,       299,       363,       365,       250,       140
344,      338,       359,       308,       270,       205,       299,       363,       364,       258,       180
344,      338,       359,       308,       271,       206,       298,       364,       366,       242,       120
344,      338,       359,       307,       271,       206,       299,       363,       365,       243,       115
344,      337,       359,       308,       271,       205,       299,       364,       365,       260,       200
345,      337,       359,       308,       271,       206,       299,       364,       365,       251,       165
345,      338,       359,       307,       271,       206,       299,       364,       365,       238,       100
345,      337,       359,       308,       272,       206,       299,       364,       364,       264,       230
345,      338,       359,       308,       272,       206,       299,       364,       365,       260,       220
345,      338,       359,       308,       272,       206,       300,       365,       366,       241,       140
345,      337,       359,       308,       271,       206,       300,       364,       365,       245,       140
345,      338,       360,       307,       271,       206,       299,       364,       366,       257,       205
344,      338,       360,       308,       271,       206,       300,       364,       366,       271,       280
345,      338,       360,       308,       271,       206,       300,       365,       366,       238,       125
345,      338,       360,       308,       271,       206,       299,       364,       366,       237,       110
345,      338,       359,       309,       271,       206,       300,       365,       365,       253,       195
345,      338,       360,       309,       271,       206,       300,       365,       365,       256,       215
345,      338,       360,       309,       271,       206,       300,       365,       365,       238,       125
345,      338,       360,       308,       272,       206,       300,       365,       366,       246,       170
345,      338,       360,       309,       272,       206,       301,       366,       367,       263,       275
345,      339,       360,       309,       272,       206,       300,       366,       366,       247,       190
345,      338,       360,       309,       271,       206,       300,       365,       366,       240,       140
345,      338,       360,       309,       271,       206,       300,       365,       366,       254,       210
346,      339,       360,       309,       272,       206,       300,       366,       366,       255,       235
345,      339,       360,       309,       272,       206,       301,       367,       366,       239,       160
344,      338,       361,       309,       272,       206,       300,       365,       366,       269,       290
345,      339,       360,       309,       272,       205,       300,       366,       366,       260,       250
347,      339,       360,       309,       272,       206,       300,       366,       366,       241,       170
345,      338,       361,       309,       272,       206,       300,       366,       366,       246,       185
345,      337,       361,       309,       271,       206,       300,       365,       366,       259,       235
346,      338,       361,       310,       272,       206,       301,       366,       366,       246,       200
345,      339,       361,       309,       272,       206,       301,       366,       366,       238,       155
345,      339,       361,       309,       271,       206,       300,       366,       366,       260,       255
346,      339,       361,       310,       272,       206,       301,       365,       366,       257,       255
346,      339,       361,       310,       271,       206,       300,       366,       366,       238,       155
346,      338,       361,       310,       272,       206,       300,       365,       366,       246,       190
346,      339,       361,       310,       272,       206,       301,       365,       366,       259,       265
346,      339,       361,       310,       272,       206,       301,       366,       366,       244,       195
345,      339,       361,       309,       271,       206,       301,       366,       366,       244,       180
346,      339,       361,       310,       271,       206,       300,       365,       366,       256,       240
347,      339,       361,       310,       272,       206,       300,       366,       366,       252,       235
346,      338,       361,       310,       272,       206,       301,       366,       366,       237,       155
346,      339,       361,       310,       271,       206,       300,       365,       366,       252,       220
346,      339,       361,       310,       272,       206,       300,       365,       366,       257,       250
347,      339,       362,       311,       272,       206,       301,       367,       366,       241,       200
346,      339,       361,       310,       271,       206,       301,       366,       367,       246,       205
346,      339,       361,       310,       271,       206,       301,       366,       366,       259,       265
347,      339,       362,       311,       272,       206,       301,       367,       366,       244,       215
346,      339,       362,       310,       272,       206,       301,       366,       366,       240,       180
346,      339,       362,       310,       271,       206,       301,       366,       366,       273,       340
347,      340,       361,       310,       272,       206,       301,       366,       366,       257,       270
347,      339,       362,       310,       271,       206,       301,       366,       366,       238,       170
346,      339,       362,       310,       272,       206,       301,       366,       366,       250,       230
347,      339,       362,       311,       271,       206,       301,       366,       366,       256,       265
348,      340,       362,       311,       272,       206,       302,       367,       366,       242,       220
346,      339,       362,       311,       272,       206,       302,       366,       366,       244,       210
347,      340,       362,       311,       272,       206,       301,       366,       366,       263,       310
348,      340,       362,       311,       272,       206,       302,       368,       367,       246,       250
347,      340,       362,       311,       272,       206,       301,       367,       367,       238,       195
348,      340,       362,       311,       272,       206,       301,       367,       366,       255,       280
347,      339,       363,       311,       272,       206,       301,       367,       367,       252,       265
347,      339,       362,       311,       272,       206,       302,       368,       367,       238,       200
347,      339,       362,       311,       272,       206,       301,       367,       366,       253,       260
347,      339,       363,       311,       272,       206,       302,       367,       367,       259,       305
348,      340,       362,       311,       272,       206,       302,       368,       367,       247,       255
348,      340,       363,       312,       273,       206,       302,       367,       367,       242,       240
348,      339,       363,       311,       272,       206,       302,       367,       367,       262,       325
347,      339,       363,       312,       272,       206,       302,       368,       367,       257,       305
347,      340,       363,       312,       272,       206,       302,       368,       367,       240,       225
347,      339,       363,       312,       272,       206,       301,       366,       367,       240,       205
347,      339,       363,       311,       272,       206,       302,       367,       367,       254,       280
348,      341,       363,       312,       272,       206,       302,       367,       367,       255,       305
348,      340,       363,       312,       272,       206,       301,       367,       367,       251,       275
348,      340,       363,       312,       272,       206,       301,       366,       367,       247,       250
348,      340,       363,       313,       272,       206,       302,       368,       367,       258,       325
348,      340,       363,       312,       272,       206,       302,       368,       367,       246,       260
348,      340,       363,       312,       272,       206,       301,       366,       367,       242,       225
348,      340,       363,       312,       272,       206,       302,       368,       367,       246,       260
347,      341,       363,       312,       272,       206,       302,       368,       367,       248,       270
348,      340,       363,       312,       272,       206,       302,       367,       366,       243,       235
348,      339,       363,       312,       272,       206,       302,       367,       367,       266,       350
348,      341,       364,       313,       272,       205,       302,       367,       367,       254,       305
348,      340,       364,       312,       272,       205,       302,       367,       366,       239,       215
347,      340,       364,       313,       271,       206,       302,       367,       366,       252,       280
348,      341,       364,       314,       272,       206,       302,       367,       367,       258,       335
348,      340,       364,       313,       272,       206,       302,       368,       367,       243,       255
349,      340,       364,       312,       272,       206,       302,       367,       366,       242,       240
348,      340,       364,       313,       272,       206,       302,       367,       367,       271,       390
349,      341,       364,       313,       272,       206,       302,       367,       367,       249,       290
348,      340,       364,       313,       272,       206,       302,       368,       367,       239,       235
348,      340,       364,       313,       272,       206,       302,       367,       366,       255,       305
349,      341,       364,       314,       272,       206,       302,       367,       367,       255,       325
349,      341,       364,       313,       272,       206,       302,       368,       367,       238,       240
348,      340,       364,       313,       272,       206,       302,       367,       367,       249,       280
349,      341,       364,       314,       272,       206,       302,       367,       367,       258,       340
349,      341,       364,       314,       272,       206,       303,       368,       367,       242,       270
348,      340,       365,       314,       272,       206,       302,       367,       367,       243,       260
349,      341,       365,       314,       271,       206,       301,       367,       367,       259,       340
350,      341,       365,       314,       273,       206,       302,       368,       367,       248,       310
350,      341,       364,       314,       272,       206,       303,       368,       367,       239,       260
349,      341,       365,       313,       272,       206,       302,       367,       367,       255,       325
350,      342,       365,       314,       272,       206,       302,       367,       367,       256,       345
349,      341,       365,       314,       272,       206,       302,       368,       367,       240,       260
