0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
362,10,-65,126,
323,      344,       228,       240,       267,       209,       213,       248,       279,       222,       0
323,      344,       228,       240,       266,       209,       212,       246,       278,       237,       0
323,      344,       227,       240,       267,       208,       212,       247,       278,       233,       0
322,      344,       228,       240,       266,       208,       212,       246,       278,       238,       0
323,      345,       228,       240,       267,       209,       212,       247,       279,       233,       0
322,      343,       228,       239,       267,       208,       212,       246,       279,       223,       0
322,      344,       228,       239,       266,       208,       212,       247,       279,       232,       0
322,      343,       228,       240,       267,       208,       213,       247,       279,       223,       0
322,      344,       228,       240,       266,       208,       212,       246,       278,       240,       0
323,      344,       228,       240,       267,       208,       212,       248,       280,       230,       0
323,      344,       228,       240,       266,       208,       212,       246,       279,       224,       0
322,      343,       228,       240,       267,       209,       212,       246,       279,       241,       0
323,      344,       228,       240,       267,       208,       212,       247,       279,       230,       0
322,      344,       228,       240,       267,       208,       212,       247,       279,       222,       0
322,      343,       228,       241,       266,       209,       212,       246,       278,       240,       0
323,      344,       228,       240,       266,       208,       212,       246,       279,       234,       0
323,      343,       227,       240,       266,       208,       213,       247,       279,       221,       0
322,      344,       227,       240,       266,       208,       213,       247,       278,       239,       0
323,      344,       228,       240,       267,       208,       212,       247,       279,       235,       0
322,      343,       227,       240,       267,       209,       212,       247,       279,       222,       0
322,      343,       228,       240,       266,       208,       212,       246,       278,       237,       0
323,      344,       228,       240,       266,       208,       213,       247,       278,       237,       30
323,      344,       228,       240,       266,       208,       213,       248,       279,       224,       -25
322,      343,       228,       239,       266,       208,       212,       246,       279,       234,       -5
322,      344,       228,       240,       267,       208,       212,       246,       278,       241,       40
322,      344,       228,       240,       267,       209,       212,       247,       279,       225,       -25
322,      343,       227,       240,       266,       208,       212,       247,       279,       227,       -35
323,      344,       228,       240,       267,       208,       212,       246,       278,       240,       40
323,      343,       228,       240,       266,       209,       213,       247,       279,       227,       -15
322,      344,       228,       240,       266,       208,       212,       246,       278,       236,       10
323,      343,       228,       239,       266,       208,       212,       246,       278,       240,       25
323,      344,       228,       240,       266,       208,       212,       247,       279,       228,       -15
323,      345,       228,       240,       266,       207,       212,       247,       279,       223,       -40
322,      343,       229,       240,       266,       209,       212,       246,       279,       240,       40
322,      343,       228,       239,       266,       208,       211,       247,       279,       232,       -15
323,      344,       228,       240,       267,       208,       212,       246,       278,       222,       -50
322,      343,       228,       240,       266,       208,       212,       246,       278,       242,       35
323,      344,       227,       239,       266,       209,       212,       246,       279,       232,       -5
323,      343,       228,       240,       266,       208,       212,       247,       279,       223,       -45
