0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
380,10,-63,120,
333,      328,       322,       275,       273,       207,       268,       326,       339,       242,       0
334,      329,       322,       274,       274,       207,       269,       328,       339,       226,       0
333,      329,       322,       274,       273,       207,       268,       326,       339,       240,       0
334,      329,       321,       275,       274,       207,       269,       327,       338,       228,       0
333,      329,       322,       274,       273,       207,       268,       327,       339,       235,       0
334,      329,       322,       274,       274,       208,       269,       326,       339,       246,       0
334,      330,       321,       275,       274,       207,       268,       326,       340,       231,       0
334,      329,       321,       274,       275,       207,       269,       327,       341,       248,       0
334,      329,       321,       274,       274,       207,       269,       327,       340,       231,       0
334,      329,       322,       274,       273,       207,       267,       327,       339,       245,       0
334,      329,       321,       274,       274,       207,       269,       327,       340,       230,       0
334,      328,       321,       274,       273,       207,       269,       327,       340,       230,       0
334,      329,       321,       274,       274,       207,       269,       328,       342,       246,       0
335,      329,       321,       273,       274,       207,       269,       327,       342,       237,       0
333,      329,       321,       273,       274,       208,       268,       326,       341,       226,       0
334,      328,       321,       273,       274,       207,       269,       327,       340,       239,       0
335,      329,       321,       273,       274,       206,       269,       327,       341,       227,       0
334,      329,       321,       274,       274,       207,       268,       327,       341,       229,       0
333,      329,       321,       273,       273,       206,       268,       326,       341,       246,       0
333,      328,       321,       273,       274,       207,       269,       328,       342,       248,       0
333,      328,       321,       273,       274,       207,       269,       327,       341,       228,       0
334,      328,       320,       273,       274,       207,       268,       326,       341,       244,       60
334,      329,       320,       273,       273,       207,       268,       327,       341,       240,       45
334,      329,       321,       273,       275,       207,       269,       327,       341,       228,       5
333,      328,       320,       273,       275,       207,       269,       327,       342,       237,       40
334,      328,       320,       273,       274,       207,       269,       327,       342,       246,       85
333,      328,       321,       273,       274,       207,       269,       328,       342,       230,       10
333,      327,       320,       273,       274,       207,       269,       327,       341,       231,       -5
333,      328,       320,       273,       274,       207,       269,       326,       342,       245,       70
334,      328,       320,       273,       275,       207,       270,       328,       342,       239,       65
333,      328,       320,       272,       274,       207,       269,       328,       341,       225,       -30
333,      328,       320,       273,       274,       207,       269,       327,       342,       242,       60
334,      328,       321,       273,       275,       207,       269,       327,       341,       247,       95
334,      328,       320,       273,       274,       207,       269,       327,       341,       238,       40
333,      327,       320,       273,       274,       207,       269,       327,       342,       236,       25
