0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-58,117,
341,      332,       350,       298,       268,       207,       256,       310,       324,       248,       0
342,      332,       351,       298,       268,       207,       257,       310,       323,       250,       0
341,      333,       351,       298,       268,       207,       257,       310,       324,       232,       0
342,      332,       350,       298,       268,       207,       257,       309,       323,       253,       0
342,      332,       351,       298,       269,       207,       258,       311,       324,       236,       0
341,      332,       351,       298,       268,       207,       257,       310,       324,       242,       0
342,      333,       350,       298,       269,       206,       257,       311,       324,       234,       0
341,      332,       350,       298,       268,       207,       257,       310,       324,       244,       0
341,      332,       350,       297,       268,       207,       257,       311,       324,       233,       0
341,      332,       350,       298,       268,       207,       257,       310,       324,       260,       0
341,      332,       350,       298,       268,       207,       257,       310,       323,       253,       0
340,      332,       350,       298,       267,       207,       256,       310,       320,       237,       0
341,      333,       350,       298,       267,       207,       256,       310,       322,       236,       0
342,      333,       350,       298,       270,       207,       259,       311,       327,       241,       0
342,      334,       350,       298,       270,       207,       258,       311,       325,       244,       0
342,      333,       350,       298,       269,       207,       257,       310,       325,       250,       0
341,      332,       350,       298,       268,       207,       257,       310,       324,       249,       0
342,      333,       350,       298,       269,       207,       257,       311,       325,       233,       0
343,      333,       350,       298,       269,       207,       257,       310,       324,       245,       0
342,      333,       351,       298,       268,       207,       257,       310,       324,       256,       0
342,      333,       350,       298,       269,       207,       258,       311,       324,       239,       0
342,      333,       350,       298,       269,       206,       257,       311,       325,       237,       0
342,      333,       350,       298,       269,       206,       257,       310,       324,       252,       35
344,      333,       350,       299,       269,       207,       257,       311,       325,       247,       40
343,      333,       350,       298,       269,       207,       257,       310,       324,       235,       -40
342,      333,       350,       298,       268,       207,       258,       311,       324,       246,       15
343,      333,       350,       298,       269,       207,       258,       312,       325,       256,       85
343,      333,       351,       298,       270,       207,       258,       312,       325,       240,       15
344,      333,       351,       297,       269,       207,       257,       311,       325,       255,       75
344,      333,       350,       298,       270,       207,       258,       312,       325,       255,       90
343,      334,       350,       298,       270,       207,       258,       312,       325,       235,       -10
344,      334,       351,       298,       270,       207,       258,       311,       325,       233,       -15
344,      334,       351,       298,       270,       207,       258,       312,       325,       251,       80
345,      334,       351,       298,       270,       207,       258,       313,       325,       234,       5
344,      333,       351,       299,       270,       207,       258,       312,       325,       243,       40
345,      334,       350,       298,       270,       207,       259,       312,       325,       256,       110
345,      334,       351,       298,       271,       207,       259,       313,       326,       239,       45
345,      334,       351,       299,       271,       207,       259,       313,       326,       235,       30
346,      334,       351,       299,       270,       207,       258,       313,       325,       253,       110
346,      335,       351,       298,       270,       207,       259,       313,       326,       249,       100
346,      334,       351,       298,       270,       207,       260,       313,       326,       235,       30
346,      335,       351,       299,       270,       207,       259,       312,       326,       251,       110
346,      335,       351,       299,       271,       207,       259,       313,       326,       252,       125
347,      335,       351,       299,       271,       207,       260,       312,       327,       234,       45
347,      334,       350,       298,       271,       207,       259,       313,       326,       242,       65
347,      335,       351,       299,       271,       207,       260,       314,       326,       253,       145
348,      335,       351,       299,       271,       207,       260,       314,       327,       241,       95
347,      335,       351,       298,       270,       207,       259,       313,       325,       253,       120
348,      335,       351,       299,       270,       207,       259,       313,       326,       252,       130
349,      336,       352,       299,       272,       207,       261,       314,       326,       235,       85
348,      336,       351,       299,       271,       207,       259,       313,       326,       236,       60
348,      335,       351,       298,       270,       206,       259,       313,       323,       253,       110
349,      335,       351,       299,       271,       207,       260,       314,       325,       254,       155
348,      336,       351,       299,       270,       207,       259,       313,       324,       243,       80
350,      336,       351,       299,       271,       207,       260,       313,       325,       239,       85
350,      336,       352,       299,       272,       207,       261,       315,       327,       240,       125
351,      337,       352,       299,       272,       207,       261,       314,       327,       235,       105
350,      337,       351,       299,       272,       207,       260,       314,       326,       252,       170
351,      337,       351,       300,       272,       207,       261,       315,       327,       248,       175
351,      337,       351,       299,       272,       207,       262,       315,       327,       234,       105
351,      337,       351,       299,       271,       207,       261,       314,       325,       248,       150
352,      337,       352,       299,       271,       207,       261,       314,       327,       255,       205
352,      337,       352,       300,       273,       207,       261,       315,       328,       237,       140
352,      338,       352,       299,       272,       207,       262,       315,       328,       240,       155
353,      338,       352,       300,       272,       207,       261,       315,       327,       254,       225
353,      338,       352,       300,       272,       207,       261,       316,       328,       243,       180
353,      338,       352,       300,       272,       207,       261,       315,       328,       236,       140
353,      338,       352,       300,       272,       207,       261,       316,       327,       252,       220
354,      339,       352,       300,       273,       207,       262,       316,       328,       248,       225
353,      339,       352,       300,       273,       207,       262,       316,       328,       234,       150
354,      338,       353,       300,       273,       207,       262,       316,       328,       250,       235
354,      339,       353,       300,       273,       207,       262,       315,       328,       258,       275
354,      340,       352,       300,       273,       208,       262,       316,       328,       242,       205
354,      339,       353,       301,       272,       207,       262,       316,       328,       264,       310
355,      339,       353,       301,       273,       207,       262,       317,       329,       243,       225
355,      339,       353,       300,       272,       207,       262,       317,       327,       239,       185
355,      339,       353,       300,       272,       207,       262,       316,       328,       252,       250
356,      340,       353,       301,       273,       207,       262,       316,       329,       251,       270
355,      340,       353,       301,       274,       207,       263,       318,       329,       236,       210
356,      340,       353,       301,       273,       207,       263,       317,       328,       245,       245
356,      341,       353,       301,       273,       207,       263,       316,       328,       256,       300
357,      341,       353,       301,       273,       207,       262,       318,       329,       244,       255
356,      341,       353,       301,       273,       207,       263,       317,       329,       242,       240
356,      340,       353,       301,       273,       207,       263,       318,       329,       254,       300
357,      341,       353,       301,       274,       207,       264,       317,       329,       250,       295
357,      341,       353,       301,       274,       207,       263,       316,       329,       235,       210
357,      341,       353,       301,       273,       207,       263,       317,       329,       248,       275
357,      341,       353,       302,       274,       207,       264,       318,       329,       262,       365
357,      342,       354,       302,       274,       208,       264,       318,       329,       244,       290
357,      341,       354,       302,       274,       207,       264,       318,       329,       242,       270
358,      342,       353,       302,       274,       206,       264,       319,       330,       241,       275
359,      342,       354,       302,       275,       207,       264,       318,       329,       242,       290
358,      342,       354,       302,       274,       207,       264,       318,       330,       255,       350
358,      341,       354,       302,       274,       207,       264,       319,       330,       255,       350
359,      341,       354,       302,       275,       208,       264,       319,       330,       235,       265
358,      342,       355,       302,       274,       207,       265,       318,       329,       250,       330
359,      342,       354,       303,       274,       207,       264,       319,       330,       252,       350
359,      342,       355,       303,       275,       207,       265,       320,       330,       238,       300
359,      342,       355,       302,       274,       207,       265,       319,       330,       256,       375
359,      342,       354,       303,       274,       207,       265,       319,       330,       257,       380
360,      343,       355,       303,       274,       207,       265,       320,       330,       249,       360
360,      343,       355,       303,       274,       207,       265,       320,       330,       236,       295
359,      342,       355,       303,       274,       207,       264,       319,       330,       255,       370
360,      343,       355,       303,       274,       207,       265,       319,       330,       252,       370
360,      343,       355,       303,       274,       207,       264,       320,       330,       235,       285
359,      342,       356,       303,       274,       207,       265,       319,       330,       247,       340
361,      343,       355,       304,       275,       207,       265,       319,       330,       256,       405
361,      343,       356,       303,       275,       207,       265,       319,       330,       247,       360
360,      343,       355,       304,       274,       207,       265,       319,       330,       244,       335
361,      343,       355,       304,       276,       207,       265,       320,       331,       243,       355
360,      344,       355,       303,       275,       207,       265,       319,       331,       245,       350
361,      344,       355,       304,       274,       207,       265,       319,       330,       256,       405
360,      343,       355,       304,       275,       207,       265,       320,       331,       255,       405
361,      344,       356,       304,       275,       207,       266,       320,       331,       237,       335
361,      344,       356,       304,       274,       207,       265,       319,       330,       236,       310
362,      344,       356,       304,       274,       207,       265,       320,       330,       253,       405
362,      344,       356,       304,       276,       207,       266,       321,       330,       262,       470
361,      344,       356,       304,       275,       207,       266,       320,       331,       248,       390
361,      344,       356,       304,       275,       206,       266,       320,       331,       242,       355
362,      345,       357,       304,       275,       207,       266,       321,       331,       241,       375
362,      345,       356,       305,       275,       207,       266,       320,       331,       242,       375
