0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
379,10,-53,116,
335,      337,       389,       327,       273,       207,       348,       413,       409,       264,       0
335,      337,       389,       325,       273,       207,       349,       412,       409,       247,       0
335,      337,       388,       326,       274,       207,       348,       413,       409,       251,       0
335,      336,       388,       325,       273,       207,       348,       412,       409,       248,       0
335,      336,       388,       326,       273,       208,       348,       413,       409,       266,       0
335,      337,       388,       326,       274,       208,       348,       412,       409,       249,       0
335,      336,       388,       325,       273,       207,       348,       412,       409,       283,       0
336,      337,       388,       326,       273,       208,       348,       413,       409,       250,       0
334,      337,       388,       326,       274,       207,       348,       412,       409,       255,       0
334,      337,       388,       326,       273,       208,       348,       413,       409,       246,       0
336,      337,       388,       326,       273,       208,       348,       412,       409,       258,       0
335,      336,       388,       326,       273,       208,       348,       412,       409,       249,       0
336,      336,       388,       325,       273,       208,       347,       411,       408,       261,       0
335,      337,       388,       326,       273,       208,       348,       413,       409,       260,       0
336,      338,       388,       326,       274,       207,       348,       412,       409,       246,       0
335,      337,       388,       326,       273,       208,       348,       411,       408,       259,       0
336,      337,       388,       327,       273,       208,       348,       412,       409,       269,       0
336,      336,       388,       326,       273,       208,       348,       411,       409,       245,       0
335,      337,       388,       326,       273,       207,       348,       411,       408,       268,       0
335,      337,       388,       326,       273,       207,       348,       411,       409,       263,       0
335,      337,       388,       326,       273,       207,       348,       412,       408,       247,       0
335,      336,       388,       325,       273,       207,       348,       411,       408,       256,       0
335,      337,       388,       326,       274,       207,       349,       412,       409,       263,       0
336,      337,       388,       326,       273,       207,       348,       412,       409,       248,       0
336,      337,       388,       326,       273,       207,       348,       412,       409,       252,       0
336,      337,       388,       326,       274,       208,       348,       412,       409,       266,       0
336,      337,       389,       326,       274,       208,       348,       412,       409,       249,       0
335,      336,       388,       326,       273,       208,       349,       413,       409,       248,       -40
335,      337,       388,       326,       274,       207,       349,       411,       409,       266,       45
336,      337,       388,       326,       274,       207,       349,       413,       409,       254,       0
336,      337,       388,       326,       273,       207,       349,       413,       410,       247,       -35
336,      336,       388,       325,       274,       207,       348,       412,       409,       265,       35
337,      337,       388,       326,       274,       208,       349,       413,       409,       255,       15
336,      338,       388,       326,       275,       207,       349,       413,       409,       245,       -35
336,      338,       388,       326,       274,       208,       349,       412,       409,       262,       45
337,      338,       388,       326,       274,       208,       349,       413,       410,       260,       50
337,      338,       388,       326,       274,       208,       349,       413,       410,       244,       -30
336,      337,       388,       326,       274,       208,       348,       412,       409,       262,       35
337,      339,       389,       326,       274,       207,       348,       412,       409,       263,       55
338,      337,       388,       326,       274,       208,       349,       413,       410,       243,       -35
337,      337,       388,       327,       274,       207,       349,       413,       409,       260,       40
337,      338,       389,       327,       274,       207,       348,       413,       409,       263,       60
338,      338,       389,       327,       274,       208,       349,       414,       410,       248,       10
337,      337,       388,       327,       273,       208,       349,       413,       409,       256,       20
338,      338,       389,       326,       274,       207,       349,       412,       409,       278,       135
338,      338,       389,       327,       274,       208,       349,       413,       410,       250,       15
339,      338,       388,       326,       274,       208,       349,       413,       409,       249,       0
339,      339,       389,       326,       273,       207,       348,       412,       409,       270,       95
339,      338,       388,       326,       274,       207,       348,       412,       409,       254,       10
339,      338,       389,       326,       274,       208,       349,       413,       409,       247,       -5
338,      339,       389,       326,       273,       208,       348,       412,       409,       262,       55
339,      339,       388,       326,       273,       207,       348,       412,       409,       265,       65
339,      339,       389,       327,       274,       207,       349,       412,       409,       247,       -5
340,      339,       389,       326,       273,       208,       348,       412,       408,       261,       55
339,      339,       389,       327,       273,       207,       348,       412,       409,       259,       45
340,      340,       389,       327,       274,       208,       349,       413,       409,       246,       10
340,      338,       389,       326,       273,       207,       348,       412,       409,       260,       45
340,      339,       389,       327,       274,       208,       349,       412,       409,       263,       85
341,      339,       388,       327,       274,       207,       349,       413,       409,       243,       -15
342,      340,       389,       326,       273,       208,       348,       412,       409,       268,       110
342,      340,       389,       326,       274,       208,       348,       412,       409,       263,       90
342,      340,       389,       327,       274,       208,       349,       413,       410,       265,       120
342,      340,       389,       327,       274,       208,       349,       412,       410,       253,       55
343,      339,       389,       326,       274,       207,       349,       412,       410,       256,       60
343,      340,       389,       328,       275,       207,       349,       413,       410,       249,       50
344,      341,       389,       327,       274,       207,       349,       413,       410,       250,       55
344,      340,       389,       327,       274,       208,       349,       412,       410,       265,       125
344,      340,       389,       327,       274,       207,       350,       413,       410,       265,       130
345,      340,       389,       327,       274,       207,       350,       413,       410,       252,       70
345,      341,       389,       327,       274,       208,       349,       413,       411,       277,       205
346,      342,       389,       327,       274,       208,       350,       414,       411,       271,       195
347,      341,       390,       328,       275,       207,       350,       414,       411,       262,       160
346,      341,       390,       327,       275,       207,       350,       414,       411,       248,       80
347,      342,       390,       328,       274,       208,       350,       415,       412,       266,       195
348,      342,       390,       328,       275,       207,       350,       414,       412,       266,       195
348,      342,       390,       328,       275,       208,       351,       414,       412,       251,       130
347,      342,       390,       328,       275,       208,       350,       414,       411,       261,       165
349,      342,       390,       329,       275,       207,       351,       415,       412,       260,       185
350,      343,       390,       328,       275,       208,       351,       415,       412,       249,       140
350,      342,       390,       328,       275,       207,       350,       414,       411,       261,       175
350,      343,       390,       329,       275,       207,       350,       415,       411,       275,       260
351,      343,       391,       329,       276,       207,       351,       415,       412,       246,       140
