0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
381,10,-65,120,
331,      338,       426.5,     362,       268,       207.75,    409,       481.5,     456.625,   262,       0
331,      338.399,   426.5,     364.399,   267,       207.949,   408,       480.899,   456.125,   257.2,     0
331,      338.733,   424.166,   360.399,   267,       207.949,   408,       481.399,   456.541,   269.199,   0
330,      339.304,   425.166,   362.114,   268,       208.092,   408.714,   482.257,   457.613,   276.057,   0
330,      340.062,   422.976,   363.844,   267,       208.141,   407.959,   482.365,   457.039,   278.065,   0
331,      340.3,     423.472,   363.765,   268,       208.312,   407.953,   482.146,   457.17,    277.617,   0
331,      340.238,   424.373,   364.246,   268,       208.506,   406.518,   480.966,   456.189,   271.962,   0
331,      339.228,   428.26,    371.408,   268,       208.994,   406.204,   480.782,   455.628,   267.949,   0
331,      339.109,   429.015,   369.06,    267,       209.116,   405.953,   480.127,   455.784,   266.504,   0
331,      338.939,   427.807,   371.53,    267,       209.088,   405.668,   479.839,   455.585,   268.345,   0
330,      339.039,   427.297,   372.571,   267,       209.028,   406.975,   480.535,   456.214,   271.256,   0
331,      340.155,   423.159,   364.166,   267,       208.604,   407.799,   480.5,     455.94,    264.872,   0
332,      340.019,   423.323,   366.895,   268,       208.817,   405.92,    479.696,   454.891,   257.782,   0
332,      339.316,   426.683,   367.947,   268,       208.778,   405.242,   479.247,   454.078,   249.415,   0
331,      339.355,   427.595,   369.001,   268,       208.742,   404.994,   479.063,   453.772,   242.867,   0
331,      338.098,   432.228,   376.549,   268,       208.619,   403.879,   478.429,   453.463,   239.723,   0
332,      336.967,   435.501,   379.642,   268,       208.163,   405.73,    479.105,   453.616,   237.143,   0
331,      336.345,   437.76,    383.027,   268,       208.36,    407.943,   480.371,   454.264,   235.39,    0
332,      334.773,   442.212,   390.174,   268,       208.591,   406.936,   480.558,   454.334,   230.894,   0
331,      335.726,   438.639,   386.977,   268,       208.873,   406.658,   480.433,   454.816,   243.346,   0
331,      335.549,   439.087,   388.025,   268,       208.975,   406.791,   480.623,   454.988,   240.804,   0
331,      336.292,   436.277,   385.311,   268,       208.777,   405.198,   480.23,    455.091,   248.435,   35
330,      337.081,   434.429,   381.187,   268,       208.66,    404.949,   478.898,   454.485,   254.369,   0
330,      335.846,   437.827,   385.503,   268,       208.773,   403.991,   479.107,   454.08,    245.658,   100
331,      337.031,   434.647,   383.428,   268,       209.03,    402.876,   478.89,    454.308,   249.78,    20
331,      337.136,   433.414,   381.445,   268,       209.066,   401.116,   477.842,   453.839,   246.544,   40
331,      337.144,   432.27,    381.482,   268,       209.267,   400.569,   477.691,   453.746,   241.997,   35
332,      338.473,   428.476,   374.051,   268,       209.051,   401.509,   477.917,   454.413,   248.331,   105
332,      337.822,   430.594,   376.139,   268,       209.197,   400.599,   476.921,   453.714,   248.124,   40
331,      337.348,   431.191,   377.096,   268,       209.216,   401.953,   477.218,   453.339,   248.35,    75
332,      336.806,   434.037,   381.612,   268,       209.352,   401.437,   477.151,   452.923,   249.258,   130
331,      336.282,   435.831,   386.121,   269,       209.823,   399.284,   475.755,   451.996,   245.961,   5
332,      336.919,   433.58,    382.404,   268,       209.484,   400.525,   476.875,   452.465,   252.51,    -10
331,      337.429,   435.921,   384.876,   268,       209.665,   400.321,   476.826,   453.055,   253.104,   90
332,      338.947,   431.19,    376.771,   268,       209.282,   402.304,   478.065,   454.502,   263.939,   110
331,      339.613,   428.527,   372.007,   268,       208.776,   404.878,   479.68,    455.574,   273.364,   10
331,      339.427,   428.805,   373.95,    268,       208.96,    405.5,     479.653,   456.018,   272.915,   90
332,      339.712,   424.789,   367.247,   268,       208.574,   406.954,   480.485,   456.442,   282.602,   35
330,      339.25,    424.874,   367.6,     268,       208.615,   406.19,    479.545,   455.647,   278.411,   10
331,      339.484,   424.352,   370.399,   268,       209.021,   404.235,   479.526,   455.658,   279.132,   95
331,      339.206,   424.716,   371.606,   268,       209.173,   402.625,   478.651,   454.892,   273.163,   20
331,      339.705,   422.706,   372.229,   268,       209.115,   402.007,   478.817,   455.028,   271.815,   5
330,      339.77,    424.396,   378.033,   267,       209.472,   400.695,   478.713,   455.297,   270.873,   30
