0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-65,126,
323,      336,       371,       314,       265,       206,       358,       435,       403,       265,       0
323,      336,       370,       315,       266,       206,       357,       436,       403,       250,       0
323,      336,       371,       314,       265,       207,       357,       435,       403,       267,       0
324,      336,       370,       314,       266,       207,       357,       436,       404,       258,       0
323,      336,       371,       315,       266,       207,       357,       436,       404,       251,       0
323,      336,       370,       315,       265,       207,       357,       435,       404,       269,       0
323,      336,       370,       315,       266,       207,       357,       436,       403,       255,       0
323,      336,       371,       315,       265,       206,       357,       435,       402,       256,       0
323,      336,       371,       315,       265,       207,       357,       435,       403,       282,       0
323,      336,       371,       314,       265,       207,       356,       434,       402,       267,       0
324,      336,       371,       315,       265,       207,       356,       434,       402,       265,       0
323,      336,       371,       314,       265,       207,       357,       435,       402,       247,       0
323,      336,       370,       314,       264,       207,       356,       434,       402,       265,       0
324,      336,       371,       314,       265,       207,       356,       434,       402,       268,       0
324,      337,       370,       315,       264,       206,       356,       434,       402,       264,       0
323,      336,       371,       315,       264,       207,       356,       434,       402,       248,       0
323,      336,       370,       315,       264,       206,       356,       433,       402,       266,       0
323,      337,       371,       315,       264,       207,       355,       434,       403,       267,       0
324,      337,       370,       315,       264,       207,       356,       434,       402,       254,       0
324,      337,       371,       315,       264,       207,       356,       434,       402,       250,       0
323,      337,       370,       315,       265,       207,       355,       433,       402,       270,       0
324,      337,       371,       315,       264,       207,       356,       434,       402,       259,       -5
323,      336,       371,       315,       264,       207,       356,       433,       402,       249,       -70
324,      336,       370,       315,       264,       207,       355,       433,       402,       269,       25
325,      336,       371,       315,       264,       207,       356,       434,       402,       257,       -15
325,      337,       371,       315,       264,       207,       356,       433,       402,       270,       50
325,      337,       371,       315,       264,       207,       355,       433,       402,       249,       -60
324,      336,       371,       315,       264,       206,       356,       434,       402,       269,       35
326,      338,       371,       315,       265,       207,       356,       433,       402,       265,       40
326,      337,       371,       315,       264,       207,       356,       434,       402,       253,       -25
326,      337,       371,       315,       263,       207,       355,       433,       402,       290,       145
326,      337,       370,       315,       264,       207,       356,       434,       403,       259,       5
327,      338,       371,       316,       264,       207,       356,       434,       402,       256,       5
327,      337,       371,       316,       264,       207,       356,       433,       402,       271,       70
327,      338,       371,       315,       264,       207,       356,       433,       402,       271,       70
328,      338,       371,       316,       264,       207,       357,       435,       402,       256,       20
328,      338,       371,       315,       265,       207,       357,       434,       402,       252,       -5
328,      338,       372,       316,       264,       206,       357,       434,       403,       290,       190
