0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-65,126,
321,      324,       378,       316,       263,       205,       316,       377,       375,       241,       0
320,      324,       377,       315,       262,       206,       316,       376,       375,       257,       0
321,      324,       377,       316,       264,       206,       317,       378,       376,       241,       0
321,      323,       377,       315,       263,       207,       316,       377,       375,       246,       0
320,      323,       377,       316,       263,       206,       316,       377,       375,       255,       0
320,      323,       377,       316,       263,       206,       316,       377,       376,       239,       0
321,      323,       377,       315,       262,       207,       316,       377,       375,       255,       0
321,      325,       377,       315,       263,       206,       316,       378,       375,       236,       0
321,      323,       377,       315,       262,       207,       316,       377,       375,       252,       0
321,      324,       377,       315,       263,       206,       317,       378,       376,       238,       0
321,      324,       377,       316,       263,       206,       316,       378,       376,       257,       0
321,      324,       377,       316,       263,       206,       316,       377,       375,       250,       0
321,      324,       377,       315,       262,       206,       316,       377,       376,       241,       0
321,      324,       377,       316,       263,       206,       316,       377,       375,       271,       0
321,      324,       377,       316,       263,       206,       316,       378,       375,       245,       0
322,      325,       377,       316,       263,       206,       317,       378,       376,       237,       0
322,      323,       377,       315,       263,       206,       316,       377,       375,       261,       0
321,      325,       377,       315,       263,       206,       317,       378,       375,       256,       0
322,      325,       377,       316,       263,       206,       317,       378,       375,       238,       0
321,      323,       377,       315,       263,       206,       316,       378,       375,       237,       0
321,      324,       377,       316,       263,       205,       317,       378,       375,       257,       0
322,      324,       377,       316,       263,       205,       317,       377,       375,       251,       10
322,      323,       377,       316,       263,       206,       317,       378,       376,       240,       -35
321,      324,       377,       315,       263,       206,       317,       377,       376,       257,       40
321,      324,       377,       316,       263,       206,       317,       379,       376,       242,       -20
321,      325,       377,       316,       263,       206,       317,       378,       375,       241,       -30
322,      324,       377,       315,       263,       206,       316,       377,       376,       257,       40
321,      324,       377,       316,       264,       206,       317,       379,       376,       243,       -10
321,      325,       378,       316,       264,       206,       317,       378,       376,       238,       -30
321,      324,       377,       315,       263,       206,       316,       378,       376,       257,       40
321,      324,       377,       316,       263,       205,       317,       379,       376,       273,       130
322,      325,       378,       316,       264,       206,       318,       379,       376,       241,       0
321,      324,       377,       315,       263,       206,       317,       379,       376,       239,       -40
321,      325,       377,       316,       263,       206,       318,       379,       376,       261,       85
323,      324,       378,       316,       264,       205,       318,       379,       376,       246,       20
322,      324,       378,       315,       263,       206,       317,       378,       377,       239,       -30
321,      324,       378,       316,       263,       206,       317,       378,       376,       256,       50
322,      325,       377,       316,       264,       206,       318,       379,       376,       244,       10
321,      326,       378,       316,       264,       206,       317,       379,       377,       240,       -5
322,      325,       377,       316,       263,       206,       317,       379,       377,       260,       85
322,      324,       378,       316,       264,       206,       318,       379,       376,       269,       135
322,      325,       378,       317,       264,       206,       318,       379,       376,       242,       10
322,      324,       378,       316,       263,       206,       317,       378,       376,       259,       70
321,      325,       378,       316,       264,       205,       317,       378,       376,       272,       135
322,      325,       378,       316,       264,       206,       317,       379,       376,       240,       -10
322,      324,       378,       316,       264,       206,       317,       378,       376,       244,       0
322,      325,       378,       316,       264,       206,       317,       378,       376,       262,       95
322,      325,       378,       316,       264,       205,       318,       379,       376,       242,       0
320,      325,       378,       316,       264,       205,       317,       378,       376,       247,       5
323,      325,       378,       316,       262,       206,       317,       381,       375,       259,       85
321,      324,       378,       317,       264,       206,       318,       380,       376,       239,       -10
322,      326,       377,       316,       264,       206,       317,       378,       376,       239,       -20
322,      325,       377,       316,       264,       206,       317,       378,       376,       256,       60
323,      325,       378,       317,       264,       207,       316,       378,       376,       256,       75
322,      325,       377,       316,       264,       206,       317,       378,       377,       238,       -25
322,      325,       378,       315,       264,       206,       317,       378,       377,       246,       15
322,      326,       378,       317,       264,       206,       317,       378,       376,       256,       75
323,      325,       378,       317,       264,       206,       318,       379,       377,       238,       0
322,      325,       377,       315,       264,       206,       318,       378,       376,       248,       20
323,      325,       378,       317,       264,       206,       317,       378,       377,       256,       80
323,      325,       378,       316,       264,       206,       318,       379,       377,       238,       -5
323,      325,       378,       316,       264,       206,       318,       379,       377,       250,       55
322,      325,       378,       316,       264,       206,       318,       379,       377,       258,       90
323,      326,       378,       317,       264,       206,       318,       380,       377,       237,       5
323,      325,       377,       316,       264,       206,       318,       379,       377,       238,       -10
323,      326,       378,       316,       264,       206,       318,       379,       377,       257,       95
324,      325,       378,       316,       264,       206,       318,       380,       377,       255,       90
323,      326,       378,       316,       264,       206,       318,       380,       378,       237,       5
323,      325,       378,       316,       264,       206,       318,       380,       377,       247,       45
324,      326,       378,       316,       263,       206,       319,       380,       377,       257,       105
324,      326,       378,       317,       265,       206,       319,       381,       378,       238,       35
323,      326,       379,       316,       264,       205,       319,       380,       378,       252,       85
324,      325,       378,       316,       264,       206,       319,       380,       378,       249,       70
324,      327,       378,       317,       266,       206,       319,       382,       379,       241,       70
324,      326,       378,       316,       265,       206,       320,       382,       378,       239,       45
324,      327,       378,       316,       265,       206,       320,       381,       379,       251,       110
324,      327,       378,       316,       265,       206,       320,       382,       379,       239,       55
326,      328,       378,       316,       266,       206,       320,       381,       379,       238,       65
324,      326,       378,       317,       265,       206,       320,       381,       379,       251,       110
324,      327,       379,       317,       266,       206,       320,       382,       379,       258,       165
325,      327,       378,       316,       265,       206,       321,       382,       379,       237,       55
325,      327,       378,       316,       265,       206,       320,       382,       379,       263,       180
326,      328,       379,       317,       265,       207,       320,       382,       379,       254,       160
