0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
379,10,-65,120,
329,      331,       344,       291,       256,       209,       222,       271,       292,       240,       0
328,      331,       344,       291,       255,       209,       222,       270,       291,       228,       0
329,      330,       344,       291,       255,       209,       221,       271,       292,       244,       0
329,      330,       344,       292,       256,       209,       222,       272,       291,       228,       0
327,      330,       344,       291,       256,       209,       222,       271,       292,       235,       0
330,      330,       344,       292,       255,       209,       222,       272,       291,       236,       0
327,      329,       344,       292,       255,       209,       221,       271,       291,       232,       0
329,      330,       344,       292,       255,       209,       222,       272,       292,       231,       0
328,      329,       344,       292,       255,       209,       222,       271,       291,       228,       0
328,      330,       344,       292,       255,       209,       221,       270,       291,       245,       0
329,      331,       343,       292,       255,       209,       221,       271,       292,       239,       0
329,      330,       344,       291,       255,       209,       222,       271,       291,       225,       0
328,      330,       344,       292,       255,       209,       221,       271,       291,       240,       0
329,      330,       343,       292,       256,       209,       222,       271,       291,       244,       0
329,      331,       344,       292,       255,       209,       222,       272,       292,       230,       0
328,      330,       343,       291,       256,       209,       222,       271,       291,       246,       0
328,      331,       344,       291,       256,       209,       221,       270,       291,       246,       0
329,      331,       343,       292,       256,       209,       222,       272,       292,       234,       0
329,      331,       344,       292,       256,       209,       222,       271,       292,       225,       0
328,      330,       343,       292,       255,       209,       221,       271,       291,       242,       0
329,      330,       344,       291,       255,       209,       222,       271,       291,       243,       0
329,      330,       344,       292,       256,       209,       222,       271,       291,       229,       -10
329,      331,       344,       292,       255,       209,       222,       272,       291,       232,       10
328,      331,       344,       292,       255,       209,       221,       271,       291,       247,       70
329,      330,       344,       292,       256,       209,       222,       272,       292,       232,       15
329,      331,       344,       291,       255,       209,       222,       272,       291,       228,       -15
329,      331,       344,       291,       255,       209,       222,       270,       291,       242,       45
329,      331,       344,       292,       256,       209,       221,       271,       291,       242,       55
329,      331,       344,       292,       255,       209,       222,       272,       292,       227,       -10
329,      331,       344,       292,       255,       209,       222,       271,       291,       233,       10
329,      330,       344,       292,       255,       209,       221,       271,       291,       245,       60
329,      331,       344,       292,       255,       208,       222,       272,       292,       235,       25
329,      331,       344,       292,       255,       209,       221,       271,       291,       226,       -30
328,      331,       345,       292,       255,       209,       221,       270,       291,       241,       40
329,      331,       344,       292,       256,       209,       221,       271,       291,       244,       65
329,      330,       344,       292,       255,       209,       222,       272,       292,       231,       5
328,      331,       344,       292,       254,       209,       222,       271,       291,       231,       -10
330,      331,       344,       292,       255,       209,       221,       271,       291,       245,       70
329,      331,       344,       292,       255,       209,       222,       271,       291,       239,       40
329,      331,       344,       292,       255,       209,       222,       271,       292,       225,       -25
328,      331,       344,       292,       255,       209,       221,       271,       290,       240,       30
330,      331,       344,       292,       255,       209,       222,       271,       291,       227,       -15
329,      331,       344,       292,       255,       209,       222,       271,       291,       229,       -10
329,      331,       344,       291,       255,       209,       221,       271,       291,       253,       100
329,      330,       344,       292,       255,       209,       222,       271,       291,       246,       70
330,      331,       344,       292,       255,       210,       222,       271,       291,       233,       20
329,      331,       344,       291,       254,       209,       222,       271,       292,       227,       -25
329,      331,       344,       291,       255,       209,       221,       272,       291,       238,       30
330,      331,       344,       292,       256,       209,       222,       271,       291,       243,       70
330,      332,       344,       292,       255,       209,       222,       271,       291,       240,       55
329,      331,       344,       292,       255,       209,       221,       271,       291,       232,       0
331,      331,       344,       292,       255,       209,       222,       272,       291,       232,       20
331,      332,       344,       292,       255,       209,       222,       271,       291,       234,       30
331,      331,       344,       291,       256,       209,       222,       271,       291,       242,       65
330,      332,       344,       292,       255,       209,       222,       271,       291,       240,       55
331,      331,       344,       292,       256,       209,       222,       272,       291,       226,       -5
330,      332,       344,       291,       256,       209,       222,       272,       291,       228,       0
331,      331,       344,       291,       255,       209,       222,       271,       291,       246,       80
331,      332,       343,       292,       256,       209,       223,       272,       292,       230,       25
331,      332,       344,       292,       256,       209,       222,       272,       292,       230,       25
331,      332,       344,       292,       255,       209,       222,       271,       292,       246,       95
331,      331,       345,       292,       256,       209,       222,       272,       292,       238,       65
332,      332,       344,       292,       256,       209,       222,       273,       292,       226,       15
332,      332,       344,       292,       256,       209,       222,       271,       292,       227,       10
332,      332,       344,       291,       256,       209,       222,       272,       292,       243,       90
332,      332,       344,       292,       256,       209,       223,       273,       292,       245,       115
331,      331,       344,       292,       256,       209,       222,       272,       292,       231,       25
332,      332,       345,       292,       255,       210,       222,       272,       291,       228,       20
333,      331,       344,       292,       256,       209,       222,       273,       292,       236,       65
333,      332,       344,       292,       256,       209,       223,       273,       292,       239,       90
333,      332,       344,       291,       256,       209,       222,       272,       291,       242,       85
333,      332,       344,       291,       256,       209,       222,       272,       292,       239,       75
332,      333,       344,       292,       257,       209,       224,       273,       293,       228,       50
333,      333,       344,       292,       257,       209,       223,       273,       293,       233,       75
333,      332,       344,       292,       256,       209,       222,       272,       292,       248,       125
333,      333,       344,       292,       256,       209,       223,       274,       293,       237,       95
333,      333,       345,       292,       257,       209,       223,       273,       292,       226,       40
333,      332,       344,       292,       256,       209,       222,       273,       292,       244,       110
334,      333,       344,       292,       256,       209,       223,       273,       293,       242,       120
334,      333,       344,       293,       257,       209,       223,       274,       293,       227,       60
334,      333,       345,       292,       257,       209,       223,       274,       293,       236,       105
334,      334,       345,       292,       257,       209,       223,       273,       293,       248,       165
335,      333,       344,       293,       257,       209,       223,       274,       293,       233,       95
334,      334,       345,       292,       257,       209,       224,       274,       293,       229,       80
335,      333,       344,       292,       257,       209,       223,       273,       293,       244,       140
335,      334,       345,       292,       257,       209,       223,       274,       293,       239,       130
335,      334,       345,       293,       257,       209,       224,       275,       293,       226,       80
335,      334,       345,       293,       257,       209,       223,       273,       293,       256,       215
335,      334,       345,       293,       257,       209,       223,       274,       293,       246,       170
335,      334,       345,       293,       257,       209,       224,       275,       293,       230,       100
335,      334,       345,       293,       257,       209,       224,       274,       293,       232,       105
