0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
379,10,-64,120,
329,      347,       394,       330,       260,       210,       282,       370,       334,       269,       0
330,      348,       394,       330,       260,       210,       283,       369,       334,       245,       0
329,      346,       394,       329,       260,       210,       282,       369,       334,       274,       0
329,      347,       394,       330,       260,       210,       283,       370,       336,       246,       0
329,      347,       394,       329,       259,       210,       283,       370,       335,       248,       0
330,      347,       393,       330,       261,       210,       282,       370,       335,       263,       0
328,      346,       393,       330,       261,       210,       283,       370,       335,       253,       0
329,      347,       393,       330,       261,       210,       282,       370,       335,       268,       0
329,      347,       394,       330,       260,       210,       282,       370,       334,       258,       0
329,      347,       393,       331,       260,       210,       283,       370,       335,       264,       0
329,      348,       393,       330,       261,       210,       283,       371,       336,       243,       0
327,      347,       393,       330,       260,       210,       282,       369,       334,       271,       0
329,      347,       393,       330,       260,       210,       283,       370,       335,       264,       0
329,      347,       393,       330,       261,       210,       283,       371,       334,       245,       0
329,      347,       393,       330,       260,       210,       283,       370,       335,       247,       0
328,      346,       394,       330,       260,       209,       283,       370,       335,       264,       0
329,      347,       393,       330,       260,       210,       282,       370,       335,       264,       0
330,      347,       393,       330,       261,       210,       283,       370,       335,       248,       0
329,      347,       393,       330,       260,       210,       283,       371,       336,       245,       0
329,      347,       394,       330,       261,       210,       283,       370,       335,       266,       0
329,      347,       393,       330,       260,       210,       283,       370,       335,       253,       0
329,      346,       393,       330,       261,       210,       283,       371,       335,       244,       -240
329,      347,       393,       329,       260,       210,       282,       370,       335,       269,       -130
329,      347,       393,       330,       260,       210,       283,       370,       336,       257,       -175
329,      347,       393,       329,       260,       210,       283,       371,       335,       243,       -250
329,      347,       393,       329,       260,       210,       282,       370,       335,       280,       -75
329,      348,       393,       331,       261,       210,       283,       370,       335,       257,       -165
329,      347,       393,       330,       261,       210,       283,       370,       336,       244,       -235
329,      347,       393,       330,       260,       210,       282,       370,       335,       260,       -170
328,      347,       392,       330,       260,       210,       283,       370,       335,       266,       -145
329,      348,       393,       330,       261,       210,       284,       371,       336,       240,       -240
330,      348,       393,       330,       261,       210,       283,       371,       336,       243,       -225
329,      347,       393,       330,       261,       210,       283,       371,       335,       271,       -100
330,      347,       393,       330,       261,       210,       283,       370,       335,       279,       -60
330,      347,       393,       330,       261,       210,       283,       371,       336,       244,       -225
329,      346,       393,       330,       261,       210,       283,       371,       335,       263,       -145
330,      347,       393,       330,       262,       210,       283,       371,       335,       263,       -130
330,      347,       393,       331,       261,       210,       284,       372,       336,       246,       -200
329,      347,       393,       330,       261,       210,       283,       371,       335,       250,       -205
329,      347,       393,       330,       261,       210,       284,       371,       336,       250,       -195
330,      348,       393,       330,       262,       210,       284,       372,       336,       247,       -190
328,      347,       393,       329,       262,       210,       284,       372,       336,       254,       -175
330,      347,       393,       330,       261,       210,       284,       372,       336,       252,       -175
330,      348,       393,       330,       262,       210,       285,       373,       336,       245,       -190
330,      348,       393,       330,       262,       210,       284,       373,       337,       245,       -190
329,      347,       393,       330,       261,       210,       284,       372,       336,       254,       -170
330,      348,       394,       330,       262,       210,       284,       372,       336,       264,       -100
331,      348,       393,       330,       262,       210,       285,       373,       337,       244,       -185
330,      348,       393,       330,       263,       210,       284,       373,       337,       249,       -165
331,      348,       393,       330,       262,       210,       284,       373,       337,       268,       -70
331,      348,       393,       330,       262,       210,       285,       373,       337,       247,       -170
331,      347,       393,       330,       262,       210,       284,       373,       337,       253,       -150
331,      348,       393,       330,       262,       210,       285,       373,       338,       251,       -145
331,      349,       393,       331,       263,       210,       285,       374,       339,       263,       -60
331,      349,       392,       330,       262,       210,       285,       373,       338,       245,       -175
330,      349,       392,       331,       262,       211,       285,       373,       338,       254,       -125
331,      349,       392,       331,       262,       211,       285,       373,       338,       265,       -65
331,      348,       392,       331,       263,       210,       286,       374,       338,       246,       -155
330,      348,       392,       331,       262,       209,       285,       373,       337,       253,       -150
331,      349,       393,       331,       262,       210,       284,       373,       337,       263,       -85
332,      349,       392,       331,       263,       210,       286,       373,       338,       243,       -165
331,      349,       393,       331,       262,       210,       285,       373,       337,       252,       -135
331,      349,       392,       332,       262,       210,       285,       373,       338,       272,       -30
332,      349,       392,       332,       262,       210,       286,       373,       338,       246,       -150
331,      348,       393,       332,       262,       209,       285,       373,       337,       253,       -135
331,      349,       393,       331,       262,       210,       285,       373,       337,       253,       -130
331,      349,       393,       332,       262,       210,       285,       374,       337,       245,       -160
331,      349,       393,       332,       262,       210,       285,       374,       337,       246,       -155
332,      349,       394,       332,       261,       210,       284,       373,       337,       255,       -115
332,      349,       394,       332,       262,       209,       285,       373,       337,       264,       -65
332,      349,       394,       332,       262,       210,       285,       374,       337,       244,       -155
331,      349,       394,       332,       263,       210,       285,       373,       338,       253,       -110
332,      349,       394,       332,       263,       210,       285,       373,       338,       262,       -60
332,      350,       393,       332,       262,       211,       286,       374,       338,       243,       -145
331,      348,       394,       332,       262,       210,       284,       373,       337,       260,       -95
332,      350,       394,       333,       262,       210,       285,       374,       337,       243,       -150
332,      350,       393,       332,       261,       209,       285,       373,       337,       242,       -180
331,      349,       393,       332,       262,       210,       285,       373,       337,       261,       -85
332,      349,       394,       333,       262,       209,       285,       373,       337,       267,       -45
332,      349,       394,       332,       261,       210,       285,       373,       337,       243,       -170
331,      349,       394,       332,       262,       210,       284,       371,       336,       260,       -105
332,      350,       393,       333,       262,       210,       285,       372,       337,       257,       -95
333,      349,       394,       333,       262,       211,       285,       373,       337,       243,       -150
332,      349,       394,       332,       260,       210,       284,       371,       335,       263,       -100
331,      350,       394,       333,       260,       210,       284,       373,       336,       268,       -55
331,      349,       394,       333,       261,       210,       285,       372,       335,       242,       -190
332,      349,       394,       332,       261,       210,       284,       372,       336,       246,       -170
331,      349,       394,       332,       262,       210,       285,       373,       337,       268,       -45
333,      350,       394,       333,       262,       210,       285,       373,       337,       258,       -75
332,      349,       394,       333,       261,       210,       284,       373,       337,       247,       -150
332,      349,       394,       333,       261,       210,       284,       373,       337,       263,       -70
333,      350,       394,       333,       262,       210,       285,       373,       337,       255,       -90
332,      349,       395,       332,       260,       210,       284,       372,       335,       245,       -180
332,      350,       395,       333,       260,       210,       284,       371,       336,       266,       -65
333,      350,       395,       333,       262,       210,       286,       373,       339,       250,       -95
332,      349,       395,       333,       262,       210,       285,       373,       337,       250,       -120
332,      349,       395,       333,       261,       210,       285,       372,       337,       264,       -60
332,      349,       395,       333,       262,       210,       286,       373,       337,       266,       -35
331,      350,       395,       334,       262,       210,       286,       373,       337,       247,       -125
333,      349,       395,       334,       261,       210,       285,       372,       337,       248,       -130
332,      349,       395,       334,       262,       210,       286,       374,       338,       257,       -65
332,      349,       395,       334,       262,       210,       286,       374,       337,       254,       -85
331,      348,       395,       333,       261,       210,       285,       372,       336,       263,       -80
332,      350,       396,       334,       262,       210,       286,       373,       337,       264,       -30
333,      349,       395,       334,       262,       209,       286,       374,       338,       249,       -105
332,      349,       396,       333,       261,       210,       286,       373,       336,       248,       -130
333,      349,       396,       334,       262,       210,       285,       373,       337,       264,       -35
332,      350,       396,       334,       262,       210,       286,       374,       338,       247,       -105
332,      349,       396,       334,       261,       210,       285,       373,       336,       246,       -140
333,      349,       396,       335,       262,       209,       285,       373,       338,       265,       -25
333,      350,       396,       335,       262,       210,       286,       374,       338,       252,       -70
332,      349,       396,       334,       262,       210,       286,       373,       337,       250,       -105
332,      349,       395,       334,       261,       210,       286,       373,       337,       266,       -35
333,      349,       396,       335,       262,       210,       286,       374,       338,       248,       -95
333,      349,       396,       334,       262,       210,       286,       373,       338,       247,       -110
332,      349,       396,       334,       261,       210,       285,       373,       337,       266,       -35
332,      349,       396,       335,       262,       210,       286,       373,       337,       264,       -30
333,      349,       396,       335,       261,       210,       285,       373,       337,       249,       -110
332,      349,       396,       334,       262,       210,       286,       373,       337,       249,       -110
332,      349,       396,       335,       262,       210,       287,       373,       337,       266,       -15
332,      349,       397,       334,       261,       210,       285,       373,       336,       248,       -125
332,      348,       397,       335,       261,       210,       285,       373,       336,       253,       -100
333,      349,       397,       335,       262,       210,       286,       373,       338,       263,       -20
333,      350,       397,       336,       262,       210,       287,       374,       339,       245,       -85
332,      349,       397,       335,       261,       210,       286,       373,       338,       255,       -70
333,      350,       397,       335,       262,       210,       286,       373,       338,       263,       -15
333,      349,       398,       335,       262,       210,       286,       374,       337,       246,       -100
333,      350,       397,       335,       261,       210,       286,       373,       337,       253,       -75
333,      349,       398,       335,       261,       210,       286,       373,       337,       263,       -25
333,      349,       398,       335,       261,       210,       286,       374,       337,       263,       -20
333,      349,       398,       336,       262,       210,       286,       373,       337,       253,       -65
332,      349,       398,       335,       261,       210,       286,       373,       336,       257,       -65
333,      349,       398,       336,       262,       210,       286,       374,       337,       263,       -10
333,      349,       398,       336,       262,       210,       286,       374,       337,       244,       -105
333,      349,       399,       335,       261,       210,       285,       373,       336,       258,       -55
332,      349,       399,       336,       262,       210,       286,       373,       337,       261,       -25
333,      350,       398,       335,       262,       210,       286,       374,       337,       248,       -85
333,      349,       398,       336,       262,       210,       286,       373,       337,       255,       -55
332,      349,       399,       336,       261,       210,       286,       373,       336,       260,       -40
333,      349,       399,       336,       262,       210,       286,       374,       337,       261,       -15
333,      349,       399,       336,       261,       209,       286,       373,       336,       259,       -45
332,      350,       399,       336,       261,       210,       286,       373,       337,       258,       -40
333,      349,       399,       337,       262,       210,       286,       374,       337,       259,       -20
333,      349,       399,       336,       262,       210,       286,       374,       337,       259,       -25
332,      350,       399,       336,       261,       210,       286,       373,       337,       261,       -25
333,      350,       399,       337,       262,       210,       286,       375,       337,       258,       -15
333,      349,       399,       336,       262,       210,       287,       374,       337,       245,       -90
332,      350,       399,       337,       261,       210,       286,       373,       337,       269,       20
334,      350,       400,       336,       262,       210,       286,       374,       337,       260,       -5
333,      349,       400,       337,       262,       210,       287,       374,       337,       248,       -65
332,      350,       400,       337,       261,       210,       286,       373,       336,       262,       -15
334,      350,       400,       337,       261,       210,       286,       374,       337,       257,       -20
334,      351,       400,       337,       262,       210,       287,       375,       337,       260,       15
333,      351,       400,       337,       261,       210,       286,       373,       337,       262,       0
333,      350,       400,       337,       261,       210,       286,       373,       336,       267,       15
334,      350,       400,       337,       262,       210,       287,       374,       337,       254,       -25
333,      350,       400,       337,       262,       210,       287,       374,       337,       245,       -75
334,      350,       400,       338,       262,       210,       286,       373,       337,       265,       25
334,      350,       400,       338,       262,       210,       287,       374,       337,       253,       -25
334,      350,       400,       338,       261,       210,       287,       374,       337,       245,       -70
333,      351,       400,       338,       261,       210,       286,       373,       337,       261,       0
334,      351,       401,       339,       261,       210,       287,       374,       337,       257,       5
333,      351,       400,       338,       261,       210,       286,       375,       337,       244,       -75
333,      350,       401,       338,       262,       210,       286,       373,       337,       279,       95
334,      352,       401,       339,       261,       210,       287,       374,       337,       258,       15
334,      351,       401,       338,       262,       210,       287,       374,       338,       241,       -70
334,      351,       401,       338,       261,       210,       286,       373,       337,       261,       10
334,      351,       401,       338,       261,       210,       286,       374,       337,       259,       5
333,      351,       401,       339,       262,       210,       287,       374,       337,       242,       -70
334,      350,       401,       339,       261,       210,       286,       374,       337,       243,       -75
333,      351,       402,       339,       261,       210,       286,       374,       337,       270,       65
335,      351,       401,       339,       261,       210,       286,       373,       337,       261,       20
334,      351,       401,       339,       261,       210,       286,       374,       337,       244,       -65
334,      351,       401,       338,       261,       210,       286,       374,       337,       260,       10
335,      351,       402,       339,       262,       209,       287,       374,       337,       258,       20
335,      351,       401,       339,       261,       210,       286,       374,       337,       244,       -60
333,      351,       402,       339,       261,       210,       286,       373,       337,       261,       15
334,      350,       402,       339,       262,       210,       286,       374,       337,       258,       10
334,      351,       402,       339,       261,       210,       287,       374,       337,       242,       -65
333,      351,       402,       339,       261,       210,       286,       373,       336,       260,       5
334,      350,       402,       339,       261,       210,       286,       374,       337,       261,       20
333,      351,       402,       339,       262,       210,       287,       374,       337,       242,       -65
