0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
380,10,-58,118,
345,      349,       419.5,     346,       269,       210.5,     287,       336.5,     337,       245,       0
345,      348,       423.1,     348.1,     269,       210.5,     287,       336.5,     336,       245,       0
345,      349,       426.1,     349.85,    268.333,   210.833,   287.666,   330,       336,       249.5,     0
345,      349,       426.1,     351.35,    268.333,   210.547,   287.095,   335.571,   337,       246.928,   0
348.428,  348,       424.471,   350.614,   268.238,   211.125,   287.68,    331.724,   337,       249.775,   0
348.918,  349,       422.095,   350.973,   268.129,   211.215,   287.206,   331.042,   337,       251.743,   0
351.192,  348,       421.523,   349.633,   269.242,   211.555,   287.711,   333.048,   337,       253.349,   0
346.934,  349,       428.584,   352.388,   268.801,   211.985,   288.371,   327.116,   337,       254.266,   0
339.863,  348,       436.886,   357.142,   267.739,   211.536,   289.041,   328.315,   336,       249.765,   0
340.284,  349,       438.999,   358.023,   267.683,   211.868,   289.874,   327.925,   337,       250.768,   0
333.583,  348,       441.495,   359.222,   266.889,   211.341,   289.612,   329.051,   337,       247.828,   0
335.104,  349,       440.768,   358.698,   266.044,   210.678,   289.218,   329.327,   337,       246.909,   0
339.567,  349,       433.609,   354.42,    266.373,   210.269,   287.529,   333.186,   337,       249.072,   0
337.75,   349,       435.41,    353.905,   265.615,   209.755,   287.194,   333.937,   337,       250.115,   0
343.488,  348,       434.541,   353.146,   264.861,   209.529,   287.42,    334.635,   337,       251.728,   0
344.686,  349,       428.508,   349.353,   265.835,   209.65,    287.734,   335.394,   337,       252.416,   0
345.418,  350,       427.78,    348.629,   266.33,    210.133,   288.335,   335.709,   337,       252.894,   0
343.084,  349,       429.261,   349.375,   266.432,   210.187,   287.927,   337.82,    337,       249.434,   0
341.312,  348,       425.935,   345.836,   267.799,   210.853,   288.571,   334.56,    337,       249.106,   0
340.83,   349,       428.139,   345.334,   267.509,   211.31,    288.119,   338.155,   337,       248.633,   0
335.032,  349,       433.333,   346.363,   267.105,   211.478,   288.088,   336.648,   337,       248.024,   0
337.31,   349,       428.772,   341.433,   267.773,   211.663,   288.111,   334.623,   338,       249.109,   0
333.31,   349,       434.32,    346.804,   267.198,   211.493,   288.045,   338.346,   337,       246.538,   70
332.236,  349,       440.346,   353.014,   266.011,   210.947,   288.034,   338.374,   337,       248.81,    -55
340.408,  348,       438.777,   355.464,   264.711,   210.3,     288.598,   334.906,   337,       251.493,   20
340.85,   350,       440.206,   360.469,   263.703,   210.105,   288.668,   334.946,   337,       250.548,   65
347.07,   349,       435.904,   359.421,   262.06,    209.622,   287.043,   334.46,    336,       253.693,   -70
347.475,  348,       435.269,   358.836,   261.496,   209.432,   287.472,   332.044,   336,       253.105,   0
341.628,  349,       439.911,   354.818,   263.322,   210.165,   287.312,   331.636,   337,       249.478,   60
336.596,  349,       447.583,   355.51,    263.268,   210.46,    287.689,   333.02,    338,       248.039,   -25
331.671,  349,       449.252,   353.452,   265.155,   211.436,   288.924,   330.957,   337,       245.946,   0
327.699,  349,       448.678,   351.183,   266.821,   212.294,   289.132,   332.659,   337,       241.066,   65
323.995,  350,       452.501,   355.163,   265.606,   211.741,   288.821,   338.376,   337,       239.864,   -5
325.623,  349,       453.204,   355.114,   265.368,   211.353,   288.411,   339.141,   337,       239.982,   -5
324.759,  349,       458.912,   358.351,   264.256,   210.484,   287.766,   342.168,   338,       237.844,   65
327.768,  349,       455.231,   357.875,   263.89,    209.939,   286.999,   341.669,   338,       241.241,   15
335.164,  349,       445.335,   355.263,   264.787,   210.253,   286.168,   338.425,   338,       244.009,   -15
339.956,  349,       436.496,   350.784,   265.847,   210.668,   286.419,   338.323,   337,       247.156,   -15
345.555,  349,       428.151,   349.703,   265.503,   211.266,   286.798,   334.059,   338,       252.344,   30
351.525,  350,       421.712,   347.035,   265.734,   211.741,   287.34,    332.972,   337,       255.215,   35
352.148,  349,       420.908,   345.86,    265.869,   212.239,   288.651,   332.193,   337,       258.102,   -25
353.889,  350,       418.681,   346.657,   266.443,   212.178,   288.398,   329.46,    337,       258.38,    50
351.651,  350,       419.9,     347.721,   267.721,   212.022,   288.627,   332.518,   337,       255.385,   65
349.955,  349,       422.212,   349.319,   268.576,   212.062,   288.811,   332.453,   337,       255.409,   -50
351.356,  350,       422.399,   351.314,   268.963,   211.751,   288.262,   334.347,   337,       253.739,   40
349.28,   349,       422.93,    351.979,   268.18,    211.119,   287.671,   338.759,   338,       251.79,    50
350.656,  349,       425.934,   352.587,   267.102,   211.276,   288.106,   335.937,   338,       255.134,   -20
350.756,  349,       423.894,   351.554,   266.892,   211.163,   288.005,   334.577,   337,       255.094,   15
348.956,  349,       424.108,   351.588,   266.024,   210.794,   287.397,   334.61,    337,       254.002,   70
348.909,  350,       424.276,   350.032,   266.288,   211.604,   287.929,   332.16,    339,       253.033,   10
348.66,   350,       416.325,   345.168,   267.315,   211.651,   287.904,   331.621,   339,       251.447,   5
344.932,  349,       422.958,   347.255,   266.232,   211.15,    287.89,    331.198,   338,       249.64,    85
344.357,  350,       422.794,   346.636,   266.262,   211.486,   288.532,   328.854,   339,       250.302,   30
343.707,  350,       420.011,   347.651,   266.258,   210.898,   288.046,   330.239,   338,       252.484,   10
342.999,  350,       425.68,    349.506,   266.107,   210.79,    286.924,   335.613,   338,       250.061,   -20
339.294,  350,       428.64,    351.327,   265.518,   210.739,   286.214,   338.101,   338,       247.549,   55
336.857,  351,       429.476,   350.497,   265.983,   210.632,   286.455,   341.279,   338,       244.585,   125
339.307,  350,       433.399,   350.904,   265.944,   211.166,   287.37,    339.141,   338,       240.885,   95
340.494,  350,       431.93,    351.104,   265.92,    210.648,   286.291,   335.931,   337,       243.431,   40
342.379,  351,       427.258,   348.072,   266.549,   210.921,   286.302,   337.478,   339,       241.557,   120
343.168,  351,       426.941,   349.225,   266.63,    211.247,   285.709,   338.793,   338,       242.41,    55
342.006,  351,       426.018,   348.986,   266.728,   211.259,   285.471,   336.886,   338,       246.485,   40
340.507,  351,       430.316,   351.683,   266.844,   211.632,   287.069,   335.165,   339,       245.636,   125
345.383,  351,       430.753,   353.699,   267.457,   211.734,   287.178,   334.834,   339,       250.076,   55
349.128,  351,       428.727,   354.338,   267.004,   211.518,   287.388,   332.412,   338,       253.742,   45
348.431,  352,       431.685,   355.103,   267.043,   211.269,   287.662,   333.63,    338,       253.493,   125
347.848,  351,       431.88,    354.091,   266.5,     211.217,   287.747,   333.411,   339,       254.616,   75
343.058,  351,       434.613,   352.647,   266.364,   211.429,   287.828,   335.064,   339,       253.978,   90
340.476,  351,       435.454,   350.906,   266.844,   211.702,   288.462,   333.586,   339,       252.726,   180
339.34,   351,       433.421,   350.306,   266.815,   212.049,   288.576,   333.58,    339,       253.903,   125
341.553,  351,       428.498,   348.265,   266.86,    211.597,   287.552,   337.318,   340,       255.086,   45
346.481,  351,       422.481,   349.139,   265.788,   210.764,   286.941,   335.783,   339,       255.245,   25
349.053,  351,       423.2,     350.387,   263.923,   209.773,   286.724,   334.24,    339,       256.89,    120
350.441,  352,       421.74,    350.398,   263.51,    209.162,   285.888,   334.334,   339,       254.746,   150
353.425,  351,       423.346,   353.703,   262.46,    208.814,   285.65,    333.908,   339,       253.411,   110
352.702,  351,       423.469,   354.355,   262.556,   209.107,   286.609,   333.64,    338,       254.435,   90
353.224,  352,       423.507,   353.422,   264.075,   209.583,   286.021,   333.554,   339,       251.513,   155
355.336,  352,       423.76,    352.354,   264.727,   209.643,   286.611,   335.3,     339,       253.622,   110
347.037,  352,       428.962,   352.161,   265.051,   210.047,   287.32,    333.642,   340,       249.795,   100
344.513,  352,       440.032,   354.848,   265.979,   210.467,   287.993,   331.785,   340,       247.847,   180
338.126,  352,       444.965,   358.052,   265.679,   210.879,   287.703,   335.246,   340,       247.323,   110
330.525,  352,       450.565,   360.366,   265.244,   211.342,   287.288,   337.096,   340,       242.566,   90
333.309,  352,       445.937,   357.038,   266.986,   211.812,   287.283,   339.446,   340,       245.391,   165
335.137,  353,       439.066,   352.85,    267.13,    211.719,   286.61,    342.398,   340,       242.468,   155
332.996,  352,       440.795,   349.107,   268.48,    211.839,   287.597,   343.42,    340,       240.489,   125
331.634,  352,       444.542,   350.499,   267.799,   211.053,   287.641,   342.466,   340,       240.192,   190
331.395,  352,       446.915,   354.065,   266.201,   210.373,   287.121,   342.897,   340,       239.45,    155
327.432,  353,       453.179,   358.738,   264.354,   209.895,   286.051,   342.969,   340,       242.876,   95
333.494,  353,       447.233,   358.614,   263.193,   209.617,   285.83,    342.904,   340,       243.217,   150
335.474,  353,       445.046,   358.274,   263.107,   209.983,   285.571,   344.824,   340,       244.934,   175
334.343,  354,       444.779,   357.375,   263.807,   210.499,   285.922,   343.242,   340,       243.146,   210
333.616,  353,       438.437,   355.68,    264.872,   211.157,   287.046,   341.424,   340,       243.185,   135
333.633,  352,       439.752,   358.261,   263.969,   210.805,   286.077,   339.355,   340,       247.038,   110
336.798,  353,       433.852,   358.259,   264.092,   210.923,   286.149,   334.86,    339,       247.338,   205
340.578,  353,       427.148,   355.385,   264.133,   211.269,   286.181,   333.663,   340,       251.794,   135
346.715,  352,       425.536,   355.343,   262.885,   210.428,   284.915,   334.411,   340,       254.31,    115
343.441,  353,       423.505,   353.427,   263.873,   210.66,    285.32,    337.419,   340,       252.777,   275
346.105,  353,       422.027,   351.236,   264.984,   210.908,   285.202,   335.927,   341,       256.126,   150
