0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
382,10,-65,120,
335.333,  366.75,    437.333,   361,       264,       211,       324,       405.25,    366,       283.5,     0
335.866,  368.149,   440,       364.2,     262.799,   211,       324,       406.35,    364.799,   283.5,     0
336.311,  369.316,   442.222,   366.866,   262.133,   211,       323,       406.35,    364.8,     282.5,     0
335.168,  366.316,   440.317,   365.723,   262.133,   211,       324,       407.135,   363.942,   284.214,   0
335.525,  367.254,   440.743,   367.541,   261.58,    211,       323,       409.762,   361.077,   281.744,   0
335.476,  367.126,   439.897,   368.018,   261.978,   211,       324,       411.035,   360.545,   281.494,   0
336.119,  368.814,   440.517,   370.469,   261.67,    211,       324,       412.49,    359.08,    279.636,   0
336.255,  370.17,    442.451,   374.575,   261.032,   211,       324,       414.041,   359.243,   276.41,    0
335.978,  369.587,   442.695,   374.437,   261.24,    211,       325,       412.295,   360.695,   277.363,   0
335.669,  369.938,   443.094,   374.211,   261.134,   211,       324,       410.903,   362.431,   277.629,   0
335.224,  370.099,   445.367,   375.889,   260.486,   211,       325,       408.32,    364.624,   278.2,     0
334.696,  368.089,   443.879,   373.791,   260.694,   211,       324,       405.145,   366.25,    281.884,   0
334.131,  366.875,   443.096,   372.556,   260.902,   211,       324,       405.695,   365.329,   279.959,   0
335.055,  369.437,   445.953,   375.748,   260.011,   211,       324,       407.308,   363.172,   277.72,    0
334.269,  366.343,   441.275,   371.156,   260.801,   211,       324,       410.307,   363.821,   279.366,   0
334.208,  368.093,   441.856,   373.065,   260.816,   211,       324,       412.615,   360.903,   278.149,   0
335.742,  373.267,   446.44,    378.852,   260.804,   211,       325,       412.033,   361.128,   278.748,   0
335.459,  372.814,   447.462,   380.439,   260.631,   211,       325,       410.35,    362.55,    280.609,   0
336.772,  376.739,   451.203,   384.051,   260.321,   211,       324,       410.357,   358.94,    277.358,   0
339.044,  380.974,   454.443,   384.477,   260.251,   211,       324,       412.391,   356.088,   272.102,   0
338.372,  379.075,   451.777,   381.852,   259.6,     211,       325,       412.442,   355.368,   272.867,   0
338.027,  376.969,   448.584,   376.34,    260.596,   211,       325,       414.313,   351.77,    271.761,   30
338.587,  378.002,   449.162,   376.381,   260.635,   211,       325,       414.092,   352.461,   273.532,   90
336.998,  373.578,   444.598,   371.796,   261.833,   211,       325,       409.621,   356.228,   277.165,   5
336.801,  370.793,   443.573,   370.359,   262.437,   211,       324,       409.218,   357.208,   278.637,   75
336.626,  370.91,    442.857,   370.648,   262.7,     211,       325,       406.918,   360.556,   279.619,   0
335.203,  367.897,   440.051,   366.4,     263.567,   211,       325,       404.322,   363.427,   280.488,   85
335.328,  368.085,   441.307,   367.915,   262.958,   211,       325,       406.708,   362.741,   280.106,   65
334.736,  367.699,   440.03,    365.28,    263.318,   211,       325,       406.349,   363.532,   280.316,   70
335.228,  368.24,    441.531,   366.799,   262.834,   211,       325,       407.84,    363.1,     281.273,   0
336.756,  371.289,   440.79,    365.713,   263.015,   211,       325,       409.128,   360.482,   278.813,   100
336.198,  370.746,   438.812,   363.113,   263.595,   211,       325,       407.116,   361.873,   280.343,   50
337.93,   376.182,   442.447,   368.518,   262.492,   211,       325,       409.583,   359.065,   277.775,   30
337.936,  377.316,   441.626,   366.477,   263.014,   211,       325,       408.261,   359.345,   276.418,   100
336.199,  374.178,   443.65,    371.158,   261.871,   211,       326,       409.708,   359.183,   277.791,   195
336.58,   373.668,   445.294,   372.307,   261.339,   211,       326,       410.079,   358.799,   278.283,   55
336.007,  371.309,   443.795,   367.134,   262.032,   211,       325,       410.935,   358.761,   278.356,   180
335.731,  369.45,    443.153,   367.228,   261.606,   211,       326,       412.889,   357.82,    278.633,   65
335.664,  367.775,   441.177,   362.095,   262.711,   211,       326,       410.986,   360.197,   280.467,   65
335.533,  367.933,   440.589,   361.779,   262.907,   211,       326,       412.687,   359.539,   279.922,   125
335.085,  366.451,   438.226,   364.443,   262.46,    211,       326,       412.151,   360.508,   281.003,   40
334.992,  366.022,   437.522,   365.188,   262.582,   211,       326,       411.26,    361.749,   280.484,   105
335.658,  366.772,   437.953,   369.058,   261.707,   211,       326,       412.085,   359.399,   278.772,   135
335.676,  366.606,   436.624,   368.955,   261.821,   211,       326,       410.428,   361.093,   278.608,   35
334.999,  364.628,   435.442,   366.171,   262.301,   211,       326,       408.61,    362.891,   279.98,    115
336.143,  367.429,   438.002,   368.598,   261.975,   211,       326,       409.803,   360.483,   278.194,   165
335.831,  367.523,   437.057,   366.246,   262.585,   211,       326,       408.691,   362.352,   279.826,   100
335.853,  368.654,   439.976,   369.288,   262.123,   211,       326,       410.015,   360.818,   280,       70
336.737,  371.229,   442.529,   369.733,   262.097,   211,       326,       411.787,   358.807,   277.431,   170
335.679,  369.772,   441.27,    366.466,   262.115,   211,       326,       411.284,   361.139,   279.894,   105
335.657,  371.093,   441.872,   367.641,   262.048,   211,       327,       412.441,   360.109,   278.189,   65
335.629,  370.442,   439.286,   363.977,   262.608,   211,       326,       412.787,   360.008,   277.073,   210
336.233,  373.329,   442.632,   368.869,   261.824,   211,       327,       410.573,   361.036,   277.879,   90
336.693,  373.837,   442.827,   371.498,   261.497,   211,       326,       411.257,   359.307,   276.734,   85
336.841,  373.23,    442.963,   372.049,   260.847,   211,       326,       411.874,   359.193,   276.526,   165
337.014,  373.628,   443.489,   373.202,   260.595,   211,       326,       410.172,   359.933,   277.305,   60
335.602,  369.67,    437.897,   369.25,    261.277,   211,       326,       412.471,   358.062,   275.509,   105
335.065,  368.075,   436.24,    366.643,   262.102,   211,       326,       411.074,   359.598,   275.334,   135
335.573,  369.339,   437.184,   368.156,   262.282,   211,       327,       411.745,   358.799,   273.45,    180
335.367,  368.726,   437.236,   368.578,   262.237,   211,       326,       413.541,   357.779,   272.899,   125
335.715,  368.591,   439.046,   371.911,   261.803,   211,       326,       412.123,   360.311,   274.24,    120
335.427,  368.665,   439.447,   372.663,   261.76,    211,       327,       412.272,   358.698,   274.084,   155
334.263,  366.569,   436.914,   368.736,   262.257,   211,       327,       412.348,   357.827,   275.032,   75
333.724,  365.26,    435.915,   367.615,   262.545,   211,       326,       412.963,   356.119,   272.765,   165
334.202,  365.785,   437.372,   365.859,   262.651,   211,       327,       414.654,   353.806,   272.554,   145
334.027,  364.373,   436.124,   364.887,   262.779,   211,       327,       414.209,   355.679,   274.05,    60
333.993,  364.059,   437.916,   367.766,   262.853,   211,       327,       412.118,   357.943,   275.624,   150
334.412,  364.888,   439.154,   367.787,   262.897,   211,       327,       411.211,   359.918,   278.604,   195
333.3,    363.76,    436.551,   365.777,   263.504,   211,       327,       408.362,   362.505,   281.182,   75
333.577,  364.672,   436.612,   365.904,   263.608,   211,       327,       408.313,   361.766,   281.344,   185
333.898,  365.76,    438.331,   364.495,   263.715,   211,       327,       407.769,   363.17,    282.161,   115
333.444,  364.884,   437.261,   364.025,   263.832,   211,       327,       405.706,   365.348,   283.526,   125
334.988,  368.045,   440.219,   366.06,    263.308,   211,       327,       406.112,   365.755,   280.433,   190
335.19,   367.527,   441.687,   366.083,   263.265,   211,       327,       405.012,   367.182,   281.16,    110
334.993,  365.779,   438.357,   365.167,   263.2,     211,       327,       404.618,   367.755,   281.874,   140
335.977,  368.907,   442.323,   369.901,   261.967,   211,       326,       404.463,   367.241,   279.923,   120
334.975,  366.03,    440.719,   369.307,   262.061,   211,       327,       405.013,   366.596,   281.565,   95
335.325,  368.816,   442.485,   374.339,   261.032,   211,       327,       406.585,   364.799,   279.909,   120
336.134,  371.25,    444.98,    376.792,   260.437,   211,       327,       409.223,   361.805,   277.056,   160
335.014,  368.585,   440.597,   372.062,   261.647,   211,       327,       409.117,   361.885,   278.361,   220
335.02,   370.95,    442.485,   375.884,   260.731,   211,       327,       408.132,   362.927,   278.761,   80
334.976,  370.255,   440.58,    371.534,   261.545,   211,       326,       408.353,   363.516,   277.739,   145
334.049,  368.113,   438.999,   368.497,   262.274,   211,       327,       407.443,   365.475,   280.408,   190
335.435,  372.045,   443.533,   367.988,   262.078,   211,       327,       407.989,   365.131,   278.987,   90
335.494,  370.201,   441.778,   362.288,   263.128,   211,       327,       409.54,    363.731,   278.162,   190
335.949,  372.194,   444.806,   364.396,   262.497,   211,       328,       409.71,    363.762,   279.936,   140
337.363,  374.777,   447.54,    367.238,   261.672,   211,       328,       409.248,   363.518,   279.012,   105
337.258,  373.167,   445.255,   369.417,   261.328,   211,       327,       411.785,   361.573,   279.015,   210
337.891,  374.591,   446.705,   373.864,   260.785,   211,       327,       411.32,    360.407,   278.28,    125
338.549,  375.933,   447.928,   371.788,   261.683,   211,       327,       410.765,   359.071,   276.329,   160
337.957,  376.098,   447.031,   370.153,   261.685,   211,       327,       410.981,   358.436,   275.946,   120
337.294,  374.517,   447.285,   371.4,     261.164,   211,       328,       410.866,   357.987,   274.651,   300
336.828,  373.507,   445.463,   367.62,    261.79,    211,       328,       410.801,   359.356,   276.703,   135
336.582,  372.16,    441.302,   365.882,   261.805,   211,       328,       412.378,   358.54,    276.757,   140
336.005,  369.597,   439.531,   366.414,   262.394,   211,       327,       411.792,   358.554,   277.73,    215
336.964,  372.895,   441.28,    366.845,   262.284,   211,       328,       411.924,   357.778,   278.17,    130
337.364,  373.807,   442.587,   369.02,    261.783,   211,       328,       413.656,   355.839,   276.665,   210
336.333,  371.042,   443.723,   370.611,   261.494,   211,       327,       412.267,   357.167,   278.366,   215
336.761,  371.249,   444.322,   371.21,    260.794,   211,       328,       412.335,   356.969,   278.457,   110
336.732,  372.014,   445.709,   372.977,   260.867,   211,       327,       411.608,   358.568,   277.641,   185
336.261,  370.758,   444.25,    371.257,   261.022,   211,       328,       410.53,    360.672,   278.637,   195
337.393,  373.717,   446.23,    373.635,   260.669,   211,       327,       411.853,   359.458,   276.962,   125
337.483,  376.069,   447.455,   372.838,   261.222,   211,       328,       411.784,   359.814,   276.748,   200
338.353,  376.649,   442.943,   367.104,   262.416,   211,       328,       411.809,   358.277,   276.621,   190
339.794,  380.49,    445.613,   369.939,   262.329,   211,       328,       412.778,   355.364,   273.761,   125
338.995,  378.458,   442.668,   367.126,   262.852,   211,       328,       412.91,    357.35,    275.875,   215
340.734,  382.799,   445.794,   372.024,   261.371,   211,       328,       416.999,   353.57,    270.608,   185
339.551,  379.678,   447.153,   373.87,    260.936,   211,       329,       417.741,   354.612,   273.178,   185
338.373,  377.562,   445.469,   372.145,   261.022,   211,       328,       417.664,   356.219,   274.808,   155
337.903,  376.434,   445.869,   371.72,    261.047,   211,       328,       415.986,   356.914,   273.799,   250
337.118,  374.525,   445.879,   370.533,   261.858,   211,       329,       414.27,    359.963,   277.683,   205
336.77,   373.788,   444.745,   370.057,   261.989,   211,       328,       412.203,   361.585,   277.47,    165
337.303,  374.249,   445.594,   370.901,   261.842,   211,       329,       412.208,   362.351,   278.707,   255
338.36,   377.937,   448.412,   375.356,   261.098,   211,       329,       414.025,   359.7,     277.694,   145
337.395,  374.425,   444.012,   372.616,   261.847,   211,       328,       412.419,   359.662,   277.696,   195
337.484,  375.516,   445.812,   376.41,    261.255,   211,       329,       414.022,   359.387,   276.871,   155
338.272,  377.696,   447.748,   373.769,   262.028,   211,       329,       413.495,   357.25,    274.037,   155
337.878,  374.662,   445.748,   371.256,   262.447,   211,       328,       411.848,   359.471,   275.229,   240
339.471,  378.696,   449.806,   374.49,    261.675,   211,       329,       413.337,   357.729,   273.162,   220
340.517,  380.15,    451.328,   374.216,   261.735,   211,       329,       414.025,   355.778,   272.632,   150
339.314,  377.501,   448.983,   375.423,   261.408,   211,       329,       413.315,   358.14,    275.003,   210
338.757,  378.906,   449.445,   374.875,   261.545,   211,       329,       412.739,   357.949,   274.971,   190
337.893,  375.937,   446.536,   371.502,   261.812,   211,       330,       413.44,    358.838,   276.943,   195
336.757,  373.335,   444.899,   371.114,   262.109,   211,       329,       411.785,   360.989,   279.274,   195
336.772,  372.739,   444.316,   371.641,   261.924,   211,       329,       412.352,   360.539,   279.027,   355
336.87,   371.858,   445.488,   375.751,   260.835,   211,       330,       412.296,   361.766,   280.463,   180
337.104,  374.276,   449.148,   379.786,   260.409,   211,       329,       409.776,   362.185,   279.252,   305
336.773,  374.41,    447.85,    377.597,   260.452,   211,       329,       407.917,   362.355,   279.248,   280
337.154,  375.649,   448.355,   377.305,   260.528,   211,       329,       408.07,    361.758,   278.423,   160
338.718,  379.19,    449.717,   376.384,   261.912,   211,       329,       409.037,   358.328,   274.703,   250
338.568,  376.893,   446.941,   373.612,   262.413,   211,       329,       409.717,   358.634,   276.625,   200
340.348,  380.247,   449.668,   376.471,   262.122,   211,       329,       413.117,   357.245,   274.536,   165
339.662,  377.904,   447.951,   376.352,   262.635,   211,       328,       412.267,   358.315,   276.552,   230
338.654,  373.72,    444.842,   372.919,   262.167,   211,       329,       411.943,   360.028,   279.387,   185
338.285,  374.267,   446.447,   370.534,   262.703,   211,       329,       410.689,   361.084,   279.782,   235
336.467,  370.413,   443.129,   366.258,   263.358,   211,       329,       408.771,   362.489,   281.388,   305
336.391,  371.343,   446.25,    369.387,   262.032,   211,       330,       409.057,   361.371,   280.365,   275
336.449,  372.003,   447.403,   371.168,   261.727,   211,       329,       409.431,   361.563,   280.505,   175
335.805,  369.679,   444.683,   372.402,   261.302,   211,       329,       410.822,   360.775,   281.465,   240
336.092,  369.575,   444.905,   373.279,   261.009,   211,       329,       411.115,   360.53,    281.476,   255
335.668,  367.322,   441.856,   369.264,   261.719,   211,       330,       412.195,   362.124,   283.349,   210
334.795,  364.653,   439.158,   366.706,   262.575,   211,       330,       411.019,   363.061,   284.613,   195
334.269,  363.935,   439.321,   368.178,   261.9,     211,       329,       411.833,   362.53,    283.348,   270
333.628,  362.13,    437.571,   367.449,   262.313,   211,       330,       411.935,   361.959,   281.901,   210
335.241,  366.388,   436.959,   366.047,   262.97,    211,       329,       410.326,   360.221,   278.266,   240
334.924,  367.636,   436.645,   365.953,   262.74,    211,       330,       412.585,   360.673,   277.359,   210
336.542,  371.165,   438.168,   365.635,   263.146,   211,       329,       411.906,   361.264,   275.646,   270
337.339,  373.455,   439.205,   365.376,   263.265,   211,       329,       411.902,   362.022,   275.61,    240
336.115,  370.465,   439.526,   367.566,   262.45,    211,       330,       411.342,   363.994,   278.659,   255
337.809,  373.869,   442.795,   371.225,   261.837,   211,       330,       410.378,   362.754,   277.988,   200
337.609,  373.255,   443.456,   373.166,   261.364,   211,       330,       410.946,   362.11,    277.465,   280
339.171,  377.227,   447.873,   377.708,   259.95,    211,       330,       412.381,   360.408,   276.016,   230
339.608,  378.193,   449.065,   379.157,   259.593,   211,       331,       414.886,   358.181,   275.638,   275
338.722,  376.81,    447.104,   376.861,   259.272,   211,       330,       414.744,   358.385,   274.445,   280
338.119,  375.318,   444.768,   373.961,   260.116,   211,       331,       414.501,   358.71,    276.585,   310
