0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
376,10,-58,117,
329,      349,       395,       348,       248,       211.5,     272,       335.25,    312.666,   292.25,    0
330,      348,       395,       348,       249,       211.5,     272,       335.25,    311.733,   294.45,    0
329,      348,       392.619,   348,       248,       211.333,   272,       334.166,   310.955,   294.449,   0
330,      349,       393.639,   348,       248,       211.19,    272,       336.952,   312.955,   289.735,   0
330,      348,       394.465,   348,       247,       210.86,    272,       339.052,   312.33,    289.376,   0
330,      349,       393.368,   348,       248,       210.769,   272,       340.524,   313.748,   287.08,    0
331,      349,       392.455,   348,       249,       211.26,    272,       340.504,   314.147,   287.598,   0
330,      348,       390.245,   348,       248,       211.127,   272,       341.011,   314.318,   287.293,   0
329,      349,       392.703,   348,       248,       211.022,   273,       341.291,   316.602,   285.424,   0
330,      349,       392.608,   348,       247,       211.201,   272,       339.543,   315.009,   286.759,   0
330,      349,       395.691,   348,       248,       210.621,   272,       342.192,   317.132,   280.354,   0
330,      348,       396.47,    348,       248,       210.549,   272,       341.432,   316.868,   282.505,   0
330,      348,       398.028,   348,       248,       210.481,   272,       341.452,   315.572,   282.088,   0
330,      349,       397.782,   349,       248,       210.521,   272,       342.653,   316.32,    281.421,   0
330,      349,       396.04,    348,       248,       210.936,   272,       340.862,   315.537,   283.144,   0
330,      349,       398.019,   348,       248,       211.277,   272,       337.995,   314.013,   286.379,   0
330,      348,       392.916,   348,       248,       211.676,   272,       334.716,   313.124,   286.992,   0
331,      349,       392.221,   348,       249,       211.412,   272,       335.439,   314.001,   284.645,   0
330,      348,       390.655,   348,       248,       211.623,   272,       335.592,   314.448,   284.859,   0
330,      348,       389.602,   349,       247,       211.387,   271,       338.035,   315.843,   279.928,   0
330,      348,       392.19,    348,       248,       210.917,   271,       341.295,   316.232,   280.49,    0
330,      349,       396.268,   348,       248,       210.847,   272,       341.203,   315.884,   279.896,   0
330,      349,       397.07,    348,       248,       210.307,   271,       341.076,   314.756,   280.759,   -70
330,      348,       397.116,   348,       247,       210.438,   272,       339.653,   313.267,   284.02,    5
330,      349,       396.799,   348,       248,       210.37,    272,       339.419,   314.844,   282.953,   -15
329,      348,       395.855,   348,       248,       210.302,   271,       337.306,   314.695,   284.962,   40
330,      349,       397.722,   348,       247,       210.587,   272,       335.839,   314.686,   287.133,   -35
330,      348,       399.849,   348,       247,       210.322,   272,       337.152,   316.889,   284.435,   -55
330,      348,       399.265,   348,       247,       210.887,   271,       334.971,   315.848,   286.218,   30
331,      348,       398.731,   348,       247,       210.828,   271,       336.494,   316.013,   284.826,   -40
330,      349,       400.916,   348,       247,       210.862,   272,       336.588,   315.535,   281.354,   -45
330,      349,       399.028,   348,       247,       211.082,   271,       336.507,   315.342,   282.485,   -40
330,      348,       401.035,   348,       247,       210.824,   271,       336.727,   315.27,    280.381,   20
330,      349,       400.344,   348,       247,       211.252,   272,       333.974,   314.497,   284.46,    -45
330,      349,       399.241,   348,       247,       211.165,   271,       336.387,   316.349,   283.332,   -45
331,      349,       398.252,   348,       247,       211.463,   271,       335.441,   315.159,   283.453,   20
331,      349,       395.813,   348,       247,       211.697,   271,       335.257,   314.477,   285.463,   -55
331,      349,       395.166,   348,       248,       211.618,   272,       337.298,   314.474,   284.035,   -25
330,      349,       393.563,   348,       247,       211.682,   271,       335.571,   312.872,   288.85,    -30
330,      349,       392.894,   349,       247,       211.428,   272,       336.518,   313.879,   288.049,   50
331,      349,       395.538,   349,       248,       211.247,   271,       338.555,   315.794,   283.705,   -10
331,      349,       398.652,   349,       248,       211.194,   272,       337.806,   317.316,   280.515,   -10
331,      349,       401.42,    348,       247,       211.267,   272,       339.982,   319.95,    274.61,    25
331,      349,       405.699,   349,       248,       211.101,   272,       340.477,   320.818,   271.118,   40
331,      350,       405.11,    348,       248,       210.937,   272,       340.752,   320.869,   272.463,   -55
331,      348,       407.053,   349,       248,       210.615,   272,       343.03,    320.71,    269.741,   0
332,      349,       405.817,   349,       248,       210.379,   272,       342.537,   319.485,   270.617,   45
330,      349,       402.772,   349,       248,       210.704,   273,       341.902,   319.294,   273.688,   -10
331,      349,       402.438,   349,       248,       210.671,   272,       342.067,   318.403,   275.435,   15
331,      349,       401.779,   349,       248,       211.25,    272,       341.001,   318.74,    276.248,   15
332,      350,       400.182,   349,       248,       211.232,   273,       339.853,   317.3,     280.196,   65
332,      349,       400.832,   349,       248,       210.736,   273,       340.488,   316.349,   281.125,   -35
331,      349,       400.603,   349,       247,       211.031,   272,       338.406,   315.389,   281.938,   25
332,      350,       395.333,   350,       248,       210.714,   272,       339.892,   314.243,   287.465,   45
332,      350,       393.62,    349,       248,       210.497,   273,       341.755,   315.806,   286.932,   5
332,      349,       393.61,    349,       248,       210.606,   273,       341.936,   315.729,   287.762,   60
332,      350,       393.631,   350,       248,       210.259,   273,       344.297,   317.111,   283.88,    85
332,      350,       397.47,    350,       249,       209.909,   274,       346.784,   320.187,   275.51,    5
331,      350,       401.081,   350,       248,       210.253,   273,       347.502,   321.48,    270.736,   -15
332,      349,       401.128,   350,       248,       210.631,   274,       346.44,    321.635,   268.303,   75
332,      350,       400.158,   350,       248,       210.542,   273,       346.746,   322.948,   267.65,    50
332,      349,       398.501,   350,       249,       211.061,   274,       342.098,   320.009,   272.812,   10
333,      350,       395.071,   350,       248,       211.176,   273,       341.326,   317.798,   277.823,   85
332,      350,       397.267,   350,       249,       210.682,   274,       342.453,   318.584,   274.469,   65
333,      350,       399.916,   351,       249,       210.988,   274,       342.768,   318.627,   275.443,   85
332,      350,       400.118,   350,       248,       210.978,   274,       342.864,   317.096,   278.962,   25
332,      350,       401.859,   350,       249,       210.949,   274,       342.155,   316.996,   279.125,   105
333,      350,       403.535,   351,       249,       210.988,   275,       342.112,   315.436,   282.933,   115
332,      350,       405.073,   351,       249,       210.702,   275,       342.018,   314.313,   282.431,   40
333,      350,       406.801,   350,       249,       210.662,   274,       341.898,   314.582,   282.927,   35
332,      350,       409.548,   350,       249,       210.336,   275,       341.861,   314.238,   281.898,   130
333,      350,       407.346,   351,       249,       210.528,   275,       340.896,   314.066,   283.322,   90
332,      350,       406.65,    350,       249,       210.646,   275,       338.879,   314.698,   283.449,   35
334,      350,       406.628,   351,       249,       210.501,   275,       339.376,   316.048,   278.81,    140
333,      350,       407.232,   351,       249,       210.811,   276,       338.093,   315.639,   278.368,   85
333,      350,       406.195,   351,       250,       210.851,   275,       339.549,   317.198,   276.089,   90
333,      350,       403.069,   351,       249,       211.166,   274,       338.717,   314.888,   281.324,   45
333,      350,       404.601,   352,       249,       211.404,   275,       337.694,   314.056,   281.683,   165
333,      351,       400.144,   352,       249,       211.488,   276,       337.637,   313.829,   282.156,   105
333,      350,       400.3,     351,       249,       211.294,   276,       336.435,   312.682,   284.594,   70
333,      350,       400.924,   352,       249,       211.312,   275,       337.966,   313.033,   283.49,    165
333,      351,       399.379,   352,       249,       211.156,   276,       339.862,   314.22,    282.177,   170
334,      351,       402.331,   353,       249,       210.823,   276,       342.037,   316.943,   279.037,   95
334,      350,       402.621,   352,       249,       210.756,   276,       342.838,   318.218,   278.243,   95
333,      351,       402.863,   353,       250,       210.533,   276,       342.605,   318.959,   275.922,   180
334,      351,       402.341,   353,       249,       210.301,   277,       342.068,   318.969,   278.171,   150
333,      351,       403.362,   353,       250,       210.227,   277,       343.001,   319.259,   279.619,   110
334,      351,       402.448,   353,       249,       210.723,   276,       341.168,   318.074,   279.816,   195
334,      351,       403.409,   353,       250,       210.464,   277,       342.819,   319.281,   281.944,   145
334,      351,       402.541,   353,       250,       210.63,    277,       341.998,   318.659,   284.054,   140
333,      351,       398.342,   353,       250,       211.116,   276,       339.069,   316.573,   287.83,    115
335,      352,       397.756,   353,       250,       210.601,   277,       340.626,   317.025,   287.404,   255
335,      352,       398.989,   354,       250,       210.764,   277,       338.456,   315.37,    288.184,   155
334,      351,       397.461,   353,       250,       210.926,   277,       339.807,   314.233,   290.345,   160
334,      352,       397.335,   354,       249,       210.47,    277,       342.698,   315.232,   290.704,   250
335,      352,       399.316,   354,       250,       210.594,   277,       342.994,   315.643,   289.604,   140
335,      352,       395.281,   354,       250,       210.855,   277,       342.714,   315.015,   291.379,   135
334,      351,       394.97,    354,       249,       210.845,   277,       343.129,   317.127,   286.812,   225
334,      352,       395.652,   354,       249,       210.899,   277,       341.334,   316.064,   286.256,   210
335,      352,       392.067,   354,       250,       211.228,   277,       340.168,   314.791,   292.064,   125
333,      352,       392.629,   354,       249,       210.853,   277,       341.661,   316.092,   292.161,   165
335,      351,       393.315,   354,       249,       210.854,   277,       339.594,   315.278,   291.354,   205
335,      352,       394.001,   355,       250,       210.99,    278,       341.203,   316.499,   287.368,   130
335,      351,       394.278,   355,       249,       210.814,   277,       340.422,   316.076,   286.697,   130
333,      351,       394.513,   355,       249,       211.094,   277,       339.317,   315.407,   281.203,   260
335,      352,       393.664,   355,       250,       210.985,   277,       341.134,   315.426,   282.895,   220
335,      352,       392.595,   355,       249,       211.27,    276,       338.339,   313.939,   286.97,    125
336,      352,       395.416,   355,       249,       211.335,   277,       338.97,    314.967,   283.867,   210
335,      352,       395.545,   356,       249,       211.37,    277,       339.849,   315.571,   284.247,   220
334,      352,       398.875,   356,       250,       211.139,   278,       339.665,   314.258,   286.012,   140
334,      352,       400.793,   356,       249,       210.835,   277,       341.712,   315.637,   282.732,   210
334,      351,       398.5,     356,       249,       210.62,    277,       343.96,    315.066,   284.141,   215
335,      352,       398.922,   356,       249,       210.227,   278,       344.548,   315.661,   284.126,   240
334,      352,       397.908,   357,       249,       210.24,    277,       345.245,   317.195,   283.857,   145
334,      351,       399.537,   357,       249,       210.012,   278,       345.75,    318.084,   284.017,   170
334,      351,       402.746,   357,       249,       209.783,   278,       346.006,   319.182,   280.857,   260
335,      353,       404.313,   357,       249,       210.005,   278,       346.214,   320.351,   278.818,   200
334,      352,       406.248,   357,       249,       210.114,   278,       345.424,   320.135,   273.384,   210
335,      352,       403.125,   357,       248,       210.557,   278,       343.52,    318.428,   275.008,   265
335,      352,       402.159,   358,       249,       210.953,   278,       342.237,   318.988,   274.173,   270
335,      352,       403.892,   358,       249,       210.946,   278,       340.74,    318.126,   273.509,   180
334,      352,       404.576,   358,       248,       210.779,   278,       340.999,   319.172,   273.527,   185
335,      352,       405.804,   358,       249,       210.525,   278,       341.568,   319.279,   271.744,   260
334,      352,       408.365,   359,       249,       210.178,   278,       341.472,   318.654,   271.397,   185
335,      351,       410.024,   359,       249,       210.069,   278,       342.505,   318.729,   271.095,   205
334,      352,       408.762,   359,       248,       210.11,    278,       342.72,    317.999,   272.319,   255
335,      353,       409.185,   359,       249,       210.194,   278,       342.885,   317.816,   270.83,    195
334,      352,       405.22,    360,       248,       210.767,   278,       341.23,    317.03,    275.463,   225
334,      352,       400.452,   359,       249,       211.01,    278,       340.119,   315.454,   280.801,   215
336,      352,       401.306,   360,       249,       210.567,   279,       342.533,   316.423,   278.87,    300
335,      352,       402.221,   360,       250,       210.335,   280,       344.34,    317.558,   280.019,   225
334,      353,       405.874,   360,       248,       209.844,   278,       344.784,   317.633,   279.098,   255
334,      352,       408.69,    360,       248,       209.535,   278,       345.451,   319.278,   275.712,   280
335,      352,       406.683,   361,       249,       210.102,   279,       342.153,   318.352,   279.975,   205
335,      352,       406.3,     360,       248,       210.354,   278,       339.055,   316.466,   284.683,   210
335,      352,       406.361,   360,       248,       210.427,   278,       341.022,   317.633,   280.767,   280
335,      353,       402.967,   362,       248,       210.983,   279,       339.461,   315.397,   284.632,   295
335,      352,       401.416,   361,       249,       211.252,   279,       340.005,   315.642,   283.726,   215
334,      353,       402.759,   361,       249,       211.094,   279,       341.998,   317.524,   278.875,   275
335,      353,       402.245,   361,       248,       211.332,   279,       341.209,   317.509,   278.604,   335
336,      352,       403.162,   362,       249,       211.239,   279,       341.459,   318.477,   277.743,   220
335,      353,       405.452,   362,       248,       211.238,   279,       341.666,   317.549,   280.031,   220
335,      353,       402.775,   362,       248,       211.687,   279,       340.69,    316.886,   277.054,   300
336,      353,       402.851,   362,       248,       211.737,   279,       340.616,   316.797,   278.404,   310
336,      353,       402.807,   363,       248,       211.38,    280,       343.282,   317.223,   280.07,    245
335,      353,       402.429,   363,       248,       211.257,   279,       341.655,   317.177,   280.075,   310
335,      353,       402.379,   363,       248,       211.053,   279,       341.793,   316.552,   285.221,   305
336,      353,       402.312,   363,       248,       210.956,   280,       342.89,    317.183,   284.623,   325
336,      353,       403.262,   363,       248,       211.181,   279,       340.977,   317.178,   282.131,   310
335,      353,       404.401,   364,       248,       211.312,   279,       340.88,    316.511,   282.425,   320
336,      353,       406.731,   364,       248,       210.921,   280,       342.606,   317.172,   280.454,   315
335,      353,       404.301,   364,       248,       211.059,   280,       339.78,    315.17,    284.573,   240
335,      353,       406.49,    364,       248,       211.041,   280,       341.466,   315.55,    283.35,    320
336,      353,       406.789,   364,       248,       210.86,    280,       342.479,   317.413,   278.768,   325
335,      353,       405.776,   365,       248,       211.137,   280,       341.532,   317.447,   278.527,   260
336,      353,       405.987,   364,       248,       211.005,   280,       342.711,   317.773,   276.092,   265
336,      353,       405.915,   365,       248,       211.143,   280,       341.96,    318.757,   271.912,   365
336,      354,       407.831,   365,       248,       210.612,   281,       344.671,   319.615,   270.933,   325
336,      353,       407.105,   365,       248,       210.823,   281,       344.191,   319.925,   269.848,   285
335,      353,       411.346,   366,       249,       210.511,   280,       346.26,    321.566,   265.813,   380
336,      353,       410.081,   366,       248,       210.42,    281,       345.017,   319.301,   268.084,   320
336,      354,       410.402,   366,       248,       211.25,    280,       343.21,    319.256,   267.678,   300
335,      354,       411.894,   366,       248,       210.74,    280,       344.926,   319.16,    268.939,   285
336,      353,       407.89,    367,       248,       211.344,   282,       341.95,    317.483,   274.1,     415
336,      354,       409.618,   367,       248,       211.19,    281,       343.369,   318.557,   276.531,   335
335,      354,       409.506,   367,       248,       210.753,   281,       344.321,   317.79,    277.795,   320
336,      354,       410.185,   367,       248,       210.898,   280,       343.305,   318.261,   275.918,   400
336,      354,       411.534,   368,       248,       210.548,   282,       344.428,   318.372,   274.606,   350
337,      354,       409.767,   368,       249,       210.743,   282,       343.65,    317.013,   277.474,   335
336,      353,       407.763,   368,       248,       210.598,   281,       343.554,   316.902,   277.428,   370
337,      354,       405.376,   368,       248,       210.841,   282,       341.733,   314.707,   282.358,   460
336,      354,       402.456,   368,       248,       211.169,   282,       340.419,   313.517,   286.608,   320
336,      354,       403.452,   369,       248,       210.944,   281,       340.886,   313.684,   281.627,   410
336,      354,       403.857,   368,       248,       211.279,   282,       340.505,   313.891,   282.227,   420
336,      353,       403.639,   369,       248,       211.484,   282,       342.187,   314.442,   280.637,   325
337,      354,       406.87,    369,       248,       211.101,   281,       345.225,   315.907,   275.07,    325
336,      353,       405.317,   370,       248,       211.409,   281,       343.988,   315.558,   277.276,   420
336,      354,       405.526,   369,       248,       211.142,   282,       343.557,   315.129,   276.569,   430
336,      354,       410.897,   370,       248,       210.521,   282,       343.753,   315.894,   269.702,   340
337,      354,       413.514,   370,       248,       210.439,   282,       343.542,   317.226,   267.364,   425
337,      354,       413.664,   370,       248,       210.3,     282,       344.407,   318.797,   265.947,   415
336,      355,       412.786,   370,       248,       210.465,   283,       345.457,   319.321,   266.002,   420
336,      354,       407.954,   370,       248,       211.029,   282,       343.843,   319.811,   270.187,   440
336,      354,       404.098,   371,       248,       211.113,   282,       342.958,   318.18,    273.733,   440
337,      354,       403.752,   371,       248,       211.229,   283,       341.822,   316.759,   274.846,   405
336,      354,       400.421,   371,       248,       211.481,   283,       340.375,   316.393,   274.538,   395
336,      353,       399.345,   371,       247,       211.403,   283,       340.808,   315.238,   278.302,   450
336,      354,       399.686,   372,       248,       211.445,   283,       341.429,   316.15,    275.812,   495
338,      354,       397.064,   372,       248,       211.332,   282,       344.158,   316.064,   277.521,   395
337,      354,       398.625,   372,       248,       211.025,   283,       344.699,   315.35,    282.662,   400
337,      354,       399.543,   372,       248,       210.686,   283,       346.183,   316.033,   281.713,   475
337,      354,       401.564,   372,       248,       210.577,   283,       346.863,   316.016,   284.128,   395
336,      354,       403.227,   372,       248,       210.755,   283,       345.392,   317.342,   280.357,   410
337,      354,       405.925,   373,       248,       210.717,   283,       345.491,   318.294,   275.314,   495
337,      354,       406.837,   374,       248,       211.007,   284,       343.535,   317.283,   274.4,     405
336,      354,       406.569,   373,       248,       211.497,   283,       342.131,   317.464,   273.01,    430
336,      354,       407.047,   373,       248,       211.46,    283,       341.665,   316.815,   276.674,   445
337,      354,       404.146,   374,       248,       211.566,   283,       342.047,   316.604,   278.44,    490
337,      354,       403.762,   374,       248,       211.503,   284,       342.763,   317.84,    282.16,    405
336,      354,       400.299,   374,       248,       211.361,   283,       341.925,   317.227,   286.61,    525
338,      355,       399.335,   374,       248,       211.49,    284,       341.033,   316.619,   286.458,   530
337,      354,       402.73,    375,       248,       211.907,   284,       339.031,   316.622,   286.032,   405
337,      354,       401.562,   374,       248,       212.108,   283,       339.427,   316.448,   285.014,   395
337,      354,       401.742,   375,       248,       212.215,   284,       338.141,   315.003,   284.786,   560
338,      355,       403.107,   375,       248,       211.747,   284,       339.585,   315.439,   286.119,   525
337,      354,       403.16,    375,       248,       211.152,   284,       341.522,   313.936,   287.702,   460
337,      354,       403.389,   375,       248,       211.016,   284,       339.964,   312.911,   288.086,   560
337,      354,       404.644,   375,       248,       210.702,   284,       343.01,    314.612,   283.844,   510
337,      355,       404.864,   376,       247,       211.124,   285,       341.642,   313.827,   283.519,   465
336,      354,       406.128,   376,       248,       211.263,   285,       341.659,   315.145,   282.921,   440
336,      354,       410.601,   376,       248,       211.012,   285,       343.758,   317.464,   277.469,   525
337,      354,       410.431,   376,       248,       211.2,     285,       341.08,    315.872,   279.701,   490
337,      354,       413.268,   376,       248,       210.639,   285,       343.785,   318.164,   276.013,   465
337,      354,       410.206,   376,       247,       210.836,   284,       342.232,   317.262,   276.597,   445
336,      354,       406.068,   377,       248,       211.096,   285,       342.942,   317.233,   276.473,   580
337,      355,       406.465,   377,       248,       210.796,   286,       344.137,   318.76,    277.583,   495
336,      355,       403.452,   377,       248,       211.104,   285,       343.258,   318.179,   277.807,   475
337,      354,       403.508,   377,       248,       210.999,   285,       343.405,   318.31,    276.409,   590
337,      355,       405.183,   378,       249,       210.699,   286,       343.471,   318.464,   274.828,   495
337,      355,       408.061,   378,       248,       210.686,   285,       345.233,   319.088,   271.292,   490
338,      354,       408.719,   378,       248,       210.34,    286,       346.444,   319.885,   270.361,   585
338,      355,       410.484,   379,       248,       209.961,   286,       348.735,   321.443,   267.926,   585
337,      355,       409.201,   378,       248,       210.141,   286,       347.63,    319.869,   274.797,   485
337,      354,       409.364,   379,       248,       210.063,   286,       347.044,   319.313,   276.869,   535
338,      355,       412.517,   380,       248,       210.166,   286,       347.13,    319.232,   274.656,   615
338,      354,       412.807,   380,       247,       210.481,   286,       345.972,   318.249,   277.188,   480
338,      355,       412.302,   379,       248,       210.673,   286,       346.663,   318.018,   275.959,   570
338,      355,       409.661,   380,       248,       211.045,   287,       345.68,    317.833,   274.257,   580
338,      355,       406.191,   380,       248,       211.314,   287,       343.616,   316.3,     278.915,   580
338,      355,       404.226,   380,       248,       211.576,   286,       342.351,   315.355,   282.304,   505
