0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-65,120,
350.5,    386.5,     422.75,    243.5,     255.75,    208.25,    299.75,    363.333,   343,       254.333,   0
362.5,    413.7,     414.35,    263.5,     256.95,    208.449,   301.149,   362,       344,       251.8,     0
360,      413.699,   414.35,    255.166,   256.949,   208.449,   302.316,   362,       343,       252.855,   0
355.714,  399.128,   423.35,    233.738,   255.664,   208.592,   303.316,   361.047,   344,       255.569,   0
347.887,  391.218,   426.435,   246.629,   256.509,   208.927,   303.826,   360.721,   343,       257.555,   0
337.228,  363.72,    440.162,   222.79,    254.731,   208.71,    302.208,   359.585,   341,       261.997,   0
336.118,  356.581,   440.849,   232.451,   254.843,   208.89,    303.193,   359.241,   342,       262.398,   0
331.176,  350.502,   446.349,   232.267,   254.297,   208.932,   303.175,   358.983,   343,       262.469,   0
337.36,   364.115,   443.194,   230.215,   253.981,   208.933,   303.082,   358.734,   343,       262.266,   0
335.236,  364.171,   443.627,   224.133,   254.303,   209.25,    304.207,   359.565,   344,       261.4,     0
335.11,   365.255,   444.024,   215.802,   253.797,   209.159,   305.352,   360.564,   343,       261.257,   0
337.815,  367.363,   443.692,   213.45,    255.011,   209.477,   308.663,   362.694,   344,       260.179,   0
333.594,  353.255,   449.763,   211.055,   255.158,   209.555,   309.46,    363.26,    344,       260.786,   0
341.931,  371.124,   438.64,    237.758,   256.995,   209.741,   311.21,    364.74,    343,       257.079,   0
340.763,  362.249,   443.87,    226.609,   257.023,   209.824,   310.047,   364.385,   344,       258.292,   0
339.041,  366.375,   437.896,   249.917,   257.739,   210.017,   307.245,   361.769,   343,       259.832,   0
337.676,  363.392,   442.201,   241.183,   257.679,   209.94,    305.929,   360.604,   344,       259.695,   0
332.782,  342.859,   451.709,   227.387,   257.349,   209.968,   306.174,   360.013,   344,       262.783,   0
338.071,  354.661,   446.829,   248.926,   258.252,   209.989,   305.621,   359.388,   343,       260.711,   0
340.075,  348.13,    451.105,   227.356,   257.04,    209.699,   306.389,   360.953,   344,       260.836,   0
338.275,  341.093,   455.377,   211.095,   256.091,   209.665,   305.455,   360.05,    344,       262.809,   0
336.917,  345.697,   455.901,   208.768,   255.054,   209.336,   303.352,   359.103,   343,       262.812,   -40
330.324,  334.703,   460.197,   195.888,   254.169,   209.243,   303.028,   359.062,   344,       264.017,   -5
326.788,  332.784,   461.496,   191.393,   253.759,   209.177,   302.547,   358.792,   344,       263.567,   0
325.147,  331.597,   462.37,    188.578,   253.854,   209.108,   305.132,   360.518,   343,       261.866,   -20
323.465,  329.583,   463.295,   185.694,   253.683,   208.932,   304.386,   358.815,   344,       261.731,   55
326.771,  333.709,   460.737,   184.238,   254.042,   209.031,   305.581,   361.637,   343,       260.499,   -30
324.626,  328.984,   463.629,   176.072,   254.082,   209.01,    307.014,   362.995,   343,       261.871,   10
328.837,  333.468,   457.808,   188.572,   254.544,   209.139,   307.283,   363.349,   343,       260.966,   50
327.462,  324.308,   463.025,   181.84,    254.667,   209.168,   307.696,   363.997,   343,       261.762,   60
325.418,  322.965,   463.351,   174.355,   254.327,   208.902,   306.999,   361.477,   343,       263.752,   -50
327.673,  322.106,   463.312,   181.252,   254.362,   208.744,   304.997,   359.355,   343,       264.021,   35
331.793,  335.054,   458.098,   187.349,   254.765,   208.545,   302.67,    357.833,   343,       264.457,   50
336.697,  356.018,   442.394,   209.565,   254.35,    208.598,   301.952,   356.952,   343,       263.937,   -50
336.166,  355.882,   445.4,     214.595,   254.354,   208.984,   302.231,   356.305,   343,       263.059,   75
339.522,  365.565,   436.841,   226.501,   254.781,   209.161,   302.836,   356.822,   343,       262.017,   -20
332.055,  350.495,   442.805,   217.808,   253.498,   209.106,   302.86,    356.678,   343,       263.478,   75
329.249,  335.134,   454.863,   190.415,   253.376,   209.035,   302.989,   357.591,   343,       264.317,   55
330.403,  332.17,    456.215,   186.96,    253.236,   208.757,   302.097,   357.775,   343,       264.497,   -40
326.958,  322.542,   461.983,   167.026,   252.158,   208.699,   302.992,   357.911,   343,       264.851,   15
330.515,  323.406,   458.723,   166.914,   252.824,   208.784,   305.011,   359.039,   342,       263.237,   15
330.696,  326.588,   450.274,   184.985,   253.602,   208.891,   307.3,     359.246,   343,       262.179,   25
330.738,  325.791,   446.425,   191.846,   254.083,   209.053,   309.043,   360.409,   343,       261.847,   -30
329.135,  331.112,   447.203,   195.392,   254.787,   208.961,   307.907,   359.813,   342,       262.323,   90
328.938,  332.213,   448.557,   192.317,   254.639,   208.843,   306.321,   358.971,   343,       263.097,   10
330.83,   337.873,   451.312,   193.365,   254.358,   208.837,   304.181,   360.837,   343,       262.324,   -35
330.843,  344.457,   452.01,    193.582,   253.969,   208.663,   301.487,   359.946,   343,       263.296,   -55
341.801,  365.791,   440.697,   221.895,   255.138,   209.049,   301.57,    361.869,   343,       259.816,   -5
341.496,  365.731,   439.574,   226.12,    254.78,    209.078,   300.891,   362.283,   343,       260.253,   5
345.163,  369.711,   437.897,   223.656,   254.841,   209.112,   302.421,   362.49,    343,       259.957,   -20
