0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
381,10,-65,120,
333.5,    334.416,   441,       395.75,    258,       210.25,    346,       435.8,     392.125,   277.666,   0
330.7,    334.75,    440,       394.35,    258,       210.25,    346,       437.399,   392.125,   279,       0
331.866,  334.75,    440,       393.183,   258,       210.416,   344.666,   438.333,   392.875,   278.999,   0
332.866,  334.511,   440,       394.183,   259,       210.559,   345.809,   439.59,    392.66,    278.999,   0
329.776,  335.239,   440,       390.959,   258,       210.889,   349.21,    441.731,   391.88,    283,       0
330.644,  335.309,   440,       391.475,   259,       210.98,    348.526,   442.465,   391.63,    283.571,   0
332.469,  334.913,   440,       391.231,   258,       210.918,   347.935,   443.055,   391.667,   283.272,   0
331.412,  334.97,    440,       389.809,   258,       210.969,   348.238,   443.321,   391.739,   281.977,   0
334.646,  333.98,    440,       392.645,   258,       210.552,   344.671,   443.091,   392.362,   280.879,   0
333.218,  334.028,   440,       390.812,   258,       210.777,   347.549,   443.181,   392.467,   280.494,   0
334.325,  333.425,   440,       393.752,   259,       210.471,   346.351,   443.084,   392.795,   277.24,    0
331.741,  333.919,   440,       393.315,   258,       210.4,     346.081,   443.051,   392.517,   278.468,   0
331.326,  334.148,   440,       392.411,   259,       210.806,   348.568,   443.273,   392.54,    277.171,   0
330.056,  334.641,   439,       391.639,   259,       210.954,   349.857,   443.401,   392.121,   279.554,   0
328.446,  335.291,   440,       390.338,   258,       211.165,   352.644,   443.675,   391.597,   281.789,   0
331.975,  334.773,   440,       391.912,   258,       211.275,   354.724,   443.65,    392.322,   280.359,   0
333.068,  334.624,   440,       392.841,   258,       211.056,   355.603,   443.818,   392.72,    278.91,    0
336.498,  333.67,    440,       395.013,   258,       210.642,   352.996,   443.763,   392.805,   275.96,    0
337.648,  333.438,   440,       395.681,   259,       210.567,   350.76,    443.547,   393.192,   275.128,   0
334.459,  333.961,   440,       393.219,   258,       210.609,   349.051,   443.761,   392.888,   275.333,   0
330.658,  334.581,   440,       393.273,   259,       210.688,   349.258,   443.753,   392.055,   277.679,   0
