0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
381,10,-59,118,
318.562,  355.75,    493.416,   430.181,   264,       210.125,   411.5,     494.75,    409.125,   317,       0
318.562,  355.75,    486.083,   438.909,   264,       210.225,   414.1,     494.75,    409.125,   317,       0
317.979,  360.416,   483.027,   446.181,   264,       210.224,   414.1,     494.75,    407.708,   323.666,   0
318.229,  357.416,   490.884,   452.415,   264,       210.224,   412.242,   495.678,   408.922,   323.666,   0
318.431,  355.654,   500.999,   463.072,   263.428,   210.382,   414.206,   498.596,   412.536,   316.047,   0
318.912,  353.641,   513.606,   468.394,   262.489,   210.618,   417.935,   501.003,   415.452,   310.197,   0
320.296,  346.673,   533.689,   473.437,   261.131,   210.889,   420.34,    503.754,   421.415,   296.844,   0
320.091,  347.138,   537.185,   476.44,    260.721,   210.912,   421.497,   503.979,   421.986,   295.869,   0
319.828,  347.921,   537.116,   477.103,   260.906,   210.774,   416.967,   501.033,   419.693,   301.558,   0
319.459,  349.104,   532.617,   476.478,   261.536,   210.582,   411.257,   498.252,   419.085,   303.181,   0
318.089,  355.452,   519.369,   475.665,   261.88,    210.609,   415.531,   499.323,   417.537,   318.372,   0
317.803,  358.639,   511.586,   473.684,   262.617,   210.495,   412.822,   497.73,    415.688,   324.444,   0
317.514,  359.17,    505.32,    472.572,   263.147,   210.526,   415.944,   498.186,   415.115,   330.571,   0
317.736,  357.608,   509.277,   473.261,   262.806,   210.59,    420.328,   500.034,   414.548,   337.341,   0
319.186,  350.917,   523.55,    474.788,   262.367,   210.587,   421.013,   501.064,   415.336,   328.622,   0
319.134,  348.813,   533.116,   477.439,   261.474,   210.457,   416.612,   498.755,   412.857,   329.219,   0
319.865,  345.334,   544.944,   480.005,   260.378,   210.662,   418.564,   500.693,   416.177,   317.597,   0
319.669,  347.58,    539.563,   479.098,   260.602,   210.672,   420.17,    502.644,   418.838,   306.205,   0
318.238,  352.104,   526.136,   476.597,   261.779,   210.398,   414.478,   500.084,   418.124,   300.146,   0
318.86,   349.574,   527.758,   476.476,   262.394,   210.604,   423.459,   503.988,   423.734,   290.278,   0
318.966,  350.179,   522.684,   475.349,   262.968,   210.382,   420.443,   504.459,   424.813,   286.375,   0
