0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-65,120,
322,      350,       453.625,   383,       264.083,   210,       365,       448.5,     400.25,    276,       0
322,      350.399,   453.625,   383,       264.083,   211.199,   365,       447.299,   400.549,   258,       0
322,      350.399,   452.125,   383,       264.027,   210.533,   365,       448.3,     400.383,   264,       0
320.857,  351.542,   450.196,   383,       263.932,   210.247,   365,       449.157,   400.169,   273,       0
321.265,  351.477,   449.063,   383,       263.768,   209.425,   365,       450.393,   400.157,   256,       0
321.16,   351.345,   449.055,   383,       263.627,   208.315,   365,       451.407,   399.958,   270,       0
319.897,  351.766,   447.973,   383,       263.523,   207.712,   365,       451.851,   399.897,   256,       0
320.903,  350.655,   449.584,   383,       263.559,   207.921,   364,       451.664,   400.073,   278,       0
320.28,   350.538,   449.659,   384,       263.577,   207.992,   365,       450.703,   400.275,   262,       0
320.154,  350.422,   449.102,   383,       263.618,   208.232,   365,       450.888,   400.321,   262,       0
320.762,  350.23,    449.906,   383,       263.584,   208.592,   365,       450.465,   400.381,   262,       0
320.171,  351.027,   448.666,   384,       263.492,   208.402,   365,       450.008,   400.354,   276,       0
320.726,  350.811,   449.167,   383,       263.432,   208.175,   365,       450.48,    400.293,   256,       0
321.951,  350.295,   449.82,    383,       263.453,   208.167,   365,       449.564,   400.432,   284,       0
322.121,  350.019,   449.807,   383,       263.53,    208.106,   364,       449.436,   400.511,   272,       0
320.685,  350.16,    448.685,   383,       263.535,   207.778,   365,       450.211,   400.319,   258,       0
321.251,  349.782,   449.259,   383,       263.598,   208.007,   365,       450.173,   400.252,   284,       0
320.579,  349.994,   448.535,   384,       263.523,   207.698,   365,       451.117,   400.083,   264,       0
319.788,  350.276,   447.068,   383,       263.427,   207.354,   365,       451.643,   399.95,    257,       0
320.231,  350.293,   447.48,    383,       263.411,   207.294,   365,       451.276,   400.04,    258,       0
319.514,  350.652,   448.512,   383,       263.432,   207.192,   365,       451.148,   400.082,   263,       0
319.361,  350.746,   450.437,   384,       263.515,   207.406,   365,       450.866,   400.081,   258,       10
320.443,  350.241,   452.847,   383,       263.67,    207.984,   364,       449.898,   400.243,   268,       30
321.617,  349.662,   455.542,   383,       263.802,   208.369,   364,       449.987,   400.343,   277,       80
321.917,  349.521,   456.546,   383,       263.903,   208.822,   365,       449.536,   400.381,   260,       15
321.711,  349.632,   455.49,    383,       263.863,   208.739,   364,       449.631,   400.424,   255,       -25
321.892,  349.259,   457.797,   383,       263.986,   209.418,   364,       449.879,   400.378,   276,       75
320.788,  349.487,   457.476,   383,       264.107,   210.14,    365,       449.578,   400.311,   275,       85
320.055,  349.768,   455.037,   382,       264.041,   209.756,   364,       450.155,   400.23,    269,       40
319.819,  349.502,   455.615,   383,       264.066,   210.473,   364,       449.944,   400.203,   270,       50
321.237,  349.251,   454.661,   383,       263.983,   210.338,   364,       449.668,   400.392,   278,       95
321.873,  349.503,   452.33,    383,       263.774,   209.224,   365,       450.252,   400.26,    254,       -30
323.847,  348.608,   454.515,   383,       263.784,   209.719,   364,       449.695,   400.479,   272,       50
327.851,  347.051,   456.286,   383,       263.934,   209.897,   364,       448.516,   400.876,   272,       60
327.653,  347.023,   455.876,   383,       263.975,   209.834,   364,       448.923,   400.873,   258,       -10
327.907,  346.383,   457.668,   383,       264.146,   210.778,   364,       448.447,   401.104,   286,       125
327.344,  346.351,   456.833,   383,       264.198,   211.215,   365,       448.269,   401.122,   280,       105
323.843,  348.251,   453.696,   383,       263.998,   210.261,   364,       449.377,   400.942,   259,       -10
322.156,  348.997,   452.099,   383,       263.906,   209.465,   364,       449.727,   400.738,   266,       30
322.477,  349.371,   450.661,   383,       263.729,   208.706,   364,       449.624,   400.757,   274,       75
320.639,  350.66,    448.493,   383,       263.519,   206.918,   364,       450.961,   400.491,   255,       -15
320.181,  350.432,   449.036,   383,       263.593,   207.298,   364,       450.902,   400.355,   272,       50
321.614,  349.78,    450.527,   383,       263.644,   207.846,   364,       450.212,   400.586,   270,       35
321.49,   349.839,   451.151,   383,       263.679,   208.009,   364,       450.868,   400.418,   267,       40
323.326,  348.864,   453.459,   384,       263.845,   209.307,   364,       450.283,   400.48,    255,       -10
324.918,  348.354,   454.733,   384,       263.881,   209.594,   364,       449.909,   400.569,   281,       105
323.676,  349.294,   453.406,   383,       263.772,   209.273,   364,       450.437,   400.424,   263,       20
322.274,  349.787,   453.085,   383,       263.69,    208.882,   365,       450.661,   400.281,   261,       10
320.981,  350.49,    451.746,   383,       263.62,    208.535,   364,       450.715,   400.253,   257,       -20
319.847,  351.081,   450.676,   383,       263.535,   208.67,    364,       451.402,   400.137,   290,       150
319.871,  351.051,   450.287,   384,       263.501,   208.869,   365,       451.825,   400.024,   260,       20
320.1,    350.946,   449.244,   384,       263.57,    209.439,   364,       450.848,   400.345,   266,       30
319.402,  351.011,   448.886,   384,       263.515,   208.997,   364,       451.153,   400.358,   276,       90
318.196,  351.287,   447.345,   384,       263.464,   207.9,     364,       451.404,   400.246,   256,       0
319.671,  350.177,   449.496,   383,       263.792,   209.476,   364,       449.629,   400.635,   271,       50
319.61,   350.068,   449.532,   383,       263.777,   209.482,   364,       450.312,   400.391,   274,       60
321.925,  348.79,    451.553,   383,       263.957,   210.408,   364,       449.62,    400.539,   264,       35
323.029,  348.433,   452.797,   383,       264.027,   211.052,   365,       449.366,   400.58,    262,       25
321.223,  349.327,   450.697,   383,       263.823,   209.849,   365,       450.471,   400.287,   275,       85
322.025,  349.221,   452.149,   384,       263.829,   210.187,   365,       450.208,   400.486,   275,       100
320.325,  350.426,   450.306,   383,       263.668,   209.869,   364,       450.006,   400.479,   255,       -20
321.653,  349.853,   451.879,   383,       263.712,   210.272,   364,       449.812,   400.607,   275,       75
321.714,  350.214,   452.047,   383,       263.696,   210.332,   364,       450.003,   400.51,    268,       50
321.67,   350.07,    451.39,    384,       263.725,   209.782,   365,       450.26,    400.442,   256,       0
323.576,  349.448,   452.831,   383,       263.828,   210.055,   364,       450.296,   400.437,   276,       75
322.708,  350.247,   450.395,   384,       263.797,   209.738,   365,       450.08,    400.412,   284,       130
325.136,  349.109,   452.731,   384,       263.859,   208.796,   365,       450.091,   400.541,   260,       25
325.06,   349.257,   454.208,   384,       264.021,   209.798,   365,       449.209,   400.627,   262,       30
325.843,  348.945,   455.047,   384,       264.049,   209.476,   364,       449.34,    400.511,   276,       105
326.862,  348.187,   457.641,   384,       264.132,   209.724,   365,       449.234,   400.597,   253,       -10
324.823,  349.198,   455.128,   383,       264.076,   210.428,   364,       449.112,   400.533,   271,       75
324.79,   349.19,    454.616,   383,       263.941,   209.947,   364,       449.669,   400.377,   273,       80
322.353,  350.082,   452.626,   383,       263.831,   209.728,   364,       450.287,   400.286,   265,       40
322.281,  349.781,   452.553,   384,       263.835,   209.729,   365,       450.152,   400.314,   270,       65
