0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
376,10,-65,126,
319,      336,       342,       290,       258,       207,       261,       311,       313,       246,       0
318,      335,       342,       289,       259,       208,       261,       310,       312,       239,       0
319,      336,       342,       290,       260,       208,       262,       311,       313,       247,       0
318,      335,       342,       290,       259,       208,       261,       310,       313,       235,       0
320,      336,       342,       290,       258,       207,       260,       310,       313,       248,       0
319,      336,       342,       290,       259,       208,       261,       310,       313,       231,       0
319,      335,       342,       289,       259,       208,       261,       310,       313,       248,       0
319,      337,       342,       290,       259,       208,       262,       311,       313,       234,       0
319,      336,       342,       289,       259,       208,       261,       311,       313,       228,       0
319,      336,       342,       290,       259,       208,       261,       311,       312,       247,       0
319,      338,       342,       290,       259,       208,       261,       311,       313,       228,       0
320,      337,       342,       290,       259,       208,       260,       310,       313,       225,       0
320,      337,       343,       290,       259,       208,       260,       310,       313,       240,       0
320,      337,       343,       290,       259,       207,       261,       311,       313,       225,       0
319,      337,       343,       290,       259,       208,       261,       311,       312,       240,       0
320,      337,       343,       291,       259,       208,       261,       310,       312,       247,       0
320,      337,       343,       290,       259,       207,       261,       311,       313,       231,       0
319,      337,       343,       289,       259,       207,       261,       310,       312,       231,       0
320,      337,       343,       290,       259,       208,       261,       310,       312,       245,       0
320,      337,       343,       290,       260,       208,       261,       311,       313,       235,       0
320,      338,       344,       291,       260,       207,       261,       311,       313,       225,       0
320,      337,       344,       290,       259,       208,       261,       310,       312,       240,       20
320,      337,       344,       290,       259,       208,       261,       310,       312,       246,       50
320,      337,       343,       290,       259,       208,       261,       311,       313,       230,       -25
320,      337,       344,       291,       260,       208,       261,       310,       313,       231,       -10
320,      337,       344,       290,       259,       208,       261,       310,       313,       247,       60
320,      337,       344,       291,       259,       208,       261,       311,       313,       239,       30
320,      337,       344,       290,       258,       208,       261,       311,       313,       225,       -50
319,      338,       344,       290,       258,       207,       260,       310,       313,       243,       25
320,      337,       344,       291,       259,       208,       261,       310,       313,       241,       35
320,      337,       345,       290,       259,       208,       260,       311,       313,       228,       -30
320,      337,       344,       289,       258,       208,       261,       310,       312,       237,       -5
320,      338,       344,       290,       259,       208,       262,       311,       313,       248,       80
321,      337,       345,       290,       259,       208,       261,       311,       313,       232,       0
319,      337,       344,       290,       258,       208,       260,       310,       313,       232,       -30
320,      337,       344,       290,       258,       208,       260,       309,       312,       245,       30
320,      338,       345,       290,       258,       208,       261,       310,       313,       238,       20
319,      338,       345,       290,       258,       208,       260,       311,       313,       227,       -40
319,      337,       344,       290,       259,       208,       260,       310,       312,       246,       40
320,      337,       345,       291,       259,       208,       260,       310,       312,       246,       55
320,      337,       345,       290,       259,       208,       260,       310,       313,       230,       -25
320,      336,       344,       290,       259,       208,       261,       310,       313,       228,       -40
320,      337,       344,       290,       259,       208,       261,       310,       313,       237,       10
321,      338,       344,       290,       258,       208,       261,       311,       312,       240,       30
319,      338,       345,       290,       258,       208,       260,       309,       313,       242,       25
320,      337,       344,       290,       258,       208,       261,       310,       312,       237,       0
320,      337,       345,       291,       259,       208,       261,       310,       312,       229,       -25
321,      337,       344,       291,       259,       208,       261,       310,       314,       231,       -5
319,      337,       345,       290,       259,       208,       260,       310,       312,       230,       -35
321,      338,       344,       291,       259,       207,       261,       310,       313,       233,       0
320,      337,       344,       291,       259,       208,       261,       310,       313,       226,       -40
320,      338,       344,       290,       258,       208,       261,       309,       313,       242,       30
319,      337,       344,       290,       258,       208,       260,       310,       313,       243,       25
320,      338,       344,       291,       259,       208,       261,       311,       313,       228,       -20
320,      337,       344,       290,       259,       208,       260,       309,       312,       233,       -25
320,      337,       344,       290,       258,       208,       260,       309,       312,       247,       40
321,      337,       344,       290,       258,       208,       260,       310,       313,       236,       0
320,      337,       344,       290,       258,       208,       260,       310,       312,       227,       -55
319,      337,       345,       290,       257,       208,       259,       309,       312,       242,       5
320,      337,       345,       290,       257,       208,       259,       309,       312,       242,       10
320,      337,       345,       291,       258,       207,       260,       310,       312,       229,       -40
319,      336,       344,       291,       257,       208,       259,       308,       311,       235,       -45
319,      337,       344,       290,       257,       208,       259,       308,       311,       249,       25
320,      337,       345,       290,       258,       208,       260,       309,       312,       234,       -20
320,      337,       344,       290,       258,       208,       259,       309,       312,       224,       -80
319,      337,       344,       290,       257,       208,       259,       308,       311,       240,       -20
320,      337,       345,       291,       258,       208,       259,       309,       311,       243,       20
319,      336,       343,       291,       257,       207,       260,       309,       312,       233,       -50
319,      336,       345,       290,       257,       208,       259,       308,       311,       240,       -20
319,      336,       344,       290,       256,       208,       259,       308,       311,       247,       5
319,      337,       345,       290,       258,       208,       259,       308,       311,       233,       -45
319,      336,       343,       290,       258,       208,       259,       309,       311,       226,       -90
319,      336,       343,       290,       257,       208,       259,       307,       311,       240,       -35
320,      337,       344,       290,       257,       208,       258,       308,       312,       247,       20
320,      336,       343,       290,       257,       208,       259,       309,       312,       229,       -70
319,      336,       343,       290,       257,       208,       259,       308,       311,       231,       -75
320,      336,       344,       290,       257,       208,       259,       309,       311,       247,       20
320,      337,       344,       290,       257,       208,       259,       308,       312,       237,       -25
321,      336,       344,       290,       257,       208,       259,       309,       311,       224,       -90
320,      336,       344,       290,       257,       208,       258,       308,       311,       249,       20
321,      337,       344,       291,       257,       207,       260,       308,       311,       247,       30
321,      337,       344,       291,       258,       208,       259,       309,       312,       231,       -35
321,      336,       344,       291,       258,       208,       259,       308,       312,       228,       -60
321,      336,       345,       290,       257,       208,       259,       308,       312,       246,       25
322,      337,       344,       290,       257,       208,       259,       309,       312,       239,       0
322,      337,       344,       290,       257,       207,       260,       309,       312,       225,       -70
322,      336,       344,       290,       257,       208,       259,       308,       311,       240,       -10
322,      337,       344,       290,       257,       208,       259,       308,       311,       245,       20
322,      337,       344,       291,       258,       208,       259,       309,       312,       233,       -20
321,      337,       344,       290,       257,       207,       259,       308,       312,       229,       -65
322,      338,       344,       290,       256,       208,       258,       307,       311,       244,       5
323,      337,       344,       291,       257,       208,       259,       308,       312,       237,       -5
323,      337,       344,       291,       257,       208,       260,       309,       312,       226,       -50
323,      337,       344,       290,       257,       208,       258,       308,       311,       240,       -5
323,      338,       344,       290,       257,       208,       259,       308,       312,       247,       45
324,      337,       344,       291,       257,       207,       260,       309,       312,       231,       -25
323,      338,       344,       291,       258,       208,       259,       309,       312,       227,       -40
323,      338,       344,       291,       257,       208,       259,       308,       312,       246,       45
325,      338,       344,       291,       257,       208,       260,       309,       312,       241,       40
324,      339,       344,       291,       258,       208,       259,       310,       312,       226,       -30
325,      338,       344,       290,       258,       208,       259,       308,       311,       224,       -60
326,      338,       344,       290,       257,       208,       259,       309,       313,       244,       55
325,      339,       344,       291,       258,       207,       260,       310,       312,       245,       70
324,      340,       345,       292,       258,       208,       260,       308,       312,       232,       10
325,      339,       345,       292,       258,       208,       260,       309,       312,       249,       100
326,      339,       345,       292,       258,       208,       260,       311,       313,       242,       85
326,      339,       345,       291,       259,       208,       261,       311,       313,       226,       10
325,      339,       345,       290,       258,       208,       260,       309,       312,       241,       50
327,      340,       346,       292,       259,       208,       261,       310,       313,       245,       120
327,      340,       345,       291,       258,       208,       261,       311,       313,       231,       40
327,      339,       345,       292,       258,       208,       261,       311,       313,       233,       50
327,      339,       345,       291,       258,       208,       260,       310,       313,       248,       110
328,      340,       346,       291,       259,       208,       261,       311,       313,       236,       80
327,      340,       346,       293,       259,       208,       261,       311,       314,       226,       40
327,      340,       346,       292,       259,       208,       261,       311,       314,       241,       110
329,      341,       346,       291,       259,       208,       261,       311,       312,       246,       135
328,      340,       346,       291,       259,       208,       262,       311,       314,       229,       55
327,      340,       346,       292,       259,       208,       261,       311,       313,       232,       60
328,      341,       346,       293,       259,       208,       261,       311,       314,       250,       170
329,      341,       346,       293,       259,       207,       262,       312,       314,       235,       105
329,      341,       347,       292,       259,       208,       261,       312,       314,       237,       115
328,      340,       347,       293,       259,       207,       261,       312,       313,       248,       155
328,      341,       347,       293,       259,       208,       262,       312,       313,       245,       155
329,      342,       348,       293,       260,       208,       262,       312,       314,       228,       95
329,      342,       347,       293,       259,       207,       262,       311,       314,       232,       95
329,      341,       348,       292,       258,       208,       261,       312,       313,       248,       165
328,      341,       347,       293,       259,       208,       262,       313,       314,       249,       185
329,      342,       348,       293,       259,       208,       262,       312,       314,       228,       90
330,      342,       347,       293,       258,       208,       261,       311,       313,       227,       65
329,      340,       348,       293,       259,       208,       262,       312,       314,       240,       140
329,      342,       348,       294,       259,       208,       262,       313,       314,       229,       105
330,      341,       348,       293,       259,       208,       261,       312,       313,       246,       170
329,      341,       348,       293,       258,       208,       262,       312,       314,       238,       130
330,      342,       348,       294,       258,       208,       262,       313,       314,       234,       130
330,      343,       349,       294,       258,       208,       262,       313,       314,       234,       140
330,      341,       349,       293,       258,       208,       262,       312,       314,       245,       175
330,      341,       349,       294,       258,       208,       262,       312,       314,       240,       155
330,      342,       348,       294,       258,       208,       262,       311,       313,       244,       165
330,      342,       349,       294,       259,       208,       263,       313,       314,       230,       125
329,      342,       348,       294,       259,       208,       262,       312,       314,       231,       110
329,      341,       348,       294,       258,       208,       261,       312,       314,       230,       90
330,      341,       349,       294,       258,       208,       261,       312,       313,       252,       205
330,      342,       349,       294,       258,       208,       262,       313,       314,       236,       145
330,      342,       349,       293,       258,       208,       262,       312,       314,       225,       80
330,      342,       349,       294,       258,       208,       262,       312,       313,       242,       165
330,      342,       348,       295,       258,       208,       262,       312,       314,       246,       190
331,      342,       349,       294,       257,       208,       262,       312,       314,       230,       110
331,      342,       349,       294,       258,       208,       262,       313,       313,       230,       115
330,      342,       349,       295,       258,       208,       262,       313,       313,       252,       225
330,      343,       349,       294,       258,       208,       262,       313,       315,       235,       150
330,      342,       349,       295,       258,       208,       262,       312,       315,       227,       105
330,      342,       349,       295,       258,       208,       262,       312,       313,       251,       215
330,      342,       349,       295,       259,       208,       263,       313,       314,       241,       185
331,      343,       349,       295,       258,       208,       263,       314,       314,       228,       130
330,      341,       349,       295,       258,       208,       262,       312,       314,       241,       165
330,      342,       350,       295,       258,       208,       262,       312,       314,       251,       225
331,      343,       349,       295,       258,       208,       262,       313,       314,       229,       125
330,      342,       350,       295,       257,       208,       261,       313,       314,       228,       105
330,      342,       350,       295,       258,       208,       261,       312,       314,       243,       180
331,      343,       350,       296,       258,       207,       262,       312,       314,       243,       195
330,      343,       350,       296,       258,       208,       263,       313,       314,       229,       135
331,      342,       350,       296,       258,       208,       261,       312,       313,       238,       160
330,      342,       350,       296,       258,       208,       262,       312,       314,       247,       210
331,      342,       350,       296,       258,       208,       262,       313,       314,       234,       155
330,      342,       350,       295,       258,       208,       263,       313,       314,       228,       120
330,      342,       350,       296,       258,       208,       262,       312,       313,       249,       215
331,      343,       351,       296,       258,       208,       262,       313,       314,       238,       185
330,      342,       350,       296,       257,       207,       262,       312,       314,       225,       90
330,      342,       350,       296,       258,       208,       262,       313,       314,       246,       210
331,      342,       350,       296,       259,       208,       263,       314,       314,       244,       220
332,      342,       350,       296,       259,       207,       262,       314,       314,       230,       145
329,      342,       350,       295,       258,       208,       262,       313,       314,       233,       135
331,      343,       350,       297,       258,       208,       262,       313,       314,       247,       230
330,      342,       350,       297,       258,       208,       263,       314,       315,       234,       170
330,      342,       351,       296,       259,       208,       263,       314,       315,       227,       140
330,      342,       350,       296,       258,       208,       262,       313,       314,       240,       180
331,      342,       351,       296,       258,       208,       262,       314,       314,       242,       205
330,      342,       351,       297,       259,       208,       263,       314,       315,       229,       155
330,      342,       351,       296,       258,       208,       263,       313,       314,       237,       175
331,      342,       351,       296,       258,       208,       262,       313,       314,       248,       230
331,      342,       351,       297,       259,       207,       263,       314,       315,       231,       165
330,      341,       351,       297,       258,       208,       263,       314,       315,       230,       150
330,      342,       351,       297,       258,       208,       262,       313,       314,       246,       220
331,      343,       351,       297,       257,       208,       263,       314,       314,       239,       200
330,      342,       350,       297,       257,       208,       263,       314,       314,       225,       115
330,      343,       351,       297,       257,       207,       262,       312,       313,       245,       200
331,      342,       351,       298,       258,       208,       262,       313,       314,       245,       225
330,      343,       351,       297,       257,       208,       262,       313,       314,       242,       200
331,      343,       351,       298,       257,       208,       263,       313,       314,       227,       140
330,      343,       351,       298,       257,       208,       262,       313,       314,       236,       175
331,      342,       352,       297,       257,       208,       262,       313,       314,       247,       230
331,      342,       352,       298,       257,       207,       263,       313,       314,       233,       165
330,      342,       352,       297,       257,       208,       262,       313,       314,       228,       130
330,      343,       352,       298,       257,       208,       262,       312,       313,       259,       285
330,      343,       352,       299,       257,       208,       262,       313,       314,       239,       200
330,      343,       352,       298,       257,       208,       262,       313,       314,       226,       130
330,      343,       352,       298,       257,       208,       262,       313,       313,       226,       125
331,      343,       352,       298,       256,       208,       262,       313,       314,       247,       235
331,      343,       352,       298,       257,       208,       263,       314,       314,       246,       245
331,      342,       352,       299,       258,       208,       263,       313,       314,       232,       175
331,      342,       352,       298,       257,       208,       262,       313,       314,       247,       235
331,      343,       352,       298,       257,       208,       263,       314,       315,       235,       195
332,      343,       352,       298,       258,       208,       262,       314,       314,       237,       205
