0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
400,10,-61,117,
125,      385,       135,       153,       741,       220,       298,       89,        342,       58,        0
125,      386,       134,       151,       741,       219,       296,       89,        342,       58,        0
124,      385,       135,       151,       740,       219,       297,       88,        341,       58,        0
125,      384,       133,       152,       741,       220,       297,       90,        341,       58,        0
125,      386,       133,       152,       741,       219,       297,       90,        341,       57,        0
127,      386,       135,       153,       742,       220,       298,       90,        344,       58,        0
127,      388,       136,       154,       743,       222,       298,       92,        343,       61,        0
126,      387,       135,       153,       741,       220,       297,       91,        343,       58,        0
127,      388,       134,       154,       742,       221,       297,       90,        346,       59,        0
126,      387,       136,       153,       741,       221,       297,       90,        344,       59,        0
125,      386,       136,       153,       740,       221,       298,       90,        344,       61,        0
125,      387,       136,       154,       740,       222,       298,       90,        342,       59,        0
127,      387,       136,       155,       742,       223,       298,       91,        345,       60,        0
126,      387,       136,       154,       740,       221,       298,       89,        343,       60,        0
126,      387,       136,       154,       741,       221,       298,       91,        344,       60,        0
127,      387,       134,       154,       743,       220,       297,       91,        344,       59,        0
125,      388,       135,       153,       740,       222,       297,       90,        344,       60,        0
128,      387,       135,       154,       742,       221,       297,       92,        344,       58,        0
125,      387,       136,       153,       741,       221,       297,       90,        344,       61,        0
126,      388,       135,       153,       741,       222,       297,       89,        344,       60,        0
127,      387,       135,       153,       743,       221,       297,       90,        344,       59,        0
127,      387,       135,       154,       741,       220,       298,       91,        343,       59,        0
126,      389,       136,       153,       743,       222,       298,       90,        345,       61,        40
128,      387,       136,       154,       742,       221,       298,       91,        344,       59,        25
127,      387,       135,       155,       742,       221,       299,       91,        344,       60,        30
127,      389,       135,       153,       741,       222,       297,       90,        345,       59,        15
126,      387,       135,       153,       742,       221,       297,       91,        345,       60,        10
125,      385,       135,       153,       741,       221,       297,       89,        344,       59,        -30
125,      386,       134,       153,       740,       219,       296,       90,        342,       57,        -65
126,      387,       133,       153,       742,       220,       295,       90,        344,       58,        -35
126,      386,       134,       153,       741,       219,       297,       90,        343,       58,        -40
125,      386,       135,       153,       740,       220,       297,       89,        342,       59,        -45
125,      386,       135,       153,       741,       221,       297,       90,        342,       59,        -30
126,      386,       133,       153,       742,       219,       296,       91,        343,       58,        -40
125,      387,       134,       153,       742,       221,       297,       90,        344,       59,        -15
127,      385,       134,       154,       741,       220,       298,       90,        343,       58,        -25
126,      385,       134,       152,       740,       219,       296,       90,        343,       58,        -60
125,      384,       135,       152,       739,       221,       297,       89,        340,       58,        -75
126,      387,       133,       152,       741,       219,       295,       89,        341,       56,        -80
126,      386,       135,       152,       740,       220,       296,       90,        342,       59,        -45
125,      387,       136,       153,       740,       221,       296,       89,        343,       60,        -25
125,      385,       135,       152,       741,       221,       296,       89,        343,       58,        -50
126,      385,       134,       153,       741,       219,       296,       89,        341,       58,        -65
126,      385,       132,       153,       742,       219,       295,       90,        342,       57,        -70
126,      385,       133,       152,       744,       219,       295,       90,        344,       57,        -50
125,      387,       133,       152,       740,       221,       295,       89,        343,       58,        -60
125,      387,       135,       153,       742,       222,       298,       90,        343,       60,        0
126,      387,       134,       153,       743,       221,       296,       90,        343,       59,        -15
125,      386,       134,       153,       744,       221,       297,       90,        344,       58,        -15
127,      388,       135,       154,       745,       223,       297,       90,        345,       60,        45
127,      386,       134,       154,       744,       221,       296,       91,        342,       58,        -10
128,      389,       135,       153,       747,       223,       297,       91,        346,       59,        65
125,      386,       135,       153,       745,       223,       298,       90,        344,       59,        15
126,      387,       134,       153,       746,       223,       296,       90,        345,       58,        15
126,      385,       133,       153,       745,       221,       297,       89,        343,       58,        -25
126,      386,       135,       154,       746,       223,       297,       91,        344,       58,        25
127,      387,       134,       154,       749,       223,       297,       91,        344,       59,        50
126,      385,       134,       153,       748,       224,       297,       90,        343,       58,        15
126,      388,       136,       154,       749,       223,       299,       91,        345,       60,        80
126,      385,       135,       154,       749,       224,       298,       90,        343,       59,        40
125,      387,       136,       154,       750,       226,       299,       90,        345,       60,        85
126,      386,       135,       153,       751,       223,       299,       90,        344,       59,        55
127,      386,       134,       154,       752,       223,       297,       91,        345,       58,        60
128,      387,       134,       154,       754,       225,       297,       92,        346,       58,        100
126,      387,       134,       153,       754,       226,       298,       89,        345,       59,        80
127,      387,       134,       154,       754,       225,       298,       91,        346,       58,        95
127,      388,       134,       152,       756,       225,       297,       91,        346,       57,        90
126,      386,       134,       154,       755,       226,       296,       90,        344,       58,        70
126,      387,       134,       152,       757,       226,       297,       91,        345,       59,        95
126,      385,       135,       153,       755,       226,       297,       90,        346,       59,        85
126,      386,       134,       153,       755,       226,       298,       90,        346,       58,        85
125,      386,       134,       152,       759,       226,       296,       89,        344,       58,        70
125,      386,       134,       151,       756,       226,       296,       88,        345,       57,        45
127,      387,       132,       151,       761,       226,       296,       90,        346,       57,        90
125,      384,       135,       152,       757,       225,       297,       89,        343,       58,        50
125,      386,       134,       151,       761,       226,       297,       90,        345,       57,        85
125,      385,       135,       153,       759,       225,       298,       90,        344,       58,        85
126,      386,       133,       151,       761,       226,       296,       89,        347,       57,        85
126,      387,       133,       151,       763,       227,       297,       89,        347,       57,        110
127,      386,       133,       154,       762,       226,       297,       91,        345,       57,        115
126,      388,       133,       151,       764,       228,       297,       89,        348,       58,        135
125,      384,       136,       152,       762,       227,       299,       89,        345,       58,        110
126,      386,       133,       153,       765,       227,       298,       90,        346,       57,        130
126,      388,       134,       152,       766,       228,       299,       90,        347,       58,        165
127,      388,       134,       151,       765,       228,       299,       89,        346,       57,        145
128,      389,       135,       154,       768,       229,       300,       92,        349,       58,        235
127,      388,       135,       153,       766,       230,       300,       91,        347,       60,        210
127,      390,       137,       153,       766,       231,       301,       90,        349,       60,        245
126,      387,       135,       153,       768,       227,       299,       90,        348,       58,        180
129,      387,       133,       154,       767,       228,       301,       91,        348,       57,        200
127,      389,       134,       153,       769,       231,       300,       90,        351,       58,        235
126,      388,       133,       153,       769,       227,       299,       90,        348,       58,        180
126,      388,       135,       153,       769,       229,       300,       91,        349,       57,        210
127,      388,       133,       153,       771,       228,       299,       90,        348,       57,        195
128,      390,       135,       152,       770,       230,       300,       90,        349,       58,        235
128,      390,       133,       152,       774,       229,       299,       90,        351,       57,        240
128,      389,       133,       152,       772,       228,       300,       90,        349,       57,        215
127,      389,       135,       153,       772,       229,       301,       90,        350,       58,        245
127,      390,       135,       153,       772,       229,       301,       90,        349,       58,        245
127,      389,       134,       153,       772,       230,       300,       91,        350,       58,        245
128,      392,       134,       153,       776,       231,       300,       91,        351,       58,        295
126,      391,       135,       153,       774,       232,       302,       89,        350,       59,        280
128,      392,       135,       152,       776,       230,       301,       90,        353,       58,        300
129,      393,       135,       153,       778,       231,       301,       92,        353,       58,        340
127,      391,       135,       153,       775,       231,       301,       89,        350,       58,        275
128,      392,       135,       154,       777,       230,       303,       92,        351,       57,        320
126,      392,       135,       153,       777,       231,       301,       90,        352,       59,        305
128,      391,       135,       154,       779,       231,       302,       91,        352,       57,        325
130,      393,       135,       154,       780,       232,       303,       91,        353,       58,        370
129,      393,       134,       154,       779,       230,       302,       91,        354,       58,        345
127,      393,       136,       153,       780,       233,       303,       90,        354,       59,        365
127,      394,       135,       153,       781,       233,       303,       90,        351,       60,        360
129,      394,       135,       154,       780,       232,       303,       91,        354,       58,        375
130,      394,       137,       155,       782,       233,       304,       91,        355,       60,        430
128,      394,       135,       153,       781,       233,       303,       91,        354,       59,        380
130,      394,       135,       154,       782,       234,       303,       91,        355,       58,        405
129,      394,       134,       155,       782,       231,       303,       91,        354,       58,        380
130,      396,       135,       154,       784,       234,       304,       92,        357,       59,        450
130,      395,       134,       155,       785,       233,       303,       93,        355,       59,        435
130,      395,       135,       154,       784,       233,       304,       90,        355,       59,        420
130,      395,       136,       156,       787,       232,       304,       91,        356,       58,        450
129,      397,       137,       153,       785,       234,       304,       91,        354,       59,        440
130,      398,       136,       154,       785,       234,       304,       90,        355,       60,        455
132,      400,       135,       154,       788,       235,       305,       91,        359,       59,        515
129,      398,       136,       154,       787,       233,       304,       92,        356,       58,        460
129,      400,       137,       153,       788,       235,       305,       90,        358,       60,        500
130,      398,       135,       155,       788,       233,       306,       92,        356,       59,        485
130,      399,       135,       154,       789,       234,       307,       91,        357,       59,        500
132,      399,       137,       156,       791,       234,       306,       92,        358,       60,        550
130,      399,       136,       155,       789,       235,       306,       92,        358,       59,        520
131,      400,       135,       154,       790,       235,       305,       90,        360,       59,        520
132,      398,       136,       156,       791,       233,       307,       92,        358,       58,        530
132,      400,       136,       155,       792,       235,       307,       93,        359,       59,        565
131,      402,       136,       154,       791,       235,       306,       90,        360,       59,        545
131,      400,       135,       155,       791,       233,       306,       92,        359,       58,        525
131,      401,       136,       156,       792,       235,       308,       92,        360,       58,        570
132,      401,       137,       155,       792,       234,       307,       93,        359,       59,        570
131,      400,       135,       155,       791,       233,       307,       92,        360,       58,        535
131,      401,       133,       154,       795,       234,       305,       92,        360,       57,        535
131,      401,       134,       153,       793,       234,       305,       91,        359,       58,        520
132,      401,       137,       155,       792,       235,       307,       92,        361,       59,        580
131,      400,       136,       154,       793,       235,       307,       91,        360,       59,        555
131,      400,       136,       155,       794,       233,       308,       92,        359,       58,        555
133,      403,       136,       156,       795,       236,       307,       94,        362,       58,        625
132,      402,       137,       156,       795,       235,       308,       92,        362,       59,        615
132,      403,       137,       155,       797,       237,       309,       93,        363,       58,        645
133,      404,       138,       157,       797,       237,       310,       94,        363,       60,        690
132,      404,       138,       156,       796,       236,       309,       93,        362,       59,        650
