0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
401,10,-65,119,
122,      160,       73,        74,        333,       322,       182,       97,        149,       62,        0
123,      161,       73,        73,        334,       323,       182,       98,        152,       63,        0
123,      159,       72,        74,        333,       322,       182,       98,        150,       62,        0
123,      160,       72,        74,        333,       323,       182,       98,        151,       62,        0
125,      161,       73,        76,        335,       323,       184,       99,        152,       62,        0
121,      159,       70,        71,        332,       320,       179,       96,        148,       60,        0
125,      160,       72,        74,        335,       322,       183,       98,        152,       62,        0
122,      160,       73,        73,        334,       322,       182,       97,        149,       62,        0
123,      159,       71,        73,        333,       321,       180,       98,        152,       61,        0
122,      159,       71,        72,        333,       321,       180,       97,        150,       60,        0
122,      159,       72,        72,        332,       321,       181,       96,        150,       60,        0
121,      158,       72,        72,        332,       321,       181,       95,        150,       61,        0
121,      159,       71,        72,        332,       321,       180,       96,        150,       61,        0
122,      159,       70,        72,        333,       320,       180,       97,        150,       60,        0
122,      159,       71,        72,        332,       321,       181,       96,        150,       60,        0
122,      158,       70,        72,        332,       320,       180,       96,        149,       60,        0
121,      159,       70,        71,        332,       321,       179,       95,        149,       61,        0
121,      158,       71,        73,        332,       320,       181,       96,        148,       61,        0
123,      159,       70,        72,        333,       320,       180,       96,        151,       60,        0
122,      158,       71,        72,        332,       320,       179,       97,        149,       59,        0
122,      158,       70,        72,        332,       322,       181,       96,        151,       59,        0
121,      159,       71,        71,        333,       322,       181,       96,        149,       60,        125
122,      158,       70,        72,        331,       320,       179,       95,        148,       59,        80
122,      160,       71,        72,        332,       321,       181,       96,        151,       61,        145
122,      159,       72,        74,        333,       322,       181,       97,        149,       61,        160
124,      161,       71,        73,        334,       322,       181,       98,        151,       62,        195
122,      160,       72,        72,        333,       321,       181,       96,        150,       61,        150
122,      159,       72,        73,        333,       323,       181,       97,        148,       62,        160
123,      159,       71,        73,        333,       321,       180,       97,        150,       61,        150
121,      158,       73,        72,        332,       321,       182,       97,        150,       62,        150
123,      162,       73,        74,        335,       323,       183,       98,        152,       63,        240
125,      162,       74,        75,        335,       325,       183,       99,        152,       63,        275
122,      160,       72,        73,        333,       322,       183,       97,        151,       62,        185
123,      159,       71,        73,        333,       322,       181,       97,        149,       61,        155
121,      159,       71,        71,        332,       320,       179,       96,        149,       60,        100
121,      158,       70,        73,        332,       320,       180,       96,        149,       60,        105
121,      157,       70,        71,        331,       320,       179,       95,        148,       59,        65
122,      157,       71,        71,        331,       320,       180,       95,        149,       59,        85
120,      157,       71,        72,        331,       319,       179,       95,        148,       60,        70
121,      158,       70,        72,        332,       320,       180,       96,        151,       60,        110
119,      157,       71,        71,        330,       320,       179,       95,        147,       59,        50
119,      157,       70,        70,        330,       319,       177,       95,        147,       59,        25
122,      157,       70,        71,        331,       319,       178,       96,        149,       59,        70
120,      156,       69,        72,        330,       318,       177,       96,        147,       58,        25
121,      158,       70,        71,        330,       319,       178,       96,        149,       59,        65
120,      158,       71,        72,        329,       318,       179,       95,        148,       59,        55
121,      157,       70,        71,        329,       318,       178,       95,        148,       59,        40
121,      158,       71,        71,        331,       320,       179,       96,        148,       60,        85
122,      158,       71,        72,        331,       319,       178,       96,        148,       60,        85
123,      159,       73,        73,        332,       321,       181,       97,        151,       61,        165
124,      161,       74,        75,        334,       323,       184,       99,        151,       63,        250
124,      159,       71,        74,        331,       320,       180,       97,        149,       60,        135
122,      159,       71,        73,        330,       320,       180,       96,        150,       60,        115
121,      157,       71,        73,        330,       319,       179,       96,        148,       60,        80
122,      159,       70,        72,        331,       320,       180,       97,        149,       61,        115
121,      158,       71,        73,        330,       319,       179,       95,        149,       60,        85
123,      159,       73,        74,        331,       322,       180,       98,        151,       61,        170
123,      158,       71,        73,        331,       320,       180,       97,        149,       61,        125
122,      159,       71,        73,        330,       320,       179,       97,        149,       60,        110
123,      160,       72,        73,        332,       321,       180,       97,        151,       61,        160
123,      160,       74,        74,        333,       322,       182,       98,        150,       63,        205
124,      159,       71,        74,        331,       320,       180,       98,        149,       60,        140
123,      160,       72,        72,        332,       321,       180,       97,        150,       60,        145
120,      157,       70,        71,        329,       319,       179,       95,        149,       59,        50
120,      157,       71,        71,        329,       319,       179,       95,        148,       59,        50
121,      156,       71,        71,        329,       319,       177,       96,        147,       59,        40
120,      158,       71,        71,        329,       320,       179,       95,        150,       60,        75
121,      157,       71,        72,        329,       319,       180,       96,        147,       59,        65
121,      158,       70,        72,        329,       319,       178,       95,        148,       60,        60
121,      159,       70,        71,        330,       320,       178,       95,        150,       59,        75
120,      158,       70,        71,        330,       319,       178,       96,        148,       60,        60
