0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
395,10,-59,117,
109,      211,       69,        76,        297,       322,       150,       53,        175,       45,        0
110,      210,       71,        77,        297,       323,       152,       54,        174,       46,        0
108,      209,       71,        77,        297,       319,       151,       52,        173,       46,        0
108,      209,       71,        76,        297,       319,       152,       54,        173,       46,        0
111,      208,       68,        79,        297,       318,       151,       54,        174,       45,        0
108,      210,       69,        76,        297,       320,       151,       52,        174,       46,        0
109,      210,       70,        78,        297,       319,       153,       53,        174,       46,        0
110,      209,       68,        78,        299,       317,       150,       55,        174,       45,        0
110,      209,       69,        78,        297,       318,       152,       54,        174,       45,        0
109,      211,       70,        77,        298,       320,       151,       53,        176,       45,        0
109,      210,       70,        77,        297,       319,       152,       53,        174,       46,        0
109,      210,       70,        77,        297,       320,       151,       52,        173,       46,        0
110,      211,       69,        76,        298,       319,       151,       53,        176,       45,        0
111,      210,       69,        78,        299,       318,       151,       56,        174,       45,        0
111,      210,       71,        79,        298,       319,       154,       54,        175,       47,        0
108,      210,       70,        77,        298,       319,       151,       53,        174,       47,        0
110,      209,       69,        78,        298,       318,       151,       54,        174,       44,        0
111,      210,       68,        77,        298,       318,       150,       55,        175,       44,        0
111,      211,       69,        78,        299,       319,       151,       54,        177,       45,        0
108,      210,       72,        77,        297,       321,       151,       53,        175,       47,        0
111,      211,       68,        77,        299,       320,       151,       55,        176,       45,        0
111,      210,       70,        79,        298,       319,       150,       55,        174,       45,        2.5
110,      211,       69,        76,        298,       320,       151,       53,        176,       45,        -5
111,      210,       68,        78,        300,       320,       151,       55,        175,       45,        15
110,      210,       69,        76,        297,       321,       150,       53,        175,       45,        -20
110,      211,       70,        76,        299,       320,       151,       53,        176,       46,        7.5
109,      209,       70,        77,        296,       318,       151,       54,        172,       46,        -40
110,      211,       69,        76,        298,       320,       150,       53,        175,       45,        -15
111,      209,       69,        78,        298,       319,       152,       55,        173,       45,        -5
110,      211,       69,        77,        297,       320,       151,       53,        174,       46,        -12.5
111,      209,       69,        78,        297,       320,       152,       54,        175,       44,        -7.5
110,      208,       69,        79,        297,       319,       150,       54,        173,       44,        -35
110,      208,       70,        78,        297,       318,       152,       53,        174,       45,        -27.5
109,      211,       69,        77,        299,       319,       151,       53,        174,       46,        -7.5
109,      209,       67,        75,        298,       318,       150,       51,        174,       45,        -72.5
110,      210,       68,        76,        299,       319,       150,       54,        176,       45,        -17.5
109,      208,       70,        77,        296,       317,       151,       55,        173,       45,        -47.5
111,      211,       68,        76,        299,       319,       150,       54,        175,       45,        -10
109,      210,       69,        76,        298,       318,       151,       52,        174,       45,        -40
109,      208,       69,        77,        298,       318,       151,       54,        173,       44,        -45
112,      209,       68,        77,        298,       318,       151,       54,        175,       44,        -22.5
108,      208,       68,        77,        296,       316,       151,       53,        171,       44,        -90
110,      208,       68,        77,        297,       317,       150,       54,        173,       43,        -65
109,      209,       68,        76,        296,       318,       150,       51,        173,       45,        -77.5
108,      208,       69,        78,        295,       318,       152,       52,        173,       45,        -60
109,      208,       68,        78,        297,       317,       152,       54,        172,       44,        -55
109,      209,       71,        78,        296,       319,       152,       53,        174,       47,        -12.5
109,      210,       70,        77,        297,       319,       151,       53,        173,       45,        -32.5
110,      210,       68,        76,        297,       318,       149,       53,        174,       44,        -55
108,      210,       70,        76,        297,       320,       150,       53,        173,       45,        -40
109,      210,       68,        76,        297,       319,       151,       52,        175,       46,        -35
110,      208,       69,        77,        297,       318,       151,       54,        172,       44,        -50
109,      210,       69,        76,        297,       320,       150,       53,        175,       46,        -27.5
107,      209,       70,        75,        296,       318,       150,       52,        173,       46,        -70
109,      208,       70,        76,        295,       320,       151,       53,        174,       46,        -42.5
108,      207,       69,        76,        295,       319,       151,       52,        172,       46,        -77.5
108,      209,       70,        76,        295,       320,       150,       53,        173,       45,        -55
110,      209,       68,        77,        296,       318,       151,       54,        174,       45,        -40
109,      207,       69,        77,        295,       318,       151,       53,        173,       44,        -72.5
111,      209,       68,        76,        298,       320,       150,       54,        175,       44,        -25
109,      208,       68,        77,        297,       319,       151,       54,        172,       45,        -52.5
109,      210,       68,        77,        297,       320,       150,       53,        175,       46,        -27.5
110,      211,       69,        76,        298,       320,       150,       53,        176,       44,        -12.5
109,      209,       68,        76,        297,       318,       150,       53,        174,       44,        -60
109,      209,       69,        76,        296,       319,       152,       52,        174,       46,        -40
