0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
375,10,-65,119,
177,      348,       158,       236,       423,       256,       239,       56,        232,       95,        0
177,      349,       158,       236,       424,       257,       240,       57,        233,       96,        0
179,      350,       158,       236,       425,       257,       241,       57,        234,       95,        0
178,      350,       158,       236,       424,       257,       240,       57,        235,       95,        0
178,      350,       158,       235,       425,       258,       240,       56,        233,       95,        0
178,      351,       159,       236,       425,       257,       242,       58,        235,       96,        0
179,      351,       157,       235,       425,       257,       241,       58,        234,       95,        0
179,      351,       158,       235,       425,       256,       241,       57,        234,       96,        0
178,      350,       158,       236,       426,       256,       241,       58,        233,       94,        0
178,      352,       158,       235,       427,       258,       241,       57,        235,       94,        0
179,      350,       157,       236,       426,       257,       240,       58,        234,       94,        0
177,      350,       158,       237,       426,       257,       242,       57,        232,       94,        0
178,      350,       157,       236,       427,       256,       241,       56,        234,       94,        0
178,      351,       158,       235,       426,       257,       240,       57,        233,       93,        0
178,      352,       158,       237,       428,       259,       243,       57,        234,       96,        0
179,      351,       158,       236,       426,       257,       241,       58,        236,       94,        0
177,      350,       157,       235,       426,       257,       240,       56,        233,       95,        0
178,      351,       158,       236,       427,       257,       240,       56,        236,       94,        0
178,      351,       158,       236,       427,       257,       241,       58,        236,       95,        0
179,      351,       158,       236,       427,       257,       241,       57,        235,       94,        0
178,      352,       158,       236,       426,       258,       242,       58,        235,       95,        0
177,      351,       159,       235,       425,       257,       241,       56,        233,       95,        -15
177,      350,       157,       235,       425,       257,       242,       56,        233,       94,        -30
178,      350,       158,       236,       425,       256,       242,       57,        234,       95,        -5
176,      349,       158,       235,       423,       256,       240,       56,        234,       94,        -55
179,      349,       157,       236,       425,       255,       239,       57,        233,       94,        -40
179,      351,       159,       236,       425,       255,       242,       58,        234,       94,        5
177,      351,       159,       237,       424,       254,       240,       59,        234,       95,        -10
179,      352,       160,       237,       425,       255,       243,       60,        234,       95,        40
179,      352,       158,       236,       424,       256,       242,       57,        236,       95,        15
179,      350,       159,       236,       425,       255,       240,       57,        234,       95,        -10
177,      351,       159,       236,       425,       255,       241,       57,        234,       95,        -10
179,      351,       157,       236,       425,       256,       241,       58,        235,       94,        0
178,      351,       158,       236,       424,       255,       241,       58,        234,       95,        -10
178,      350,       159,       236,       425,       255,       240,       57,        234,       96,        -10
178,      351,       158,       235,       424,       256,       241,       57,        233,       94,        -25
178,      350,       158,       235,       424,       256,       241,       58,        233,       94,        -25
178,      352,       159,       236,       424,       256,       242,       58,        234,       95,        10
179,      350,       158,       237,       426,       257,       242,       58,        235,       95,        25
179,      350,       157,       236,       424,       255,       240,       57,        234,       93,        -35
177,      350,       158,       235,       424,       256,       240,       56,        233,       94,        -45
177,      350,       158,       235,       425,       254,       240,       57,        233,       94,        -45
176,      350,       158,       235,       425,       255,       240,       57,        234,       94,        -40
176,      350,       157,       234,       424,       256,       241,       56,        232,       94,        -60
178,      350,       156,       235,       426,       255,       240,       57,        234,       92,        -45
178,      349,       157,       235,       426,       256,       240,       57,        233,       94,        -35
177,      348,       157,       234,       426,       256,       240,       56,        234,       94,        -50
177,      350,       157,       235,       424,       254,       241,       58,        233,       93,        -50
177,      349,       159,       236,       423,       255,       241,       57,        233,       96,        -30
179,      349,       158,       236,       424,       255,       241,       58,        232,       95,        -25
178,      349,       158,       235,       424,       256,       242,       58,        233,       94,        -25
179,      351,       159,       236,       427,       258,       242,       58,        234,       96,        40
179,      350,       158,       236,       427,       257,       240,       58,        234,       95,        10
179,      350,       158,       235,       427,       257,       241,       58,        235,       94,        10
177,      349,       157,       235,       426,       258,       240,       57,        234,       96,        -15
177,      349,       158,       235,       426,       256,       240,       56,        233,       95,        -35
176,      348,       157,       234,       427,       256,       239,       55,        231,       93,        -80
178,      349,       157,       233,       426,       257,       241,       57,        232,       93,        -45
178,      348,       156,       235,       426,       255,       239,       58,        232,       93,        -60
177,      348,       155,       233,       427,       256,       239,       56,        233,       93,        -75
176,      348,       155,       234,       427,       256,       239,       55,        231,       94,        -85
177,      349,       156,       233,       426,       256,       241,       55,        232,       93,        -70
177,      349,       156,       234,       428,       256,       240,       56,        233,       94,        -45
177,      349,       157,       234,       427,       256,       240,       56,        232,       93,        -55
177,      349,       155,       234,       429,       256,       240,       55,        233,       93,        -55
176,      349,       157,       233,       427,       255,       239,       55,        232,       93,        -80
178,      349,       157,       234,       429,       256,       241,       56,        234,       93,        -25
176,      348,       156,       233,       427,       255,       240,       55,        232,       92,        -90
175,      348,       156,       233,       428,       256,       240,       55,        231,       93,        -85
177,      348,       155,       232,       429,       256,       240,       54,        231,       92,        -90
177,      348,       154,       232,       429,       256,       240,       55,        232,       92,        -85
177,      348,       156,       232,       428,       255,       241,       55,        232,       91,        -85
177,      349,       156,       233,       430,       257,       240,       55,        232,       93,        -50
177,      350,       156,       233,       431,       257,       241,       55,        234,       93,        -25
177,      350,       155,       233,       430,       256,       241,       56,        232,       92,        -50
177,      349,       155,       233,       430,       257,       239,       54,        233,       93,        -60
177,      349,       155,       233,       431,       255,       241,       55,        234,       92,        -50
176,      349,       154,       234,       431,       256,       241,       54,        234,       91,        -60
179,      349,       155,       233,       430,       254,       240,       55,        233,       91,        -65
177,      350,       156,       232,       431,       257,       242,       54,        234,       92,        -35
176,      350,       156,       233,       432,       256,       241,       54,        233,       92,        -45
177,      351,       156,       233,       431,       256,       243,       55,        234,       92,        -20
179,      352,       155,       233,       433,       258,       243,       56,        235,       93,        25
179,      351,       156,       234,       434,       258,       243,       55,        234,       93,        25
178,      351,       156,       234,       432,       256,       242,       55,        235,       92,        -5
178,      350,       156,       234,       432,       257,       241,       55,        234,       92,        -15
177,      350,       155,       233,       433,       257,       242,       54,        235,       92,        -20
179,      351,       155,       233,       433,       257,       242,       54,        234,       92,        -10
178,      352,       155,       233,       432,       256,       242,       56,        236,       92,        0
177,      351,       155,       233,       434,       256,       241,       54,        234,       92,        -25
178,      352,       156,       233,       434,       257,       242,       54,        234,       93,        5
178,      351,       155,       234,       434,       258,       243,       54,        234,       92,        5
178,      353,       154,       232,       434,       259,       242,       54,        234,       92,        0
178,      354,       155,       233,       436,       259,       244,       54,        236,       92,        45
180,      354,       154,       234,       437,       259,       243,       55,        236,       92,        60
179,      355,       155,       232,       436,       259,       243,       54,        235,       92,        40
179,      355,       156,       233,       438,       260,       245,       54,        237,       93,        90
178,      355,       155,       234,       438,       259,       244,       54,        237,       93,        75
180,      355,       156,       233,       439,       258,       244,       56,        236,       91,        80
180,      355,       155,       234,       440,       259,       244,       54,        236,       92,        85
179,      355,       154,       233,       439,       259,       245,       53,        236,       92,        65
180,      355,       155,       234,       439,       259,       244,       54,        236,       92,        80
180,      355,       156,       234,       440,       259,       245,       55,        237,       92,        105
180,      356,       156,       234,       440,       259,       245,       54,        239,       92,        115
178,      356,       156,       234,       439,       259,       245,       54,        236,       92,        85
180,      356,       156,       234,       439,       259,       244,       55,        236,       92,        95
180,      357,       155,       234,       441,       259,       246,       55,        237,       92,        120
180,      356,       156,       234,       439,       258,       246,       55,        238,       92,        110
179,      356,       156,       234,       438,       259,       246,       54,        237,       92,        95
181,      357,       155,       234,       440,       258,       245,       54,        238,       93,        115
180,      356,       157,       235,       439,       258,       246,       55,        237,       92,        115
181,      357,       157,       235,       438,       258,       246,       55,        238,       94,        135
181,      357,       157,       235,       440,       259,       247,       55,        239,       93,        155
182,      357,       156,       234,       437,       258,       247,       54,        238,       93,        120
181,      358,       156,       234,       438,       258,       246,       55,        238,       93,        125
182,      357,       156,       236,       440,       259,       248,       55,        239,       94,        170
181,      357,       156,       236,       437,       258,       247,       55,        238,       94,        135
182,      358,       157,       235,       440,       259,       248,       54,        238,       94,        165
180,      356,       157,       235,       438,       258,       246,       55,        240,       93,        130
180,      357,       156,       234,       437,       258,       245,       53,        237,       95,        100
180,      357,       156,       235,       437,       258,       248,       55,        236,       93,        115
182,      357,       156,       235,       438,       258,       247,       55,        239,       93,        140
182,      357,       156,       234,       436,       258,       246,       54,        238,       93,        110
182,      358,       157,       235,       436,       257,       246,       56,        238,       92,        125
182,      359,       157,       235,       438,       259,       247,       55,        240,       94,        170
182,      358,       157,       236,       438,       259,       248,       55,        240,       93,        170
182,      358,       156,       235,       439,       258,       247,       54,        238,       94,        145
182,      358,       157,       234,       437,       258,       248,       54,        239,       93,        140
181,      359,       157,       235,       437,       258,       247,       54,        238,       94,        140
183,      358,       156,       235,       439,       258,       247,       55,        239,       93,        155
180,      357,       157,       234,       437,       258,       248,       54,        238,       93,        120
180,      357,       157,       236,       437,       257,       247,       54,        239,       93,        125
181,      358,       157,       235,       437,       257,       248,       55,        240,       93,        145
181,      357,       156,       235,       436,       258,       247,       54,        239,       93,        120
181,      358,       157,       236,       436,       257,       247,       54,        238,       93,        125
182,      358,       157,       236,       438,       257,       247,       54,        240,       94,        155
182,      358,       157,       236,       437,       258,       249,       54,        239,       94,        160
182,      358,       156,       235,       436,       256,       248,       55,        239,       92,        125
182,      358,       157,       235,       435,       256,       247,       55,        239,       93,        125
181,      358,       157,       235,       435,       258,       248,       54,        239,       94,        135
181,      357,       157,       235,       434,       257,       247,       54,        239,       92,        105
183,      358,       156,       235,       436,       257,       247,       54,        239,       93,        130
182,      358,       155,       236,       436,       257,       247,       53,        239,       93,        120
181,      358,       156,       235,       435,       257,       247,       53,        239,       94,        115
182,      360,       156,       235,       436,       258,       248,       53,        239,       93,        140
182,      358,       155,       235,       437,       259,       248,       53,        239,       94,        140
181,      358,       157,       235,       438,       257,       247,       54,        239,       93,        135
184,      359,       155,       236,       439,       258,       248,       55,        241,       93,        180
183,      359,       156,       236,       439,       258,       247,       55,        240,       92,        165
181,      360,       157,       235,       438,       258,       248,       54,        239,       94,        160
184,      361,       157,       235,       439,       259,       250,       54,        241,       93,        205
183,      362,       157,       235,       440,       260,       248,       53,        242,       94,        210
184,      361,       156,       235,       439,       259,       249,       54,        241,       93,        195
184,      361,       157,       236,       439,       258,       249,       55,        240,       93,        200
184,      362,       156,       236,       440,       259,       250,       54,        242,       92,        215
184,      361,       156,       235,       441,       259,       249,       54,        241,       93,        205
184,      362,       156,       235,       443,       260,       250,       54,        242,       92,        230
184,      364,       156,       235,       441,       261,       250,       53,        244,       94,        250
183,      360,       156,       236,       441,       259,       250,       54,        241,       93,        205
184,      364,       157,       236,       442,       260,       251,       54,        243,       94,        265
185,      363,       156,       237,       443,       260,       250,       54,        243,       94,        265
184,      364,       158,       236,       442,       261,       250,       54,        243,       94,        270
185,      364,       158,       237,       443,       261,       252,       55,        244,       94,        305
187,      365,       158,       237,       443,       262,       251,       55,        245,       95,        330
185,      365,       158,       238,       443,       261,       251,       55,        243,       95,        310
186,      365,       159,       238,       444,       262,       251,       56,        244,       95,        340
186,      367,       159,       238,       445,       263,       253,       55,        246,       96,        380
186,      365,       158,       237,       442,       261,       252,       56,        245,       95,        325
185,      365,       158,       237,       442,       261,       251,       55,        244,       95,        305
185,      366,       157,       238,       443,       260,       252,       54,        246,       95,        320
187,      366,       158,       238,       444,       261,       252,       55,        246,       96,        355
186,      367,       160,       239,       443,       262,       252,       57,        245,       95,        370
187,      368,       161,       240,       445,       263,       254,       56,        247,       97,        430
189,      367,       159,       239,       445,       263,       253,       57,        247,       95,        410
188,      368,       161,       241,       445,       263,       254,       56,        247,       98,        445
187,      366,       158,       238,       445,       262,       252,       55,        244,       94,        345
186,      367,       160,       240,       445,       263,       253,       56,        248,       96,        410
188,      366,       158,       239,       443,       261,       254,       56,        245,       95,        365
188,      368,       160,       241,       446,       263,       254,       58,        249,       96,        455
187,      366,       159,       238,       443,       262,       254,       56,        244,       94,        355
186,      367,       159,       238,       442,       261,       253,       54,        247,       96,        355
186,      366,       160,       238,       443,       261,       252,       55,        245,       95,        345
187,      366,       160,       239,       443,       262,       254,       55,        247,       96,        385
188,      367,       158,       238,       443,       262,       252,       56,        247,       95,        370
188,      367,       159,       240,       443,       261,       255,       57,        245,       96,        395
189,      368,       159,       239,       444,       262,       254,       56,        248,       95,        410
187,      367,       160,       239,       444,       263,       254,       55,        248,       95,        400
189,      368,       161,       240,       443,       263,       255,       57,        247,       96,        435
187,      368,       159,       239,       443,       262,       253,       55,        247,       96,        385
188,      369,       160,       239,       444,       263,       255,       55,        247,       96,        420
189,      369,       159,       239,       445,       264,       254,       56,        249,       95,        435
189,      368,       159,       240,       445,       263,       253,       56,        247,       96,        420
189,      369,       160,       240,       446,       263,       255,       56,        248,       96,        450
190,      370,       160,       239,       446,       264,       254,       56,        248,       96,        455
188,      369,       159,       240,       447,       263,       255,       56,        247,       96,        440
190,      371,       160,       240,       447,       265,       256,       57,        252,       96,        510
190,      370,       161,       241,       446,       264,       255,       57,        249,       97,        490
189,      371,       161,       240,       447,       264,       255,       57,        249,       96,        485
190,      371,       161,       240,       449,       265,       255,       56,        252,       97,        520
191,      372,       160,       241,       448,       265,       255,       58,        249,       97,        520
191,      372,       160,       240,       450,       266,       256,       58,        249,       97,        535
190,      371,       160,       240,       449,       266,       256,       56,        250,       97,        515
191,      372,       161,       241,       448,       265,       256,       57,        249,       96,        520
190,      372,       160,       241,       449,       264,       255,       56,        250,       97,        510
191,      372,       160,       241,       450,       264,       255,       56,        251,       97,        525
190,      372,       160,       241,       449,       264,       255,       56,        251,       96,        510
189,      371,       160,       241,       450,       264,       255,       55,        249,       96,        490
190,      372,       161,       241,       450,       265,       256,       57,        251,       97,        540
190,      373,       161,       241,       448,       263,       256,       56,        252,       96,        520
191,      372,       160,       240,       449,       265,       256,       56,        249,       96,        510
191,      373,       162,       241,       449,       266,       257,       56,        252,       97,        560
190,      372,       161,       241,       448,       265,       256,       55,        251,       96,        515
192,      374,       161,       241,       448,       265,       257,       57,        250,       96,        545
190,      373,       161,       242,       450,       265,       257,       56,        253,       98,        565
