0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
376,10,-59,118,
183,      365,       152,       160,       415,       343,       252,       83,        273,       113,       0
182,      363,       152,       160,       414,       342,       251,       84,        270,       113,       0
183,      365,       152,       158,       416,       343,       251,       83,        272,       114,       0
183,      364,       153,       160,       415,       343,       252,       84,        271,       113,       0
183,      365,       152,       160,       415,       342,       251,       83,        271,       113,       0
184,      365,       152,       160,       416,       343,       253,       85,        273,       114,       0
184,      365,       153,       161,       415,       344,       252,       85,        272,       113,       0
184,      367,       153,       160,       418,       345,       253,       85,        274,       115,       0
185,      366,       154,       161,       416,       344,       252,       85,        274,       114,       0
185,      367,       154,       162,       418,       345,       254,       85,        272,       116,       0
184,      365,       152,       161,       415,       343,       252,       84,        273,       113,       0
186,      366,       154,       161,       416,       344,       252,       85,        274,       114,       0
186,      367,       155,       162,       418,       346,       255,       86,        272,       116,       0
186,      367,       154,       162,       417,       346,       255,       86,        276,       115,       0
183,      365,       152,       161,       415,       343,       251,       85,        272,       113,       0
187,      368,       155,       162,       418,       346,       254,       87,        274,       116,       0
186,      368,       154,       162,       418,       345,       254,       86,        275,       115,       0
186,      367,       154,       162,       418,       345,       253,       86,        274,       115,       0
186,      367,       154,       161,       418,       345,       252,       86,        273,       114,       0
187,      368,       154,       163,       418,       345,       254,       87,        274,       116,       0
188,      369,       156,       164,       419,       347,       256,       87,        276,       117,       0
187,      369,       156,       164,       418,       347,       255,       87,        275,       117,       80
185,      366,       154,       162,       417,       344,       252,       85,        273,       114,       -35
184,      366,       154,       161,       418,       344,       252,       85,        273,       114,       -40
186,      368,       155,       163,       418,       346,       254,       85,        275,       116,       35
185,      367,       155,       162,       417,       344,       253,       86,        273,       114,       -15
184,      367,       155,       162,       417,       345,       252,       86,        273,       115,       -15
185,      366,       154,       162,       418,       344,       253,       86,        275,       115,       -5
184,      368,       153,       161,       418,       344,       253,       85,        275,       114,       -20
183,      366,       152,       160,       416,       343,       251,       85,        271,       114,       -90
182,      365,       153,       161,       416,       343,       251,       85,        272,       113,       -90
183,      366,       153,       161,       417,       343,       253,       85,        274,       114,       -50
183,      366,       154,       160,       416,       344,       251,       85,        273,       114,       -65
185,      370,       156,       164,       420,       347,       254,       87,        275,       117,       80
184,      368,       155,       162,       419,       346,       255,       86,        275,       115,       30
182,      366,       153,       161,       416,       344,       251,       84,        271,       113,       -90
184,      368,       156,       163,       418,       346,       253,       87,        274,       116,       30
184,      367,       153,       162,       418,       345,       253,       85,        274,       114,       -20
185,      367,       155,       162,       417,       345,       252,       86,        274,       115,       -5
186,      368,       154,       163,       420,       346,       254,       87,        275,       116,       50
186,      369,       156,       164,       420,       348,       255,       89,        277,       117,       110
185,      367,       155,       162,       418,       345,       252,       85,        274,       116,       0
184,      368,       154,       162,       418,       346,       253,       86,        274,       116,       10
185,      368,       156,       163,       419,       347,       254,       87,        274,       115,       45
184,      367,       155,       163,       418,       345,       252,       86,        274,       115,       0
185,      368,       154,       162,       419,       346,       252,       86,        274,       115,       10
184,      366,       154,       161,       417,       346,       252,       85,        274,       113,       -35
184,      366,       155,       163,       418,       346,       252,       87,        273,       115,       0
186,      367,       156,       163,       420,       348,       253,       87,        276,       116,       65
183,      366,       153,       160,       418,       347,       251,       85,        273,       113,       -50
182,      365,       153,       161,       418,       348,       252,       85,        272,       114,       -45
182,      362,       152,       160,       417,       346,       250,       84,        272,       112,       -110
183,      363,       152,       160,       418,       346,       250,       84,        272,       113,       -90
182,      364,       153,       161,       418,       348,       251,       85,        271,       113,       -65
182,      364,       153,       160,       419,       349,       250,       85,        272,       113,       -60
183,      365,       153,       160,       420,       349,       252,       85,        273,       114,       -25
183,      365,       153,       160,       420,       351,       251,       85,        274,       114,       -15
183,      365,       153,       161,       421,       350,       250,       85,        273,       113,       -25
183,      364,       153,       161,       422,       352,       251,       86,        274,       115,       10
183,      365,       154,       161,       422,       353,       251,       85,        274,       114,       15
182,      363,       152,       160,       421,       352,       249,       84,        273,       112,       -55
183,      363,       153,       161,       423,       353,       250,       84,        273,       113,       -15
184,      366,       153,       161,       424,       354,       252,       86,        275,       114,       50
183,      363,       152,       160,       422,       354,       250,       84,        273,       112,       -30
185,      367,       154,       162,       425,       357,       253,       86,        276,       115,       105
186,      368,       156,       164,       427,       358,       255,       87,        276,       117,       175
186,      367,       156,       163,       428,       359,       252,       88,        276,       116,       160
187,      368,       156,       165,       429,       359,       254,       89,        277,       115,       200
182,      364,       152,       160,       425,       356,       251,       84,        273,       113,       5
182,      363,       152,       160,       425,       354,       250,       84,        274,       111,       -20
184,      365,       154,       161,       427,       357,       250,       86,        274,       113,       60
184,      367,       153,       160,       429,       358,       251,       85,        275,       114,       85
186,      369,       155,       164,       431,       361,       253,       87,        277,       116,       200
179,      360,       149,       157,       424,       354,       247,       80,        271,       109,       -145
180,      361,       150,       157,       425,       354,       247,       80,        271,       110,       -120
179,      360,       148,       157,       426,       355,       246,       80,        271,       109,       -140
180,      361,       149,       157,       426,       355,       246,       81,        272,       110,       -110
178,      361,       149,       157,       425,       354,       247,       80,        269,       110,       -145
181,      361,       149,       157,       427,       355,       248,       81,        271,       110,       -95
180,      361,       151,       158,       427,       357,       248,       81,        270,       110,       -80
181,      363,       150,       158,       429,       358,       249,       82,        272,       110,       -35
182,      363,       150,       158,       430,       357,       249,       81,        273,       111,       -25
181,      363,       151,       158,       429,       358,       249,       81,        273,       111,       -25
181,      363,       151,       159,       430,       359,       248,       82,        271,       110,       -25
182,      364,       150,       160,       431,       359,       250,       82,        274,       111,       20
183,      364,       151,       160,       430,       359,       249,       82,        275,       111,       25
182,      364,       151,       159,       431,       360,       249,       83,        273,       111,       20
189,      371,       156,       164,       437,       366,       256,       86,        280,       116,       310
186,      369,       154,       162,       435,       364,       253,       85,        278,       114,       205
185,      367,       154,       162,       434,       364,       252,       84,        276,       113,       160
186,      369,       156,       162,       436,       364,       254,       85,        276,       115,       220
189,      372,       157,       165,       439,       367,       257,       87,        282,       117,       365
188,      372,       156,       164,       438,       366,       255,       86,        281,       117,       320
186,      370,       156,       164,       437,       367,       255,       85,        277,       114,       260
186,      370,       154,       162,       437,       365,       253,       84,        279,       115,       230
189,      373,       156,       164,       439,       368,       256,       86,        281,       117,       350
187,      372,       156,       163,       438,       366,       254,       85,        277,       114,       265
190,      373,       157,       166,       441,       368,       257,       87,        282,       117,       395
189,      373,       157,       164,       440,       369,       257,       85,        281,       116,       360
190,      373,       159,       166,       440,       369,       257,       88,        281,       116,       400
