0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-58,118,
132,      216,       75,        79,        346,       294,       204,       54,        153,       45,        0
133,      216,       75,        78,        347,       295,       204,       53,        154,       45,        0
134,      218,       74,        77,        346,       295,       206,       54,        155,       44,        0
132,      216,       76,        79,        347,       294,       204,       55,        155,       46,        0
133,      217,       74,        77,        346,       295,       206,       54,        154,       44,        0
134,      217,       74,        78,        345,       294,       205,       54,        152,       45,        0
133,      217,       75,        77,        346,       295,       205,       55,        153,       44,        0
133,      216,       73,        77,        345,       293,       202,       53,        151,       43,        0
132,      215,       74,        78,        346,       294,       203,       53,        151,       45,        0
132,      217,       74,        78,        347,       295,       205,       53,        155,       45,        0
134,      217,       74,        77,        347,       295,       205,       53,        156,       44,        0
132,      217,       75,        78,        347,       294,       205,       53,        154,       45,        0
132,      215,       75,        77,        347,       293,       206,       54,        158,       45,        0
132,      216,       75,        77,        346,       294,       204,       52,        152,       45,        0
133,      217,       74,        77,        347,       294,       205,       53,        153,       43,        0
133,      218,       76,        78,        347,       295,       206,       54,        155,       45,        0
132,      217,       74,        78,        346,       295,       204,       53,        154,       45,        0
133,      217,       74,        77,        346,       294,       204,       54,        153,       46,        0
133,      218,       76,        79,        347,       295,       207,       54,        155,       45,        0
132,      217,       75,        78,        346,       294,       206,       55,        156,       45,        0
134,      217,       74,        77,        346,       294,       205,       55,        153,       45,        0
134,      217,       75,        78,        347,       294,       205,       54,        153,       44,        0
134,      217,       75,        78,        346,       295,       205,       55,        156,       44,        25
132,      216,       73,        77,        345,       293,       205,       53,        154,       43,        -45
133,      216,       74,        77,        346,       295,       204,       52,        153,       44,        -30
132,      216,       73,        76,        346,       294,       204,       53,        154,       44,        -40
132,      216,       74,        77,        345,       293,       202,       52,        152,       43,        -70
132,      215,       74,        76,        346,       294,       204,       53,        152,       43,        -55
131,      215,       74,        76,        344,       293,       203,       53,        153,       43,        -75
131,      216,       74,        77,        345,       293,       204,       52,        153,       43,        -60
131,      215,       74,        76,        345,       292,       203,       52,        152,       43,        -85
132,      216,       73,        75,        345,       294,       203,       52,        153,       42,        -75
130,      215,       73,        75,        344,       292,       202,       52,        152,       42,        -115
132,      215,       72,        75,        345,       294,       203,       51,        153,       42,        -90
131,      215,       73,        77,        345,       294,       202,       52,        152,       43,        -80
132,      216,       73,        77,        346,       294,       202,       53,        153,       43,        -55
132,      215,       73,        75,        346,       295,       203,       52,        154,       42,        -65
132,      215,       73,        76,        345,       295,       204,       52,        153,       43,        -60
130,      214,       73,        76,        345,       294,       202,       52,        152,       43,        -95
131,      214,       73,        76,        346,       294,       203,       51,        151,       43,        -90
131,      215,       72,        75,        345,       295,       203,       51,        154,       42,        -85
132,      215,       73,        75,        346,       295,       204,       53,        153,       42,        -60
131,      215,       73,        75,        347,       295,       202,       51,        153,       42,        -80
131,      215,       72,        75,        347,       296,       204,       52,        152,       42,        -70
131,      216,       73,        75,        348,       296,       205,       52,        155,       42,        -35
132,      215,       72,        75,        346,       296,       202,       52,        152,       41,        -85
130,      214,       72,        75,        348,       296,       202,       51,        152,       42,        -90
132,      216,       73,        76,        348,       297,       203,       51,        155,       42,        -35
132,      216,       72,        75,        348,       296,       205,       52,        154,       41,        -45
131,      215,       73,        76,        347,       296,       203,       51,        152,       43,        -65
130,      216,       72,        75,        349,       297,       204,       52,        155,       43,        -35
132,      217,       74,        75,        349,       297,       204,       51,        155,       43,        -15
133,      217,       73,        75,        349,       298,       203,       52,        153,       42,        -25
132,      216,       72,        76,        351,       298,       204,       52,        153,       42,        -20
132,      217,       73,        77,        351,       298,       204,       52,        155,       43,        10
132,      217,       73,        76,        351,       298,       204,       53,        156,       43,        15
