0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-60,118,
350,      333,       300,       265,       280,       204,       235,       290,       314,       234,       0
349,      332,       301,       264,       279,       204,       235,       289,       314,       223,       0
350,      333,       300,       265,       279,       204,       235,       289,       314,       242,       0
351,      332,       300,       265,       280,       204,       236,       291,       314,       227,       0
349,      332,       301,       265,       279,       204,       234,       290,       314,       244,       0
350,      332,       300,       265,       280,       204,       235,       291,       315,       234,       0
350,      332,       301,       264,       279,       204,       235,       290,       314,       224,       0
350,      332,       301,       264,       280,       205,       235,       290,       314,       242,       0
350,      333,       300,       265,       280,       204,       236,       291,       315,       227,       0
350,      332,       300,       264,       280,       204,       235,       290,       315,       245,       0
350,      331,       301,       265,       280,       204,       236,       290,       315,       238,       0
350,      332,       301,       265,       281,       204,       236,       291,       315,       225,       0
349,      331,       300,       265,       280,       204,       236,       291,       314,       239,       0
350,      332,       300,       265,       281,       204,       236,       292,       316,       229,       0
350,      331,       300,       264,       280,       204,       237,       292,       315,       226,       0
350,      332,       300,       265,       281,       203,       236,       290,       314,       238,       0
350,      333,       301,       265,       281,       203,       237,       292,       315,       245,       0
351,      332,       300,       265,       281,       204,       237,       292,       316,       230,       0
350,      332,       301,       265,       281,       204,       237,       291,       315,       245,       0
351,      332,       300,       264,       281,       204,       237,       292,       315,       241,       0
351,      333,       301,       265,       282,       204,       237,       292,       316,       226,       0
350,      332,       301,       265,       282,       205,       237,       292,       316,       228,       -10
350,      332,       301,       265,       281,       204,       237,       292,       315,       242,       45
351,      333,       301,       265,       282,       204,       236,       292,       316,       241,       55
351,      333,       300,       265,       282,       204,       237,       292,       316,       227,       -15
351,      332,       301,       265,       281,       204,       237,       293,       316,       227,       -15
350,      332,       301,       265,       282,       204,       237,       293,       316,       240,       50
351,      332,       301,       266,       282,       204,       238,       293,       316,       241,       70
350,      332,       301,       265,       282,       204,       237,       292,       316,       233,       10
351,      333,       301,       265,       282,       204,       237,       293,       316,       246,       90
351,      333,       301,       265,       282,       204,       237,       292,       317,       237,       45
351,      333,       301,       265,       282,       204,       237,       292,       315,       224,       -30
350,      332,       301,       265,       281,       204,       237,       292,       316,       233,       5
351,      333,       301,       265,       282,       204,       238,       293,       316,       231,       20
351,      333,       300,       265,       283,       204,       238,       293,       316,       223,       -20
350,      332,       302,       265,       282,       204,       237,       292,       316,       236,       30
350,      333,       301,       265,       281,       204,       237,       292,       316,       245,       70
351,      332,       300,       265,       282,       205,       237,       293,       317,       233,       25
351,      332,       301,       265,       282,       204,       238,       293,       317,       223,       -20
350,      332,       301,       265,       282,       204,       237,       292,       316,       242,       55
351,      333,       301,       265,       282,       204,       238,       293,       316,       256,       145
351,      333,       301,       265,       282,       204,       238,       292,       316,       226,       -10
351,      332,       301,       265,       282,       204,       237,       292,       317,       237,       40
351,      333,       301,       265,       282,       203,       237,       292,       316,       243,       65
352,      333,       301,       265,       282,       204,       237,       293,       317,       235,       45
351,      333,       301,       265,       282,       204,       237,       293,       316,       225,       -15
352,      333,       301,       265,       282,       204,       237,       292,       316,       241,       65
351,      333,       301,       265,       281,       205,       238,       294,       317,       228,       15
350,      333,       301,       265,       282,       204,       238,       293,       317,       228,       5
351,      333,       301,       265,       282,       204,       237,       293,       317,       238,       55
352,      333,       301,       266,       282,       204,       238,       294,       317,       243,       100
352,      333,       301,       265,       282,       204,       238,       294,       317,       231,       35
351,      332,       301,       265,       282,       204,       237,       293,       317,       242,       70
351,      332,       302,       265,       282,       204,       237,       293,       317,       243,       80
352,      333,       301,       265,       283,       204,       238,       294,       317,       229,       30
352,      332,       301,       265,       282,       204,       238,       293,       317,       237,       55
351,      333,       301,       264,       281,       204,       237,       292,       316,       240,       45
352,      334,       301,       265,       282,       204,       237,       292,       317,       245,       95
352,      334,       301,       266,       281,       204,       238,       293,       317,       227,       15
352,      333,       300,       265,       281,       204,       238,       292,       316,       224,       -25
352,      334,       301,       265,       282,       204,       238,       292,       317,       242,       85
352,      333,       301,       266,       282,       204,       238,       293,       317,       230,       30
352,      333,       301,       265,       281,       204,       238,       293,       317,       225,       -5
352,      333,       302,       265,       282,       204,       237,       293,       317,       239,       70
352,      334,       301,       265,       283,       204,       238,       293,       317,       244,       105
353,      333,       301,       266,       282,       204,       238,       293,       317,       229,       30
352,      334,       301,       265,       282,       204,       237,       293,       317,       242,       85
353,      334,       301,       265,       283,       204,       238,       293,       317,       242,       100
353,      334,       301,       266,       282,       204,       238,       294,       317,       228,       35
352,      333,       301,       265,       282,       204,       238,       293,       317,       228,       15
353,      333,       301,       265,       282,       204,       238,       292,       317,       242,       85
353,      334,       302,       265,       283,       204,       239,       294,       318,       226,       40
353,      335,       301,       266,       282,       204,       239,       293,       317,       230,       50
353,      334,       302,       266,       282,       204,       238,       293,       317,       244,       115
353,      335,       302,       265,       283,       204,       238,       294,       318,       241,       115
354,      335,       302,       266,       283,       204,       239,       294,       318,       225,       50
353,      333,       301,       266,       283,       204,       239,       294,       318,       229,       50
353,      334,       302,       266,       283,       204,       239,       294,       318,       245,       140
354,      335,       302,       266,       284,       204,       239,       294,       318,       244,       150
354,      335,       302,       266,       283,       204,       239,       293,       318,       236,       100
353,      334,       302,       267,       283,       204,       239,       294,       318,       247,       155
354,      335,       303,       267,       283,       204,       239,       295,       318,       239,       135
354,      335,       302,       267,       282,       204,       239,       294,       318,       226,       55
354,      335,       303,       267,       282,       204,       239,       294,       317,       252,       185
354,      335,       303,       267,       283,       204,       240,       295,       318,       230,       95
355,      335,       303,       267,       283,       204,       240,       295,       318,       245,       175
354,      335,       303,       266,       283,       204,       239,       294,       317,       241,       130
355,      334,       303,       267,       283,       204,       239,       295,       318,       243,       155
354,      335,       303,       267,       284,       204,       240,       295,       319,       230,       105
354,      335,       303,       266,       284,       204,       240,       295,       319,       227,       85
354,      335,       303,       267,       284,       204,       239,       295,       319,       244,       170
355,      336,       303,       267,       285,       204,       240,       295,       318,       245,       190
355,      335,       303,       267,       284,       204,       240,       295,       319,       231,       115
354,      335,       303,       267,       283,       204,       239,       295,       318,       228,       80
355,      336,       303,       267,       283,       204,       240,       295,       319,       247,       195
355,      336,       304,       267,       284,       204,       240,       296,       319,       226,       105
354,      335,       303,       267,       283,       203,       240,       295,       319,       233,       110
355,      336,       303,       267,       284,       204,       240,       296,       319,       234,       140
355,      336,       303,       268,       284,       204,       240,       296,       319,       240,       175
354,      335,       304,       267,       283,       204,       239,       295,       319,       239,       145
355,      336,       303,       268,       284,       204,       239,       295,       318,       246,       190
355,      336,       304,       268,       284,       204,       240,       296,       319,       237,       165
355,      336,       304,       268,       284,       204,       240,       296,       319,       224,       100
354,      336,       303,       267,       283,       204,       240,       295,       319,       238,       145
355,      336,       304,       268,       284,       204,       240,       296,       318,       246,       205
354,      336,       304,       269,       284,       204,       241,       296,       319,       228,       125
354,      336,       304,       268,       283,       204,       240,       295,       318,       241,       165
356,      336,       304,       268,       284,       205,       240,       295,       318,       242,       190
