0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-62,119,
316,      396,       210,       212,       251,       435,       220,       211,       277,       212,       0
314,      394,       211,       212,       251,       435,       218,       211,       276,       211,       0
315,      396,       211,       212,       250,       435,       218,       211,       276,       211,       0
316,      395,       211,       212,       251,       435,       219,       212,       276,       211,       0
314,      395,       211,       212,       250,       435,       218,       211,       275,       211,       0
316,      395,       211,       212,       250,       434,       219,       212,       276,       211,       0
317,      395,       211,       212,       251,       435,       219,       211,       277,       210,       0
314,      395,       210,       212,       250,       434,       219,       211,       276,       210,       0
316,      395,       211,       212,       251,       435,       219,       212,       276,       211,       0
314,      396,       211,       212,       251,       434,       218,       211,       275,       211,       0
314,      395,       211,       212,       250,       434,       218,       211,       276,       211,       0
316,      396,       211,       212,       251,       435,       219,       212,       276,       211,       0
315,      395,       211,       212,       251,       434,       219,       211,       276,       210,       0
315,      394,       211,       212,       250,       434,       218,       211,       275,       218,       0
314,      395,       211,       212,       250,       435,       219,       211,       276,       210,       0
316,      395,       210,       212,       251,       434,       218,       211,       275,       211,       0
314,      395,       211,       212,       250,       435,       219,       212,       275,       211,       0
315,      395,       211,       212,       251,       435,       218,       212,       276,       211,       0
317,      396,       211,       212,       251,       435,       219,       211,       277,       211,       0
314,      394,       211,       212,       251,       435,       218,       212,       276,       211,       0
314,      394,       211,       212,       250,       435,       218,       212,       275,       211,       0
316,      395,       211,       212,       251,       435,       219,       211,       276,       211,       5
316,      395,       211,       212,       252,       435,       220,       211,       277,       210,       15
314,      394,       210,       212,       250,       435,       218,       211,       274,       211,       -35
316,      395,       211,       212,       250,       435,       218,       211,       276,       212,       0
315,      394,       211,       212,       251,       435,       219,       212,       276,       212,       5
314,      394,       211,       212,       250,       435,       218,       211,       275,       215,       -5
315,      395,       211,       212,       251,       435,       219,       212,       274,       211,       -5
316,      395,       211,       212,       251,       435,       220,       211,       276,       211,       10
315,      395,       211,       212,       250,       436,       219,       211,       276,       210,       -5
314,      395,       211,       212,       251,       435,       218,       211,       275,       211,       -15
