0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-59,118,
350,      334,       278,       259,       281,       204,       234,       303,       301,       258,       0
351,      335,       279,       259,       282,       205,       234,       304,       303,       243,       0
350,      334,       278,       258,       281,       204,       233,       302,       301,       260,       0
350,      334,       278,       258,       281,       204,       233,       302,       300,       248,       0
350,      333,       278,       258,       281,       205,       233,       302,       300,       240,       0
350,      334,       278,       258,       281,       205,       233,       302,       300,       258,       0
350,      334,       278,       259,       281,       205,       234,       302,       300,       247,       0
349,      333,       278,       258,       280,       205,       233,       302,       300,       264,       0
349,      333,       278,       259,       281,       204,       234,       303,       301,       252,       0
349,      334,       277,       258,       281,       204,       234,       302,       301,       240,       0
349,      333,       278,       258,       279,       204,       232,       301,       299,       251,       0
350,      333,       278,       259,       280,       204,       234,       302,       300,       244,       0
349,      333,       278,       258,       280,       204,       233,       302,       300,       241,       0
349,      333,       278,       259,       279,       204,       233,       301,       299,       261,       0
350,      334,       277,       259,       280,       204,       233,       302,       300,       239,       0
350,      333,       278,       259,       280,       203,       232,       301,       299,       245,       0
349,      334,       278,       259,       279,       205,       232,       301,       298,       259,       0
350,      334,       277,       259,       279,       205,       233,       301,       299,       260,       0
350,      334,       277,       258,       279,       204,       232,       302,       300,       240,       0
349,      333,       277,       258,       279,       204,       232,       301,       298,       243,       0
349,      333,       277,       258,       278,       204,       232,       302,       298,       259,       0
350,      333,       277,       259,       279,       205,       233,       301,       298,       259,       40
350,      333,       278,       258,       279,       204,       233,       301,       298,       251,       -5
350,      333,       277,       258,       279,       204,       233,       301,       299,       261,       45
351,      334,       277,       258,       280,       204,       234,       302,       300,       249,       15
351,      334,       278,       259,       280,       205,       233,       302,       300,       239,       -25
351,      334,       278,       258,       279,       204,       234,       301,       300,       259,       60
351,      334,       278,       259,       280,       203,       233,       302,       300,       261,       75
352,      335,       278,       259,       280,       205,       234,       302,       300,       248,       35
352,      335,       277,       258,       280,       204,       233,       303,       300,       240,       -20
352,      335,       278,       259,       280,       204,       234,       302,       300,       258,       80
353,      334,       278,       259,       281,       204,       234,       303,       300,       246,       30
