0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-65,126,
301,      344,       211,       217,       236,       471,       208,       211,       254,       239,       0
301,      345,       212,       218,       238,       472,       208,       212,       254,       225,       0
299,      344,       211,       217,       237,       471,       208,       211,       253,       234,       0
302,      345,       211,       218,       238,       472,       208,       212,       254,       232,       0
300,      345,       211,       218,       237,       471,       209,       211,       254,       222,       0
300,      345,       211,       217,       238,       472,       208,       211,       254,       245,       0
302,      345,       212,       217,       238,       471,       208,       211,       255,       226,       0
300,      345,       211,       217,       237,       471,       208,       211,       254,       232,       0
301,      345,       211,       217,       239,       473,       208,       211,       254,       223,       0
300,      345,       211,       217,       237,       471,       208,       211,       254,       236,       0
300,      344,       212,       217,       238,       472,       208,       211,       253,       237,       0
301,      345,       212,       218,       239,       472,       208,       211,       255,       229,       0
300,      345,       212,       218,       238,       472,       208,       211,       254,       223,       0
300,      344,       212,       218,       237,       471,       208,       211,       254,       240,       0
300,      345,       211,       218,       238,       473,       208,       212,       255,       239,       0
301,      345,       211,       217,       238,       472,       208,       211,       254,       231,       0
301,      344,       211,       218,       238,       472,       208,       211,       254,       235,       0
301,      345,       211,       218,       239,       473,       208,       211,       254,       234,       0
301,      345,       211,       217,       237,       473,       208,       212,       255,       222,       0
299,      345,       212,       218,       237,       472,       208,       211,       254,       236,       0
301,      345,       211,       217,       238,       474,       208,       212,       255,       229,       0
301,      345,       212,       218,       239,       474,       208,       211,       254,       227,       0
300,      345,       211,       218,       238,       473,       208,       211,       254,       240,       45
301,      345,       211,       218,       238,       473,       208,       211,       254,       240,       50
301,      345,       211,       218,       239,       474,       208,       211,       255,       224,       -15
300,      345,       212,       218,       239,       474,       208,       211,       254,       232,       20
301,      346,       211,       218,       238,       474,       208,       211,       254,       235,       35
302,      346,       211,       218,       239,       476,       208,       212,       255,       233,       55
301,      346,       212,       217,       238,       473,       208,       211,       254,       222,       -35
301,      346,       212,       218,       238,       474,       208,       211,       254,       236,       45
303,      346,       212,       218,       238,       475,       208,       212,       255,       228,       30
302,      346,       211,       218,       239,       475,       208,       211,       255,       227,       15
301,      345,       211,       218,       239,       475,       208,       211,       254,       240,       65
302,      346,       211,       218,       239,       475,       208,       211,       255,       238,       70
302,      346,       212,       218,       238,       475,       208,       212,       255,       223,       0
302,      346,       212,       218,       238,       475,       208,       212,       254,       235,       55
303,      346,       212,       218,       238,       476,       208,       212,       255,       231,       50
303,      347,       212,       218,       239,       477,       208,       212,       255,       230,       60
301,      346,       211,       218,       238,       476,       208,       212,       255,       226,       10
302,      347,       212,       218,       238,       476,       208,       211,       255,       246,       120
302,      347,       211,       218,       239,       478,       208,       212,       256,       225,       35
303,      347,       212,       218,       239,       476,       208,       212,       255,       226,       35
302,      347,       211,       218,       239,       477,       208,       211,       255,       231,       50
304,      347,       211,       218,       239,       478,       208,       212,       255,       235,       90
302,      347,       211,       218,       240,       479,       208,       212,       255,       222,       25
302,      346,       212,       218,       239,       477,       208,       211,       254,       237,       75
303,      348,       212,       218,       238,       478,       208,       211,       255,       237,       95
304,      348,       211,       218,       240,       479,       208,       211,       256,       229,       75
303,      347,       211,       218,       240,       479,       208,       212,       256,       223,       40
303,      347,       211,       218,       239,       478,       208,       211,       255,       240,       105
304,      348,       211,       218,       240,       479,       208,       212,       256,       226,       65
304,      348,       212,       218,       240,       478,       208,       211,       255,       232,       85
303,      348,       211,       218,       239,       479,       208,       211,       255,       234,       85
304,      348,       212,       218,       240,       479,       208,       211,       255,       234,       100
303,      348,       211,       218,       240,       479,       208,       212,       255,       222,       35
304,      348,       211,       218,       239,       479,       208,       211,       254,       242,       125
304,      348,       211,       218,       239,       479,       208,       212,       254,       239,       115
306,      349,       211,       218,       239,       480,       208,       212,       256,       230,       100
303,      348,       211,       218,       239,       480,       208,       211,       255,       227,       55
304,      350,       211,       219,       239,       480,       208,       211,       255,       241,       145
304,      350,       211,       219,       240,       481,       208,       212,       256,       239,       155
304,      349,       211,       218,       240,       479,       208,       212,       255,       234,       105
304,      349,       211,       218,       239,       479,       208,       211,       255,       235,       100
306,      349,       211,       218,       240,       481,       208,       212,       256,       233,       125
305,      349,       212,       218,       239,       479,       208,       212,       256,       222,       55
305,      350,       211,       218,       239,       479,       208,       211,       255,       241,       140
306,      351,       211,       219,       240,       480,       208,       212,       257,       231,       130
306,      350,       212,       218,       240,       481,       208,       212,       256,       228,       110
304,      349,       211,       218,       239,       480,       208,       211,       256,       233,       100
305,      350,       212,       219,       241,       480,       208,       211,       255,       240,       160
307,      349,       212,       218,       239,       480,       208,       213,       256,       225,       90
305,      351,       212,       218,       240,       480,       208,       211,       256,       234,       130
307,      350,       211,       218,       239,       480,       208,       212,       256,       236,       140
305,      350,       211,       219,       240,       482,       208,       212,       256,       234,       140
304,      350,       211,       219,       239,       481,       208,       212,       256,       223,       70
306,      351,       211,       218,       239,       480,       208,       211,       256,       249,       200
306,      351,       212,       219,       240,       482,       208,       212,       256,       229,       130
307,      351,       212,       219,       241,       482,       208,       212,       255,       233,       155
305,      351,       211,       218,       239,       480,       208,       211,       256,       231,       105
306,      351,       211,       219,       239,       481,       208,       211,       255,       243,       175
306,      351,       211,       218,       240,       482,       208,       212,       256,       224,       95
306,      351,       211,       218,       239,       481,       208,       212,       255,       236,       140
307,      352,       211,       218,       239,       482,       208,       212,       256,       238,       170
307,      352,       211,       220,       241,       483,       208,       212,       256,       236,       185
306,      351,       211,       219,       240,       482,       208,       211,       256,       222,       85
306,      351,       212,       219,       240,       482,       208,       211,       255,       240,       175
308,      352,       211,       219,       240,       483,       208,       213,       256,       230,       155
307,      352,       211,       219,       240,       483,       209,       212,       256,       228,       140
306,      352,       212,       219,       240,       483,       208,       211,       256,       230,       140
307,      352,       212,       219,       240,       482,       208,       211,       256,       239,       185
307,      353,       212,       219,       241,       484,       208,       212,       257,       227,       155
306,      352,       211,       218,       240,       482,       208,       211,       256,       236,       155
307,      352,       212,       219,       240,       483,       208,       212,       255,       237,       180
308,      353,       212,       219,       242,       484,       208,       213,       257,       235,       210
307,      352,       211,       219,       241,       485,       208,       212,       257,       223,       130
307,      353,       212,       219,       240,       483,       208,       212,       256,       239,       200
308,      352,       211,       219,       240,       484,       209,       212,       257,       245,       240
309,      353,       211,       220,       241,       484,       208,       212,       256,       224,       145
307,      353,       211,       219,       240,       483,       208,       212,       256,       225,       125
308,      353,       211,       219,       241,       484,       208,       212,       256,       243,       230
309,      353,       211,       219,       241,       484,       208,       212,       257,       226,       155
307,      352,       211,       219,       241,       484,       208,       212,       256,       234,       175
307,      354,       211,       219,       240,       483,       208,       211,       255,       235,       170
309,      353,       211,       220,       241,       484,       208,       212,       257,       234,       200
308,      354,       212,       220,       241,       484,       208,       212,       257,       223,       150
308,      353,       212,       219,       240,       482,       208,       212,       256,       240,       205
308,      353,       211,       220,       241,       484,       208,       213,       257,       241,       235
310,      354,       211,       219,       241,       484,       208,       212,       256,       224,       150
308,      353,       211,       219,       239,       485,       208,       212,       256,       225,       135
309,      354,       211,       220,       241,       484,       208,       211,       256,       241,       230
309,      354,       211,       221,       241,       484,       208,       213,       257,       226,       175
309,      354,       212,       219,       241,       484,       208,       213,       257,       226,       170
