0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
379,10,-63,119,
347,      337,       326,       280,       277,       205,       265,       319,       335,       246,       0
347,      337,       327,       281,       278,       205,       266,       320,       336,       234,       0
346,      337,       327,       279,       277,       205,       265,       320,       335,       228,       0
347,      336,       326,       281,       277,       205,       265,       320,       335,       236,       0
347,      337,       326,       280,       278,       205,       265,       320,       335,       227,       0
346,      337,       326,       280,       278,       205,       265,       319,       335,       244,       0
347,      337,       326,       280,       278,       205,       265,       320,       335,       240,       0
346,      337,       326,       281,       277,       205,       265,       319,       334,       241,       0
347,      338,       326,       280,       278,       205,       265,       320,       335,       226,       0
346,      337,       326,       280,       277,       205,       264,       319,       334,       240,       0
347,      337,       326,       280,       278,       204,       265,       320,       335,       250,       0
346,      337,       326,       280,       278,       205,       265,       319,       334,       234,       0
347,      337,       327,       280,       277,       205,       264,       319,       335,       231,       0
347,      337,       326,       280,       277,       205,       265,       319,       335,       232,       0
348,      337,       327,       280,       277,       205,       265,       320,       335,       225,       0
347,      336,       326,       280,       277,       204,       264,       319,       335,       242,       0
347,      337,       327,       280,       277,       204,       264,       319,       335,       244,       0
347,      337,       327,       280,       278,       205,       265,       319,       335,       228,       0
347,      337,       327,       280,       278,       205,       265,       319,       335,       230,       0
347,      337,       327,       280,       278,       205,       265,       319,       335,       245,       0
348,      338,       327,       280,       278,       204,       265,       319,       335,       236,       0
347,      338,       327,       280,       277,       205,       264,       319,       335,       226,       -40
347,      336,       327,       280,       277,       205,       264,       319,       334,       240,       15
348,      337,       326,       281,       278,       205,       265,       320,       335,       249,       90
347,      337,       326,       280,       277,       205,       265,       320,       335,       233,       -5
347,      337,       326,       280,       277,       204,       264,       318,       335,       250,       60
348,      337,       326,       280,       278,       205,       265,       320,       335,       232,       0
348,      337,       326,       280,       277,       205,       265,       320,       335,       227,       -30
348,      337,       326,       280,       278,       205,       265,       319,       335,       242,       45
348,      338,       326,       280,       277,       205,       265,       319,       335,       243,       50
348,      338,       326,       280,       278,       205,       265,       320,       336,       227,       -15
348,      336,       326,       280,       278,       205,       265,       319,       335,       230,       -20
349,      337,       326,       280,       278,       204,       265,       319,       335,       246,       65
351,      338,       325,       280,       279,       205,       265,       320,       336,       236,       45
350,      337,       326,       279,       278,       205,       265,       319,       336,       226,       -25
350,      337,       326,       280,       279,       205,       265,       319,       335,       239,       45
350,      338,       326,       280,       279,       205,       266,       321,       336,       244,       95
351,      338,       326,       280,       280,       205,       266,       321,       336,       229,       30
350,      338,       326,       280,       279,       205,       265,       320,       336,       246,       95
351,      338,       326,       280,       279,       205,       266,       321,       336,       246,       110
353,      339,       325,       280,       280,       205,       266,       321,       337,       229,       45
352,      338,       326,       280,       279,       205,       266,       320,       336,       225,       5
353,      339,       326,       280,       279,       205,       266,       321,       337,       243,       115
353,      339,       325,       280,       280,       205,       267,       321,       337,       227,       40
353,      339,       325,       280,       280,       205,       266,       321,       337,       231,       55
354,      339,       326,       280,       279,       205,       266,       321,       336,       248,       140
355,      340,       326,       281,       280,       204,       266,       321,       337,       240,       120
355,      340,       326,       280,       279,       205,       266,       320,       337,       226,       40
356,      339,       325,       280,       280,       205,       266,       321,       336,       240,       110
356,      340,       326,       281,       280,       205,       267,       322,       337,       246,       170
357,      341,       326,       281,       279,       205,       266,       322,       337,       230,       90
