0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
379,10,-65,126,
321,      334,       214,       223,       265,       208,       208,       219,       267,       232,       0
321,      334,       213,       224,       264,       207,       208,       220,       268,       217,       0
321,      333,       214,       223,       263,       207,       208,       218,       265,       230,       0
321,      334,       213,       224,       264,       208,       208,       220,       267,       230,       0
321,      334,       213,       224,       264,       207,       209,       219,       267,       229,       0
322,      335,       214,       224,       265,       207,       208,       219,       268,       233,       0
322,      335,       214,       223,       265,       207,       208,       220,       268,       221,       0
321,      334,       213,       223,       264,       207,       208,       219,       268,       234,       0
321,      334,       214,       223,       265,       207,       208,       220,       268,       222,       0
321,      334,       213,       223,       264,       207,       209,       220,       268,       219,       0
322,      334,       213,       224,       264,       207,       208,       220,       268,       223,       0
322,      334,       213,       224,       265,       207,       208,       220,       268,       226,       0
321,      334,       213,       224,       264,       207,       208,       219,       268,       231,       0
323,      335,       213,       224,       265,       208,       208,       220,       268,       228,       0
323,      335,       213,       224,       264,       207,       208,       220,       268,       220,       0
321,      335,       213,       224,       264,       207,       208,       219,       268,       230,       0
321,      335,       213,       224,       263,       208,       208,       219,       268,       234,       0
322,      334,       213,       224,       264,       208,       208,       220,       268,       225,       0
321,      334,       213,       223,       265,       208,       208,       220,       269,       218,       0
322,      335,       213,       224,       264,       208,       208,       220,       268,       232,       0
322,      334,       213,       223,       264,       207,       208,       220,       268,       228,       0
322,      335,       213,       223,       265,       207,       208,       220,       269,       219,       -24.063
322,      334,       214,       223,       264,       208,       208,       220,       268,       226,       3.125
322,      335,       213,       224,       264,       208,       208,       221,       268,       235,       58.75
322,      334,       213,       224,       264,       207,       208,       221,       268,       222,       -12.813
322,      335,       213,       224,       264,       208,       208,       219,       268,       219,       -29.063
322,      335,       214,       223,       264,       207,       208,       220,       267,       234,       39.687
322,      335,       213,       224,       265,       208,       208,       220,       269,       224,       10.624
322,      335,       213,       224,       264,       208,       208,       220,       269,       217,       -31.563
323,      335,       214,       223,       264,       208,       208,       220,       269,       229,       35.625
322,      336,       213,       224,       266,       207,       208,       220,       268,       232,       51.874
322,      335,       213,       224,       265,       207,       208,       219,       268,       227,       9.374
323,      335,       213,       224,       264,       207,       208,       220,       268,       231,       35.312
323,      335,       213,       224,       265,       207,       208,       221,       269,       222,       3.749
323,      336,       213,       223,       265,       207,       208,       220,       269,       219,       -16.876
323,      335,       214,       224,       264,       207,       208,       220,       268,       240,       83.749
323,      335,       213,       224,       265,       207,       208,       220,       269,       224,       8.75
323,      335,       213,       224,       265,       207,       208,       220,       268,       218,       -25.313
323,      335,       213,       224,       265,       207,       208,       219,       268,       231,       33.749
324,      336,       213,       224,       265,       207,       208,       220,       268,       231,       50.312
324,      335,       213,       224,       265,       207,       208,       221,       269,       220,       .937
323,      335,       214,       224,       265,       207,       208,       220,       269,       226,       26.249
323,      336,       214,       224,       266,       207,       209,       220,       269,       236,       89.061
324,      336,       213,       224,       266,       208,       208,       221,       270,       223,       36.562
324,      336,       213,       224,       265,       207,       208,       220,       268,       220,       -5.313
325,      336,       213,       224,       266,       207,       208,       220,       268,       233,       71.249
324,      337,       213,       224,       266,       208,       208,       221,       270,       218,       14.375
324,      337,       214,       224,       266,       208,       208,       220,       269,       219,       13.75
324,      337,       213,       224,       266,       207,       208,       220,       269,       231,       66.561
325,      336,       214,       224,       267,       208,       208,       221,       270,       221,       41.249
325,      336,       214,       224,       267,       207,       208,       221,       269,       226,       53.749
325,      337,       214,       224,       267,       207,       208,       220,       270,       238,       119.999
325,      337,       214,       224,       266,       208,       208,       222,       269,       223,       51.561
325,      337,       214,       224,       266,       207,       207,       221,       270,       219,       18.124
324,      337,       214,       225,       267,       207,       208,       220,       270,       233,       94.061
325,      338,       214,       224,       267,       208,       208,       221,       270,       227,       80
326,      337,       214,       224,       267,       208,       208,       222,       270,       221,       55.311
325,      338,       214,       224,       267,       207,       208,       221,       269,       239,       127.811
325,      339,       214,       225,       267,       208,       208,       221,       269,       232,       109.061
326,      338,       214,       224,       267,       207,       208,       221,       270,       221,       52.811
325,      338,       214,       224,       267,       208,       208,       222,       270,       220,       48.124
325,      338,       214,       224,       267,       207,       208,       222,       270,       227,       78.75
326,      339,       214,       225,       267,       207,       208,       222,       270,       224,       79.529
326,      338,       214,       225,       267,       207,       208,       221,       270,       232,       110.311
326,      339,       214,       225,       267,       208,       209,       222,       270,       227,       103.75
326,      339,       214,       225,       268,       208,       208,       222,       270,       220,       70
326,      338,       214,       225,       267,       207,       207,       221,       269,       231,       93.436
326,      339,       214,       225,       267,       208,       208,       221,       270,       232,       119.686
326,      339,       214,       224,       267,       208,       208,       222,       270,       221,       64.686
326,      339,       214,       225,       267,       207,       208,       221,       269,       223,       65.625
326,      339,       214,       225,       267,       207,       208,       221,       270,       235,       130.936
326,      338,       214,       224,       267,       208,       208,       222,       270,       225,       80.625
325,      339,       213,       225,       267,       207,       208,       222,       270,       219,       44.375
326,      339,       213,       225,       266,       207,       208,       221,       269,       231,       95.936
326,      339,       214,       225,       267,       207,       208,       222,       270,       227,       93.125
327,      339,       214,       225,       266,       208,       208,       221,       270,       221,       64.061
327,      338,       215,       225,       266,       207,       208,       221,       269,       230,       102.5
326,      339,       214,       225,       266,       207,       208,       221,       269,       233,       110
327,      339,       214,       225,       266,       207,       208,       221,       268,       224,       66.875
327,      338,       214,       225,       266,       208,       208,       221,       269,       220,       48.123
327,      338,       214,       225,       266,       207,       208,       222,       269,       225,       76.093
326,      338,       214,       225,       267,       207,       208,       221,       269,       217,       32.186
327,      339,       214,       225,       266,       208,       208,       221,       269,       231,       109.061
326,      339,       214,       225,       266,       207,       208,       221,       270,       228,       89.686
326,      339,       214,       225,       266,       208,       208,       222,       270,       220,       60
326,      338,       214,       225,       266,       207,       208,       220,       269,       232,       93.749
326,      339,       214,       225,       265,       207,       208,       221,       269,       235,       114.061
326,      339,       214,       225,       266,       208,       208,       221,       270,       222,       64.998
326,      338,       214,       225,       265,       207,       208,       221,       270,       219,       34.061
326,      339,       214,       225,       266,       208,       208,       221,       269,       234,       121.25
327,      339,       214,       225,       266,       207,       208,       221,       270,       227,       90.625
326,      339,       214,       225,       266,       207,       208,       221,       270,       218,       40.936
326,      339,       215,       225,       266,       207,       208,       220,       269,       229,       88.748
327,      340,       214,       225,       266,       207,       208,       221,       270,       233,       126.873
327,      339,       214,       225,       266,       207,       208,       221,       270,       221,       60.625
327,      338,       214,       225,       265,       207,       208,       221,       269,       235,       114.686
326,      339,       214,       226,       266,       207,       208,       221,       269,       235,       125.311
327,      339,       214,       225,       266,       207,       208,       221,       270,       218,       45.311
326,      339,       215,       225,       266,       207,       208,       220,       269,       233,       109.061
327,      339,       215,       225,       265,       207,       208,       221,       269,       230,       100.311
327,      339,       214,       225,       266,       208,       208,       221,       270,       219,       55.311
326,      339,       214,       225,       266,       208,       208,       221,       269,       228,       89.061
327,      340,       214,       226,       266,       207,       208,       221,       269,       234,       129.061
327,      340,       215,       225,       266,       207,       208,       222,       270,       223,       85.936
326,      339,       214,       225,       266,       207,       208,       221,       270,       221,       55.936
327,      339,       215,       226,       266,       207,       208,       221,       269,       233,       123.748
327,      340,       215,       226,       267,       208,       208,       221,       270,       226,       109.998
327,      340,       215,       226,       266,       207,       208,       221,       270,       219,       66.248
326,      339,       214,       226,       266,       207,       208,       221,       270,       231,       110
327,      340,       214,       226,       266,       207,       208,       221,       270,       233,       129.061
327,      340,       215,       225,       267,       208,       208,       221,       270,       233,       139.375
