0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
380,10,-65,126,
328,      353,       232,       246,       273,       208,       218,       254,       282,       240,       0
329,      353,       231,       247,       273,       209,       218,       254,       282,       242,       0
329,      353,       232,       246,       273,       208,       218,       253,       282,       226,       0
329,      353,       231,       246,       273,       208,       218,       254,       282,       245,       0
329,      353,       231,       247,       273,       208,       219,       254,       282,       227,       0
329,      353,       231,       246,       272,       208,       217,       253,       282,       240,       0
330,      353,       232,       246,       272,       208,       218,       254,       282,       240,       0
329,      353,       231,       247,       272,       208,       218,       253,       282,       225,       0
328,      353,       231,       247,       271,       208,       219,       254,       282,       238,       0
328,      354,       232,       247,       272,       209,       218,       254,       282,       225,       0
330,      353,       231,       247,       272,       208,       217,       253,       283,       226,       0
329,      353,       232,       246,       272,       209,       218,       254,       281,       239,       0
329,      354,       232,       247,       273,       208,       218,       253,       282,       242,       0
329,      353,       231,       247,       272,       208,       218,       253,       281,       239,       0
330,      353,       232,       246,       272,       209,       218,       253,       282,       241,       0
329,      353,       231,       247,       272,       208,       218,       254,       281,       225,       0
328,      353,       232,       246,       271,       208,       218,       253,       281,       243,       0
329,      353,       231,       246,       272,       208,       218,       253,       282,       240,       0
329,      354,       231,       246,       272,       208,       218,       253,       282,       225,       0
329,      353,       231,       247,       272,       209,       218,       253,       281,       241,       0
328,      353,       232,       247,       272,       209,       218,       253,       281,       243,       0
329,      353,       232,       246,       272,       208,       218,       254,       281,       228,       -35
329,      353,       232,       246,       272,       208,       218,       253,       281,       237,       5
329,      353,       232,       246,       272,       208,       217,       253,       282,       245,       45
329,      353,       231,       246,       272,       208,       218,       254,       282,       229,       -30
328,      354,       231,       247,       272,       208,       218,       253,       281,       231,       -25
329,      353,       231,       247,       272,       208,       218,       252,       281,       247,       50
329,      353,       231,       246,       272,       208,       218,       254,       282,       234,       -5
329,      353,       231,       247,       272,       209,       219,       254,       282,       231,       -5
329,      353,       232,       246,       271,       208,       217,       253,       281,       250,       60
329,      353,       231,       247,       272,       208,       218,       254,       282,       234,       0
330,      353,       231,       247,       272,       208,       218,       254,       282,       238,       25
328,      353,       232,       246,       272,       208,       218,       252,       281,       244,       30
329,      354,       231,       247,       273,       208,       218,       253,       282,       237,       20
329,      354,       232,       246,       272,       209,       218,       253,       282,       228,       -25
329,      353,       231,       246,       272,       208,       217,       253,       282,       243,       30
329,      353,       231,       246,       272,       208,       218,       253,       282,       242,       30
329,      354,       231,       247,       272,       208,       219,       254,       282,       226,       -30
330,      353,       231,       246,       272,       209,       218,       253,       282,       227,       -35
329,      352,       231,       246,       272,       208,       218,       254,       282,       245,       45
330,      353,       232,       247,       272,       208,       218,       254,       282,       245,       65
329,      353,       231,       247,       272,       209,       218,       253,       281,       233,       -10
330,      352,       232,       246,       271,       209,       218,       253,       282,       230,       -25
329,      353,       231,       246,       272,       208,       218,       254,       282,       234,       -5
330,      354,       231,       246,       272,       208,       218,       254,       283,       234,       10
330,      353,       232,       246,       272,       209,       218,       253,       281,       229,       -25
330,      353,       232,       246,       272,       209,       217,       253,       282,       245,       55
330,      354,       231,       247,       272,       208,       218,       254,       282,       236,       20
330,      354,       232,       247,       272,       209,       219,       254,       282,       225,       -20
329,      353,       232,       246,       272,       208,       218,       254,       282,       240,       30
330,      355,       231,       247,       272,       208,       219,       253,       282,       244,       65
330,      354,       231,       247,       273,       208,       219,       254,       282,       229,       -5
330,      354,       231,       246,       272,       208,       219,       254,       282,       233,       5
330,      353,       232,       246,       272,       208,       218,       254,       282,       246,       65
330,      354,       231,       246,       272,       208,       219,       255,       282,       232,       5
331,      354,       231,       246,       273,       208,       219,       254,       283,       228,       -5
330,      353,       231,       246,       272,       209,       218,       253,       283,       244,       55
330,      354,       231,       247,       273,       208,       218,       255,       282,       237,       35
330,      354,       232,       246,       272,       208,       219,       254,       282,       226,       -25
331,      354,       231,       246,       273,       208,       218,       254,       283,       239,       45
330,      354,       231,       246,       272,       208,       219,       254,       282,       245,       65
331,      354,       231,       247,       273,       208,       219,       254,       283,       245,       85
330,      355,       232,       246,       273,       208,       218,       254,       282,       236,       30
330,      354,       232,       247,       272,       208,       218,       253,       282,       233,       5
331,      354,       231,       247,       272,       208,       219,       254,       282,       232,       10
331,      354,       231,       247,       272,       208,       218,       254,       283,       233,       15
329,      353,       232,       246,       272,       209,       218,       253,       281,       251,       80
331,      354,       231,       247,       272,       208,       219,       254,       283,       236,       35
331,      355,       231,       246,       272,       208,       219,       254,       283,       237,       40
330,      354,       231,       246,       272,       208,       218,       253,       281,       243,       40
329,      354,       231,       247,       272,       208,       219,       254,       281,       243,       50
330,      354,       231,       247,       272,       209,       219,       254,       282,       225,       -25
331,      354,       231,       246,       272,       209,       218,       254,       283,       232,       10
331,      353,       232,       247,       272,       208,       218,       254,       282,       243,       60
331,      354,       232,       247,       273,       208,       219,       253,       282,       251,       110
330,      354,       232,       247,       273,       209,       219,       253,       282,       231,       10
330,      354,       231,       247,       272,       208,       218,       254,       282,       230,       -10
330,      354,       232,       247,       272,       208,       218,       254,       282,       247,       80
331,      355,       231,       247,       272,       209,       218,       254,       282,       236,       35
330,      354,       231,       246,       272,       208,       219,       253,       282,       228,       -25
330,      354,       232,       247,       271,       208,       218,       253,       282,       242,       45
331,      354,       231,       246,       272,       208,       219,       253,       282,       243,       55
330,      354,       231,       247,       272,       208,       219,       254,       282,       227,       -20
330,      354,       231,       247,       272,       208,       219,       253,       282,       234,       10
331,      353,       231,       247,       272,       208,       218,       254,       282,       254,       110
330,      354,       232,       247,       272,       208,       219,       254,       283,       232,       15
330,      354,       232,       247,       272,       208,       218,       254,       282,       229,       -10
330,      354,       231,       247,       272,       208,       218,       253,       282,       228,       -25
332,      354,       231,       247,       271,       208,       218,       254,       282,       238,       35
331,      353,       231,       248,       272,       209,       219,       254,       283,       241,       65
331,      355,       231,       247,       271,       208,       218,       253,       281,       240,       35
330,      353,       232,       247,       272,       208,       218,       253,       282,       237,       20
331,      355,       232,       247,       272,       208,       219,       254,       282,       227,       -5
331,      354,       232,       247,       272,       208,       218,       254,       283,       229,       0
330,      354,       231,       247,       271,       208,       218,       254,       282,       232,       -5
331,      353,       232,       247,       272,       208,       217,       254,       282,       246,       70
330,      354,       231,       247,       272,       208,       219,       254,       282,       232,       5
330,      354,       231,       247,       271,       208,       219,       254,       282,       232,       0
331,      354,       232,       247,       272,       208,       218,       253,       282,       243,       60
331,      355,       232,       247,       272,       208,       218,       253,       282,       242,       60
331,      354,       232,       247,       271,       208,       219,       254,       282,       225,       -25
331,      353,       231,       247,       271,       209,       217,       253,       282,       240,       30
331,      354,       231,       247,       272,       208,       218,       253,       282,       245,       65
331,      354,       231,       247,       272,       208,       218,       253,       282,       227,       -25
330,      354,       232,       247,       271,       208,       218,       253,       282,       235,       10
331,      354,       232,       248,       271,       208,       218,       253,       281,       246,       70
331,      354,       232,       247,       271,       208,       219,       254,       282,       235,       25
329,      354,       231,       247,       271,       208,       218,       253,       282,       231,       -20
330,      354,       232,       247,       270,       209,       218,       253,       281,       245,       55
331,      354,       232,       247,       272,       208,       219,       254,       283,       235,       35
330,      354,       232,       248,       271,       209,       219,       254,       282,       228,       -5
331,      354,       232,       247,       271,       209,       217,       253,       282,       243,       55
330,      354,       233,       247,       271,       208,       218,       253,       281,       243,       50
330,      354,       232,       247,       272,       208,       218,       253,       282,       226,       -30
331,      354,       232,       247,       271,       208,       218,       253,       282,       226,       -30
331,      354,       232,       247,       270,       208,       218,       252,       281,       245,       50
330,      355,       231,       247,       272,       208,       218,       253,       282,       230,       -10
329,      355,       231,       247,       271,       208,       218,       253,       282,       231,       -15
330,      354,       232,       248,       270,       208,       218,       252,       281,       247,       60
331,      354,       232,       248,       271,       208,       218,       253,       282,       237,       30
331,      354,       232,       247,       271,       208,       218,       254,       281,       227,       -25
330,      354,       232,       247,       271,       208,       218,       252,       281,       241,       30
331,      354,       232,       247,       271,       208,       218,       253,       282,       241,       45
331,      354,       232,       247,       271,       209,       218,       253,       282,       242,       55
330,      355,       232,       247,       272,       209,       218,       252,       281,       238,       30
330,      354,       232,       248,       271,       209,       218,       253,       282,       237,       30
331,      354,       232,       248,       271,       208,       218,       254,       283,       230,       5
331,      355,       231,       247,       272,       209,       218,       254,       282,       232,       15
330,      354,       232,       248,       271,       208,       218,       252,       281,       231,       -15
