0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-65,126,
320,      341,       231,       242,       268,       208,       215,       247,       283,       236,       0
320,      341,       231,       243,       267,       208,       215,       247,       283,       222,       0
319,      341,       231,       242,       267,       208,       215,       247,       283,       234,       0
320,      341,       231,       242,       267,       208,       216,       246,       283,       225,       0
319,      341,       231,       242,       268,       209,       215,       246,       284,       241,       0
319,      341,       231,       242,       268,       208,       215,       247,       283,       227,       0
320,      341,       231,       242,       268,       208,       215,       246,       283,       242,       0
319,      341,       231,       242,       267,       208,       215,       247,       283,       229,       0
320,      341,       231,       242,       267,       208,       215,       246,       283,       242,       0
320,      341,       231,       243,       268,       208,       215,       247,       284,       225,       0
319,      341,       231,       242,       267,       208,       215,       246,       283,       233,       0
319,      340,       231,       242,       267,       208,       215,       246,       283,       243,       0
320,      341,       231,       242,       267,       208,       216,       247,       283,       225,       0
320,      340,       231,       242,       268,       208,       216,       245,       283,       229,       0
320,      341,       230,       243,       268,       208,       215,       246,       283,       242,       0
321,      341,       231,       242,       267,       209,       216,       247,       283,       227,       0
319,      341,       230,       243,       267,       208,       215,       246,       283,       230,       0
320,      340,       230,       242,       267,       209,       215,       246,       283,       242,       0
321,      341,       231,       242,       267,       208,       215,       246,       284,       229,       0
320,      340,       231,       242,       267,       209,       215,       246,       283,       229,       0
319,      341,       231,       243,       267,       208,       215,       245,       283,       249,       0
320,      341,       230,       242,       268,       208,       216,       246,       283,       230,       -10
320,      341,       230,       243,       268,       208,       215,       247,       283,       224,       -35
320,      341,       230,       242,       267,       208,       215,       245,       283,       250,       75
321,      341,       231,       242,       268,       208,       215,       246,       283,       234,       15
319,      341,       231,       242,       267,       208,       216,       246,       283,       228,       -25
320,      342,       230,       242,       267,       208,       215,       245,       283,       238,       20
321,      341,       230,       242,       268,       209,       215,       247,       283,       234,       20
320,      342,       231,       242,       268,       209,       216,       246,       283,       223,       -30
320,      341,       231,       242,       267,       208,       216,       246,       283,       238,       30
320,      341,       231,       243,       267,       208,       216,       246,       283,       239,       40
320,      341,       231,       242,       268,       209,       216,       246,       283,       225,       -25
320,      342,       230,       243,       268,       208,       215,       246,       283,       224,       -35
321,      341,       231,       242,       268,       208,       215,       247,       283,       237,       35
321,      342,       231,       243,       268,       208,       216,       247,       283,       238,       55
320,      342,       231,       243,       268,       208,       216,       246,       283,       238,       45
321,      342,       231,       243,       268,       208,       216,       246,       283,       236,       40
321,      342,       230,       243,       268,       208,       217,       247,       284,       237,       55
320,      340,       230,       243,       268,       208,       216,       246,       283,       239,       35
321,      342,       231,       242,       268,       208,       216,       246,       283,       236,       35
321,      342,       231,       242,       268,       209,       217,       247,       284,       224,       -5
323,      342,       231,       242,       268,       208,       215,       246,       285,       227,       5
320,      341,       231,       242,       268,       209,       216,       246,       284,       241,       60
321,      342,       231,       242,       269,       208,       216,       247,       283,       240,       65
321,      342,       231,       242,       269,       208,       216,       247,       284,       232,       30
320,      341,       231,       243,       268,       208,       216,       247,       283,       236,       35
321,      342,       231,       243,       269,       208,       217,       247,       284,       243,       95
322,      342,       231,       244,       269,       208,       217,       248,       285,       231,       55
322,      342,       231,       243,       268,       208,       216,       247,       284,       230,       25
322,      343,       230,       243,       270,       208,       216,       247,       284,       243,       100
321,      343,       231,       243,       269,       208,       217,       248,       284,       229,       35
321,      342,       231,       242,       269,       208,       217,       247,       284,       227,       10
321,      343,       231,       243,       269,       208,       216,       247,       284,       246,       110
322,      343,       231,       243,       270,       208,       216,       247,       284,       228,       30
321,      343,       231,       243,       269,       208,       216,       248,       285,       226,       20
321,      343,       231,       243,       269,       208,       217,       248,       284,       242,       100
323,      342,       231,       243,       269,       207,       216,       248,       285,       233,       55
322,      342,       231,       243,       269,       208,       216,       248,       285,       228,       30
