0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
380,10,-59,118,
353.25,   327,       347,       278,       276.249,   206,       264,       326.5,     332,       248.25,    0
349.049,  328,       353.399,   278.799,   276.249,   206,       263,       327.6,     332,       246.25,    0
347.883,  327,       353.399,   278.8,     276.249,   206,       263,       325.766,   332,       246.25,    0
344.883,  328,       353.399,   279.371,   276.726,   206.285,   263,       326.552,   332,       245.535,   0
342.688,  327,       352.028,   279.567,   277.27,    206.469,   264,       325.774,   332,       244.433,   0
341.779,  327,       354.118,   279.676,   277.178,   206.393,   263,       325.513,   332,       244.888,   0
340.907,  328,       349.649,   282.087,   278.024,   206.592,   264,       325.477,   332,       243.979,   0
341.339,  327,       351.399,   281.904,   277.734,   206.35,    264,       324.537,   332,       244.471,   0
342.146,  327,       349.023,   282.238,   277.086,   206.048,   264,       325.146,   332,       244.477,   0
342.199,  327,       341.438,   283.747,   277.311,   206.141,   263,       324.308,   332,       244.418,   0
344.383,  327,       344.837,   282.27,    276.495,   206.077,   264,       324.141,   332,       245.909,   0
344.818,  328,       339.328,   283.465,   276.794,   206.038,   264,       324.085,   332,       245.4,     0
345.2,    328,       340.229,   284.211,   277.228,   206.036,   264,       323.148,   332,       246.961,   0
344.628,  328,       344.627,   283.706,   277.693,   206.164,   264,       322.982,   332,       246.61,    0
344.663,  327,       337.74,    285.054,   278.102,   206.177,   264,       323.602,   332,       245.996,   0
343.641,  327,       342.085,   284.139,   277.812,   206.054,   264,       324.318,   332,       246.081,   0
341.419,  328,       344.636,   282.985,   277.42,    206.056,   264,       324.486,   332,       245.241,   0
342.96,   328,       340.066,   282.311,   276.905,   205.898,   264,       324.701,   332,       245.045,   0
340.717,  327,       347.255,   280.776,   276.734,   206.001,   264,       325.643,   332,       244.909,   0
343.299,  327,       343.422,   281.439,   276.817,   206.136,   263,       325.833,   332,       246.885,   0
343.568,  328,       340.963,   281.789,   276.97,    206.29,    264,       325.239,   332,       246.405,   0
341.655,  327,       343.377,   282.286,   277.455,   206.489,   264,       326.102,   332,       245.885,   -65
344.789,  328,       335.966,   283.645,   278.034,   206.559,   264,       324.596,   332,       246.739,   25
342.001,  327,       337.186,   283.388,   278.446,   206.905,   263,       324.419,   332,       244.575,   10
342.777,  327,       334.361,   284.76,    279.133,   206.993,   264,       325.088,   332,       244.314,   -60
343.938,  328,       335.359,   283.97,    278.897,   206.922,   264,       325.729,   331,       244.804,   -20
339.816,  328,       342.129,   282.874,   279.02,    207.117,   264,       326.676,   333,       243.099,   -45
340.504,  327,       342.835,   282.8,     278.626,   206.861,   264,       326.213,   332,       242.888,   -15
340.179,  327,       346.332,   281.377,   278.077,   206.843,   264,       326.374,   332,       243.398,   20
339.643,  328,       343.328,   282.15,    277.96,    206.831,   264,       324.894,   333,       243.912,   5
342.618,  328,       336.642,   283.189,   277.809,   206.648,   265,       323.854,   333,       244.742,   -30
342.92,   327,       338.043,   282.674,   278.168,   206.76,    264,       324.303,   333,       245.007,   15
343.311,  328,       334.573,   283.43,    278.181,   206.605,   264,       324.007,   332,       245.237,   50
347.835,  328,       331.036,   284.184,   278.689,   206.573,   264,       323.88,    333,       246.141,   -20
347.581,  327,       334.807,   283.184,   278.1,     206.419,   264,       324.67,    333,       247.055,   -55
348.246,  327,       334.345,   282.685,   277.615,   206.371,   264,       323.936,   333,       247.347,   35
348.951,  328,       332.027,   283.15,    278.01,    206.48,    264,       323.926,   333,       248.363,   30
345.111,  328,       339.025,   281.86,    277.437,   206.61,    264,       325.504,   333,       247.966,   -45
345.758,  328,       337.342,   282.242,   277.818,   206.637,   264,       325.624,   333,       248.096,   0
344.403,  327,       340.056,   282.179,   277.609,   206.532,   265,       327.436,   333,       248.918,   75
342.753,  328,       343.489,   282.04,    277.79,    206.682,   264,       327.937,   333,       247.568,   0
342.416,  328,       339.555,   283.78,    278.316,   206.55,    264,       326.714,   332,       247.511,   50
341.938,  328,       342.157,   284.571,   278.626,   206.68,    264,       326.869,   332,       248.142,   35
343.586,  328,       337.886,   285.484,   279.009,   206.702,   265,       326.003,   333,       248.031,   -30
345.706,  328,       334.799,   284.833,   278.945,   206.419,   265,       325.726,   333,       248.812,   5
346.175,  328,       336.406,   283.841,   278.797,   206.543,   264,       327.157,   333,       248.998,   55
344.781,  329,       335.584,   282.594,   278.345,   206.666,   265,       327.198,   333,       247.691,   20
342.951,  328,       337.541,   283.324,   278.726,   206.946,   265,       327.368,   333,       246.214,   -35
344.558,  328,       337.933,   284.251,   278.457,   207.165,   264,       327.603,   332,       246.557,   25
345.327,  329,       335.865,   285.452,   278.647,   207.254,   265,       326.881,   333,       245.494,   80
345.405,  329,       338.191,   285.861,   278.69,    207.052,   265,       327.621,   333,       245.181,   -10
