0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
379,10,-65,126,
315,      319,       355,       299,       255,       206,       295,       360,       352,       246,       0
315,      320,       355,       298,       256,       206,       296,       361,       352,       251,       0
315,      320,       355,       298,       255,       207,       296,       360,       351,       252,       0
316,      320,       354,       298,       255,       206,       296,       361,       352,       252,       0
315,      320,       355,       298,       255,       207,       296,       361,       352,       237,       0
315,      320,       355,       298,       255,       207,       296,       360,       352,       254,       0
316,      320,       355,       299,       255,       205,       295,       361,       352,       244,       0
315,      319,       354,       298,       254,       207,       296,       361,       352,       237,       0
315,      320,       354,       299,       256,       206,       296,       362,       352,       255,       0
315,      320,       355,       299,       255,       206,       296,       360,       352,       255,       0
316,      321,       354,       299,       256,       207,       296,       361,       353,       237,       0
315,      320,       355,       298,       255,       207,       296,       361,       353,       237,       0
315,      320,       355,       298,       256,       206,       296,       362,       353,       253,       0
316,      321,       355,       298,       255,       207,       296,       361,       353,       245,       0
315,      321,       355,       298,       254,       207,       296,       362,       353,       238,       0
316,      320,       355,       299,       256,       207,       296,       361,       353,       259,       0
315,      321,       355,       298,       256,       206,       296,       362,       353,       240,       0
315,      320,       355,       298,       255,       206,       296,       361,       353,       243,       0
315,      320,       355,       299,       255,       206,       297,       361,       352,       255,       0
315,      321,       355,       299,       256,       207,       297,       362,       353,       238,       0
315,      320,       355,       299,       255,       206,       296,       361,       352,       244,       0
315,      320,       355,       299,       255,       207,       296,       361,       352,       255,       50
315,      320,       355,       299,       256,       206,       296,       362,       353,       240,       -15
315,      320,       355,       298,       255,       206,       296,       362,       353,       243,       -10
315,      320,       355,       298,       255,       207,       296,       362,       352,       243,       -10
315,      321,       355,       299,       256,       206,       297,       363,       353,       237,       -15
316,      320,       355,       298,       256,       206,       297,       362,       353,       238,       -20
314,      320,       355,       298,       255,       206,       296,       362,       353,       245,       -5
315,      320,       355,       299,       255,       206,       296,       362,       353,       255,       55
316,      320,       355,       298,       255,       206,       297,       363,       353,       236,       -30
315,      321,       355,       298,       256,       207,       297,       362,       353,       245,       20
315,      321,       355,       299,       256,       206,       297,       362,       353,       256,       75
315,      320,       355,       299,       256,       206,       297,       363,       353,       235,       -30
316,      321,       355,       298,       256,       206,       297,       362,       353,       236,       -25
316,      320,       355,       299,       255,       206,       297,       363,       353,       253,       60
315,      321,       355,       299,       256,       206,       298,       362,       353,       250,       50
315,      321,       355,       298,       257,       206,       297,       362,       354,       238,       -10
315,      321,       355,       298,       255,       206,       297,       362,       353,       253,       50
316,      321,       355,       298,       256,       206,       298,       363,       354,       245,       35
315,      321,       355,       298,       256,       207,       298,       363,       354,       238,       0
316,      321,       355,       298,       256,       207,       298,       363,       353,       258,       100
317,      321,       354,       299,       256,       206,       298,       364,       354,       255,       95
316,      321,       355,       298,       256,       207,       298,       364,       355,       238,       15
316,      320,       355,       298,       256,       206,       298,       364,       354,       237,       -5
317,      321,       355,       299,       256,       207,       299,       364,       354,       261,       140
318,      321,       355,       299,       256,       206,       299,       364,       354,       241,       40
317,      321,       355,       299,       256,       207,       299,       364,       355,       243,       55
317,      321,       355,       298,       256,       207,       298,       364,       355,       256,       110
318,      321,       355,       299,       257,       206,       299,       365,       355,       237,       35
318,      322,       355,       299,       257,       207,       299,       364,       355,       240,       55
317,      321,       355,       299,       257,       207,       299,       364,       355,       250,       95
318,      322,       356,       300,       256,       206,       299,       365,       355,       236,       40
317,      322,       355,       298,       256,       206,       300,       365,       356,       236,       30
318,      321,       355,       299,       256,       207,       300,       364,       355,       261,       155
318,      322,       355,       299,       257,       206,       300,       365,       355,       244,       80
318,      322,       355,       298,       257,       206,       300,       365,       356,       247,       95
318,      321,       355,       299,       256,       206,       299,       364,       356,       256,       125
319,      322,       355,       299,       257,       206,       299,       365,       356,       241,       70
319,      321,       356,       300,       257,       206,       300,       365,       356,       241,       80
318,      322,       356,       299,       256,       206,       299,       365,       356,       254,       130
319,      322,       356,       300,       257,       207,       299,       365,       356,       255,       155
319,      322,       356,       300,       257,       206,       300,       365,       357,       237,       70
319,      322,       355,       300,       257,       206,       300,       365,       356,       247,       110
320,      323,       356,       300,       257,       206,       300,       365,       356,       263,       205
321,      323,       356,       300,       257,       207,       300,       366,       356,       241,       110
319,      323,       357,       300,       257,       206,       299,       365,       355,       251,       135
319,      322,       357,       300,       257,       206,       300,       366,       355,       251,       140
320,      323,       357,       300,       257,       207,       300,       366,       356,       252,       165
320,      323,       357,       300,       257,       207,       301,       367,       356,       241,       120
321,      324,       357,       300,       257,       206,       300,       366,       356,       267,       245
321,      324,       356,       301,       257,       206,       300,       366,       357,       247,       150
321,      324,       357,       301,       257,       206,       301,       367,       357,       249,       175
321,      323,       357,       300,       257,       206,       300,       366,       357,       256,       190
320,      323,       357,       301,       258,       206,       301,       366,       357,       257,       205
322,      324,       358,       301,       258,       206,       301,       367,       357,       243,       160
321,      323,       358,       301,       257,       206,       302,       367,       357,       239,       130
321,      324,       358,       302,       258,       207,       301,       366,       356,       260,       240
321,      324,       358,       301,       257,       207,       302,       367,       358,       242,       160
321,      323,       358,       301,       257,       206,       301,       367,       357,       246,       160
321,      324,       358,       302,       257,       207,       301,       367,       357,       243,       160
321,      324,       358,       302,       258,       206,       302,       368,       357,       243,       170
322,      325,       358,       302,       257,       206,       302,       368,       357,       238,       150
321,      324,       358,       302,       257,       206,       302,       367,       357,       260,       245
322,      325,       358,       303,       257,       207,       301,       367,       357,       254,       230
322,      324,       358,       302,       258,       206,       301,       368,       358,       236,       140
322,      323,       358,       302,       257,       206,       302,       367,       357,       252,       205
322,      325,       358,       302,       257,       206,       302,       368,       358,       257,       250
323,      325,       358,       302,       257,       206,       302,       367,       358,       237,       150
322,      324,       359,       303,       257,       207,       302,       367,       357,       254,       235
323,      324,       359,       303,       257,       206,       302,       368,       358,       247,       210
323,      325,       359,       303,       258,       206,       302,       368,       358,       247,       220
322,      324,       359,       302,       257,       206,       301,       367,       357,       241,       155
322,      325,       359,       303,       257,       207,       302,       367,       357,       257,       255
323,      325,       359,       303,       257,       206,       302,       368,       358,       243,       195
322,      325,       360,       303,       257,       206,       302,       368,       358,       241,       185
322,      325,       360,       303,       256,       207,       302,       367,       357,       256,       250
322,      325,       360,       304,       257,       206,       302,       368,       358,       256,       265
322,      325,       360,       304,       257,       207,       303,       368,       357,       245,       215
322,      324,       360,       304,       257,       206,       302,       367,       358,       246,       205
323,      324,       360,       304,       256,       207,       301,       367,       357,       256,       250
324,      326,       360,       304,       257,       207,       302,       368,       358,       253,       270
322,      325,       360,       304,       257,       206,       302,       367,       357,       237,       160
323,      325,       359,       304,       256,       206,       301,       367,       357,       238,       155
323,      326,       360,       305,       256,       206,       302,       368,       358,       244,       215
324,      326,       360,       304,       256,       206,       303,       368,       358,       243,       215
323,      325,       360,       304,       256,       206,       302,       366,       357,       243,       185
323,      325,       361,       305,       256,       206,       302,       367,       357,       258,       275
324,      325,       361,       304,       256,       206,       302,       367,       358,       243,       205
323,      325,       361,       305,       257,       206,       302,       367,       357,       241,       195
323,      325,       361,       305,       256,       206,       301,       367,       357,       239,       175
324,      326,       361,       306,       257,       207,       303,       368,       358,       243,       240
324,      326,       361,       305,       257,       206,       303,       368,       358,       242,       225
323,      326,       362,       305,       256,       207,       302,       368,       358,       245,       235
324,      326,       361,       305,       256,       206,       302,       367,       358,       259,       295
324,      327,       361,       305,       257,       206,       303,       369,       358,       240,       225
323,      326,       361,       305,       257,       207,       303,       368,       358,       245,       240
324,      326,       362,       305,       257,       206,       303,       368,       358,       255,       295
324,      326,       362,       306,       258,       207,       303,       369,       358,       255,       315
325,      326,       362,       306,       257,       207,       303,       368,       358,       236,       215
324,      326,       362,       305,       256,       206,       303,       368,       358,       252,       275
325,      327,       362,       306,       257,       206,       303,       369,       359,       252,       305
324,      325,       362,       307,       257,       206,       303,       368,       359,       246,       260
324,      326,       362,       306,       256,       207,       303,       368,       358,       256,       305
325,      327,       363,       307,       257,       206,       304,       369,       359,       243,       275
325,      326,       363,       307,       257,       207,       304,       369,       359,       239,       255
325,      326,       363,       307,       257,       206,       303,       368,       358,       259,       335
325,      327,       363,       307,       257,       206,       304,       369,       358,       258,       345
325,      327,       363,       307,       257,       206,       304,       369,       359,       240,       260
325,      326,       363,       307,       257,       207,       304,       369,       359,       246,       290
325,      328,       363,       308,       258,       207,       304,       368,       358,       257,       355
325,      327,       364,       308,       257,       206,       304,       370,       359,       239,       270
324,      327,       364,       307,       257,       206,       304,       368,       358,       250,       300
325,      327,       364,       307,       257,       206,       304,       369,       359,       254,       335
325,      327,       364,       308,       257,       207,       304,       370,       359,       237,       265
325,      326,       363,       308,       257,       206,       304,       370,       360,       238,       260
325,      327,       364,       308,       257,       206,       305,       370,       359,       259,       375
326,      327,       364,       309,       257,       206,       305,       370,       359,       260,       390
325,      327,       364,       308,       257,       207,       305,       370,       359,       245,       310
325,      326,       364,       308,       257,       207,       304,       369,       359,       267,       405
326,      327,       364,       308,       257,       207,       305,       370,       360,       247,       330
325,      327,       364,       308,       258,       206,       305,       370,       360,       243,       305
