0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-63,119,
319,      334,       212,       361,       259,       211,       236,       231,       301,       251,       0
320,      334,       212,       361,       260,       210,       237,       232,       302,       238,       0
320,      334,       212,       361,       259,       210,       236,       232,       301,       226,       0
320,      334,       212,       361,       259,       210,       237,       232,       302,       237,       0
320,      334,       212,       361,       260,       210,       237,       232,       302,       228,       0
320,      334,       212,       361,       259,       210,       237,       231,       301,       246,       0
320,      335,       212,       361,       259,       210,       238,       232,       302,       235,       0
320,      334,       212,       361,       258,       211,       236,       231,       301,       229,       0
320,      334,       212,       361,       259,       211,       237,       232,       302,       234,       0
320,      333,       212,       361,       259,       211,       237,       231,       302,       235,       0
319,      335,       212,       361,       259,       210,       237,       232,       302,       230,       0
320,      335,       212,       362,       259,       210,       237,       232,       302,       231,       0
319,      334,       212,       361,       259,       210,       237,       232,       302,       246,       0
320,      334,       212,       361,       259,       211,       237,       232,       302,       247,       0
320,      334,       212,       361,       260,       210,       237,       233,       302,       231,       0
319,      333,       212,       361,       260,       211,       237,       232,       302,       234,       0
320,      335,       212,       361,       259,       210,       237,       232,       302,       246,       0
321,      335,       212,       361,       260,       211,       237,       233,       302,       231,       0
319,      334,       212,       361,       260,       210,       237,       232,       302,       234,       0
319,      334,       212,       360,       259,       210,       237,       232,       302,       234,       0
320,      335,       212,       361,       260,       210,       238,       233,       303,       230,       0
321,      334,       212,       361,       260,       210,       237,       233,       303,       231,       -5.783
319,      334,       212,       361,       259,       211,       237,       232,       302,       238,       7.185
320,      334,       212,       361,       260,       210,       237,       232,       302,       247,       54.999
320,      334,       212,       361,       260,       211,       238,       233,       303,       231,       -4.689
320,      334,       212,       361,       260,       211,       238,       232,       302,       239,       25.312
320,      335,       212,       361,       260,       210,       238,       232,       302,       246,       63.279
321,      334,       212,       362,       260,       210,       238,       233,       303,       229,       -5.314
320,      333,       212,       361,       260,       210,       237,       233,       302,       236,       3.122
320,      335,       212,       362,       260,       210,       238,       232,       302,       246,       64.686
320,      334,       212,       362,       260,       211,       238,       233,       302,       230,       -9.845
320,      335,       212,       361,       260,       210,       238,       232,       302,       238,       17.812
320,      335,       212,       361,       260,       211,       237,       232,       302,       246,       61.717
320,      335,       212,       362,       261,       210,       238,       233,       303,       229,       -1.721
320,      335,       212,       361,       260,       210,       238,       233,       303,       230,       1.405
320,      335,       212,       361,       260,       210,       238,       232,       302,       240,       31.561
321,      335,       212,       362,       261,       211,       237,       232,       302,       248,       90.154
321,      336,       212,       362,       261,       211,       238,       234,       304,       228,       16.874
320,      334,       212,       361,       260,       211,       238,       232,       303,       238,       29.061
320,      335,       212,       362,       260,       210,       238,       232,       302,       245,       59.374
321,      335,       212,       362,       260,       210,       238,       233,       303,       229,       .154
320,      334,       212,       362,       260,       210,       237,       232,       302,       238,       15.623
320,      334,       212,       361,       260,       210,       238,       232,       301,       238,       11.247
321,      335,       212,       362,       261,       210,       238,       233,       302,       228,       -4.063
321,      335,       212,       362,       260,       211,       238,       233,       303,       228,       .624
320,      335,       212,       362,       260,       210,       238,       232,       303,       237,       27.655
321,      335,       212,       362,       260,       211,       237,       232,       301,       244,       57.968
321,      335,       212,       362,       260,       210,       238,       233,       302,       234,       17.342
320,      335,       212,       362,       260,       210,       237,       232,       302,       238,       25.937
