0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-65,120,
321,      337,       418.375,   374.333,   259,       210.5,     242,       247.416,   299.75,    259.75,    0
319.399,  337,       414.274,   374.333,   259.5,     210.5,     242,       246.55,    297.75,    259.75,    0
322.066,  338.666,   421.108,   383,       258.25,    210.666,   242,       247.994,   299.416,   260.916,   0
323.209,  338.666,   415.251,   380.523,   259.678,   210.523,   238.857,   247.375,   298.702,   259.916,   0
320.096,  338.19,    417.733,   386.36,    259.061,   210.598,   241.551,   247.988,   298.552,   260.94,    0
320.196,  337.646,   415.299,   388.078,   258.641,   210.827,   244.629,   249.432,   297.953,   259.11,    0
317.643,  337.5,     417.397,   391.28,    258.34,    210.849,   246.576,   249.637,   297.029,   257.852,   0
314.562,  335.905,   414.775,   390.34,    257.791,   210.896,   249.251,   249.96,    296.79,    255.557,   0
316.057,  337.007,   414.353,   385.957,   258.681,   210.724,   245.636,   249.623,   295.824,   254.788,   0
321.18,   340.487,   428.86,    385.654,   259.044,   210.424,   242.637,   248.412,   296.949,   257.171,   0
326.257,  342.342,   427.569,   382.374,   259.502,   210.22,    240.503,   248.856,   298.366,   258.073,   0
329.07,   344.691,   435.254,   386.188,   259.389,   210.195,   239.254,   249.317,   298.591,   259.433,   0
330.929,  345.074,   438.24,    388.697,   259.491,   210.12,    238.342,   249.274,   298.986,   259.096,   0
331.179,  345.015,   433.723,   394.084,   259.197,   210.219,   240.871,   250.635,   299.992,   259.372,   0
327.311,  343.968,   428.745,   388.329,   259.868,   210.219,   240.923,   249.032,   298.081,   257.557,   0
328.202,  343.151,   424.887,   386.158,   260.293,   210.151,   242.733,   248.991,   298.722,   258.289,   0
328.956,  343.59,    425.908,   388.272,   260.051,   210.227,   244.932,   249.57,    299.399,   259.174,   0
329.781,  344.101,   430.648,   389.918,   260.53,    210.156,   242.37,    248.799,   299.314,   258.145,   0
334.705,  346.263,   442.634,   402.526,   259.553,   210.147,   241.005,   249.384,   300.919,   262.229,   0
332.206,  345.993,   445.17,    404.864,   259.447,   210.147,   237.615,   248.203,   299.804,   261.792,   0
331.527,  345.622,   442.064,   404.758,   259.361,   210.136,   238.141,   248.007,   299.862,   261.166,   0
327.205,  343.697,   434.909,   401.926,   258.48,    210.275,   239.108,   247.894,   299.226,   260.598,   55
321.562,  339.044,   422.092,   394.411,   258.327,   210.508,   243.552,   248.919,   298.984,   257.365,   15
321.185,  338.052,   418.795,   390.442,   258.167,   210.56,    244.4,     249.641,   298.867,   255.733,   -95
319.707,  336.97,    418.399,   383.444,   258.71,    210.549,   242.151,   249.255,   298.011,   254.956,   -130
319.779,  336.723,   418.969,   380.804,   259.1,     210.516,   244.157,   250.069,   297.837,   255.15,    5
319.524,  337.82,    421.452,   378.86,    260.282,   210.375,   242.672,   249.614,   296.245,   253.834,   -85
320.43,   339.216,   424.76,    379.682,   260.584,   210.348,   242.426,   250.229,   296.584,   254.563,   -130
320.533,  339.537,   422.74,    381.621,   260.495,   210.391,   244.036,   250.987,   297.095,   256.506,   -5
321.784,  339.939,   420.35,    381.737,   260.694,   210.373,   244.019,   251.118,   297.703,   256.7,     15
