0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
376,10,-57,117,
324,      343,       406.25,    366.875,   255.666,   212.5,     241,       256.666,   302,       258.75,    0
326.7,    342,       411.35,    370.174,   256.199,   212.1,     240,       256.666,   304,       258.75,    0
322.199,  343,       402.85,    364.675,   255.311,   212.433,   240,       258.999,   299,       262.25,    0
322.199,  343,       402.85,    367.032,   255.311,   212.576,   240,       258.333,   299,       263.25,    0
321.942,  343,       402.364,   369.411,   254.498,   212.729,   240,       259.904,   298.571,   263.892,   0
321.263,  342,       408.366,   371.659,   254.636,   212.962,   241,       260.367,   297.795,   263.627,   0
328.843,  342,       423.725,   375.014,   254.539,   213.181,   240,       259.895,   301.909,   260.824,   0
331.721,  343,       430.35,    376.155,   253.667,   213.267,   240,       260.119,   302.325,   260.477,   0
336.975,  342,       441.634,   379.475,   253.93,    213.344,   240,       260.149,   301.432,   260.989,   0
333.434,  343,       442.744,   380.592,   254.21,    213.113,   241,       259.452,   301.952,   260.613,   0
332.161,  343,       445.461,   386.103,   255.305,   212.817,   240,       258.722,   301.958,   259.582,   0
324.51,   343,       443.977,   389.881,   257.063,   212.325,   240,       258.522,   297.62,    262.455,   0
318.872,  343,       440.669,   389.011,   257.892,   212.036,   241,       257.623,   297.075,   261.664,   0
316.792,  343,       433.086,   387.856,   258.037,   212.454,   241,       259.362,   293.522,   264.814,   0
312.667,  343,       427.676,   390.464,   258.427,   212.259,   240,       259.453,   290.888,   269.562,   0
312.904,  343,       432.633,   390.547,   258.241,   212.535,   240,       260.919,   291.355,   268.577,   0
310.123,  343,       435.127,   395.481,   258.672,   212.464,   241,       260.724,   289.109,   270.564,   0
313.027,  344,       442.705,   396.57,    258.382,   212.179,   240,       260.252,   289.907,   269.386,   0
313.079,  343,       437.566,   392.728,   257.994,   212.168,   240,       259.699,   291.196,   267.361,   0
311.175,  344,       423.699,   385.968,   257.197,   211.973,   241,       259.525,   291.173,   268.187,   0
315.183,  344,       418.424,   379.895,   256.224,   212.188,   241,       258.687,   295.753,   266.847,   0
317.419,  343,       411.313,   370.441,   254.773,   212.332,   241,       257.13,    298.017,   266.485,   0
316.111,  343,       418.491,   374.329,   254.313,   212.642,   240,       258.763,   296.134,   266.36,    0
320.673,  343,       421.389,   375.023,   254.282,   212.88,    240,       257.987,   296.843,   266.099,   -30
