0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-62,119,
327,      350,       451,       388,       255,       209,       303,       372,       343,       271,       0
329,      350,       451,       388,       256,       210,       303,       373,       343,       269,       0
328,      351,       451,       387,       255,       210,       303,       373,       342,       257,       0
328,      351,       451,       388,       256,       210,       303,       373,       343,       261,       0
328,      350,       451,       388,       256,       210,       303,       372,       342,       271,       0
328,      351,       451,       388,       256,       210,       303,       373,       342,       277,       0
327,      350,       451,       388,       255,       210,       303,       373,       343,       254,       0
328,      351,       451,       388,       255,       210,       303,       372,       342,       277,       0
328,      351,       451,       388,       255,       209,       304,       373,       342,       261,       0
328,      350,       451,       388,       255,       210,       303,       372,       342,       260,       0
328,      350,       451,       388,       256,       209,       304,       374,       343,       258,       0
328,      350,       451,       388,       256,       209,       304,       373,       343,       256,       0
328,      351,       451,       388,       255,       209,       303,       372,       342,       273,       0
328,      351,       451,       388,       255,       209,       303,       372,       343,       272,       0
328,      351,       450,       388,       255,       210,       303,       374,       343,       255,       0
328,      350,       451,       388,       255,       209,       303,       373,       342,       259,       0
328,      350,       451,       388,       256,       209,       304,       374,       343,       271,       0
328,      351,       451,       388,       256,       210,       304,       374,       343,       268,       0
328,      350,       451,       388,       256,       210,       304,       374,       343,       260,       0
329,      350,       451,       388,       257,       209,       304,       374,       343,       276,       0
329,      351,       451,       388,       257,       210,       304,       375,       344,       264,       0
328,      350,       451,       388,       257,       209,       304,       373,       343,       273,       60
327,      350,       451,       388,       256,       210,       304,       374,       343,       288,       135
328,      351,       451,       388,       257,       210,       305,       374,       344,       255,       -5
328,      350,       451,       388,       256,       209,       304,       374,       344,       261,       5
327,      351,       451,       388,       256,       210,       304,       374,       343,       276,       80
329,      350,       451,       388,       256,       209,       305,       375,       343,       265,       35
327,      350,       451,       388,       257,       210,       305,       374,       343,       262,       15
327,      351,       451,       388,       256,       209,       304,       374,       343,       264,       15
328,      350,       451,       388,       256,       210,       305,       375,       343,       276,       90
328,      351,       451,       388,       256,       210,       305,       375,       344,       263,       35
328,      350,       451,       388,       256,       210,       304,       374,       343,       269,       45
328,      351,       451,       388,       256,       209,       304,       374,       344,       276,       85
328,      351,       452,       388,       256,       209,       305,       375,       343,       254,       -15
328,      351,       451,       388,       256,       210,       304,       374,       343,       254,       -25
328,      351,       451,       388,       256,       210,       304,       375,       343,       279,       105
327,      351,       451,       388,       256,       209,       304,       375,       343,       258,       -10
328,      350,       451,       387,       256,       209,       305,       374,       344,       258,       -10
327,      351,       451,       388,       256,       210,       304,       374,       343,       278,       90
328,      351,       451,       389,       256,       210,       304,       375,       343,       261,       20
328,      350,       451,       388,       256,       209,       304,       374,       343,       269,       40
327,      351,       451,       388,       256,       210,       304,       374,       343,       279,       95
328,      351,       451,       388,       257,       209,       305,       375,       344,       257,       5
328,      351,       451,       388,       256,       209,       304,       375,       343,       256,       -15
327,      350,       451,       388,       255,       210,       304,       374,       343,       273,       55
329,      351,       451,       388,       255,       209,       304,       374,       343,       271,       55
328,      351,       451,       388,       256,       210,       304,       374,       343,       257,       -10
328,      351,       451,       388,       255,       210,       304,       374,       343,       275,       75
329,      350,       451,       388,       256,       209,       304,       374,       343,       269,       45
328,      351,       451,       388,       256,       210,       305,       374,       344,       263,       30
328,      350,       451,       388,       255,       209,       304,       374,       343,       265,       15
328,      351,       451,       388,       256,       209,       303,       374,       343,       276,       75
329,      351,       451,       388,       256,       210,       304,       375,       343,       258,       5
328,      350,       451,       387,       256,       210,       304,       374,       343,       271,       50
329,      351,       451,       388,       256,       210,       304,       375,       343,       278,       105
328,      351,       451,       388,       256,       210,       304,       375,       343,       258,       0
328,      350,       451,       388,       256,       210,       304,       375,       343,       254,       -25
327,      351,       451,       388,       256,       210,       304,       375,       343,       284,       125
329,      351,       451,       388,       256,       210,       304,       375,       344,       263,       35
328,      351,       451,       388,       256,       210,       304,       374,       343,       261,       10
