0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
379,10,-59,118,
317,      335,       378,       320,       247,       209,       266,       329,       321,       260,       0
318,      335,       377,       320,       248,       209,       266,       330,       321,       248,       0
317,      334,       377,       320,       247,       210,       266,       329,       320,       242,       0
317,      335,       377,       321,       248,       209,       267,       330,       321,       263,       0
318,      336,       377,       320,       249,       209,       267,       331,       324,       241,       0
317,      335,       377,       320,       248,       209,       266,       330,       321,       260,       0
317,      335,       377,       320,       248,       209,       266,       330,       319,       241,       0
317,      334,       377,       320,       246,       209,       265,       329,       318,       253,       0
318,      334,       377,       320,       247,       209,       265,       330,       320,       254,       0
317,      334,       377,       320,       247,       209,       266,       330,       320,       242,       0
317,      335,       377,       319,       247,       209,       266,       329,       321,       256,       0
318,      335,       377,       320,       248,       209,       267,       330,       321,       250,       0
317,      334,       377,       320,       248,       210,       267,       330,       321,       242,       0
317,      334,       377,       319,       247,       210,       265,       328,       321,       246,       0
317,      334,       377,       320,       248,       209,       266,       330,       321,       266,       0
318,      335,       377,       320,       248,       209,       266,       330,       321,       244,       0
316,      335,       376,       320,       248,       209,       266,       329,       321,       246,       0
317,      335,       377,       319,       248,       209,       266,       329,       320,       262,       0
317,      335,       377,       320,       248,       210,       267,       330,       321,       243,       0
317,      334,       377,       320,       247,       209,       266,       330,       321,       241,       0
316,      334,       376,       320,       247,       209,       266,       329,       321,       254,       0
318,      334,       376,       320,       247,       209,       266,       329,       320,       263,       55.389
317,      334,       376,       320,       247,       209,       266,       330,       321,       237,       -72.306
316,      334,       376,       319,       248,       209,       265,       329,       321,       252,       -11.797
318,      335,       376,       319,       247,       209,       266,       330,       321,       255,       25.898
317,      334,       376,       319,       248,       209,       266,       329,       321,       264,       58.398
317,      334,       376,       319,       247,       210,       266,       329,       321,       240,       -58.908
316,      334,       376,       319,       248,       209,       266,       329,       320,       256,       8.984
317,      334,       376,       320,       248,       209,       266,       330,       321,       250,       1.131
317,      334,       376,       319,       248,       209,       266,       330,       321,       238,       -66.525
317,      334,       376,       319,       247,       210,       265,       329,       321,       260,       34.452
317,      334,       376,       319,       248,       209,       267,       330,       322,       246,       -12.813
317,      334,       376,       319,       247,       209,       266,       330,       321,       241,       -54.103
317,      333,       376,       319,       247,       209,       266,       328,       321,       261,       32.147
317,      334,       376,       319,       248,       209,       266,       329,       321,       261,       42.539
317,      335,       376,       319,       247,       210,       266,       330,       321,       243,       -35.938
316,      333,       376,       319,       247,       209,       266,       329,       321,       243,       -58.869
317,      334,       376,       319,       248,       209,       266,       330,       320,       263,       54.648
317,      334,       375,       319,       248,       209,       266,       330,       321,       243,       -44.923
316,      334,       376,       319,       248,       209,       266,       329,       321,       248,       -27.071
316,      332,       376,       319,       247,       210,       266,       329,       321,       247,       -41.641
317,      334,       376,       320,       248,       209,       266,       330,       321,       257,       33.827
316,      334,       376,       319,       248,       209,       266,       330,       321,       239,       -65
316,      334,       376,       319,       247,       209,       265,       329,       321,       253,       -10.977
317,      334,       376,       319,       248,       209,       265,       329,       321,       258,       24.53
317,      334,       376,       319,       248,       209,       266,       329,       321,       237,       -75.547
316,      334,       376,       319,       247,       209,       266,       329,       321,       262,       40
317,      333,       376,       319,       247,       209,       266,       330,       321,       254,       5.898
316,      334,       376,       319,       248,       209,       267,       330,       321,       239,       -61.408
317,      334,       376,       319,       247,       209,       266,       330,       321,       244,       -40.625
317,      334,       376,       319,       247,       209,       266,       329,       320,       261,       34.022
317,      335,       376,       319,       247,       210,       265,       329,       321,       246,       -30.157
