0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-61,119,
326.833,  325.5,     415.562,   353.25,    247,       209.833,   283.75,    359.25,    338.666,   259,       0
324.866,  321.299,   413.212,   341.85,    249.399,   209.633,   287.35,    366.149,   338.666,   255.6,     0
324.866,  328.3,     417.129,   370.35,    247.4,     209.633,   287.35,    366.149,   338.666,   252.766,   0
330.485,  334.3,     417.129,   362.207,   248.257,   209.585,   284.778,   361.221,   335.619,   257.623,   0
331.007,  338.557,   420.71,    363.486,   249.293,   209.502,   288.782,   361.503,   335.183,   257.427,   0
331.884,  341.022,   423.459,   382.863,   247.564,   209.579,   288.987,   359.196,   334.686,   257.688,   0
330.077,  333.839,   419.328,   368.365,   249.302,   209.476,   291.792,   361.488,   335.641,   255.962,   0
325.805,  330.774,   421.321,   385.53,    247.737,   209.508,   292.794,   361.526,   336.406,   250.868,   0
325.062,  332.662,   423.087,   413.108,   244.943,   209.651,   289.51,    358.244,   335.057,   257.217,   0
324.087,  334.468,   423.033,   417.429,   244.568,   209.662,   288.299,   356.465,   335.11,    254.721,   0
321.826,  334.557,   423.563,   408.152,   245.607,   209.641,   287.8,     357.391,   335.796,   254.543,   0
319.853,  329.098,   417.169,   386.955,   247.874,   209.517,   289.658,   361.728,   337.232,   255.068,   0
321.919,  328.589,   414.645,   366.933,   250.007,   209.403,   290.965,   362.226,   337.543,   252.333,   0
324.419,  333.749,   415.125,   351.577,   251.641,   209.318,   291.346,   364.692,   338.653,   254.42,    0
326.194,  330.633,   413.919,   343.495,   252.503,   209.367,   290.567,   365.735,   338.299,   256.831,   0
328.504,  330.853,   415.134,   329.143,   253.164,   209.346,   288.125,   364.664,   337.689,   259.512,   0
328.04,   331.176,   415.204,   331.888,   252.758,   209.433,   286.434,   365.013,   337.71,    258.109,   0
325.748,  324.809,   411.858,   320.932,   252.918,   209.544,   284.446,   361.773,   336.052,   261.064,   0
328.494,  329.976,   413.242,   325.852,   252.12,    209.474,   286.143,   361.207,   336.493,   264.098,   0
327.088,  332.851,   416.329,   349.81,    250.256,   209.636,   285.86,    359.07,    335.56,    267.181,   0
328.356,  333.091,   416.49,    352.37,    250.756,   209.617,   285.778,   356.578,   334.491,   268.477,   0
331.538,  340.274,   422.187,   373.147,   249.59,    209.58,    288.54,    357.479,   334.268,   271.965,   65
331.973,  344.745,   425.143,   396.189,   246.657,   209.738,   285.025,   353.661,   332.426,   273.089,   -40
332.671,  343.444,   421.367,   386.529,   247,       209.657,   287.477,   354.531,   332.74,    271.504,   -40
329.074,  338.923,   418.706,   366.981,   248.178,   209.567,   290.291,   355.881,   334.776,   267.079,   80
327.317,  335.73,    414.852,   357.957,   249.69,    209.518,   290.542,   358.939,   336.372,   266.381,   -10
323.842,  328.442,   408.346,   319.924,   253.552,   209.296,   296.473,   364.621,   337.698,   262.995,   10
323.985,  329.299,   408.165,   310.408,   254.488,   209.245,   293.901,   364.42,    337.644,   261.779,   -30
324.663,  330.924,   406.659,   310.47,    254.533,   209.246,   295.702,   367.283,   337.292,   265.879,   45
321.475,  324.238,   405.488,   303.686,   255.224,   209.207,   296.439,   366.832,   338.186,   256.093,   0
321.136,  323.637,   405.08,    317.652,   253.749,   209.29,    293.863,   365.505,   338.255,   252.678,   25
319.325,  319.828,   404.639,   310.544,   253.643,   209.344,   292.572,   364.017,   337.581,   248.95,    25
317.157,  315.243,   404.351,   294.268,   254.374,   209.31,    289.553,   361.907,   336.098,   248.96,    -50
315.136,  310.958,   400.831,   276.637,   255.966,   209.277,   289.855,   362.847,   335.8,     245.512,   10
315.683,  312.147,   401.903,   270.778,   256.283,   209.276,   286.711,   357.538,   333.925,   249.346,   45
320.782,  326.049,   408.226,   289.526,   254.946,   209.314,   287.16,    356.613,   333.403,   256.688,   -35
322.705,  330.593,   410.458,   305.134,   254.17,    209.314,   289.389,   359.142,   335.304,   250.506,   -30
329.405,  345.398,   418.548,   341.777,   249.628,   209.462,   286.751,   353.684,   333.709,   258.505,   40
334.175,  356.148,   424.283,   360.062,   247.82,    209.536,   289.328,   356.42,    334.44,    264.671,   -20
331.874,  348.448,   421.541,   353.853,   248.517,   209.473,   290.924,   356.392,   334.588,   263.383,   -45
334.588,  350.999,   423.124,   368.956,   246.852,   209.638,   287.286,   352.713,   332.962,   270.08,    -55
332.519,  342.799,   418.742,   348.41,    249.027,   209.568,   288.648,   355.86,    333.617,   269.305,   60
328.069,  328.892,   412.915,   330.459,   250.913,   209.573,   285.979,   352.495,   332.738,   262.681,   -40
324.715,  320.098,   410.004,   318.975,   252.113,   209.54,    287.844,   356.867,   334.759,   257.723,   -30
324.71,   318.684,   408.13,    303.692,   253.722,   209.383,   291.781,   357.46,    335.016,   258.387,   20
326.404,  324.239,   411.65,    313.589,   252.678,   209.356,   292.229,   356.046,   333.692,   264.113,   -60
327.57,   326.574,   411.469,   311.179,   252.073,   209.278,   294.408,   358.196,   334.59,    261.889,   45
329.383,  330.499,   409.999,   301.923,   252.924,   209.288,   295.345,   356.743,   334.566,   264.912,   10
330.051,  335.187,   413.624,   317.956,   251.096,   209.369,   294.569,   358.283,   334.502,   263.416,   -10
324.953,  324.751,   408.87,    302.294,   252.584,   209.324,   294.903,   360.246,   336.903,   253.602,   -60
323.174,  321.491,   408.499,   301.024,   254.372,   209.235,   297.545,   362.181,   338.758,   249.99,    35
320.882,  317.204,   408.284,   300.896,   254.579,   209.132,   296.573,   362.958,   339.356,   245.429,   -5
315.358,  305.635,   404.164,   298.459,   256.79,    209.003,   298.146,   365.269,   341.574,   238.003,   -5
316.797,  305.904,   405.171,   306.054,   256.534,   209.1,     296.037,   364.344,   340.717,   243.06,    -45
320.1,    312.677,   408.053,   314.915,   255.129,   209.176,   295.822,   364.653,   338.711,   246.927,   80
325.608,  324.031,   414.734,   341.347,   252.636,   209.325,   294.429,   361.609,   336.333,   254.427,   -35
328.477,  326.659,   416.244,   339.331,   250.328,   209.371,   292.612,   361.086,   335.585,   256.773,   -20
330.145,  332.623,   417.825,   344.084,   249.442,   209.363,   292.123,   360.621,   334.851,   256.304,   -55
330.175,  332.473,   419.222,   340.108,   248.629,   209.389,   291.595,   361.688,   336.586,   255.215,   55
329.423,  330.679,   416.506,   339.932,   248.914,   209.398,   291.19,    363.342,   337.384,   250.47,    25
329.558,  334.253,   418.221,   348.16,    247.855,   209.545,   288.415,   358.735,   337.641,   249.569,   -30
329.475,  331.486,   414.921,   340.6,     249.342,   209.428,   291.742,   360.109,   339.563,   248.607,   75
327.97,   334.345,   417.664,   373.241,   247.73,    209.386,   293.049,   361.526,   339.988,   250.092,   10
330.571,  337.869,   419.508,   378,       247.561,   209.337,   292.029,   359.624,   339.599,   254.895,   5
332.121,  341.385,   419.691,   382.263,   248.376,   209.259,   293.831,   361.394,   339.116,   260.513,   10
333.904,  345.8,     420.373,   388.215,   246.523,   209.378,   290.273,   358.292,   337.529,   264.643,   110
337.561,  347.436,   417.403,   374.068,   247.208,   209.472,   284.733,   351.258,   334.892,   269.15,    -5
337.155,  351.803,   420.459,   389.792,   245.444,   209.634,   283.691,   350.063,   335.743,   266.329,   25
339.279,  359.291,   423.926,   407.153,   244.168,   209.736,   282.242,   346.802,   333.737,   269.589,   70
338.642,  358.218,   426.112,   409.859,   244.688,   209.787,   283.666,   348.446,   333.196,   265.438,   -10
333.177,  353.759,   423.999,   398.686,   245.185,   209.736,   287.371,   352.973,   335.239,   257.622,   -5
332.609,  351.038,   421.148,   375.528,   246.863,   209.656,   289.182,   355.031,   334.405,   258.807,   95
328.847,  340.859,   415.715,   338.439,   248.962,   209.501,   292.745,   361.135,   336.786,   252.409,   70
327.447,  338.379,   414.23,    328.236,   249.573,   209.365,   295.328,   362.948,   338.061,   252.977,   70
328.033,  336.182,   414.513,   310.029,   251.914,   209.312,   296.465,   364.373,   337.703,   254.741,   105
323.166,  325.06,    410.208,   292.529,   254.349,   209.216,   300.077,   368.994,   339.697,   251.732,   25
325.163,  325.803,   409.421,   294.113,   255.976,   209.223,   297.267,   365.188,   338.589,   256.493,   20
322.028,  321.006,   407.056,   281.095,   257.748,   209.155,   297.544,   365.507,   337.141,   261.852,   95
323.979,  321.838,   407.669,   301.391,   255.153,   209.275,   293.841,   360.741,   336.299,   267.725,   90
329.715,  330.378,   412.342,   318.942,   253.554,   209.283,   290.378,   354.633,   333.528,   274.867,   5
327.555,  325.031,   411.081,   306.204,   253.208,   209.292,   290.68,    353.126,   334.328,   272.635,   150
331.154,  328.606,   413.334,   317.934,   253.416,   209.359,   289.7,     353,       336.212,   269.318,   70
327.965,  323.573,   410.786,   295.868,   256.596,   209.181,   292.965,   356.822,   337.724,   262.26,    75
323.501,  313.601,   405.528,   276.286,   256.174,   209.214,   293.335,   360.421,   339.847,   253.173,   80
322.922,  311.968,   404.735,   272.012,   256.598,   209.203,   293.714,   361.463,   338.35,    255.25,    160
324.555,  318.592,   410.221,   289.881,   253.624,   209.276,   290.43,    357.743,   335.607,   255.669,   40
325.473,  320.88,    410.14,    297.168,   252.342,   209.337,   290.068,   357.875,   334.543,   257.156,   45
325.754,  324.92,    409.121,   300.151,   252.652,   209.354,   288.316,   352.583,   331.5,     260.153,   135
328.969,  332.77,    411.426,   312.314,   251.231,   209.423,   286.259,   351.314,   331.283,   258.425,   40
325.385,  325.795,   403.205,   282.947,   252.603,   209.349,   289.52,    355.324,   332.951,   253.962,   45
326.777,  326.498,   402.214,   280.916,   253.498,   209.351,   290.728,   354.96,    332.724,   258.363,   180
325.518,  323.723,   404.585,   286.311,   253.619,   209.303,   292.358,   360.228,   335.184,   253.25,    120
325.025,  322.431,   405.286,   290.739,   253.102,   209.286,   294.515,   364.787,   335.741,   252.51,    95
324.974,  321.95,    405.583,   308.138,   252.317,   209.372,   291.371,   361.21,    334.616,   249.874,   185
324.717,  321.3,     406.065,   312.026,   250.434,   209.423,   287.606,   358.818,   334.887,   246.233,   120
326.007,  323.954,   402.919,   307.557,   250.836,   209.44,    286.927,   356.973,   334.082,   247.659,   110
327.552,  327.172,   402.581,   318.103,   251.369,   209.367,   287.129,   355.857,   334.607,   244.538,   265
332.134,  336.918,   402.152,   303.241,   252.948,   209.223,   290.38,    361.664,   336.13,    251.061,   205
333.194,  336.149,   403.271,   310.128,   253.307,   209.29,    289.491,   360.427,   337.069,   249.322,   135
335.625,  343.891,   411.715,   334.924,   254.517,   209.173,   293.714,   365.849,   339.02,    251.988,   200
336.779,  349.279,   414.698,   337.327,   254.11,    209.24,    293.369,   363.991,   338.126,   260.339,   215
