0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
379,10,-62,119,
327,      348,       409,       350,       258,       210,       306,       384,       347,       257,       0
326,      348,       408,       350,       258,       211,       305,       382,       347,       261,       0
327,      349,       408,       350,       258,       211,       305,       383,       347,       269,       0
327,      349,       408,       349,       258,       210,       305,       383,       347,       249,       0
326,      349,       408,       350,       258,       210,       305,       383,       347,       270,       0
327,      349,       408,       351,       258,       210,       305,       383,       347,       258,       0
326,      348,       408,       350,       257,       211,       305,       383,       347,       273,       0
327,      349,       408,       351,       258,       211,       305,       383,       347,       254,       0
326,      348,       408,       350,       258,       211,       305,       383,       346,       263,       0
327,      349,       408,       350,       257,       211,       305,       382,       346,       271,       0
327,      349,       407,       350,       258,       210,       305,       383,       347,       250,       0
326,      349,       408,       350,       258,       210,       305,       382,       347,       268,       0
326,      349,       408,       350,       258,       210,       305,       383,       347,       259,       0
327,      348,       408,       350,       257,       211,       305,       382,       347,       254,       0
326,      348,       408,       350,       258,       211,       305,       382,       346,       273,       0
327,      349,       408,       351,       258,       210,       305,       383,       347,       252,       0
327,      348,       408,       350,       258,       210,       305,       382,       346,       252,       0
326,      348,       408,       350,       257,       211,       304,       381,       346,       268,       0
326,      349,       408,       350,       258,       210,       305,       382,       346,       269,       0
326,      349,       408,       350,       258,       211,       305,       383,       347,       249,       0
326,      348,       408,       350,       258,       211,       305,       382,       346,       266,       0
326,      349,       408,       350,       257,       210,       305,       383,       347,       262,       5
327,      349,       408,       350,       258,       210,       305,       383,       347,       262,       15
326,      348,       408,       350,       257,       211,       305,       382,       347,       271,       45
326,      348,       408,       351,       258,       210,       305,       382,       347,       271,       50
326,      348,       408,       350,       258,       211,       305,       383,       347,       260,       0
326,      349,       408,       350,       258,       210,       305,       382,       347,       253,       -40
327,      348,       408,       350,       258,       210,       305,       382,       346,       274,       60
327,      348,       408,       350,       258,       210,       305,       383,       347,       251,       -45
327,      349,       408,       350,       258,       210,       304,       381,       346,       261,       -10
327,      348,       408,       349,       258,       211,       305,       382,       346,       269,       35
327,      349,       408,       350,       258,       210,       305,       382,       347,       267,       35
326,      348,       408,       350,       257,       211,       304,       381,       346,       253,       -60
326,      348,       407,       349,       257,       210,       304,       381,       346,       267,       -5
327,      348,       407,       350,       258,       211,       304,       382,       347,       261,       -5
327,      349,       407,       350,       258,       211,       305,       382,       347,       249,       -55
326,      348,       407,       349,       257,       211,       304,       381,       346,       278,       55
326,      348,       408,       350,       257,       211,       305,       382,       346,       269,       30
327,      348,       408,       350,       258,       211,       305,       382,       347,       258,       -10
326,      348,       407,       349,       257,       211,       304,       382,       347,       251,       -70
327,      348,       408,       350,       257,       210,       305,       382,       346,       270,       35
327,      348,       407,       350,       257,       210,       305,       382,       346,       261,       -15
327,      348,       408,       350,       258,       210,       305,       382,       346,       258,       -20
326,      348,       408,       350,       257,       211,       305,       381,       346,       257,       -35
326,      348,       407,       350,       258,       211,       305,       382,       347,       273,       55
327,      348,       408,       349,       258,       211,       305,       381,       346,       261,       -10
326,      348,       407,       349,       257,       211,       304,       381,       346,       261,       -30
326,      349,       407,       350,       258,       210,       304,       381,       346,       267,       10
326,      349,       408,       350,       258,       210,       304,       382,       346,       248,       -75
326,      348,       407,       349,       257,       211,       304,       380,       346,       267,       -5
