0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
378,10,-65,120,
331,      357,       432,       367,       259,       211,       327,       410,       368,       260,       0
331,      357,       431,       367,       259,       210,       328,       409,       368,       271,       0
330,      357,       431,       367,       259,       211,       327,       409,       368,       250,       0
330,      357,       431,       367,       258,       211,       328,       410,       368,       275,       0
331,      358,       431,       368,       259,       211,       328,       410,       368,       253,       0
330,      357,       431,       367,       258,       211,       327,       410,       368,       273,       0
330,      357,       431,       368,       259,       211,       328,       410,       368,       257,       0
330,      357,       431,       368,       259,       210,       328,       409,       368,       259,       0
331,      358,       431,       368,       259,       211,       328,       409,       368,       274,       0
330,      357,       431,       367,       259,       210,       328,       410,       368,       252,       0
331,      357,       431,       368,       259,       210,       328,       410,       367,       263,       0
331,      357,       431,       367,       258,       211,       328,       410,       368,       272,       0
331,      358,       431,       368,       259,       211,       328,       410,       368,       272,       0
330,      357,       430,       367,       258,       211,       327,       409,       368,       260,       0
330,      357,       431,       367,       258,       211,       327,       409,       367,       270,       0
331,      358,       431,       368,       259,       210,       328,       410,       368,       263,       0
330,      358,       431,       367,       258,       211,       328,       410,       368,       255,       0
331,      358,       431,       367,       259,       210,       328,       409,       368,       279,       0
331,      358,       431,       368,       259,       211,       328,       410,       368,       254,       0
330,      357,       431,       368,       259,       210,       328,       409,       368,       260,       0
331,      358,       431,       367,       259,       210,       328,       409,       368,       270,       0
331,      358,       431,       368,       259,       211,       328,       410,       368,       269,       240
330,      357,       431,       367,       259,       210,       328,       409,       368,       267,       205
331,      357,       431,       368,       258,       211,       327,       410,       368,       267,       215
331,      358,       431,       368,       259,       211,       328,       410,       368,       266,       225
332,      358,       432,       368,       259,       211,       328,       410,       368,       252,       165
331,      357,       431,       367,       259,       210,       327,       409,       368,       279,       265
332,      358,       431,       367,       259,       211,       328,       411,       369,       273,       270
331,      358,       431,       368,       259,       211,       329,       410,       368,       254,       170
331,      358,       431,       367,       258,       211,       329,       411,       369,       256,       180
331,      358,       431,       368,       259,       211,       329,       410,       368,       274,       270
333,      358,       431,       367,       259,       211,       328,       411,       369,       258,       200
331,      358,       431,       368,       259,       211,       328,       410,       368,       257,       180
332,      358,       431,       367,       259,       211,       328,       410,       368,       260,       195
333,      359,       431,       368,       260,       211,       329,       411,       368,       253,       190
333,      359,       431,       368,       259,       211,       329,       411,       369,       253,       190
332,      358,       432,       368,       259,       211,       328,       410,       369,       264,       230
333,      359,       431,       368,       259,       211,       329,       411,       369,       274,       295
333,      359,       431,       368,       260,       211,       329,       412,       369,       272,       295
333,      359,       431,       368,       259,       211,       329,       411,       369,       251,       180
333,      359,       431,       368,       259,       210,       329,       411,       369,       271,       275
334,      359,       431,       368,       260,       211,       329,       412,       369,       263,       255
334,      360,       431,       368,       260,       210,       330,       412,       369,       252,       205
334,      360,       432,       368,       259,       211,       329,       412,       369,       272,       305
335,      359,       431,       368,       260,       211,       330,       412,       370,       273,       320
334,      360,       432,       368,       260,       211,       330,       412,       370,       257,       245
334,      360,       432,       368,       260,       211,       330,       412,       370,       255,       235
334,      361,       432,       369,       260,       211,       330,       412,       370,       273,       335
335,      360,       432,       369,       260,       211,       330,       413,       370,       261,       280
334,      360,       432,       368,       260,       211,       330,       412,       370,       264,       280
335,      361,       432,       368,       260,       211,       330,       412,       370,       266,       300
335,      361,       432,       369,       260,       211,       330,       413,       370,       267,       315
335,      361,       432,       368,       260,       211,       330,       412,       369,       269,       310
336,      361,       432,       368,       260,       211,       330,       413,       370,       270,       330
336,      361,       432,       369,       261,       211,       331,       414,       371,       262,       315
335,      361,       432,       369,       261,       211,       331,       414,       371,       256,       280
336,      362,       432,       368,       260,       211,       331,       413,       370,       274,       360
336,      361,       432,       369,       260,       210,       331,       414,       370,       273,       355
336,      362,       432,       369,       261,       211,       331,       413,       370,       255,       275
336,      361,       432,       369,       260,       211,       331,       413,       370,       265,       315
337,      361,       432,       369,       261,       211,       331,       414,       371,       270,       360
337,      362,       432,       369,       261,       211,       332,       414,       371,       252,       280
336,      362,       433,       369,       260,       210,       331,       413,       371,       267,       335
337,      362,       433,       369,       260,       211,       331,       414,       371,       269,       360
337,      363,       433,       369,       261,       211,       331,       414,       371,       269,       370
336,      362,       433,       369,       261,       211,       332,       414,       371,       253,       285
337,      362,       433,       369,       260,       211,       331,       414,       371,       277,       400
338,      363,       433,       369,       261,       211,       332,       415,       371,       259,       335
337,      362,       433,       370,       261,       211,       332,       414,       371,       257,       315
337,      362,       433,       369,       261,       211,       331,       414,       371,       281,       425
337,      362,       433,       370,       261,       211,       331,       415,       371,       272,       390
337,      363,       433,       369,       261,       210,       331,       414,       371,       252,       280
337,      362,       433,       369,       260,       210,       331,       414,       371,       287,       445
338,      363,       434,       370,       261,       211,       331,       415,       371,       274,       415
338,      363,       433,       370,       261,       211,       332,       415,       371,       252,       305
338,      362,       433,       369,       260,       210,       331,       414,       371,       272,       375
337,      363,       433,       370,       260,       210,       332,       414,       370,       272,       380
339,      363,       433,       370,       260,       211,       331,       415,       371,       259,       335
338,      363,       433,       370,       260,       211,       332,       415,       371,       261,       345
338,      363,       433,       370,       261,       211,       331,       415,       372,       272,       405
339,      363,       433,       370,       261,       211,       332,       416,       372,       255,       335
338,      364,       433,       371,       261,       211,       332,       415,       372,       263,       375
338,      363,       433,       370,       260,       210,       332,       415,       371,       264,       355
339,      364,       433,       370,       261,       211,       333,       416,       372,       271,       425
339,      363,       433,       371,       261,       211,       332,       416,       372,       252,       325
338,      363,       433,       370,       261,       210,       332,       415,       372,       271,       400
340,      363,       434,       371,       261,       210,       332,       416,       372,       262,       380
339,      364,       434,       371,       261,       210,       333,       416,       373,       254,       350
