0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
381,10,-60,118,
343.333,  357.25,    408.5,     359,       259.125,   210,       301.5,     364,       347.333,   260.5,     0
340.666,  354.983,   417.299,   369.399,   259.575,   210,       305.5,     368.799,   347,       260.899,   0
336.222,  351.205,   435.633,   395.399,   260.324,   210,       313.833,   378.8,     345.333,   262.566,   0
334.317,  351.205,   435.633,   387.971,   260.217,   210,       313.833,   383.942,   344.857,   262.852,   0
334.934,  350.342,   430.08,    384.681,   260.159,   210,       312.738,   383.363,   345.217,   262.617,   0
335.067,  350.488,   428.763,   386.864,   260.136,   210,       313.772,   383.729,   344.963,   262.576,   0
339.664,  354.433,   408.925,   363.359,   259.573,   210,       308.049,   377.576,   346.1,     261.435,   0
341.38,   355.704,   398.824,   356.129,   259.374,   211,       305.794,   376.667,   346.278,   260.946,   0
339.444,  355.66,    406.93,    363.193,   259.583,   211,       303.373,   377.424,   346.191,   261.279,   0
339.117,  354.78,    410.097,   363.526,   259.718,   210,       303.316,   374.809,   346.605,   261.094,   0
339.039,  354.02,    416.55,    367.264,   259.739,   211,       301.212,   374.414,   347.153,   260.474,   0
339.657,  352.97,    422.225,   368.854,   259.791,   210,       299.128,   370.664,   347.516,   260.978,   0
341.592,  354.205,   414.981,   358.52,    259.607,   210,       301.379,   369.698,   347.944,   260.363,   0
341.946,  355.742,   406.251,   346.662,   259.269,   210,       296.817,   370.682,   348.135,   259.973,   0
343.313,  357.607,   392.208,   332.576,   258.881,   210,       296.189,   366.72,    348.275,   260.188,   0
345.74,   360.698,   378.491,   323.68,    258.751,   210,       298.626,   364.443,   348.622,   258.932,   0
347.285,  361.625,   373.278,   326.131,   258.736,   210,       299.661,   365.406,   348.48,    259.013,   0
349,      362.466,   368.568,   323.198,   258.874,   210,       302.925,   366.367,   348.292,   258.876,   0
346.956,  360.731,   374.619,   329.287,   259.087,   210,       303.887,   368.03,    348.056,   258.403,   0
346.177,  359.927,   377.209,   330.088,   259.028,   210,       301.782,   370.257,   347.975,   258.613,   0
344.114,  358.875,   384.056,   330.653,   259.069,   211,       302.085,   372.665,   347.665,   259.127,   0
344.368,  359.171,   386.269,   335.432,   259.097,   210,       304.822,   375.279,   347.813,   259.163,   -60
347.808,  362.186,   378.505,   328.882,   258.885,   210,       303.527,   372.886,   348.017,   259.272,   5
348.994,  362.509,   384.975,   336.138,   259.186,   211,       306.633,   374.975,   347.547,   259.651,   10
350.643,  363.838,   378.821,   333.207,   259.095,   210,       307.283,   373.591,   347.768,   258.869,   10
349.635,  362.885,   380.9,     336.603,   259.309,   210,       306.206,   373.35,    347.285,   259.399,   -70
347.991,  361.366,   384.385,   341.421,   259.584,   210,       309.446,   378.559,   346.704,   259.702,   -25
346.895,  361.203,   378.015,   334.747,   259.534,   210,       308.419,   379.071,   346.822,   259.424,   -40
345.407,  360.017,   381.043,   334.967,   259.596,   210,       308.581,   383.283,   346.211,   260.36,    35
344.804,  359.607,   384.206,   334.733,   259.423,   211,       307.492,   382.987,   346.296,   260.212,   -50
343.396,  358.546,   377.894,   326.349,   259.186,   210,       305.784,   385.334,   345.999,   260.856,   -25
343.848,  358.976,   374.734,   321.435,   258.815,   210,       302.551,   386.229,   345.881,   261.061,   20
345.53,   360.447,   370.69,    315.788,   258.489,   211,       300.261,   381.507,   346.311,   260.59,    -65
346.587,  360.567,   368.76,    316.796,   258.141,   210,       297.799,   377.867,   346.789,   260.358,   -15
348.947,  362.475,   370.597,   315.431,   257.992,   211,       296.658,   373.372,   347.378,   259.715,   85
347.771,  361.355,   379.435,   325.716,   258.303,   210,       300.102,   371.535,   347.354,   260.094,   10
347.138,  361.485,   374.399,   323.42,    258.491,   211,       302.937,   373.539,   347.265,   260.024,   -70
344.36,   359.997,   378.347,   309.509,   258.433,   211,       303.671,   378.063,   346.38,    260.833,   25
342.752,  359.643,   379.454,   312.378,   258.711,   210,       304.673,   378.734,   346.238,   260.707,   10
343.94,   361.018,   370.028,   303.044,   258.555,   210,       302.468,   378.048,   346.554,   259.937,   -60
344.436,  360.951,   372.547,   300.133,   258.35,    210,       298.116,   375.263,   346.929,   259.925,   80
348.256,  365.135,   359.147,   302.507,   258.552,   211,       298.751,   368.006,   347.96,    258.367,   -10
348.09,   364.3,     362.531,   304.812,   258.529,   211,       299.333,   368.188,   347.73,    258.604,   -50
344.873,  361.531,   374.032,   312.493,   258.633,   210,       300.314,   370.208,   347.421,   259.556,   55
345.888,  362.423,   371.101,   314.259,   258.78,    210,       302.057,   367.771,   347.492,   258.932,   -70
