0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
382,10,-59,118,
333.125,  342.833,   348,       316.5,     256.333,   208,       284,       394,       339,       269.5,     0
334.924,  344.833,   351.399,   299.7,     256.066,   207.6,     284,       389.799,   346.2,     267.5,     0
334.55,   343.722,   348.566,   299.699,   255.955,   206.933,   284,       396.8,     342.199,   268.166,   0
334.55,   344.198,   348.566,   299.699,   255.86,    207.219,   284,       393.8,     343.914,   267.88,    0
334.753,  344.869,   348.647,   297.3,     255.887,   207.393,   284,       387.771,   348.044,   267.649,   0
333.764,  343.446,   343.397,   302.957,   255.957,   207.363,   284,       390.481,   343.165,   268.242,   0
333.974,  343.883,   342.658,   303.422,   256.053,   207.71,    284,       386.579,   345.017,   268.253,   0
333.57,   343.361,   339.386,   303.954,   256.176,   207.209,   284,       388.547,   343.461,   268.877,   0
334.044,  344.098,   345.348,   322.904,   256.407,   207.469,   284,       385.658,   342.806,   268.481,   0
334.084,  344.668,   345.627,   331.754,   256.662,   208.341,   285,       384.969,   344.469,   268.801,   0
335.064,  346.685,   355.766,   353.801,   256.939,   208.717,   284,       381.739,   347.819,   267.737,   0
336.563,  349.54,    370.248,   384.923,   257.334,   210.075,   284,       380.766,   351.87,    266.431,   0
335.958,  348.889,   366.52,    375.782,   257.181,   209.876,   285,       386.067,   349.737,   267.281,   0
336.869,  349.968,   371.933,   382.072,   257.16,    210.095,   284,       380.224,   352.203,   266.778,   0
335.841,  348.057,   362.1,     374.111,   256.81,    209.721,   286,       386.008,   347.687,   267.784,   0
335.738,  347.845,   358.507,   366.566,   256.64,    209.384,   284,       383.757,   347.089,   268.263,   0
336.028,  348.172,   357.363,   377.25,    256.754,   209.885,   285,       383.427,   348.425,   267.832,   0
335.265,  347.915,   360.138,   388.561,   256.696,   209.284,   285,       392.884,   344.457,   268.268,   0
334.861,  347.895,   364.715,   402.625,   257.155,   210.079,   284,       387.867,   347.424,   268.052,   0
334.736,  347.426,   368.031,   413.776,   257.324,   210.178,   284,       382.454,   350.901,   267.736,   0
334.23,   346.367,   367.126,   400.994,   257.12,    209.363,   285,       382.315,   349.54,    268.008,   0
334.725,  347.098,   368.124,   402.77,    257.371,   210.231,   285,       371.805,   355.409,   267.685,   5
335.67,   347.936,   368.611,   396.791,   257.021,   209.396,   284,       372.51,    354.835,   267.632,   30
335.16,   347.057,   361.408,   376.365,   256.692,   208.998,   285,       374.09,    351.969,   268.475,   60
336.258,  348.584,   370.306,   396.846,   257.012,   209.803,   284,       366.915,   357.459,   267.97,    -20
335.512,  346.892,   360.903,   372,       256.77,    209.171,   284,       372.216,   352.609,   268.296,   25
334.847,  345.79,    354.945,   356.458,   256.639,   208.853,   284,       375.174,   350.576,   268.963,   -60
334.481,  345.609,   351.593,   347.615,   256.631,   208.261,   283,       378.329,   350.377,   268.461,   20
333.263,  344.232,   341.634,   322.582,   256.386,   207.469,   285,       385.96,    342.509,   269.388,   -15
332.941,  343.852,   341.31,    321.522,   256.236,   207.226,   284,       387.923,   341.066,   269.83,    -55
332.99,   344.051,   341.791,   316.531,   256.179,   206.993,   285,       386.744,   343.136,   269.097,   50
333.742,  345.257,   345.248,   336.09,    256.4,     207.669,   285,       381.946,   345.53,    268.902,   -40
334.132,  345.404,   345.764,   332.02,    256.497,   208.27,    285,       381.373,   349.39,    268.547,   -35
333.98,   345.625,   343.971,   327.52,    256.439,   208.133,   285,       380.437,   350.579,   268.363,   55
333.8,    345.85,    349.14,    341.09,    256.667,   208.867,   285,       382.536,   348.214,   268.83,    -10
334.13,   345.935,   352.125,   335.804,   256.61,    209.038,   284,       382.621,   348.597,   268.82,    -15
333.808,  346.011,   350.605,   336.345,   256.435,   208.577,   284,       382.799,   346.77,    269.144,   40
334.427,  346.542,   353.981,   349.605,   256.625,   208.64,    285,       386.136,   347.94,    268.685,   0
