0,        1,         2,         3,         4,         5,         6,         7,         8,         9,         "T"
377,10,-65,126,
304,      313,       355,       304,       242,       209,       239,       287,       295,       240,       0
303,      313,       354,       304,       241,       209,       239,       286,       293,       232,       0
303,      313,       354,       304,       241,       209,       239,       286,       293,       249,       0
304,      313,       354,       304,       242,       209,       239,       287,       294,       232,       0
302,      313,       353,       304,       241,       209,       239,       286,       294,       248,       0
304,      313,       354,       304,       242,       209,       240,       288,       294,       233,       0
303,      313,       354,       304,       241,       209,       239,       287,       294,       241,       0
304,      314,       354,       304,       242,       209,       239,       286,       294,       244,       0
303,      313,       353,       303,       241,       209,       239,       286,       294,       246,       0
303,      314,       354,       304,       241,       208,       239,       287,       295,       237,       0
304,      313,       353,       304,       242,       209,       239,       287,       294,       228,       0
303,      313,       354,       303,       241,       209,       239,       286,       294,       252,       0
302,      314,       354,       304,       241,       209,       239,       287,       294,       249,       0
304,      313,       354,       304,       242,       209,       239,       287,       294,       231,       0
303,      313,       354,       304,       241,       209,       239,       287,       294,       230,       0
303,      312,       354,       304,       241,       209,       239,       287,       294,       249,       0
303,      314,       354,       304,       241,       209,       239,       287,       294,       240,       0
302,      313,       354,       304,       241,       209,       239,       287,       294,       230,       0
303,      313,       354,       304,       241,       209,       238,       286,       294,       249,       0
303,      314,       353,       304,       242,       209,       240,       287,       294,       236,       0
303,      313,       354,       304,       242,       209,       240,       287,       294,       229,       0
303,      312,       353,       304,       241,       209,       239,       286,       294,       250,       35
303,      313,       354,       304,       241,       209,       239,       287,       295,       249,       50
302,      314,       353,       304,       241,       208,       239,       287,       294,       231,       -55
304,      313,       353,       304,       241,       209,       238,       286,       294,       231,       -55
302,      313,       353,       304,       242,       209,       240,       287,       295,       250,       55
302,      313,       354,       305,       241,       209,       239,       286,       294,       235,       -30
303,      313,       353,       304,       241,       209,       238,       286,       294,       231,       -60
303,      313,       354,       305,       241,       209,       239,       286,       294,       249,       45
303,      313,       354,       304,       241,       209,       239,       287,       294,       234,       -30
303,      313,       354,       304,       241,       209,       238,       286,       294,       233,       -45
303,      314,       354,       304,       241,       209,       238,       286,       294,       249,       40
303,      313,       354,       304,       241,       209,       239,       287,       294,       233,       -35
303,      313,       354,       304,       241,       209,       239,       286,       294,       231,       -50
303,      313,       354,       304,       241,       209,       239,       285,       293,       250,       35
303,      313,       354,       304,       241,       209,       239,       286,       294,       235,       -30
303,      314,       354,       304,       241,       209,       239,       286,       294,       235,       -25
303,      313,       354,       304,       241,       209,       238,       286,       293,       237,       -30
303,      313,       353,       304,       241,       208,       238,       286,       294,       250,       30
303,      313,       354,       304,       241,       209,       239,       286,       294,       232,       -45
302,      313,       353,       304,       240,       209,       238,       285,       293,       237,       -50
303,      313,       353,       304,       240,       209,       238,       285,       293,       249,       15
303,      313,       353,       304,       241,       209,       238,       286,       294,       234,       -45
303,      313,       353,       303,       241,       209,       238,       285,       293,       240,       -30
303,      313,       353,       303,       241,       209,       237,       285,       293,       249,       10
303,      313,       353,       303,       241,       209,       239,       286,       293,       230,       -70
303,      313,       353,       303,       241,       209,       238,       285,       293,       238,       -40
303,      314,       353,       303,       240,       209,       238,       285,       293,       247,       5
303,      313,       353,       304,       241,       209,       239,       286,       293,       247,       20
303,      314,       353,       304,       240,       209,       238,       285,       293,       240,       -25
302,      312,       353,       304,       241,       209,       238,       285,       293,       239,       -40
304,      313,       353,       304,       241,       209,       239,       286,       293,       248,       30
303,      314,       352,       303,       241,       209,       238,       286,       294,       231,       -65
303,      313,       353,       303,       240,       209,       238,       285,       293,       238,       -45
304,      313,       353,       303,       241,       209,       238,       286,       293,       249,       25
303,      313,       352,       304,       241,       209,       239,       286,       294,       232,       -55
303,      314,       353,       303,       241,       209,       239,       285,       293,       239,       -25
304,      314,       353,       303,       241,       209,       238,       285,       293,       248,       20
303,      313,       353,       304,       241,       209,       239,       286,       294,       250,       40
303,      314,       353,       304,       241,       209,       238,       285,       294,       237,       -30
304,      313,       353,       303,       240,       209,       239,       285,       293,       251,       30
304,      313,       353,       304,       241,       208,       239,       287,       294,       249,       40
304,      314,       353,       303,       241,       209,       239,       286,       293,       239,       -15
303,      314,       353,       303,       241,       209,       239,       286,       294,       240,       -10
304,      314,       353,       304,       242,       209,       239,       287,       293,       251,       60
304,      314,       353,       304,       241,       209,       239,       287,       295,       232,       -30
303,      313,       353,       303,       241,       208,       239,       286,       294,       238,       -30
304,      314,       354,       304,       241,       209,       238,       286,       294,       250,       50
304,      314,       353,       304,       242,       209,       239,       287,       294,       233,       -25
303,      313,       353,       304,       241,       208,       239,       286,       294,       232,       -55
304,      314,       353,       303,       241,       209,       239,       285,       294,       250,       40
303,      313,       354,       304,       241,       209,       240,       287,       295,       236,       -10
303,      313,       354,       304,       242,       208,       240,       287,       295,       232,       -30
304,      314,       354,       304,       241,       209,       239,       286,       295,       232,       -30
304,      313,       353,       304,       241,       209,       240,       287,       295,       237,       -5
305,      314,       354,       304,       242,       209,       239,       288,       295,       240,       30
303,      314,       353,       304,       241,       209,       239,       287,       295,       230,       -45
303,      314,       354,       304,       242,       209,       240,       288,       295,       238,       15
305,      314,       354,       304,       242,       209,       240,       288,       295,       241,       40
304,      314,       354,       304,       241,       208,       240,       287,       295,       231,       -30
304,      314,       354,       304,       241,       209,       240,       287,       294,       244,       35
305,      315,       354,       304,       242,       209,       240,       287,       295,       240,       35
304,      314,       354,       305,       242,       209,       240,       287,       295,       227,       -35
303,      314,       354,       304,       241,       209,       240,       287,       294,       247,       45
304,      314,       354,       305,       242,       209,       240,       288,       295,       246,       65
304,      315,       354,       304,       241,       209,       241,       288,       295,       228,       -25
